SNP,PPI,DRUG,pQTL_protein,pQTL_protein_name,Chromosome,piQTL_peak,piQTL_left,piQTL_right,pQTL_peak,pQTL_left,pQTL_right,piQTL_EFFECTSIZE,piQTL_pvalue,piQTL_FDR,pQTL_effect,pQTL_gene_dist,pQTL_cis,peak_distance,is_piQTL_peak_in_pQTL,is_pQTL_peak_in_piQTL,piQTL_locus_id,piQTL_locus_gene,piQTL_locus_description
649,FMP45_MID2,Fluconazole,YBR135W,CKS1,Chr2,538990,530047,538990,538990,530047,542505,0.668971695,4.339208362,0.013384981,0.182828971,33690.0,False,0,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,FMP45_MID2,Fluconazole,YER122C,GLO3,Chr2,538990,530047,538990,533672,528468,538990,0.668971695,4.339208362,0.013384981,0.13465272,inf,False,5318,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,FMP45_MID2,Fluconazole,YAL005C,SSA1,Chr2,538990,530047,538990,530047,517548,538990,0.668971695,4.339208362,0.013384981,0.151584485,inf,False,8943,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,FMP45_MID2,Fluconazole,YNL071W,LAT1,Chr2,538990,530047,538990,533672,528468,538990,0.668971695,4.339208362,0.013384981,0.13609298,inf,False,5318,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,FMP45_MID2,Fluconazole,YCR004C,YCP4,Chr2,538990,530047,538990,530047,517548,538990,0.668971695,4.339208362,0.013384981,0.170420533,inf,False,8943,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,FMP45_MID2,Fluconazole,YMR196W,YMR196W; YM9646.09,Chr2,538990,530047,538990,530047,517548,538990,0.668971695,4.339208362,0.013384981,0.157071809,inf,False,8943,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
648,FMP45_MID2,noDrug,YBR135W,CKS1,Chr2,538868,530047,538990,538990,530047,542505,0.550704624,3.752788253,0.043554605,0.182828971,33690.0,False,122,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
648,FMP45_MID2,noDrug,YER122C,GLO3,Chr2,538868,530047,538990,533672,528468,538990,0.550704624,3.752788253,0.043554605,0.13465272,inf,False,5196,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
648,FMP45_MID2,noDrug,YAL005C,SSA1,Chr2,538868,530047,538990,530047,517548,538990,0.550704624,3.752788253,0.043554605,0.151584485,inf,False,8821,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
648,FMP45_MID2,noDrug,YNL071W,LAT1,Chr2,538868,530047,538990,533672,528468,538990,0.550704624,3.752788253,0.043554605,0.13609298,inf,False,5196,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
648,FMP45_MID2,noDrug,YCR004C,YCP4,Chr2,538868,530047,538990,530047,517548,538990,0.550704624,3.752788253,0.043554605,0.170420533,inf,False,8821,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
648,FMP45_MID2,noDrug,YMR196W,YMR196W; YM9646.09,Chr2,538868,530047,538990,530047,517548,538990,0.550704624,3.752788253,0.043554605,0.157071809,inf,False,8821,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
648,PMC1_GTR2,noDrug,YBR135W,CKS1,Chr2,538868,530047,538990,538990,530047,542505,0.666610162,4.034912235,0.024986278,0.182828971,33690.0,False,122,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
648,PMC1_GTR2,noDrug,YER122C,GLO3,Chr2,538868,530047,538990,533672,528468,538990,0.666610162,4.034912235,0.024986278,0.13465272,inf,False,5196,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
648,PMC1_GTR2,noDrug,YAL005C,SSA1,Chr2,538868,530047,538990,530047,517548,538990,0.666610162,4.034912235,0.024986278,0.151584485,inf,False,8821,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
648,PMC1_GTR2,noDrug,YNL071W,LAT1,Chr2,538868,530047,538990,533672,528468,538990,0.666610162,4.034912235,0.024986278,0.13609298,inf,False,5196,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
648,PMC1_GTR2,noDrug,YCR004C,YCP4,Chr2,538868,530047,538990,530047,517548,538990,0.666610162,4.034912235,0.024986278,0.170420533,inf,False,8821,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
648,PMC1_GTR2,noDrug,YMR196W,YMR196W; YM9646.09,Chr2,538868,530047,538990,530047,517548,538990,0.666610162,4.034912235,0.024986278,0.157071809,inf,False,8821,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,RET2_EMP47,Fluconazole,YBR135W,CKS1,Chr2,538990,530047,538990,538990,530047,542505,0.426566104,3.79383436,0.04025608,0.182828971,33690.0,False,0,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,RET2_EMP47,Fluconazole,YER122C,GLO3,Chr2,538990,530047,538990,533672,528468,538990,0.426566104,3.79383436,0.04025608,0.13465272,inf,False,5318,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,RET2_EMP47,Fluconazole,YAL005C,SSA1,Chr2,538990,530047,538990,530047,517548,538990,0.426566104,3.79383436,0.04025608,0.151584485,inf,False,8943,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,RET2_EMP47,Fluconazole,YNL071W,LAT1,Chr2,538990,530047,538990,533672,528468,538990,0.426566104,3.79383436,0.04025608,0.13609298,inf,False,5318,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,RET2_EMP47,Fluconazole,YCR004C,YCP4,Chr2,538990,530047,538990,530047,517548,538990,0.426566104,3.79383436,0.04025608,0.170420533,inf,False,8943,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,RET2_EMP47,Fluconazole,YMR196W,YMR196W; YM9646.09,Chr2,538990,530047,538990,530047,517548,538990,0.426566104,3.79383436,0.04025608,0.157071809,inf,False,8943,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,RET2_EMP70,Fluconazole,YBR135W,CKS1,Chr2,538990,530047,538990,538990,530047,542505,0.428843453,3.748817405,0.043893853,0.182828971,33690.0,False,0,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,RET2_EMP70,Fluconazole,YER122C,GLO3,Chr2,538990,530047,538990,533672,528468,538990,0.428843453,3.748817405,0.043893853,0.13465272,inf,False,5318,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
649,RET2_EMP70,Fluconazole,YAL005C,SSA1,Chr2,538990,530047,538990,530047,517548,538990,0.428843453,3.748817405,0.043893853,0.151584485,inf,False,8943,True,True,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication"""
