SNP,LD050_ID,PPI,DRUG,chromosome,piQTL_peak,piQTL_left,piQTL_right,piQTL_EFFECTSIZE,piQTL_pvalue,piQTL_FDR,piQTL_locus_id,piQTL_locus_gene,piQTL_locus_description,cis_trans
5780,LD050_1223,ERV25_EMP47,noDrug,9,264604,260986,267785,-0.632063781,4.165675627,0.0192049,YIL048W,NEO1,"""Phospholipid translocase (flippase) ; role in phospholipid asymmetry of plasma membrane; involved in endocytosis ; vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus""",trans
5792,LD050_1226,ALO1_HYR1,5-FC,9,270121,270121,270121,-0.535033186,3.841353535,0.036676147,YIL046W,MET30,"""F-box protein containing five copies of the WD40 motif; controls cell cycle function ; sulfur metabolism ; and methionine biosynthesis as part of the ubiquitin ligase complex; interacts with and regulates Met4p ; localizes within the nucleus; dissociation of Met30p from SCF complex in response to cadmium stress is regulated by Cdc48p""",trans
5792,LD050_1226,ALO1_HYR1,Metformin,9,270121,270121,270121,-0.468369867,3.68699004,0.049338545,YIL046W,MET30,"""F-box protein containing five copies of the WD40 motif; controls cell cycle function ; sulfur metabolism ; and methionine biosynthesis as part of the ubiquitin ligase complex; interacts with and regulates Met4p ; localizes within the nucleus; dissociation of Met30p from SCF complex in response to cadmium stress is regulated by Cdc48p""",trans
5792,LD050_1226,ERG27_ACF2,Metformin,9,270121,270121,270121,-0.507405298,4.177089874,0.01875095,YIL046W,MET30,"""F-box protein containing five copies of the WD40 motif; controls cell cycle function ; sulfur metabolism ; and methionine biosynthesis as part of the ubiquitin ligase complex; interacts with and regulates Met4p ; localizes within the nucleus; dissociation of Met30p from SCF complex in response to cadmium stress is regulated by Cdc48p""",trans
5792,LD050_1226,HUG1_ALO1,5-FC,9,270121,270121,270121,-0.67590631,3.793051041,0.040317946,YIL046W,MET30,"""F-box protein containing five copies of the WD40 motif; controls cell cycle function ; sulfur metabolism ; and methionine biosynthesis as part of the ubiquitin ligase complex; interacts with and regulates Met4p ; localizes within the nucleus; dissociation of Met30p from SCF complex in response to cadmium stress is regulated by Cdc48p""",trans
5793,LD050_1227,DHH1_LSM3,noDrug,9,270686,270686,270686,-1.091562269,3.802335351,0.039616469,YIL045W_NFR/NDR,PIG2,stable,trans
5793,LD050_1227,RET2_EMP70,Metformin,9,270686,270686,270686,-0.747438595,3.886617351,0.033551889,YIL045W_NFR/NDR,PIG2,stable,trans
5793,LD050_1227,RET2_EMP70,Trifluoperazine,9,270686,270686,270686,-0.794433686,3.991610517,0.027217448,YIL045W_NFR/NDR,PIG2,stable,trans
5793,LD050_1227,RET2_SNA3,Trifluoperazine,9,270686,270686,270686,-0.761299218,3.883248842,0.033772675,YIL045W_NFR/NDR,PIG2,stable,trans
5793,LD050_1227,RET2_SNA3,noDrug,9,270686,270686,270686,-0.725296525,3.810707358,0.038997449,YIL045W_NFR/NDR,PIG2,stable,trans
6039,LD050_1290,HNM1_RBD2,Fluconazole,10,114907,114907,114907,0.845430752,3.764650125,0.042555148,YJL162C,JJJ2,"""Protein of unknown function; contains a J-domain ; which is a region with homology to the E. coli DnaJ protein""",trans
527,LD050_130,SRO9_GIS2,5-FC,2,393340,393340,395042,-4.798446914,4.217761513,0.017252965,YBR078W,ECM33,"""GPI-anchored protein involved in efficient glucose uptake; possible role in apical bud growth; GPI-anchoring on the plasma membrane crucial to function; phosphorylated in mitochondria; similar to Sps2p; ECM33 has a paralog ; PST1 ; that arose from the whole genome duplication""",trans
537,LD050_131,ERG11_TPO4,Fluconazole,2,400847,395228,405100,-0.496157031,3.820539959,0.03823186,YBR080C,SEC18,"""AAA ATPase and SNARE disassembly chaperone; required for vesicular transport between ER and Golgi ; the 'priming' step in homotypic vacuole fusion ; autophagy ; and protein secretion; releases Sec17p from SNAP complexes; has similarity to mammalian N-ethylmaleimide-sensitive factor (NSF)""",trans
6174,LD050_1320,RET2_EMP47,Fluconazole,10,314882,302826,340762,-0.395930029,3.799936025,0.039797753,YJL066C_NFR/NDR,MPM1,stable,trans
6201,LD050_1325,ERG11_ERV25,noDrug,10,359824,359824,359824,-0.766103648,3.889156425,0.03338788,YJL043W_NFR/NDR,YJL043W,,trans
6201,LD050_1325,MID2_TPO4,noDrug,10,359824,359824,359824,-0.934044293,3.742764656,0.044401658,YJL043W_NFR/NDR,YJL043W,,trans
551,LD050_136,ERG11_TPO4,Fluconazole,2,409016,406181,418057,-0.51659538,3.988481786,0.027396619,YBR083W,TEC1,"""Transcription factor targeting filamentation genes and Ty1 expression; Ste12p activation of most filamentation gene promoters depends on Tec1p and Tec1p transcriptional activity is dependent on its association with Ste12p; binds to TCS elements upstream of filamentation genes ; which are regulated by Tec1p/Ste12p/Dig1p complex; competes with Dig2p for binding to Ste12p/Dig1p; positive regulator of chronological life span; TEA/ATTS DNA-binding domain family member""",trans
556,LD050_137,ERG11_TPO4,Fluconazole,2,422349,419803,425467,-0.514252965,4.05719072,0.023915348,YBR086C,IST2,"""Cortical ER protein involved in ER-plasma membrane (PM) tethering; one of 6 proteins (Ist2 ; Scs2 ; Scs22 ; Tcb1 ; Tcb2 ; Tcb3) that connect ER to PM ; regulate PM phosphatidylinositol-4-phosphate (PI4P) levels by controlling access of Sac1 phosphatase to PI4P; required to locate Osh6 ; Osh7 in ER/PM contact site to allow phosphatidylserine transport from ER to PM; localizes to mother in small-budded cells ; to bud in medium- ; large-budded cells; mRNA transported to bud tip by actomyosin-driven process""",trans
6430,LD050_1379,RET2_SNA3,Fluconazole,10,618031,611690,619631,-0.439728292,3.975172925,0.028148691,YJR101W_NFR/NDR,RSM26,fragile,trans
6437,LD050_1380,HUG1_ADE17,5-FC,10,620344,620344,620344,1.060573905,3.759102417,0.043033825,YJR102C,VPS25,"""Component of the ESCRT-II complex; ESCRT-II is involved in ubiquitin-dependent sorting of proteins into the endosome""",trans
575,LD050_139,PLM2_HNM1,Fluconazole,2,455029,429095,455247,-0.55909594,3.694101983,0.048668438,YBR108W,AIM3,"""Protein that inhibits barbed-end actin filament elongation; interacts with Rvs167p; null mutant is viable and displays elevated frequency of mitochondrial genome loss""",trans
598,LD050_144,PLM2_HNM1,Fluconazole,2,476732,464424,477508,-0.655866383,4.960954871,0.003518595,SUT018,,ncRNA_STM,trans
6985,LD050_1443,ALO1_UIP4,5-FC,11,195507,146291,195507,0.648233074,3.935317394,0.030472603,XUT_11F-87,,ncRNA_UNB,trans
6985,LD050_1443,ALO1_UIP4,Trifluoperazine,11,195507,146291,195507,0.587632641,3.999643949,0.026789432,XUT_11F-87,,ncRNA_UNB,trans
6983,LD050_1443,ERG11_ACF2,Trifluoperazine,11,191520,146291,195507,0.57867792,4.704362855,0.00614183,YKL134C_NFR/NDR,OCT1,stable,trans
6983,LD050_1443,ERG27_ACF2,noDrug,11,191520,146291,195507,0.595386061,3.975820963,0.028116722,YKL134C_NFR/NDR,OCT1,stable,trans
6983,LD050_1443,ERV25_ERG5,5-FC,11,191520,146291,195507,0.536761124,3.873003758,0.034469326,YKL134C_NFR/NDR,OCT1,stable,trans
6983,LD050_1443,ERV25_ERG5,Trifluoperazine,11,191520,146291,195507,0.527975932,3.742314245,0.04443897,YKL134C_NFR/NDR,OCT1,stable,trans
6983,LD050_1443,FMP45_MEP1,Trifluoperazine,11,191520,146291,195507,0.527831014,3.723225905,0.046081495,YKL134C_NFR/NDR,OCT1,stable,trans
6983,LD050_1443,FMP45_MEP1,noDrug,11,191520,146291,195507,0.573932911,3.724294052,0.045989287,YKL134C_NFR/NDR,OCT1,stable,trans
6983,LD050_1443,PMC1_CTR2,noDrug,11,191520,146291,195507,0.653262587,4.052138899,0.024163407,YKL134C_NFR/NDR,OCT1,stable,trans
6988,LD050_1445,ALO1_UIP4,5-FC,11,196565,196560,201652,0.627095125,3.707824867,0.047404969,XUT_11F-88,,ncRNA_UNB,trans
6989,LD050_1445,ALO1_UIP4,Trifluoperazine,11,196914,196560,201652,0.56995044,3.70871795,0.047329033,YKL129C,MYO3,"""One of two type I myosins; localizes to actin cortical patches; deletion of MYO3 has little effect on growth ; but myo3 myo5 double deletion causes severe defects in growth and actin cytoskeleton organization; MYO3 has a paralog ; MYO5 ; that arose from the whole genome duplication""",trans
6987,LD050_1445,PMC1_CTR2,noDrug,11,196560,196560,201652,0.629425214,3.871682353,0.034555328,XUT_11F-88,,ncRNA_UNB,trans
7033,LD050_1450,GTR1_SLM4,Trifluoperazine,11,234262,234262,234262,0.796179537,3.800272644,0.039770306,YKL108W_NFR/NDR,SLD2,stable,trans
7078,LD050_1460,ADE17_GIS2,Fluconazole,11,294571,285019,303479,0.488152931,4.277522721,0.015246589,YKL075C_NFR/NDR,YKL075C,stable,trans
7076,LD050_1460,ADE17_HYR1,Fluconazole,11,285782,285019,303479,0.467677297,3.903636319,0.032443513,YKL080W,VMA5,"""Subunit C of the V1 peripheral membrane domain of V-ATPase; part of the electrogenic proton pump found throughout the endomembrane system; required for the V1 domain to assemble onto the vacuolar membrane; the V1 peripheral membrane domain of vacuolar H+-ATPase (V-ATPase) has eight subunits""",trans
7077,LD050_1460,ERV25_PIS1,Fluconazole,11,286321,285019,303479,0.569510235,3.882874087,0.033794827,YKL079W_NFR/NDR,SMY1,stable,trans
7084,LD050_1461,SRO9_GIS2,5-FC,11,307267,307267,307267,4.673893261,4.024365741,0.025498851,YKL069W_NFR/NDR,YKL069W,stable,trans
7115,LD050_1468,DHH1_LSM3,Metformin,11,350701,338730,350701,-0.269925191,3.890081346,0.033328385,YKL047W,ANR2,"""Protein of unknown function; may have a role in lipid metabolism ; based on localization to lipid droplets; predicted to be palmitoylated""",trans
7123,LD050_1470,DHH1_LSM3,Metformin,11,355187,352832,358455,-0.308439893,4.508542696,0.009334873,YKL045W,PRI2,"""Subunit of DNA primase; DNA primase is required for DNA synthesis and double-strand break repair""",trans
7128,LD050_1471,DHH1_LSM3,Metformin,11,360267,360267,369257,-0.280485791,4.116768462,0.021214883,YKL041W,VPS24,"""One of four subunits of the ESCRT-III complex; forms an endosomal sorting complex required for transport III (ESCRT-III) subcomplex with Did4p; involved in the sorting of transmembrane proteins into the multivesicular body (MVB) pathway""",trans
7226,LD050_1500,ERG11_PIS1,Metformin,11,463846,460484,464832,-0.29959742,4.031638161,0.025148022,YKR012C,YKR012C,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the verified gene PRY2""",trans
649,LD050_152,ADE17_HYR1,Metformin,2,538990,530047,538990,0.488727156,4.049063843,0.024306749,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication""",trans
649,LD050_152,ADE17_HYR1,noDrug,2,538990,530047,538990,0.628891311,4.772216063,0.005295309,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication""",trans
648,LD050_152,ERG11_ERV25,noDrug,2,538868,530047,538990,0.429143668,3.786033701,0.040862452,YBR148W,YSW1,"""Protein required for normal prospore membrane formation; interacts with Gip1p ; which is the meiosis-specific regulatory subunit of the Glc7p protein phosphatase; expressed specifically in spores and localizes to the prospore membrane; YSW1 has a paralog ; SPO21 ; that arose from the whole genome duplication""",trans
