iteration,overlap_pqtl,overlap_eqtl,overlap_both
133,27,24,6
134,25,30,9
135,24,24,4
136,19,26,8
137,20,24,3
138,23,34,4
139,23,21,9
140,34,39,10
141,23,29,10
142,25,28,6
143,23,30,8
144,29,25,8
145,29,25,8
146,22,30,6
147,27,27,7
148,30,25,5
149,25,24,6
150,20,20,2
151,23,33,9
152,24,31,9
153,13,29,4
154,30,29,7
155,26,27,6
156,23,24,4
157,28,25,7
158,29,19,7
159,35,31,9
160,23,29,9
161,27,33,8
162,18,22,5
163,24,35,9
164,31,25,9
165,26,30,5
166,19,24,7
167,35,37,8
168,27,26,7
169,29,35,7
170,19,31,6
171,23,26,9
172,29,25,9
173,27,27,5
174,35,36,16
175,26,27,5
176,24,29,4
177,24,31,5
178,26,23,5
179,27,32,10
180,25,35,7
181,31,30,6
182,22,31,8
183,24,26,5
184,24,25,9
185,21,22,3
186,28,22,3
187,28,34,10
188,24,32,6
189,28,25,3
190,32,27,6
191,31,33,9
192,30,27,4
193,24,14,2
194,19,25,5
195,21,32,7
196,26,29,5
197,22,26,6
198,27,28,7
199,16,27,1
200,30,26,5
201,28,33,14
202,27,35,10
203,28,26,6
204,36,25,10
205,30,26,6
206,24,33,7
207,17,27,1
208,24,28,5
209,18,26,4
210,30,27,9
211,24,22,5
212,23,27,4
213,24,33,7
214,21,27,5
215,26,27,10
216,29,31,11
217,24,21,3
218,26,31,13
219,17,27,4
220,23,28,7
221,21,23,3
222,22,29,9
223,19,31,4
224,27,20,8
225,24,31,6
226,24,33,6
227,26,28,7
228,21,27,6
229,30,25,10
230,14,32,5
231,25,22,3
232,23,28,7
233,24,18,4
234,32,22,11
235,34,30,9
236,23,21,5
237,28,28,7
238,24,29,4
239,22,21,4
240,26,26,7
241,23,27,4
242,24,28,9
243,27,30,6
244,19,26,1
245,23,22,5
246,29,28,7
247,22,27,7
248,22,38,6
249,23,19,8
250,24,24,3
251,27,30,8
252,25,26,6
253,20,31,8
254,17,26,6
255,20,31,5
256,24,36,6
257,28,29,7
258,22,26,4
259,21,28,3
260,32,24,4
261,21,31,2
262,30,33,12
263,25,29,5
264,25,32,9
265,19,29,4
266,27,28,7
267,23,21,3
268,20,25,1
269,22,28,5
270,26,28,6
271,22,25,4
272,31,35,12
273,32,26,11
274,20,31,5
275,30,31,8
276,24,30,7
277,27,20,5
278,20,20,5
279,26,22,8
280,23,30,6
281,22,22,6
282,17,32,3
283,21,23,4
284,26,28,8
285,25,29,4
286,23,27,4
287,21,29,8
288,24,24,3
289,20,22,5
290,20,24,7
291,23,27,4
292,26,35,8
293,27,19,7
294,18,24,5
295,26,28,7
296,22,26,6
297,24,34,8
298,23,28,8
299,32,25,10
300,20,21,2
301,26,30,7
302,18,24,5
303,30,35,5
304,24,26,8
305,23,25,5
306,27,24,6
307,25,32,10
308,25,25,5
309,22,26,5
310,22,20,4
311,22,30,6
312,25,27,5
313,36,30,6
314,21,37,5
315,18,26,3
316,17,28,6
317,32,33,9
318,23,40,8
319,28,29,7
320,25,35,7
321,31,25,8
322,15,32,3
323,17,25,3
324,31,25,7
325,25,31,5
326,26,27,3
327,23,26,3
328,20,21,4
329,28,33,9
330,21,15,4
331,22,35,5
332,23,25,4
333,26,27,5
334,22,28,5
335,19,17,4
336,23,33,10
337,29,34,10
338,24,33,6
339,25,26,9
340,22,25,8
341,25,28,7
342,19,27,2
343,17,24,4
344,15,31,3
345,25,21,4
346,24,28,5
347,17,21,4
348,30,25,10
349,27,32,9
350,27,25,4
351,26,25,5
352,17,33,4
353,26,27,6
354,30,28,6
355,29,22,5
356,25,39,11
357,23,22,5
358,29,27,6
359,24,21,4
360,21,23,2
361,24,27,5
362,26,25,4
363,22,31,5
364,24,30,7
365,24,27,6
366,18,30,5
367,25,31,7
368,27,24,6
369,25,24,5
370,28,30,7
371,23,23,5
372,26,32,3
373,27,27,5
374,23,24,5
375,32,29,9
376,27,29,9
377,30,30,11
378,24,36,7
379,20,24,5
380,31,30,6
381,32,34,7
382,12,21,3
383,28,28,5
384,18,28,5
385,23,26,4
386,25,31,7
387,37,32,9
388,34,29,12
389,27,21,9
390,17,26,2
391,22,28,4
392,22,23,5
393,19,30,4
394,31,25,4
395,36,24,4
396,22,23,6
397,27,32,6
398,28,20,6
399,24,23,5
400,26,30,9
401,20,24,3
402,15,27,5
403,22,27,5
404,25,28,9
405,27,25,8
406,22,34,4
407,28,34,10
408,22,22,7
409,16,30,2
410,20,27,4
411,20,24,5
412,26,30,6
413,18,27,4
414,28,27,4
415,22,32,10
416,21,30,9
417,21,28,4
418,18,23,3
419,23,24,4
420,27,30,5
421,21,24,1
422,20,18,5
423,26,26,4
424,31,39,13
425,21,24,7
426,25,25,4
427,33,31,11
428,24,18,4
429,27,27,4
430,20,28,4
431,34,31,9
432,21,30,7
433,17,34,4
434,19,31,7
435,20,28,5
436,24,37,8
437,25,24,6
438,22,25,2
439,21,24,5
440,21,21,5
441,20,27,5
442,26,29,11
443,18,27,4
444,22,30,6
445,23,28,4
446,23,26,3
447,23,30,5
448,28,24,6
449,23,35,6
450,19,24,3
451,19,28,6
452,30,35,9
453,24,19,5
454,18,24,5
455,27,27,10
456,23,23,5
457,22,26,5
458,22,31,5
459,22,29,9
460,30,30,6
461,27,27,5
462,27,29,6
463,29,27,8
464,23,21,5
465,23,28,8
466,26,25,6
467,22,29,6
468,26,37,6
469,26,23,3
470,24,26,5
471,28,30,8
472,26,27,5
473,25,28,8
474,25,32,8
475,37,37,12
476,24,35,6
477,21,32,3
478,28,31,12
479,27,27,2
480,29,20,4
481,23,27,6
482,19,23,5
483,20,25,6
484,22,30,7
485,24,23,3
486,29,34,8
487,23,33,2
488,31,28,3
489,34,30,9
490,24,24,8
491,28,28,8
492,29,25,8
493,19,30,5
494,32,36,7
495,20,28,7
496,19,21,2
497,28,26,5
498,23,30,7
499,27,32,14
500,29,23,8
501,17,24,3
502,16,39,8
503,24,21,5
504,24,26,7
505,27,28,6
506,24,26,3
507,24,31,7
508,30,21,4
509,24,30,4
510,29,23,7
511,21,24,4
512,25,35,8
513,28,32,7
514,29,24,5
515,24,28,6
516,39,35,13
517,27,32,9
518,17,29,6
519,23,33,8
520,20,32,6
521,23,30,13
522,26,26,8
523,26,28,8
524,32,23,8
525,22,28,5
526,23,29,5
527,28,20,5
528,27,29,5
529,23,25,4
530,30,32,6
531,25,27,10
532,25,26,5
533,23,24,7
534,27,31,5
535,33,32,9
536,18,30,7
537,21,36,6
538,19,34,6
539,24,31,10
540,24,37,11
541,24,32,5
542,26,29,9
543,34,21,5
544,23,35,6
545,25,29,5
546,26,28,9
547,26,27,5
548,26,33,8
549,30,27,7
550,21,23,4
551,26,22,5
552,26,22,5
553,33,23,8
554,18,32,4
555,25,27,7
556,28,27,5
557,25,29,9
558,29,27,5
559,22,25,4
560,24,27,7
561,32,30,8
562,23,24,5
563,21,27,6
564,18,28,2
565,27,18,7
566,25,33,9
567,30,34,13
568,32,30,11
569,25,29,7
570,26,24,4
571,24,23,3
572,23,25,6
573,17,31,6
574,22,28,7
575,25,30,7
576,19,24,6
577,24,34,12
578,33,27,10
579,24,23,3
580,21,20,5
581,20,20,5
582,20,24,5
583,24,30,6
584,24,23,5
585,27,29,4
586,23,26,6
587,23,25,5
588,25,35,5
589,30,29,8
590,27,30,4
591,26,26,7
592,22,32,9
593,26,26,7
594,25,21,5
595,28,29,10
596,27,24,5
597,21,33,3
598,27,27,8
599,25,30,5
600,25,30,5
601,33,24,8
602,24,24,5
603,20,22,5
604,28,24,5
605,20,23,7
606,23,29,4
607,19,36,5
608,25,29,8
609,32,25,7
610,23,31,7
611,21,31,6
612,21,20,3
613,24,24,4
614,25,20,5
615,28,25,3
616,24,21,4
617,20,35,7
618,22,31,2
619,30,26,8
620,28,22,3
621,24,27,6
622,27,28,7
623,24,29,8
624,28,25,5
625,31,35,12
626,34,20,6
627,31,32,9
628,28,27,9
629,23,26,8
630,24,28,6
631,24,31,7
632,23,35,9
633,36,26,8
634,24,28,7
635,30,26,7
636,27,22,10
637,19,27,2
638,26,27,3
639,26,35,6
640,30,28,8
641,27,28,4
642,36,27,10
643,22,23,4
644,20,25,6
645,25,25,8
646,31,21,6
647,21,30,3
648,26,35,6
649,16,29,5
650,21,36,7
651,18,17,3
652,30,25,5
653,17,27,5
654,24,31,5
655,28,35,9
656,28,24,10
657,18,30,5
658,20,22,2
659,23,26,5
660,27,29,6
661,25,23,7
662,29,28,8
663,29,25,4
664,25,32,9
665,25,27,5
666,27,30,6
667,21,30,5
668,30,29,8
669,30,30,11
670,19,28,5
671,22,18,4
672,26,25,7
673,26,32,10
674,19,28,6
675,29,27,9
676,23,30,7
677,22,20,6
678,30,33,5
679,24,30,3
680,22,26,7
681,24,42,13
682,23,28,4
683,26,32,6
684,31,28,7
685,30,32,7
686,18,21,5
687,31,36,7
688,24,22,3
689,19,31,6
690,25,25,8
691,28,25,7
692,27,19,4
693,31,28,6
694,19,31,4
695,20,34,8
696,33,29,7
697,28,31,13
698,23,27,9
699,17,23,5
700,27,23,6
701,25,33,3
702,34,30,7
703,20,25,7
704,26,33,7
705,24,27,8
706,34,31,13
707,22,33,9
708,29,28,8
709,23,29,5
710,26,32,8
711,23,22,6
712,27,25,6
713,20,21,3
714,29,27,9
715,28,32,8
716,24,29,10
717,27,22,6
718,23,23,7
719,17,20,5
720,24,17,4
721,23,33,7
722,22,35,7
723,21,21,6
724,22,22,3
725,20,34,5
726,16,33,9
727,29,33,10
728,22,19,4
729,27,25,5
730,23,22,3
731,33,36,10
732,27,29,7
733,24,33,7
734,25,29,5
735,21,30,3
736,17,31,7
737,29,19,6
738,30,26,6
739,20,35,7
740,29,16,2
741,29,26,4
742,25,27,5
743,26,19,3
744,24,30,8
745,29,30,10
746,22,25,1
747,23,34,6
748,24,35,9
749,17,30,6
750,31,24,4
751,25,33,8
752,25,26,8
753,25,18,5
754,25,22,1
755,24,29,5
756,26,34,8
757,21,23,3
758,29,28,7
759,19,26,5
760,26,21,6
761,21,25,5
762,27,28,11
763,24,26,7
764,16,29,3
765,23,35,6
766,21,23,6
767,23,31,7
768,18,27,3
769,20,28,5
770,22,25,6
771,36,30,8
772,19,28,6
773,29,30,9
774,31,22,7
775,19,29,4
776,26,23,1
777,24,25,4
778,24,29,9
779,29,28,8
780,30,28,7
781,14,24,3
782,19,23,0
783,30,22,6
784,28,31,10
785,21,22,5
786,21,30,3
787,25,33,8
788,20,20,3
789,29,25,9
790,23,28,8
791,23,28,5
792,28,24,7
793,26,32,7
794,26,23,5
795,29,27,10
796,23,23,2
797,24,34,5
798,30,38,10
799,38,23,9
800,30,16,4
801,25,29,10
802,26,27,6
803,27,19,4
804,31,22,5
805,29,31,8
806,18,24,3
807,25,28,10
808,28,23,7
809,27,31,10
810,23,19,3
811,28,21,8
812,28,29,7
813,31,30,12
814,23,25,4
815,26,20,5
816,25,26,8
817,33,28,10
818,29,24,7
819,19,25,4
820,28,38,6
821,20,24,3
822,22,24,4
823,21,32,4
824,27,24,7
825,33,35,7
826,18,27,4
827,23,32,8
828,28,30,10
829,34,33,9
830,33,38,14
831,27,26,5
832,30,29,5
833,29,39,7
834,26,32,5
835,29,32,8
836,22,29,9
837,27,29,7
838,21,22,3
839,27,33,11
840,26,25,4
841,16,35,7
842,20,31,8
843,26,24,7
844,20,36,5
845,30,29,12
846,29,28,7
847,29,39,9
848,25,25,10
849,35,32,13
850,30,28,6
851,21,20,3
852,28,28,8
853,21,27,5
854,15,30,4
855,23,27,5
856,20,27,3
857,24,26,6
858,23,26,5
859,35,23,5
860,20,21,1
861,22,25,6
862,20,25,3
863,26,30,4
864,12,27,2
865,28,36,8
866,32,38,13
867,19,32,2
868,32,36,12
869,28,25,2
870,24,33,7
871,27,25,5
872,19,26,8
873,23,32,4
874,20,28,7
875,25,30,10
876,27,32,4
877,24,25,5
878,22,27,6
879,23,31,4
880,29,39,9
881,28,26,7
882,27,26,3
883,23,30,6
884,24,32,6
885,18,17,2
886,24,29,6
887,28,26,5
888,25,26,3
889,22,31,4
890,26,19,3
891,21,26,5
892,20,25,3
893,15,29,5
894,25,26,7
895,21,24,7
896,23,30,7
897,18,23,3
898,23,22,6
899,23,29,8
900,23,32,4
901,22,28,4
902,28,27,6
903,28,31,7
904,27,26,8
905,27,24,8
906,18,32,6
907,24,25,3
908,25,30,7
909,24,25,3
910,19,28,2
911,24,24,8
912,22,17,2
913,23,26,5
914,22,24,4
915,22,29,3
916,35,22,11
917,26,28,10
918,25,22,3
919,25,29,7
920,19,24,2
921,28,32,8
922,27,32,9
923,26,26,8
924,27,32,8
925,23,29,8
926,27,24,9
927,21,22,4
928,30,16,7
929,20,24,6
930,27,34,5
931,30,26,7
932,30,29,8
933,24,27,7
934,23,21,2
935,25,23,6
936,24,19,3
937,18,33,6
938,22,35,5
939,25,32,5
940,26,25,7
941,21,28,6
942,27,27,8
943,33,24,8
944,21,31,8
945,28,28,7
946,22,26,6
947,18,29,4
948,26,34,6
949,21,32,9
950,23,33,8
951,27,31,6
952,30,26,6
953,23,24,8
954,28,30,11
955,29,23,4
956,29,29,6
957,24,26,4
958,24,24,10
959,29,27,4
960,30,28,4
961,24,25,3
962,24,26,7
963,26,25,8
964,22,31,5
965,20,31,6
966,27,27,7
967,23,26,6
968,23,29,5
969,31,26,7
970,27,24,5
971,15,25,2
972,16,30,4
973,23,27,4
974,25,30,8
975,27,23,7
976,19,28,6
977,26,31,5
978,22,37,9
979,24,21,4
980,31,19,5
981,24,28,5
982,23,29,10
983,22,22,3
984,29,41,13
985,23,22,6
986,31,42,13
987,22,21,3
988,19,18,1
989,26,34,4
990,26,34,6
991,28,29,7
992,23,32,6
993,25,22,8
994,18,34,5
995,16,26,5
996,20,33,8
997,24,29,6
998,30,25,10
999,28,31,7
1000,25,21,2
1001,27,30,7
1002,18,33,6
1003,20,18,4
1004,27,24,8
1005,29,34,12
1006,17,30,5
1007,21,22,5
1008,15,26,2
1009,20,21,6
1010,19,23,4
1011,28,31,9
1012,30,32,7
1013,25,25,7
1014,27,25,6
1015,23,35,6
1016,28,26,4
1017,24,32,6
1018,23,29,8
1019,24,25,6
1020,23,26,6
1021,25,19,4
1022,21,24,4
1023,25,33,9
1024,23,25,9
1025,25,23,5
1026,28,31,11
1027,31,25,6
1028,23,32,5
1029,37,29,11
1030,29,23,9
1031,18,25,2
1032,27,22,4
1033,25,31,8
1034,18,29,3
1035,29,41,12
1036,20,27,6
1037,32,34,8
1038,24,32,5
1039,23,28,7
1040,27,23,5
1041,25,25,7
1042,31,34,7
1043,24,24,3
1044,25,32,6
1045,16,28,4
1046,18,26,8
1047,31,31,9
1048,23,14,5
1049,29,20,4
1050,36,25,6
1051,32,33,13
1052,25,29,7
1053,17,29,2
1054,30,28,8
1055,17,29,6
1056,21,27,4
1057,28,32,8
1058,29,19,6
1059,22,22,3
1060,29,28,8
1061,26,20,5
1062,24,30,10
1063,24,34,13
1064,23,27,5
1065,25,38,9
1066,26,22,7
1067,23,35,8
1068,27,27,7
1069,27,25,6
1070,33,22,7
1071,23,31,8
1072,22,27,3
1073,29,34,11
1074,25,30,5
1075,25,32,7
1076,27,27,9
1077,27,27,8
1078,24,23,5
1079,21,26,7
1080,25,34,5
1081,28,37,7
1082,24,25,7
1083,16,35,6
1084,23,25,6
1085,25,30,5
1086,23,24,6
1087,23,28,6
1088,31,24,6
1089,22,32,5
1090,19,24,1
1091,19,29,4
1092,30,32,9
1093,26,26,4
1094,24,29,6
1095,27,24,3
1096,23,24,7
1097,26,22,8
1098,25,28,8
1099,20,34,7
1100,25,24,0
1101,30,23,6
1102,27,32,7
1103,26,31,6
1104,26,29,6
1105,20,31,4
1106,26,25,4
1107,27,28,5
1108,22,21,5
1109,21,26,6
1110,26,36,6
1111,23,25,5
1112,17,27,6
1113,24,23,3
1114,23,35,10
1115,32,36,6
1116,24,26,5
1117,33,36,11
1118,22,29,8
1119,27,25,5
1120,23,36,8
1121,27,31,4
1122,15,30,4
1123,27,24,5
1124,25,30,4
1125,23,30,9
1126,35,25,7
1127,25,23,5
1128,20,24,6
1129,28,34,7
1130,23,26,3
1131,26,29,12
1132,20,33,5
1133,18,28,6
1134,30,24,7
1135,27,24,7
1136,21,26,5
1137,27,23,9
1138,22,38,9
1139,15,33,5
1140,19,30,2
1141,26,27,10
1142,26,28,7
1143,19,30,5
1144,24,29,4
1145,21,21,3
1146,27,32,6
1147,30,32,8
1148,29,24,5
1149,25,28,4
1150,27,22,6
1151,29,30,4
1152,23,24,6
1153,27,28,8
1154,28,25,8
1155,21,25,3
1156,28,29,11
1157,25,29,6
1158,19,27,6
1159,15,19,3
1160,18,31,5
1161,26,33,10
1162,21,28,6
1163,22,30,4
1164,17,28,6
1165,29,35,9
1166,18,27,1
1167,20,22,5
1168,23,21,3
1169,27,32,7
1170,21,27,4
1171,29,27,9
1172,26,20,2
1173,22,28,5
1174,18,32,3
1175,24,32,9
1176,25,27,6
1177,18,24,5
1178,23,31,6
1179,23,24,5
1180,19,28,4
1181,27,32,5
1182,30,36,8
1183,22,25,6
1184,27,33,10
1185,33,26,5
1186,26,29,5
1187,22,19,6
1188,21,26,4
1189,24,30,7
1190,21,22,5
1191,28,25,4
1192,27,25,3
1193,28,22,4
1194,22,39,8
1195,25,32,10
1196,18,27,6
1197,24,25,5
1198,26,24,2
1199,28,29,3
1200,21,38,9
1201,18,27,2
1202,18,25,5
1203,22,21,4
1204,25,26,7
1205,30,27,7
1206,25,15,3
1207,28,27,5
1208,27,27,9
1209,27,31,9
1210,22,21,4
1211,29,28,7
1212,23,27,5
1213,27,29,5
1214,17,32,3
1215,30,30,9
1216,22,21,4
1217,30,27,10
1218,27,35,7
1219,24,28,6
1220,29,27,2
1221,27,26,11
1222,20,22,3
1223,24,24,5
1224,18,26,3
1225,21,24,3
1226,28,26,4
1227,32,35,10
1228,24,22,6
1229,25,30,7
1230,25,35,7
1231,27,21,3
1232,32,30,6
1233,22,22,5
1234,25,27,7
1235,27,28,8
1236,24,24,6
1237,24,18,5
1238,20,33,8
1239,32,22,5
1240,31,24,6
1241,24,23,3
1242,19,32,5
1243,33,28,7
1244,23,19,5
1245,28,29,7
1246,25,21,7
1247,27,27,9
1248,18,26,3
1249,34,30,11
1250,27,32,10
1251,22,30,7
1252,27,26,3
1253,29,35,10
1254,19,25,2
1255,22,29,6
1256,22,28,5
1257,21,28,5
1258,21,20,1
1259,28,38,8
1260,28,26,5
1261,30,31,9
1262,31,22,4
1263,23,31,4
1264,29,24,7
1265,26,13,6
1266,14,24,3
1267,24,27,6
1268,20,21,1
1269,22,32,8
1270,23,35,5
1271,34,35,14
1272,30,32,8
1273,31,25,10
1274,26,26,7
1275,25,30,5
1276,18,30,3
1277,29,28,7
1278,26,31,8
1279,22,30,4
1280,25,21,3
1281,23,24,7
1282,26,31,8
1283,29,27,8
1284,28,23,1
1285,29,23,9
1286,27,21,6
1287,16,26,4
1288,33,21,4
1289,26,23,2
1290,20,31,6
1291,24,28,7
1292,27,25,5
1293,33,23,6
1294,28,31,11
1295,32,29,7
1296,20,36,4
1297,24,30,6
1298,28,35,9
1299,23,31,5
1300,22,25,3
1301,17,34,7
1302,20,29,6
1303,26,32,10
1304,27,27,7
1305,23,30,4
1306,25,26,2
1307,23,30,7
1308,17,29,5
1309,27,34,10
1310,25,33,6
1311,25,33,7
1312,23,32,7
1313,26,36,9
1314,20,23,5
1315,24,23,3
1316,16,25,2
1317,22,23,3
1318,29,25,7
1319,24,22,4
1320,20,27,7
1321,18,19,1
1322,21,28,7
1323,28,29,7
1324,23,40,10
1325,24,26,3
1326,37,21,7
1327,23,30,6
1328,31,30,5
1329,24,11,6
1330,28,26,7
1331,20,18,4
1332,17,23,5
1333,20,27,6
1334,27,23,8
1335,23,19,6
1336,22,23,3
1337,19,24,5
1338,27,28,6
1339,27,24,4
1340,25,19,5
1341,24,26,3
1342,26,25,8
1343,29,28,9
1344,19,25,4
1345,24,29,8
1346,23,24,4
1347,29,30,7
1348,20,24,6
1349,27,24,4
1350,30,24,5
1351,29,29,8
1352,21,25,5
1353,14,21,2
1354,25,21,7
1355,24,25,7
1356,26,19,3
1357,17,24,4
1358,28,26,9
1359,27,32,6
1360,38,43,15
1361,18,22,3
1362,24,29,9
1363,28,27,6
1364,20,22,4
1365,25,19,1
1366,27,36,11
1367,23,30,10
1368,26,35,6
1369,30,26,5
1370,28,19,7
1371,20,25,3
1372,23,30,5
1373,17,25,4
1374,26,28,10
1375,27,32,6
1376,15,29,2
1377,21,21,3
1378,23,40,11
1379,25,28,8
1380,30,28,5
1381,23,26,3
1382,33,30,7
1383,18,26,1
1384,31,32,13
1385,30,23,9
1386,20,28,6
1387,23,36,5
1388,28,27,9
1389,25,28,5
1390,19,20,5
1391,26,27,7
1392,24,31,5
1393,22,24,4
1394,18,27,6
1395,25,26,6
1396,19,24,8
1397,20,24,6
1398,25,27,4
1399,23,20,6
1400,25,22,4
1401,26,26,7
1402,24,25,5
1403,28,29,11
1404,35,19,5
1405,21,29,7
1406,29,23,3
1407,22,29,6
1408,29,32,6
1409,25,24,6
1410,27,20,5
1411,20,31,6
1412,25,25,4
1413,21,25,4
1414,26,27,6
1415,23,25,8
1416,21,23,2
1417,32,31,8
1418,22,22,4
1419,26,30,4
1420,22,24,4
1421,29,28,3
1422,25,31,5
1423,20,24,3
1424,30,32,10
1425,20,25,5
1426,22,20,3
1427,26,20,3
1428,17,21,3
1429,29,32,7
1430,33,24,6
1431,20,36,6
1432,31,25,4
1433,26,27,5
1434,25,23,3
1435,21,24,9
1436,28,23,7
1437,22,34,8
1438,23,24,6
1439,20,24,2
1440,24,32,8
1441,28,28,10
1442,14,29,4
1443,22,26,6
1444,27,27,3
1445,24,34,7
1446,32,28,8
1447,21,22,5
1448,21,26,2
1449,26,29,3
1450,35,24,8
1451,28,26,9
1452,24,31,11
1453,15,25,3
1454,20,29,1
1455,30,25,9
1456,22,31,6
1457,28,29,6
1458,33,33,13
1459,23,24,5
1460,26,19,3
1461,29,30,5
1462,23,28,5
1463,25,33,7
1464,30,25,9
1465,25,28,5
1466,21,30,8
1467,22,27,8
1468,26,27,7
1469,21,28,4
1470,23,22,3
1471,26,25,8
1472,23,30,8
1473,30,43,8
1474,24,32,6
1475,25,15,1
1476,26,27,7
1477,30,22,2
1478,19,26,4
1479,27,29,6
1480,23,25,7
1481,25,29,7
1482,22,29,4
1483,20,32,3
1484,22,30,3
1485,23,27,7
1486,25,26,7
1487,23,31,6
1488,19,37,8
1489,29,31,4
1490,31,33,8
1491,21,30,5
1492,19,28,6
1493,23,25,3
1494,18,24,4
1495,23,18,3
1496,19,21,2
1497,29,26,7
1498,29,21,7
1499,27,23,5
1500,22,27,6
1501,30,21,9
1502,22,27,4
1503,16,28,5
1504,17,31,6
1505,25,18,5
1506,21,23,4
1507,26,27,6
1508,30,23,5
1509,23,28,7
1510,24,17,4
1511,25,26,6
1512,25,28,6
1513,25,26,6
1514,31,31,7
1515,23,28,3
1516,25,29,8
1517,26,28,6
1518,29,21,8
1519,23,30,8
1520,23,25,3
1521,24,27,6
1522,26,25,4
1523,16,24,0
1524,21,31,5
1525,28,27,6
1526,28,26,7
1527,31,32,9
1528,19,24,4
1529,22,27,4
1530,17,27,3
1531,20,25,4
1532,23,16,4
1533,38,32,10
1534,20,23,2
1535,26,20,6
1536,16,29,8
1537,20,24,4
1538,26,16,3
1539,21,23,2
1540,22,25,3
1541,29,28,9
1542,31,22,3
1543,25,24,5
1544,21,18,1
1545,27,25,8
1546,18,24,3
1547,22,24,5
1548,22,21,5
1549,21,25,7
1550,32,30,9
1551,22,32,4
1552,21,30,5
1553,27,33,7
1554,18,17,2
1555,23,27,8
1556,26,19,7
1557,24,22,3
1558,29,24,4
1559,38,27,7
1560,31,33,5
1561,29,25,5
1562,21,34,7
1563,26,32,9
1564,22,22,6
1565,31,34,6
1566,30,23,10
1567,22,21,5
1568,29,25,2
1569,25,28,3
1570,24,34,12
1571,29,22,8
1572,24,30,7
1573,39,33,10
1574,22,26,6
1575,26,26,10
1576,26,33,11
1577,24,22,5
1578,21,26,3
1579,31,27,8
1580,28,29,7
1581,26,19,4
1582,22,25,6
1583,26,33,6
1584,23,26,5
1585,33,22,9
1586,28,31,9
1587,30,26,6
1588,30,35,8
1589,27,27,8
1590,22,26,6
1591,28,30,9
1592,20,27,7
1593,28,29,7
1594,22,36,9
1595,20,27,9
1596,24,20,7
1597,30,33,10
1598,22,24,5
1599,22,26,7
1600,24,27,7
1601,28,32,7
1602,28,33,9
1603,29,24,7
1604,25,31,7
1605,25,20,3
1606,29,26,7
1607,25,26,7
1608,26,38,11
1609,24,23,5
1610,30,32,6
1611,21,25,2
1612,18,26,5
1613,18,34,5
1614,16,27,4
1615,33,27,5
1616,24,34,10
1617,30,32,5
1618,16,34,2
1619,31,24,6
1620,26,35,5
1621,22,31,5
1622,25,33,6
1623,18,23,4
1624,24,33,10
1625,32,21,3
1626,26,32,6
1627,27,30,6
1628,25,24,4
1629,27,18,4
1630,30,31,8
1631,29,24,5
1632,32,34,12
1633,26,28,6
1634,34,23,9
1635,24,28,3
1636,31,33,8
1637,29,25,6
1638,24,29,6
1639,28,25,7
1640,20,32,4
1641,24,26,3
1642,27,31,6
1643,23,22,7
1644,24,26,5
1645,32,24,8
1646,27,25,5
1647,27,23,9
1648,27,27,7
1649,26,34,10
1650,17,17,1
1651,23,30,6
1652,26,27,4
1653,18,27,2
1654,26,29,7
1655,19,22,7
1656,28,20,4
1657,23,27,4
1658,19,26,5
1659,29,30,7
1660,30,25,6
