SNP	chromosome	pos	left_pos	right_pos
185	2	8250	8250	26815
186	2	8253	8250	26815
187	2	8285	8250	26815
188	2	8302	8250	28209
189	2	8306	8250	28209
190	2	8314	8250	26815
191	2	8317	8250	28209
192	2	8328	8250	28209
193	2	8331	8250	28209
194	2	8498	8250	28209
195	2	8651	8250	28209
196	2	9418	9418	9418
197	2	9812	8250	28209
198	2	9932	8250	28209
199	2	10135	8250	28209
200	2	11616	8250	28209
201	2	12133	8250	28209
202	2	12194	8250	28209
203	2	12359	8250	28209
204	2	13061	8250	28209
205	2	14298	8250	28209
206	2	15222	8250	28209
207	2	17986	8250	28209
208	2	19770	8250	28209
209	2	19836	8250	28209
210	2	19851	8250	28209
211	2	21595	8250	28695
212	2	22385	8250	28695
213	2	23441	8250	28695
214	2	24209	8250	28695
215	2	24341	8250	28695
216	2	26815	8250	28695
217	2	28209	8302	28695
218	2	28695	21595	28695
219	2	35849	35849	35849
220	2	35850	35850	35850
221	2	41245	41245	47104
222	2	43214	41245	47104
223	2	47104	41245	60478
224	2	50915	47104	67976
225	2	55834	47104	67976
226	2	56422	47104	67976
227	2	57715	47104	67976
228	2	59046	47104	67976
229	2	59191	47104	67976
230	2	59383	47104	67976
231	2	59477	47104	65527
232	2	59755	59755	59755
233	2	60471	47104	67976
234	2	60478	47104	67976
235	2	60786	50915	67976
236	2	61035	50915	67976
237	2	61071	50915	67976
238	2	61675	50915	67976
239	2	62776	50915	67976
240	2	62939	50915	67976
241	2	63527	50915	67976
242	2	63857	50915	69628
243	2	65527	50915	69628
244	2	67007	60786	69628
245	2	67023	67023	67024
246	2	67024	67023	67024
247	2	67976	50915	69628
248	2	69628	63857	69628
249	2	71825	71825	71825
250	2	72389	72389	73646
251	2	72392	72392	72392
252	2	73646	72389	83526
253	2	74564	73646	83845
254	2	74739	73646	83845
255	2	79931	79931	87849
256	2	80748	74564	89785
257	2	80873	73646	93952
258	2	81501	73646	93952
259	2	83526	73646	95085
260	2	83845	74564	95085
261	2	84412	84412	84412
262	2	84412	80873	84447
263	2	84447	79931	95085
264	2	87391	80748	95085
265	2	87562	80748	95085
266	2	87849	79931	95085
267	2	87878	80748	95085
268	2	88125	87391	88125
269	2	89785	80748	95085
270	2	93441	83526	95085
271	2	93588	87391	95085
272	2	93721	81501	103188
273	2	93952	80873	103188
274	2	95085	83526	103188
275	2	103188	93721	116024
276	2	107124	103188	116024
277	2	111645	103188	116024
278	2	111916	103188	116024
279	2	111931	103188	116024
280	2	111999	103188	116024
281	2	114528	103188	120090
282	2	116024	103188	120090
283	2	119244	119244	123100
284	2	119246	119244	123100
285	2	119247	119244	123100
286	2	120090	114528	124677
287	2	120291	119244	124677
288	2	120726	119244	124677
289	2	121716	119244	124677
290	2	123100	119244	128935
291	2	124677	120090	129053
292	2	127636	127636	127636
293	2	127887	124677	136173
294	2	128935	123100	136173
295	2	129053	124677	136173
296	2	130040	127887	138318
297	2	130976	127887	138318
298	2	132199	127887	139728
299	2	133355	127887	141545
300	2	133435	127887	141545
301	2	133943	133355	136173
302	2	135183	127887	141545
303	2	135402	127887	141545
304	2	135898	127887	141545
305	2	135912	127887	141545
306	2	135925	127887	141545
307	2	136002	127887	141545
308	2	136173	127887	141545
309	2	138209	132199	145823
310	2	138318	130040	146723
311	2	138695	132199	146723
312	2	138818	132199	146723
313	2	139728	132199	146723
314	2	140174	133355	147946
315	2	140863	133355	147946
316	2	141152	133355	147946
317	2	141292	133355	147946
318	2	141545	133355	146723
319	2	145823	138209	147946
320	2	145934	145823	145980
321	2	145980	138318	150394
322	2	146723	138318	151397
323	2	147946	140174	154235
324	2	150394	145980	154235
325	2	151274	151274	151274
326	2	151397	146723	155527
327	2	153035	147946	159870
328	2	153228	147946	159870
329	2	153455	147946	159870
330	2	153732	150394	155527
331	2	153815	147946	159870
332	2	154160	147946	159870
333	2	154235	147946	159870
334	2	155527	151397	159870
335	2	159870	153035	163284
336	2	161229	159870	165675
337	2	161451	161451	161451
338	2	161451	161451	161451
339	2	162696	159870	168980
340	2	163284	159870	169651
341	2	164166	161229	169651
342	2	165270	161229	171254
343	2	165675	161229	171254
344	2	166404	166404	166404
345	2	168012	164166	171254
346	2	168062	162696	173385
347	2	168518	162696	173340
348	2	168980	162696	173973
349	2	169651	163284	173973
350	2	169902	169902	169902
351	2	169960	169960	169960
352	2	170725	165270	173973
353	2	171254	165270	180339
354	2	172242	168062	180339
355	2	173254	168062	180339
356	2	173340	168062	180339
357	2	173385	168062	180339
358	2	173973	168980	180339
359	2	174714	174714	174714
360	2	177341	171254	180339
361	2	180314	172242	182758
362	2	180339	171254	182758
363	2	182758	180314	192390
364	2	183619	182758	192390
365	2	183913	182758	192390
366	2	184146	182758	192390
367	2	187176	182758	192390
368	2	191066	182758	192390
369	2	191124	191124	191124
370	2	191128	191128	191128
371	2	191599	182758	192390
372	2	191762	182758	192390
373	2	191763	182758	192390
374	2	191959	182758	192390
375	2	192390	182758	192390
376	2	195759	195759	204179
377	2	196912	195759	208682
378	2	197598	197598	197598
379	2	198110	195759	210102
380	2	198283	195759	208682
381	2	198805	195759	210102
382	2	198891	195759	210102
383	2	199248	195759	210102
384	2	201782	195759	215016
385	2	203285	195759	215016
386	2	203783	195759	215016
387	2	204179	195759	215016
388	2	205406	196912	215016
389	2	205834	196912	215016
390	2	205965	196912	215016
391	2	207192	196912	215016
392	2	207561	196912	215016
393	2	208682	196912	215016
394	2	210102	198110	215016
395	2	212519	212519	212519
396	2	214801	201782	215016
397	2	215016	201782	218876
398	2	218876	215016	252305
399	2	227511	218876	252305
400	2	230378	218876	254571
401	2	231943	218876	254571
402	2	232156	218876	254571
403	2	232789	218876	254742
404	2	238524	218876	254908
405	2	241518	218876	254908
406	2	250396	218876	255975
407	2	250466	218876	255975
408	2	252305	218876	267100
409	2	254571	230378	268086
410	2	254742	232789	268086
411	2	254908	238524	268086
412	2	255033	252305	255975
413	2	255862	250396	267100
414	2	255975	250396	267100
415	2	258311	252305	268086
416	2	259284	252305	268086
417	2	266330	252305	268086
418	2	267100	252305	277029
419	2	268086	254571	278218
420	2	274614	267100	287187
421	2	274729	267100	287187
422	2	275746	268086	287187
423	2	277029	267100	287187
424	2	277741	268086	287187
425	2	278218	268086	287187
426	2	278379	274614	287187
427	2	279910	274614	287187
428	2	280616	274614	287187
429	2	283431	274614	287187
430	2	283573	274614	288379
431	2	286762	274614	288379
432	2	287187	274614	288379
433	2	288379	283573	288379
434	2	294941	294941	301710
435	2	296073	294941	301710
436	2	296082	294941	301710
437	2	296198	296198	296198
438	2	296313	294941	296313
439	2	297610	294941	304691
440	2	299553	299553	299553
441	2	299680	294941	304691
442	2	299708	294941	304691
443	2	299759	294941	304691
444	2	300111	294941	304691
445	2	300931	300931	300931
446	2	301710	294941	304691
447	2	303446	297610	304691
448	2	303854	297610	304691
449	2	304472	297610	308097
450	2	304691	297610	308097
451	2	308097	304472	312659
452	2	308989	308097	312659
453	2	309402	308097	312659
454	2	310030	308097	312659
455	2	310113	308097	312659
456	2	310972	308097	312659
457	2	312659	308097	318379
458	2	316657	312659	318379
459	2	316693	316657	316693
460	2	318265	312659	322957
461	2	318379	312659	322957
462	2	321266	318265	325221
463	2	322957	318265	325221
464	2	325221	321266	325221
465	2	332691	332691	336060
466	2	333006	332691	340466
467	2	333887	332691	340466
468	2	335046	332691	340466
469	2	335049	332691	340466
470	2	335995	332691	340466
471	2	336060	332691	340466
472	2	338292	333006	340466
473	2	339568	333006	340466
474	2	340466	333006	340466
475	2	342440	342440	342440
476	2	342440	342440	342440
477	2	344347	344347	350086
478	2	348480	344347	359515
479	2	350086	344347	359515
480	2	351083	348480	359515
481	2	351335	348480	359515
482	2	351417	348480	359515
483	2	351450	348480	359515
484	2	352302	348480	359515
485	2	352469	348480	359515
486	2	352562	348480	359515
487	2	352944	348480	359515
488	2	353536	348480	359515
489	2	353595	353595	353595
490	2	355266	348480	359515
491	2	358277	348480	369931
492	2	358926	348480	369931
493	2	358948	348480	369931
494	2	359515	348480	369931
495	2	363190	358277	376172
496	2	363588	358277	376172
497	2	363888	358277	376172
498	2	363954	358277	376172
499	2	364199	358277	376172
500	2	365863	358277	376172
501	2	365981	358277	376172
502	2	366047	358277	376172
503	2	366936	358277	376172
504	2	369530	358277	376172
505	2	369788	369788	369788
506	2	369931	358277	376172
507	2	371033	363190	376172
508	2	372919	363190	384955
509	2	373518	363190	387301
510	2	376157	363190	390138
511	2	376172	363190	390138
512	2	381364	372919	391319
513	2	381368	372919	391319
514	2	381433	372919	391319
515	2	381922	372919	391319
516	2	382146	372919	391319
517	2	384206	376157	391319
518	2	384955	372919	391319
519	2	386207	386207	386207
520	2	387301	373518	391319
521	2	388313	376157	391319
522	2	389425	389425	389428
523	2	389428	389425	389428
524	2	390138	376157	391319
525	2	391233	381364	391319
526	2	391319	381364	391319
527	2	393340	393340	393340
528	2	395042	395042	395042
529	2	395228	395228	409016
530	2	395606	395228	410647
531	2	395726	395228	410647
532	2	395853	395228	410647
533	2	396484	395228	410647
534	2	396705	395228	410647
535	2	398759	395228	410647
536	2	400386	395228	410647
537	2	400847	395228	410647
538	2	401130	395228	410647
539	2	401143	395228	410647
540	2	401979	395228	410647
541	2	403598	395228	410647
542	2	404844	395228	410647
543	2	405100	395228	410647
544	2	405576	405576	405579
545	2	405578	395606	409016
546	2	405579	405576	405579
547	2	405730	395228	410647
548	2	406181	395228	410647
549	2	406688	395228	419943
550	2	407621	395228	422349
551	2	409016	395228	422349
552	2	410647	395606	422349
553	2	418057	406688	422349
554	2	419803	406688	429095
555	2	419943	406688	429095
556	2	422349	407621	431446
557	2	425467	419803	434090
558	2	427842	419943	434090
559	2	427869	422349	434090
560	2	429095	419803	441927
561	2	431266	422349	441927
562	2	431446	422349	441927
563	2	432524	425467	441927
564	2	434090	425467	446471
565	2	441927	429095	446471
566	2	446471	434090	450017
567	2	449325	446471	451784
568	2	449537	446471	451784
569	2	450017	446471	451784
570	2	451779	449325	457298
571	2	451784	449325	457298
572	2	453525	451779	464424
573	2	453768	451779	464424
574	2	454027	451779	464424
575	2	455029	451779	465824
576	2	455247	451779	464424
577	2	455272	453525	457298
578	2	455272	455272	455272
579	2	455756	453525	457298
580	2	457024	451779	465824
581	2	457298	451779	465824
582	2	460202	453525	473888
583	2	460262	460262	460262
584	2	460263	460263	460263
585	2	464079	464079	464079
586	2	464424	453525	475703
587	2	465824	455029	474141
588	2	470145	460202	481312
589	2	470686	460202	481312
590	2	471144	460202	481312
591	2	471830	460202	481312
592	2	472403	460202	484021
593	2	473668	460202	483628
594	2	473888	460202	484021
595	2	474138	464424	484021
596	2	474141	464424	484021
597	2	475703	464424	486033
598	2	476732	470145	486033
599	2	477089	473668	481312
600	2	477272	470145	486033
601	2	477273	470145	486033
602	2	477508	476732	477508
603	2	479414	470145	488757
604	2	480275	470145	488757
605	2	480340	470145	488757
606	2	481293	475703	488757
607	2	481312	470145	488757
608	2	483628	472403	488757
609	2	484021	472403	488757
610	2	484651	475703	490612
611	2	485249	475703	490612
612	2	485603	475703	490612
613	2	486033	475703	490612
614	2	486970	486970	486970
615	2	488757	479414	491316
616	2	490612	484651	491316
617	2	491316	488757	495559
618	2	495558	491316	501746
619	2	495559	491316	501746
620	2	498324	495558	510140
621	2	498889	495558	510140
622	2	499266	495558	510140
623	2	499294	495558	501746
624	2	499384	495558	501746
625	2	500276	495558	510140
626	2	500320	495558	510140
627	2	500677	495558	510140
628	2	501170	495558	510140
629	2	501746	495558	510140
630	2	505207	499266	523217
631	2	505430	505430	507491
632	2	507274	498324	524731
633	2	507491	498324	524731
634	2	510017	498324	524731
635	2	510140	498324	524731
636	2	517548	505207	530047
637	2	517869	505207	530047
638	2	518106	505207	530047
639	2	518133	505207	530047
640	2	518385	505207	530047
641	2	518844	505207	530047
642	2	523217	505207	530047
643	2	524731	507274	530047
644	2	528468	517548	538868
645	2	528729	528729	528729
646	2	530047	517548	538990
647	2	533672	528468	538990
648	2	538868	528468	544518
649	2	538990	530047	542505
650	2	541028	541028	541028
651	2	541047	541047	541047
652	2	541054	541054	541054
653	2	542505	538868	544962
654	2	544518	538868	544962
655	2	544904	542505	544962
656	2	544912	542505	544962
657	2	544962	542505	544962
658	2	552681	552681	558703
659	2	553512	553512	553512
660	2	553949	552681	558703
661	2	555320	552681	558703
662	2	555633	552681	558703
663	2	556553	552681	567339
664	2	557658	552681	567339
665	2	558703	552681	567339
666	2	559798	559798	559798
667	2	562919	562919	562919
668	2	564751	564751	564751
669	2	567265	556553	579042
670	2	567339	556553	579042
671	2	571328	571328	571328
672	2	571362	567265	579042
673	2	572291	567265	582226
674	2	572565	567265	582226
675	2	573554	567265	594044
676	2	573624	567265	594044
677	2	573743	572291	579042
678	2	573868	567265	594044
679	2	573983	567265	594044
680	2	574281	567265	594044
681	2	574592	567265	594044
682	2	574678	567265	594044
683	2	576030	576030	576030
684	2	577915	567265	594044
685	2	579042	567265	594044
686	2	581558	572291	582226
687	2	582226	572291	598249
688	2	583485	583485	583485
689	2	591478	591478	591478
690	2	591631	591631	610624
691	2	592643	582226	620149
692	2	592973	573554	620925
693	2	592989	573554	620925
694	2	593029	573868	620925
695	2	593045	582226	620925
696	2	593459	573554	620925
697	2	594044	573554	620925
698	2	595492	582226	620925
699	2	598249	582226	622622
700	2	599004	591631	619593
701	2	602542	591631	626092
702	2	604023	591631	626092
703	2	609784	591631	626092
704	2	610624	591631	626092
705	2	612133	612133	612133
706	2	616723	592643	628692
707	2	618646	592643	628692
708	2	618987	592643	630554
709	2	619593	592973	630554
710	2	620149	592643	630554
711	2	620925	592973	630554
712	2	622622	598249	630554
713	2	622847	609784	626092
714	2	622849	609784	626092
715	2	625090	602542	633859
716	2	625278	602542	633859
717	2	626092	602542	633859
718	2	628663	616723	633859
719	2	628692	616723	633859
720	2	630554	618987	633859
721	2	633052	625090	638637
722	2	633130	625090	638637
723	2	633281	628663	633859
724	2	633308	625090	638637
725	2	633859	625090	638637
726	2	635476	633052	638637
727	2	635959	633052	638637
728	2	636093	633052	638637
729	2	637041	633052	638637
730	2	637229	633052	638637
731	2	638637	633052	638637
732	2	643488	643488	643488
733	2	644849	644849	644849
734	2	645476	645476	650924
735	2	646360	645476	650924
736	2	647193	645476	650924
737	2	647884	645476	650924
738	2	649511	645476	650924
739	2	650247	650247	650257
740	2	650257	650247	650257
741	2	650924	645476	650924
742	2	654520	654520	660189
743	2	657722	654520	662669
744	2	660189	654520	662669
745	2	662669	657722	662669
746	2	668152	668152	678375
747	2	671051	668152	680493
748	2	671554	668152	680493
749	2	672334	668152	682239
750	2	678375	668152	682239
751	2	679565	671051	682239
752	2	680493	671051	696541
753	2	681991	681991	681991
754	2	682076	672334	699384
755	2	682239	672334	699889
756	2	684840	684840	684840
757	2	687998	680493	701195
758	2	689964	680493	701195
759	2	690583	680493	701195
760	2	694474	680493	701195
761	2	695858	682076	701195
762	2	696541	680493	701195
763	2	697507	682076	701195
764	2	698030	682076	701195
765	2	698075	698075	698075
766	2	698080	695858	698080
767	2	699381	682076	701195
768	2	699384	682076	701195
769	2	699889	682239	701195
770	2	699929	687998	701195
771	2	701195	687998	701195
772	2	703873	703873	714775
773	2	704219	703873	714775
774	2	704358	703873	707207
775	2	704438	704438	704438
776	2	705106	703873	714775
777	2	705558	703873	714775
778	2	707207	703873	719785
779	2	707848	703873	719785
780	2	712159	703873	722169
781	2	712303	703873	722169
782	2	712456	703873	722169
783	2	712761	703873	722169
784	2	712783	712783	712783
785	2	712877	703873	719785
786	2	712962	703873	722169
787	2	714609	707207	714775
788	2	714775	703873	722169
789	2	717833	707207	725577
790	2	718117	717833	719785
791	2	718552	707207	725577
792	2	718598	707207	725577
793	2	718839	707207	725577
794	2	718965	707207	725577
795	2	719785	707207	725577
796	2	720641	717833	722169
797	2	722169	712159	725577
798	2	723281	717833	734586
799	2	723663	723663	723663
800	2	725477	717833	735866
801	2	725577	717833	734586
802	2	734490	723281	735866
803	2	734586	723281	735866
804	2	735866	725477	737571
805	2	737571	735866	738941
806	2	738469	737571	738941
807	2	738941	737571	742623
808	2	741443	738941	744466
809	2	741554	738941	744466
810	2	742609	738941	747212
811	2	742620	738941	747212
812	2	742623	738941	747212
813	2	742956	741443	747212
814	2	744118	741443	750067
815	2	744147	741443	750067
816	2	744252	741443	750067
817	2	744413	741443	750067
818	2	744417	741443	751443
819	2	744466	741443	747212
820	2	746573	742609	758111
821	2	747212	742609	758111
822	2	747926	747926	747926
823	2	749760	744118	758111
824	2	750067	744118	758111
825	2	751443	744417	760471
826	2	757162	757162	757162
827	2	758111	746573	762267
828	2	760471	751443	764689
829	2	762267	758111	774837
830	2	764689	760471	774837
831	2	767731	762267	774837
832	2	769972	762267	777253
833	2	772699	762267	782605
834	2	773629	762267	784284
835	2	773703	773703	773703
836	2	774509	769972	777253
837	2	774669	774669	774669
838	2	774837	762267	784284
839	2	777253	769972	790998
840	2	778895	772699	790998
841	2	779029	772699	790998
842	2	780187	772699	791790
843	2	780404	780404	780443
844	2	780425	780425	780425
845	2	780443	777253	788140
846	2	780545	772699	791790
847	2	782605	772699	791790
848	2	784284	773629	792233
849	2	785333	777253	792233
850	2	786434	777253	792233
851	2	787182	777253	794032
852	2	787277	777253	792233
853	2	788140	777253	797599
854	2	789108	782605	792233
855	2	789465	777253	794999
856	2	789530	777253	794032
857	2	790356	777253	797599
858	2	790998	777253	797599
859	2	791790	780187	797599
860	2	792149	784284	797599
861	2	792199	784284	797599
862	2	792233	784284	797599
863	2	794032	787182	800811
864	2	794999	788140	800811
865	2	797599	788140	800811
866	2	799021	794032	800811
867	2	799317	794032	800811
868	2	799494	794032	800811
869	2	799991	794032	800811
870	2	800811	794032	801661
871	2	801661	800811	801665
872	2	801662	801661	801665
873	2	801665	801661	801665
874	2	801676	801676	801677
875	2	801677	801676	801677
876	2	801689	801689	801690
877	2	801690	801689	801690
878	2	801782	801782	801782
879	2	802096	802096	802096
880	2	802200	802200	802200
881	2	802300	802300	802300
882	2	802607	802607	802607
883	2	802702	802702	802702
884	2	803024	803024	803024
885	2	803493	803493	803493
886	2	804707	804707	804707
887	3	450	450	450
888	3	483	483	483
889	3	493	493	506
890	3	506	493	506
891	3	550	550	617
892	3	583	550	617
893	3	612	550	617
894	3	617	550	617
895	3	658	658	658
896	3	757	757	757
897	3	776	776	776
898	3	780	780	780
899	3	929	929	931
900	3	931	929	931
901	3	951	951	951
902	3	1349	1349	5784
903	3	1357	1349	5784
904	3	1886	1886	21337
905	3	1933	1886	21337
906	3	2644	1349	5784
907	3	2869	1349	16356
908	3	2926	2926	2926
909	3	3249	1349	16356
910	3	3277	1349	16356
911	3	3939	3939	21337
912	3	4582	2644	5784
913	3	4794	2644	4794
914	3	5784	1349	5784
915	3	6078	1886	21337
916	3	6190	1886	21337
917	3	7958	6078	21337
918	3	8528	8528	16356
919	3	8743	3939	21337
920	3	9047	3939	21337
921	3	11280	1886	21337
922	3	13866	1933	21337
923	3	14069	1886	21337
924	3	16356	1886	25563
925	3	21337	1886	27063
926	3	22384	22384	22384
927	3	23991	23991	23991
928	3	25563	16356	31109
929	3	27063	21337	31109
930	3	27658	27658	27658
931	3	29113	25563	31109
932	3	30748	25563	31109
933	3	31109	25563	31109
934	3	37651	37651	37651
935	3	39540	39540	39540
936	3	40865	40865	47344
937	3	41458	40865	47344
938	3	45881	40865	49785
939	3	46486	40865	49785
940	3	47344	40865	49785
941	3	48180	45881	49785
942	3	48299	45881	49785
943	3	48656	45881	49785
944	3	48764	45881	49785
945	3	49187	45881	49785
946	3	49221	45881	49785
947	3	49250	45881	49785
948	3	49783	45881	49785
949	3	49785	45881	49785
950	3	50550	50550	50550
951	3	50551	50551	50551
952	3	52350	52350	52792
953	3	52792	52350	54110
954	3	54110	52792	56979
955	3	56674	54110	59758
956	3	56833	56833	56833
957	3	56833	56833	56833
958	3	56979	54110	59518
959	3	57055	57055	57055
960	3	57071	57071	57071
961	3	59518	56674	61462
962	3	59758	56674	61544
963	3	61460	59518	63929
964	3	61462	59518	63929
965	3	61544	59758	63929
966	3	62729	61460	64656
967	3	63929	61460	67277
968	3	64656	62729	67277
969	3	67277	63929	69265
970	3	68046	67277	69265
971	3	68178	67277	69265
972	3	69265	67277	72790
973	3	72402	69265	76147
974	3	72790	69265	76147
975	3	74472	72402	76147
976	3	75264	72402	76147
977	3	75503	72402	76147
978	3	75863	72402	76147
979	3	76131	72402	76147
980	3	76147	72402	76147
981	3	78480	78480	78480
982	3	79867	79867	92716
983	3	80341	79867	92716
984	3	80444	79867	92716
985	3	82672	82672	82672
986	3	82706	82706	82706
987	3	84195	84195	92671
988	3	84421	84421	84421
989	3	84495	84195	92716
990	3	84735	84735	92716
991	3	84766	84766	84766
992	3	84780	84780	92671
993	3	84800	84800	84800
994	3	84802	84802	84803
995	3	84803	84802	84803
996	3	84937	84937	84937
997	3	90611	90611	90611
998	3	90716	90716	90716
999	3	90723	90723	90727
1000	3	90725	90723	90727
1001	3	90727	90723	90727
1002	3	92556	79867	96560
1003	3	92671	79867	96560
1004	3	92716	79867	95493
1005	3	92744	92744	92744
1006	3	95493	92556	101814
1007	3	96560	92556	101814
1008	3	98535	95493	105429
1009	3	100583	95493	105429
1010	3	101685	95493	105429
1011	3	101814	95493	105429
1012	3	105429	98535	120341
1013	3	111179	105429	131971
1014	3	114371	111179	126954
1015	3	114395	111179	120341
1016	3	114885	105429	134374
1017	3	118719	105429	135857
1018	3	119698	105429	136159
1019	3	120341	105429	134374
1020	3	122628	111179	131971
1021	3	123478	111179	135728
1022	3	125079	111179	136159
1023	3	126125	111179	136789
1024	3	126954	111179	136789
1025	3	130489	130489	130489
1026	3	131971	111179	158006
1027	3	134374	114885	158006
1028	3	135728	123478	158006
1029	3	135857	118719	158006
1030	3	136159	119698	158006
1031	3	136656	126125	158006
1032	3	136789	126125	158006
1033	3	137654	131971	158006
1034	3	139688	131971	158006
1035	3	142872	131971	158006
1036	3	143226	131971	158006
1037	3	143428	131971	158006
1038	3	143912	131971	158006
1039	3	145017	131971	158006
1040	3	145505	131971	158006
1041	3	146875	131971	158006
1042	3	147639	131971	158006
1043	3	147975	131971	158006
1044	3	147986	131971	158006
1045	3	148171	131971	158006
1046	3	148833	131971	158006
1047	3	149289	131971	158006
1048	3	150845	131971	158006
1049	3	151509	134374	158006
1050	3	151520	139688	158006
1051	3	151537	139688	156729
1052	3	151544	151520	151549
1053	3	151549	151544	151550
1054	3	151550	151549	151550
1055	3	151550	151550	151550
1056	3	152080	131971	158006
1057	3	152269	131971	158006
1058	3	153973	153973	153973
1059	3	156729	131971	163856
1060	3	158006	131971	165304
1061	3	163856	156729	177336
1062	3	165283	158006	187346
1063	3	165304	158006	187346
1064	3	166390	163856	188904
1065	3	166515	163856	187956
1066	3	168031	163856	189158
1067	3	170404	163856	189158
1068	3	177081	163856	190765
1069	3	177336	163856	190765
1070	3	178885	165283	190765
1071	3	181268	165283	190765
