SNP,SNP_marker,exact_pQTL_overlap,exact_eQTL_overlap,exact_both_overlap,colocal_pQTL_overlap,colocal_eQTL_overlap,colocal_both_overlap,Is_actual_piQTL
66,chr1:84112,False,True,False,True,True,True,False
67,chr1:84701,True,False,False,True,True,True,False
68,chr1:84858,False,False,False,True,True,True,False
69,chr1:85751,False,False,False,True,True,True,False
70,chr1:87445,True,True,True,True,True,True,False
71,chr1:87467,False,False,False,True,True,True,False
72,chr1:89070,False,False,False,True,True,True,False
73,chr1:89616,False,False,False,True,True,True,False
74,chr1:89679,False,False,False,True,True,True,False
75,chr1:89880,False,False,False,True,True,True,False
76,chr1:91472,False,False,False,True,True,True,False
77,chr1:93789,False,False,False,True,True,True,False
78,chr1:94351,False,True,False,False,True,False,False
79,chr1:99148,False,False,False,False,True,False,False
80,chr1:101281,False,False,False,False,False,False,False
81,chr1:106011,False,False,False,False,True,False,False
82,chr1:106800,False,False,False,False,True,False,True
83,chr1:107970,False,False,False,False,True,False,False
84,chr1:109000,False,False,False,False,True,False,False
85,chr1:112549,False,True,False,True,True,True,False
86,chr1:112742,True,False,False,True,True,True,False
87,chr1:113050,True,False,False,True,True,True,False
88,chr1:113135,True,False,False,True,True,True,False
89,chr1:114076,False,False,False,True,True,True,False
90,chr1:114628,False,True,False,True,True,True,False
91,chr1:116283,False,False,False,False,True,False,False
92,chr1:126880,False,False,False,False,False,False,False
93,chr1:127853,False,False,False,True,True,True,False
94,chr1:128302,False,True,False,True,True,True,False
95,chr1:128704,False,True,False,True,True,True,False
96,chr1:128911,True,False,False,True,True,True,False
97,chr1:130267,False,False,False,False,True,False,False
98,chr1:130271,False,False,False,False,True,False,False
99,chr1:130613,False,False,False,False,True,False,False
100,chr1:132012,False,False,False,False,True,False,False
101,chr1:133231,False,False,False,False,True,False,False
102,chr1:137074,False,False,False,False,True,False,False
103,chr1:137304,False,False,False,False,True,False,False
104,chr1:139686,False,False,False,False,True,False,False
105,chr1:149562,False,False,False,False,True,False,False
106,chr1:150447,False,False,False,False,True,False,False
107,chr1:151446,False,False,False,False,False,False,False
108,chr1:154084,False,False,False,False,True,False,False
109,chr1:156633,False,False,False,False,True,False,False
110,chr1:157269,False,False,False,False,True,False,False
111,chr1:160054,False,False,False,False,True,False,False
112,chr1:166222,False,False,False,False,True,False,False
113,chr1:166416,False,False,False,False,True,False,False
114,chr1:167326,False,False,False,False,True,False,False
115,chr1:168836,False,False,False,False,True,False,False
116,chr1:171200,False,False,False,False,True,False,False
117,chr1:171431,False,True,False,False,True,False,False
118,chr1:173339,False,True,False,False,True,False,False
119,chr1:173845,False,False,False,False,True,False,False
120,chr1:175121,False,False,False,False,True,False,False
121,chr1:175281,False,False,False,False,True,False,False
122,chr1:175315,False,False,False,False,True,False,False
123,chr1:175523,False,False,False,False,True,False,False
124,chr1:175541,False,False,False,False,True,False,False
125,chr1:175653,False,False,False,False,True,False,False
126,chr1:175805,False,False,False,False,True,False,False
127,chr1:175818,False,True,False,False,True,False,False
128,chr1:175856,False,False,False,False,True,False,False
129,chr1:175876,False,False,False,False,True,False,False
130,chr1:175989,False,False,False,False,True,False,False
131,chr1:176001,False,False,False,False,True,False,False
132,chr1:176451,False,False,False,False,True,False,False
133,chr1:177692,False,False,False,False,True,False,False
134,chr1:178191,False,True,False,False,True,False,False
135,chr1:178224,False,False,False,False,True,False,False
136,chr1:178960,False,True,False,False,True,False,False
137,chr1:179139,False,False,False,False,False,False,False
139,chr1:180955,False,False,False,False,False,False,False
140,chr1:183802,False,False,False,True,False,False,False
141,chr1:183954,False,False,False,True,False,False,False
142,chr1:184450,False,False,False,True,False,False,False
143,chr1:184641,False,False,False,True,False,False,False
144,chr1:184718,False,False,False,True,False,False,False
145,chr1:185296,False,False,False,True,False,False,False
146,chr1:185438,False,False,False,True,False,False,False
147,chr1:185469,True,False,False,True,False,False,False
148,chr1:185503,False,False,False,True,False,False,False
149,chr1:185705,False,False,False,True,False,False,False
150,chr1:185749,False,False,False,True,False,False,False
151,chr1:185806,False,False,False,True,False,False,False
152,chr1:185879,False,False,False,True,False,False,False
153,chr1:185916,False,False,False,True,False,False,False
154,chr1:185941,False,False,False,True,False,False,False
155,chr1:185954,True,False,False,True,False,False,False
156,chr1:186055,False,False,False,True,False,False,False
157,chr1:186896,True,False,False,True,False,False,False
158,chr1:187697,True,False,False,True,False,False,False
159,chr1:189392,False,False,False,False,False,False,False
160,chr1:189416,False,False,False,False,False,False,False
161,chr1:190132,False,False,False,True,False,False,False
162,chr1:190148,True,False,False,True,False,False,False
163,chr1:190165,False,False,False,True,False,False,False
164,chr1:190169,False,False,False,True,False,False,False
165,chr1:190933,False,False,False,False,False,False,False
166,chr1:192149,False,False,False,False,False,False,False
167,chr1:192302,False,False,False,False,False,False,False
168,chr1:192303,False,False,False,False,False,False,False
169,chr1:192305,False,False,False,False,False,False,False
170,chr1:192315,False,False,False,False,False,False,False
171,chr1:192795,False,False,False,False,False,False,False
172,chr1:194020,False,True,False,False,True,False,False
173,chr1:194187,False,False,False,True,True,True,False
174,chr1:194867,False,False,False,True,True,True,False
175,chr1:197325,True,False,False,True,True,True,False
176,chr1:197392,False,False,False,True,True,True,False
177,chr1:198857,False,False,False,False,False,False,False
178,chr1:206666,True,False,False,True,False,False,False
179,chr1:206675,False,False,False,False,False,False,False
180,chr1:223051,False,False,False,False,False,False,False
181,chr1:223059,False,False,False,False,False,False,False
182,chr2:7366,False,False,False,False,False,False,False
183,chr2:8180,False,False,False,False,False,False,False
184,chr2:8187,False,False,False,False,False,False,False
185,chr2:8250,False,False,False,False,False,False,False
186,chr2:8253,False,False,False,False,False,False,False
187,chr2:8285,False,False,False,False,False,False,False
188,chr2:8302,False,False,False,False,False,False,False
189,chr2:8306,False,False,False,False,False,False,False
190,chr2:8314,False,False,False,False,False,False,False
191,chr2:8317,False,False,False,False,False,False,False
192,chr2:8328,False,False,False,False,False,False,False
193,chr2:8331,False,False,False,False,False,False,False
194,chr2:8498,False,False,False,False,False,False,False
195,chr2:8651,False,False,False,False,False,False,False
196,chr2:9418,True,False,False,True,False,False,False
197,chr2:9812,True,False,False,True,False,False,False
198,chr2:9932,False,False,False,True,False,False,False
199,chr2:10135,True,True,True,True,True,True,False
200,chr2:11616,False,False,False,True,True,True,False
201,chr2:12133,False,False,False,True,True,True,False
202,chr2:12194,False,False,False,True,True,True,False
203,chr2:12359,False,False,False,True,True,True,False
204,chr2:13061,False,True,False,True,True,True,False
205,chr2:14298,False,True,False,True,True,True,False
206,chr2:15222,False,False,False,True,True,True,False
207,chr2:17986,False,False,False,True,True,True,False
208,chr2:19770,False,False,False,True,True,True,False
209,chr2:19836,False,False,False,True,True,True,False
210,chr2:19851,False,False,False,True,True,True,False
211,chr2:21595,False,False,False,True,True,True,False
212,chr2:22385,False,False,False,True,True,True,False
213,chr2:23441,False,True,False,True,True,True,False
214,chr2:24209,False,False,False,True,True,True,False
215,chr2:24341,True,False,False,True,True,True,False
216,chr2:26815,False,False,False,True,True,True,False
217,chr2:28209,False,False,False,True,True,True,False
218,chr2:28695,False,False,False,True,True,True,False
219,chr2:35849,False,False,False,False,False,False,False
220,chr2:35850,False,False,False,False,False,False,False
221,chr2:41245,False,True,False,False,True,False,False
222,chr2:43214,False,False,False,False,True,False,False
223,chr2:47104,False,True,False,False,True,False,False
224,chr2:50915,False,False,False,False,True,False,False
225,chr2:55834,False,False,False,False,True,False,False
226,chr2:56422,False,False,False,False,True,False,False
227,chr2:57715,False,False,False,False,True,False,False
228,chr2:59046,False,False,False,False,True,False,False
229,chr2:59191,False,False,False,False,True,False,False
230,chr2:59383,False,False,False,False,True,False,False
231,chr2:59477,False,False,False,False,True,False,False
232,chr2:59755,True,False,False,True,False,False,False
233,chr2:60471,False,False,False,True,True,True,False
234,chr2:60478,False,False,False,True,True,True,False
235,chr2:60786,False,False,False,True,True,True,False
236,chr2:61035,False,False,False,True,True,True,False
237,chr2:61071,True,False,False,True,True,True,False
238,chr2:61675,True,False,False,True,True,True,False
239,chr2:62776,False,False,False,True,True,True,False
240,chr2:62939,False,False,False,True,True,True,False
241,chr2:63527,False,False,False,True,True,True,False
242,chr2:63857,False,True,False,True,True,True,False
243,chr2:65527,False,False,False,True,True,True,False
244,chr2:67007,False,False,False,True,True,True,False
245,chr2:67023,False,False,False,False,False,False,False
246,chr2:67024,False,False,False,False,False,False,False
247,chr2:67976,False,True,False,False,True,False,False
248,chr2:69628,False,False,False,False,True,False,False
249,chr2:71825,False,False,False,False,False,False,False
250,chr2:72389,False,False,False,False,True,False,False
251,chr2:72392,False,False,False,False,True,False,False
252,chr2:73646,False,False,False,False,True,False,False
253,chr2:74564,False,False,False,False,True,False,False
254,chr2:74739,False,False,False,False,True,False,True
255,chr2:79931,True,False,False,True,False,False,False
256,chr2:80748,False,False,False,True,False,False,False
257,chr2:80873,False,False,False,True,False,False,False
258,chr2:81501,False,False,False,True,False,False,False
259,chr2:83526,False,False,False,True,False,False,False
260,chr2:83845,False,False,False,True,False,False,True
261,chr2:84412,True,False,False,True,False,False,False
263,chr2:84447,False,False,False,False,False,False,False
264,chr2:87391,False,False,False,False,False,False,True
265,chr2:87562,False,False,False,False,False,False,True
266,chr2:87849,False,False,False,False,False,False,False
267,chr2:87878,False,False,False,False,False,False,False
268,chr2:88125,False,False,False,False,False,False,True
269,chr2:89785,False,False,False,True,False,False,False
270,chr2:93441,False,False,False,True,False,False,False
271,chr2:93588,False,False,False,True,False,False,False
272,chr2:93721,False,False,False,True,False,False,False
273,chr2:93952,True,False,False,True,False,False,False
274,chr2:95085,False,False,False,True,False,False,True
275,chr2:103188,False,True,False,False,True,False,False
276,chr2:107124,False,False,False,False,True,False,False
277,chr2:111645,False,False,False,False,True,False,True
278,chr2:111916,False,False,False,False,True,False,False
279,chr2:111931,False,False,False,False,True,False,False
280,chr2:111999,False,False,False,False,True,False,True
281,chr2:114528,False,False,False,False,True,False,False
282,chr2:116024,False,False,False,False,True,False,True
283,chr2:119244,False,False,False,True,True,True,False
284,chr2:119246,True,True,True,True,True,True,False
285,chr2:119247,True,False,False,True,True,True,False
286,chr2:120090,False,False,False,True,True,True,False
287,chr2:120291,False,False,False,True,True,True,False
288,chr2:120726,False,False,False,True,True,True,False
289,chr2:121716,False,False,False,True,True,True,False
290,chr2:123100,False,False,False,True,True,True,False
291,chr2:124677,False,False,False,False,True,False,False
292,chr2:127636,False,False,False,False,False,False,False
293,chr2:127887,False,False,False,True,True,True,False
294,chr2:128935,True,False,False,True,True,True,False
295,chr2:129053,False,False,False,True,True,True,False
296,chr2:130040,False,False,False,True,True,True,False
297,chr2:130976,False,False,False,True,True,True,False
298,chr2:132199,False,True,False,True,True,True,False
299,chr2:133355,False,False,False,True,True,True,False
300,chr2:133435,False,False,False,True,True,True,False
301,chr2:133943,True,False,False,True,False,False,False
302,chr2:135183,False,False,False,True,True,True,False
303,chr2:135402,False,False,False,True,True,True,False
304,chr2:135898,False,False,False,True,True,True,False
305,chr2:135912,False,False,False,True,True,True,False
306,chr2:135925,True,False,False,True,True,True,False
307,chr2:136002,False,False,False,True,True,True,False
308,chr2:136173,False,False,False,True,True,True,False
309,chr2:138209,False,False,False,True,True,True,False
310,chr2:138318,False,False,False,True,True,True,False
311,chr2:138695,False,False,False,True,True,True,False
312,chr2:138818,False,False,False,True,True,True,False
313,chr2:139728,False,False,False,True,True,True,False
314,chr2:140174,False,False,False,True,True,True,False
315,chr2:140863,True,False,False,True,True,True,False
316,chr2:141152,False,False,False,True,True,True,False
317,chr2:141292,False,False,False,True,True,True,False
318,chr2:141545,False,False,False,True,True,True,False
319,chr2:145823,True,False,False,True,True,True,False
320,chr2:145934,False,False,False,False,False,False,False
321,chr2:145980,True,False,False,True,True,True,False
322,chr2:146723,False,False,False,True,True,True,False
323,chr2:147946,False,False,False,True,True,True,False
324,chr2:150394,False,False,False,True,True,True,False
325,chr2:151274,False,False,False,False,False,False,False
326,chr2:151397,False,False,False,False,True,False,False
327,chr2:153035,False,False,False,False,True,False,False
328,chr2:153228,False,False,False,False,True,False,False
329,chr2:153455,False,False,False,False,True,False,False
330,chr2:153732,False,False,False,False,True,False,False
331,chr2:153815,False,False,False,False,True,False,False
332,chr2:154160,False,False,False,False,True,False,False
333,chr2:154235,False,False,False,False,True,False,False
334,chr2:155527,False,False,False,False,True,False,False
335,chr2:159870,False,True,False,True,True,True,False
336,chr2:161229,True,False,False,True,False,False,False
337,chr2:161451,True,False,False,True,False,False,False
339,chr2:162696,False,False,False,True,True,True,False
340,chr2:163284,False,False,False,True,True,True,False
341,chr2:164166,True,False,False,True,True,True,False
342,chr2:165270,True,False,False,True,True,True,False
343,chr2:165675,True,False,False,True,True,True,False
344,chr2:166404,False,False,False,False,False,False,True
345,chr2:168012,True,False,False,True,True,True,False
346,chr2:168062,False,False,False,True,True,True,False
347,chr2:168518,False,False,False,True,True,True,False
348,chr2:168980,False,False,False,True,True,True,False
349,chr2:169651,False,False,False,True,True,True,False
350,chr2:169902,False,False,False,False,False,False,False
351,chr2:169960,False,False,False,False,False,False,False
352,chr2:170725,False,False,False,False,True,False,False
353,chr2:171254,False,False,False,False,True,False,False
354,chr2:172242,False,False,False,False,True,False,False
355,chr2:173254,False,True,False,False,True,False,False
356,chr2:173340,False,False,False,False,True,False,False
357,chr2:173385,False,False,False,False,True,False,False
358,chr2:173973,False,False,False,False,True,False,False
359,chr2:174714,False,False,False,False,False,False,False
360,chr2:177341,False,False,False,False,True,False,False
361,chr2:180314,False,False,False,False,True,False,False
362,chr2:180339,False,False,False,False,True,False,False
363,chr2:182758,False,False,False,True,True,True,False
364,chr2:183619,False,False,False,True,True,True,False
365,chr2:183913,False,False,False,True,True,True,False
366,chr2:184146,True,False,False,True,True,True,False
367,chr2:187176,False,False,False,True,True,True,False
368,chr2:191066,False,False,False,True,True,True,False
369,chr2:191124,False,False,False,False,False,False,True
370,chr2:191128,False,False,False,False,False,False,True
371,chr2:191599,True,False,False,True,True,True,False
372,chr2:191762,False,False,False,True,True,True,False
373,chr2:191763,False,False,False,True,True,True,False
374,chr2:191959,False,False,False,True,True,True,False
375,chr2:192390,False,False,False,True,True,True,False
376,chr2:195759,True,False,False,True,True,True,False
377,chr2:196912,False,False,False,True,True,True,False
378,chr2:197598,True,False,False,True,False,False,False
379,chr2:198110,False,False,False,True,True,True,False
380,chr2:198283,False,False,False,True,True,True,False
381,chr2:198805,False,False,False,True,True,True,False
382,chr2:198891,False,False,False,True,True,True,False
383,chr2:199248,False,False,False,True,True,True,False
384,chr2:201782,False,False,False,True,True,True,False
385,chr2:203285,False,False,False,True,True,True,False
386,chr2:203783,False,False,False,True,True,True,False
387,chr2:204179,False,False,False,True,True,True,False
388,chr2:205406,False,False,False,True,True,True,False
389,chr2:205834,False,False,False,True,True,True,False
390,chr2:205965,True,False,False,True,True,True,False
391,chr2:207192,False,False,False,True,True,True,False
392,chr2:207561,True,False,False,True,True,True,False
393,chr2:208682,False,False,False,True,True,True,False
394,chr2:210102,True,False,False,True,True,True,False
395,chr2:212519,False,False,False,False,False,False,False
396,chr2:214801,False,False,False,False,False,False,False
397,chr2:215016,False,False,False,False,False,False,False
398,chr2:218876,True,False,False,True,True,True,False
399,chr2:227511,False,False,False,True,True,True,False
400,chr2:230378,False,False,False,True,True,True,False
401,chr2:231943,False,False,False,True,True,True,False
402,chr2:232156,False,False,False,True,True,True,False
403,chr2:232789,False,False,False,True,True,True,False
404,chr2:238524,False,False,False,True,True,True,False
405,chr2:241518,False,False,False,True,True,True,False
406,chr2:250396,False,False,False,True,True,True,False
407,chr2:250466,False,False,False,True,True,True,False
408,chr2:252305,False,False,False,True,True,True,False
409,chr2:254571,False,False,False,False,True,False,False
410,chr2:254742,False,False,False,False,True,False,False
411,chr2:254908,False,False,False,False,True,False,False
412,chr2:255033,False,False,False,False,False,False,False
413,chr2:255862,False,False,False,True,True,True,False
414,chr2:255975,False,False,False,True,True,True,False
415,chr2:258311,True,False,False,True,True,True,False
416,chr2:259284,False,False,False,True,True,True,False
417,chr2:266330,False,False,False,True,True,True,False
418,chr2:267100,False,False,False,True,True,True,False
419,chr2:268086,False,False,False,True,True,True,False
420,chr2:274614,False,False,False,True,True,True,False
421,chr2:274729,False,False,False,True,True,True,False
422,chr2:275746,False,False,False,True,True,True,False
423,chr2:277029,False,False,False,True,True,True,False
424,chr2:277741,False,False,False,True,True,True,False
425,chr2:278218,False,False,False,True,True,True,False
426,chr2:278379,False,False,False,True,True,True,False
427,chr2:279910,True,False,False,True,True,True,False
428,chr2:280616,False,False,False,True,True,True,False
429,chr2:283431,True,True,True,True,True,True,False
430,chr2:283573,True,True,True,True,True,True,False
431,chr2:286762,True,False,False,True,True,True,False
432,chr2:287187,False,False,False,True,True,True,False
433,chr2:288379,False,False,False,True,True,True,False
434,chr2:294941,False,False,False,True,True,True,False
435,chr2:296073,True,False,False,True,False,False,False
436,chr2:296082,True,False,False,True,False,False,False
437,chr2:296198,True,False,False,True,False,False,False
438,chr2:296313,False,False,False,False,False,False,False
439,chr2:297610,False,False,False,False,False,False,False
440,chr2:299553,False,False,False,False,False,False,False
441,chr2:299680,True,False,False,True,False,False,False
442,chr2:299708,False,False,False,True,False,False,False
443,chr2:299759,False,False,False,True,False,False,False
444,chr2:300111,False,False,False,True,False,False,False
445,chr2:300931,False,False,False,False,False,False,False
446,chr2:301710,False,False,False,False,False,False,False
447,chr2:303446,False,False,False,False,False,False,False
448,chr2:303854,False,False,False,False,False,False,False
449,chr2:304472,False,False,False,False,False,False,False
450,chr2:304691,False,False,False,False,False,False,False
451,chr2:308097,False,False,False,True,False,False,False
452,chr2:308989,False,False,False,True,True,True,False
453,chr2:309402,True,False,False,True,True,True,False
454,chr2:310030,False,False,False,True,True,True,False
455,chr2:310113,False,False,False,True,True,True,False
456,chr2:310972,False,False,False,True,True,True,False
457,chr2:312659,False,True,False,True,True,True,False
458,chr2:316657,False,False,False,False,False,False,False
459,chr2:316693,False,False,False,False,False,False,False
460,chr2:318265,False,False,False,False,True,False,False
461,chr2:318379,False,False,False,False,True,False,False
462,chr2:321266,False,False,False,False,True,False,False
463,chr2:322957,False,False,False,False,True,False,False
464,chr2:325221,False,False,False,False,True,False,False
465,chr2:332691,False,False,False,False,True,False,False
466,chr2:333006,False,False,False,True,True,True,False
467,chr2:333887,False,False,False,True,True,True,False
468,chr2:335046,False,True,False,True,True,True,False
469,chr2:335049,False,False,False,True,True,True,False
470,chr2:335995,False,False,False,True,True,True,False
471,chr2:336060,False,True,False,True,True,True,False
472,chr2:338292,False,False,False,True,True,True,False
473,chr2:339568,False,False,False,True,True,True,False
474,chr2:340466,True,False,False,True,True,True,False
475,chr2:342440,True,False,False,True,False,False,False
477,chr2:344347,True,False,False,True,False,False,False
478,chr2:348480,False,False,False,False,True,False,False
479,chr2:350086,False,False,False,False,True,False,False
480,chr2:351083,False,True,False,False,True,False,False
481,chr2:351335,False,True,False,False,True,False,False
482,chr2:351417,False,False,False,False,True,False,False
483,chr2:351450,False,False,False,False,True,False,False
484,chr2:352302,False,False,False,False,True,False,False
485,chr2:352469,False,False,False,False,True,False,False
486,chr2:352562,False,False,False,False,True,False,False
487,chr2:352944,False,False,False,False,True,False,False
488,chr2:353536,False,False,False,False,True,False,False
489,chr2:353595,False,False,False,False,False,False,False
490,chr2:355266,False,False,False,False,True,False,False
491,chr2:358277,False,False,False,False,True,False,False
492,chr2:358926,False,False,False,False,True,False,False
493,chr2:358948,False,False,False,False,True,False,False
494,chr2:359515,False,False,False,False,True,False,False
495,chr2:363190,False,False,False,False,True,False,False
496,chr2:363588,False,False,False,False,True,False,False
497,chr2:363888,False,False,False,False,True,False,False
498,chr2:363954,False,False,False,False,True,False,False
499,chr2:364199,False,False,False,False,True,False,False
500,chr2:365863,False,False,False,False,True,False,False
501,chr2:365981,False,False,False,False,True,False,False
502,chr2:366047,False,False,False,False,True,False,False
503,chr2:366936,False,False,False,False,True,False,False
504,chr2:369530,False,False,False,False,True,False,False
505,chr2:369788,True,False,False,True,False,False,False
506,chr2:369931,False,False,False,True,True,True,False
507,chr2:371033,False,False,False,True,True,True,False
508,chr2:372919,True,False,False,True,True,True,False
509,chr2:373518,True,True,True,True,True,True,False
510,chr2:376157,False,False,False,True,True,True,False
511,chr2:376172,True,False,False,True,True,True,False
512,chr2:381364,False,False,False,False,True,False,False
513,chr2:381368,False,False,False,False,True,False,False
514,chr2:381433,False,False,False,False,True,False,False
515,chr2:381922,False,False,False,False,True,False,False
516,chr2:382146,False,False,False,False,True,False,False
517,chr2:384206,False,False,False,False,True,False,False
518,chr2:384955,False,False,False,False,True,False,False
519,chr2:386207,False,False,False,False,False,False,False
520,chr2:387301,False,False,False,False,False,False,False
521,chr2:388313,False,False,False,False,False,False,False
522,chr2:389425,False,False,False,True,False,False,False
523,chr2:389428,True,False,False,True,False,False,False
524,chr2:390138,False,True,False,False,True,False,False
525,chr2:391233,False,False,False,False,True,False,False
526,chr2:391319,False,False,False,False,True,False,False
527,chr2:393340,False,False,False,False,True,False,True
528,chr2:395042,False,False,False,False,True,False,False
529,chr2:395228,False,False,False,True,True,True,False
530,chr2:395606,False,False,False,True,True,True,False
531,chr2:395726,False,False,False,True,True,True,False
532,chr2:395853,True,False,False,True,True,True,False
533,chr2:396484,False,False,False,True,True,True,False
534,chr2:396705,False,False,False,True,True,True,False
535,chr2:398759,False,False,False,True,True,True,False
536,chr2:400386,False,False,False,True,True,True,False
537,chr2:400847,False,False,False,True,True,True,True
538,chr2:401130,False,False,False,True,True,True,False
539,chr2:401143,False,False,False,True,True,True,False
540,chr2:401979,False,False,False,True,True,True,False
541,chr2:403598,False,False,False,True,True,True,False
542,chr2:404844,False,False,False,True,True,True,False
543,chr2:405100,False,False,False,True,True,True,False
544,chr2:405576,False,False,False,False,False,False,False
545,chr2:405578,False,False,False,False,False,False,False
546,chr2:405579,False,False,False,False,False,False,False
547,chr2:405730,False,False,False,False,False,False,False
548,chr2:406181,False,False,False,False,True,False,False
549,chr2:406688,False,False,False,False,True,False,False
550,chr2:407621,False,False,False,False,True,False,False
551,chr2:409016,False,False,False,False,True,False,True
552,chr2:410647,False,False,False,False,True,False,False
553,chr2:418057,False,False,False,False,True,False,False
554,chr2:419803,True,False,False,True,True,True,False
555,chr2:419943,False,False,False,True,True,True,False
556,chr2:422349,False,False,False,True,True,True,True
557,chr2:425467,False,False,False,True,True,True,False
558,chr2:427842,False,False,False,False,False,False,False
559,chr2:427869,False,False,False,False,False,False,False
560,chr2:429095,False,False,False,True,True,True,False
561,chr2:431266,False,False,False,True,True,True,False
562,chr2:431446,False,False,False,True,True,True,False
563,chr2:432524,True,False,False,True,True,True,False
564,chr2:434090,False,False,False,True,True,True,False
565,chr2:441927,True,False,False,True,True,True,False
566,chr2:446471,True,False,False,True,True,True,False
567,chr2:449325,False,False,False,True,True,True,False
568,chr2:449537,False,False,False,True,True,True,False
569,chr2:450017,False,True,False,True,True,True,False
570,chr2:451779,False,False,False,True,True,True,False
571,chr2:451784,True,False,False,True,True,True,False
572,chr2:453525,False,True,False,True,True,True,False
573,chr2:453768,False,False,False,True,True,True,False
574,chr2:454027,False,False,False,True,True,True,False
575,chr2:455029,True,False,False,True,True,True,True
576,chr2:455247,False,False,False,True,True,True,False
577,chr2:455272,False,False,False,False,False,False,False
579,chr2:455756,False,False,False,False,True,False,False
580,chr2:457024,False,False,False,False,True,False,False
581,chr2:457298,False,False,False,False,True,False,False
582,chr2:460202,False,False,False,False,True,False,False
583,chr2:460262,False,False,False,False,True,False,False
584,chr2:460263,False,False,False,False,True,False,False
585,chr2:464079,False,False,False,False,True,False,False
586,chr2:464424,False,False,False,True,True,True,False
587,chr2:465824,False,False,False,True,True,True,False
588,chr2:470145,False,False,False,True,True,True,False
589,chr2:470686,False,False,False,True,True,True,False
590,chr2:471144,False,False,False,True,True,True,False
591,chr2:471830,False,False,False,True,True,True,False
592,chr2:472403,False,False,False,True,True,True,False
593,chr2:473668,False,False,False,True,True,True,False
594,chr2:473888,False,False,False,True,True,True,False
595,chr2:474138,False,False,False,True,True,True,False
596,chr2:474141,True,False,False,True,True,True,False
597,chr2:475703,False,True,False,True,True,True,False
598,chr2:476732,False,True,False,True,True,True,True
599,chr2:477089,False,False,False,True,True,True,False
600,chr2:477272,True,False,False,True,True,True,False
601,chr2:477273,False,False,False,True,True,True,False
602,chr2:477508,False,False,False,True,True,True,False
603,chr2:479414,False,False,False,True,True,True,False
604,chr2:480275,False,False,False,True,True,True,False
605,chr2:480340,False,False,False,True,True,True,False
