SNP_marker,chr,pos
chr1:50204,1,50204
chr1:50343,1,50343
chr1:50354,1,50354
chr1:50384,1,50384
chr1:50432,1,50432
chr1:50456,1,50456
chr1:50498,1,50498
chr1:50660,1,50660
chr1:50663,1,50663
chr1:50840,1,50840
chr1:51095,1,51095
chr1:51287,1,51287
chr1:51321,1,51321
chr1:51434,1,51434
chr1:52124,1,52124
chr1:52164,1,52164
chr1:52310,1,52310
chr1:52603,1,52603
chr1:52613,1,52613
chr1:52632,1,52632
chr1:52733,1,52733
chr1:52846,1,52846
chr1:52849,1,52849
chr1:52858,1,52858
chr1:52939,1,52939
chr1:52951,1,52951
chr1:52984,1,52984
chr1:52996,1,52996
chr1:53146,1,53146
chr1:53167,1,53167
chr1:53266,1,53266
chr1:53542,1,53542
chr1:53836,1,53836
chr1:53843,1,53843
chr1:53851,1,53851
chr1:53935,1,53935
chr1:54175,1,54175
chr1:54198,1,54198
chr1:54244,1,54244
chr1:54319,1,54319
chr1:54478,1,54478
chr1:54481,1,54481
chr1:54508,1,54508
chr1:54661,1,54661
chr1:54679,1,54679
chr1:54742,1,54742
chr1:54784,1,54784
chr1:54806,1,54806
chr1:55145,1,55145
chr1:55171,1,55171
chr1:55213,1,55213
chr1:55256,1,55256
chr1:55327,1,55327
chr1:55508,1,55508
chr1:55688,1,55688
chr1:55793,1,55793
chr1:56007,1,56007
chr1:56107,1,56107
chr1:56129,1,56129
chr1:56195,1,56195
chr1:56351,1,56351
chr1:56786,1,56786
chr1:56871,1,56871
chr1:56878,1,56878
chr1:56888,1,56888
chr1:56904,1,56904
chr1:57041,1,57041
chr1:57155,1,57155
chr1:57320,1,57320
chr1:57669,1,57669
chr1:58073,1,58073
chr1:58490,1,58490
chr1:58494,1,58494
chr1:58643,1,58643
chr1:58794,1,58794
chr1:58827,1,58827
chr1:59073,1,59073
chr1:59229,1,59229
chr1:59265,1,59265
chr1:59349,1,59349
chr1:59394,1,59394
chr1:59475,1,59475
chr1:59496,1,59496
chr1:59659,1,59659
chr1:59976,1,59976
chr1:59985,1,59985
chr1:60165,1,60165
chr1:60198,1,60198
chr1:60246,1,60246
chr1:60384,1,60384
chr1:60417,1,60417
chr1:60526,1,60526
chr1:60774,1,60774
chr1:60912,1,60912
chr1:62361,1,62361
chr1:62654,1,62654
chr1:62869,1,62869
chr1:64483,1,64483
chr1:65365,1,65365
chr1:65431,1,65431
chr1:65453,1,65453
chr1:65494,1,65494
chr1:65506,1,65506
chr1:65514,1,65514
chr1:65570,1,65570
chr1:65590,1,65590
chr1:65719,1,65719
chr1:65871,1,65871
chr1:65892,1,65892
chr1:65910,1,65910
chr1:65991,1,65991
chr1:66003,1,66003
chr1:66033,1,66033
chr1:66948,1,66948
chr1:67269,1,67269
chr1:67275,1,67275
chr1:67421,1,67421
chr1:67441,1,67441
chr1:67476,1,67476
chr1:68621,1,68621
chr1:68785,1,68785
chr1:69603,1,69603
chr1:69675,1,69675
chr1:69678,1,69678
chr1:69727,1,69727
chr1:69731,1,69731
chr1:69759,1,69759
chr1:69822,1,69822
chr1:70024,1,70024
chr1:70045,1,70045
chr1:70071,1,70071
chr1:70280,1,70280
chr1:70524,1,70524
chr1:70905,1,70905
chr1:71601,1,71601
chr1:74327,1,74327
chr1:74572,1,74572
chr1:76030,1,76030
chr1:76368,1,76368
chr1:76386,1,76386
chr1:76417,1,76417
chr1:76456,1,76456
chr1:76496,1,76496
chr1:76497,1,76497
chr1:77115,1,77115
chr1:81262,1,81262
chr1:81442,1,81442
chr1:81999,1,81999
chr1:82379,1,82379
chr1:82431,1,82431
chr1:83284,1,83284
chr1:83613,1,83613
chr1:84112,1,84112
chr1:84858,1,84858
chr1:85480,1,85480
chr1:87445,1,87445
chr1:88173,1,88173
chr1:88212,1,88212
chr1:88393,1,88393
chr1:88638,1,88638
chr1:88645,1,88645
chr1:88782,1,88782
chr1:88812,1,88812
chr1:89010,1,89010
chr1:89060,1,89060
chr1:89266,1,89266
chr1:89268,1,89268
chr1:89334,1,89334
chr1:89430,1,89430
chr1:89433,1,89433
chr1:89472,1,89472
chr1:89484,1,89484
chr1:89494,1,89494
chr1:89561,1,89561
chr1:89705,1,89705
chr1:89805,1,89805
chr1:89880,1,89880
chr1:89979,1,89979
chr1:90064,1,90064
chr1:90330,1,90330
chr1:91472,1,91472
chr1:92602,1,92602
chr1:93789,1,93789
chr1:94351,1,94351
chr1:94472,1,94472
chr1:99471,1,99471
chr1:107538,1,107538
chr1:109735,1,109735
chr1:112136,1,112136
chr1:112237,1,112237
chr1:112549,1,112549
chr1:112742,1,112742
chr1:113132,1,113132
chr1:113207,1,113207
chr1:113326,1,113326
chr1:114628,1,114628
chr1:114652,1,114652
chr1:114824,1,114824
chr1:116327,1,116327
chr1:119344,1,119344
chr1:119350,1,119350
chr1:119404,1,119404
chr1:119460,1,119460
chr1:119659,1,119659
chr1:119951,1,119951
chr1:120347,1,120347
chr1:120378,1,120378
chr1:127853,1,127853
chr1:128302,1,128302
chr1:128704,1,128704
chr1:129476,1,129476
chr1:129517,1,129517
chr1:130254,1,130254
chr1:130271,1,130271
chr1:130292,1,130292
chr1:130362,1,130362
chr1:130613,1,130613
chr1:130776,1,130776
chr1:130975,1,130975
chr1:131539,1,131539
chr1:131635,1,131635
chr1:131980,1,131980
chr1:132189,1,132189
chr1:132423,1,132423
chr1:132468,1,132468
chr1:132618,1,132618
chr1:132723,1,132723
chr1:132831,1,132831
chr1:133080,1,133080
chr1:133134,1,133134
chr1:133174,1,133174
chr1:133346,1,133346
chr1:133347,1,133347
chr1:133374,1,133374
chr1:133425,1,133425
chr1:133429,1,133429
chr1:133615,1,133615
chr1:133640,1,133640
chr1:133749,1,133749
chr1:133857,1,133857
chr1:134219,1,134219
chr1:134475,1,134475
chr1:134587,1,134587
chr1:134604,1,134604
chr1:134639,1,134639
chr1:134661,1,134661
chr1:135181,1,135181
chr1:135222,1,135222
chr1:135325,1,135325
chr1:135417,1,135417
chr1:135827,1,135827
chr1:135952,1,135952
chr1:136041,1,136041
chr1:136057,1,136057
chr1:136153,1,136153
chr1:136160,1,136160
chr1:136195,1,136195
chr1:136667,1,136667
chr1:136814,1,136814
chr1:136961,1,136961
chr1:137148,1,137148
chr1:137167,1,137167
chr1:137237,1,137237
chr1:137264,1,137264
chr1:137336,1,137336
chr1:138257,1,138257
chr1:138499,1,138499
chr1:138591,1,138591
chr1:138650,1,138650
chr1:138655,1,138655
chr1:138665,1,138665
chr1:138669,1,138669
chr1:138748,1,138748
chr1:138770,1,138770
chr1:138780,1,138780
chr1:138785,1,138785
chr1:138791,1,138791
chr1:138793,1,138793
chr1:138806,1,138806
chr1:138807,1,138807
chr1:138823,1,138823
chr1:138824,1,138824
chr1:139045,1,139045
chr1:139073,1,139073
chr1:139123,1,139123
chr1:139132,1,139132
chr1:139311,1,139311
chr1:139349,1,139349
chr1:139404,1,139404
chr1:139692,1,139692
chr1:140451,1,140451
chr1:141180,1,141180
chr1:141184,1,141184
chr1:141342,1,141342
chr1:141802,1,141802
chr1:141835,1,141835
chr1:141913,1,141913
chr1:141984,1,141984
chr1:142111,1,142111
chr1:142779,1,142779
chr1:143085,1,143085
chr1:143622,1,143622
chr1:143638,1,143638
chr1:143679,1,143679
chr1:143806,1,143806
chr1:143852,1,143852
chr1:144684,1,144684
chr1:144826,1,144826
chr1:145634,1,145634
chr1:145720,1,145720
chr1:146738,1,146738
chr1:146820,1,146820
chr1:147726,1,147726
chr1:147785,1,147785
chr1:149307,1,149307
chr1:149467,1,149467
chr1:149562,1,149562
chr1:149773,1,149773
chr1:150303,1,150303
chr1:150921,1,150921
chr1:151010,1,151010
chr1:151332,1,151332
chr1:151450,1,151450
chr1:151453,1,151453
chr1:151460,1,151460
chr1:151465,1,151465
chr1:151483,1,151483
chr1:151501,1,151501
chr1:151502,1,151502
chr1:151503,1,151503
chr1:151511,1,151511
chr1:151658,1,151658
chr1:151740,1,151740
chr1:151834,1,151834
chr1:151874,1,151874
chr1:151963,1,151963
chr1:152004,1,152004
chr1:152155,1,152155
chr1:152235,1,152235
chr1:152239,1,152239
chr1:152274,1,152274
chr1:152291,1,152291
chr1:152336,1,152336
chr1:152709,1,152709
chr1:152728,1,152728
chr1:152932,1,152932
chr1:152970,1,152970
chr1:153156,1,153156
chr1:153742,1,153742
chr1:153968,1,153968
chr1:154084,1,154084
chr1:154086,1,154086
chr1:154332,1,154332
chr1:154746,1,154746
chr1:155562,1,155562
chr1:156174,1,156174
chr1:156314,1,156314
chr1:156315,1,156315
chr1:156383,1,156383
chr1:156393,1,156393
chr1:156394,1,156394
chr1:156403,1,156403
chr1:156451,1,156451
chr1:156453,1,156453
chr1:156518,1,156518
chr1:156538,1,156538
chr1:156554,1,156554
chr1:156584,1,156584
chr1:156614,1,156614
chr1:156615,1,156615
chr1:156633,1,156633
chr1:156651,1,156651
chr1:156666,1,156666
chr1:156835,1,156835
chr1:156949,1,156949
chr1:157114,1,157114
chr1:157134,1,157134
chr1:157269,1,157269
chr1:157339,1,157339
chr1:157344,1,157344
chr1:157428,1,157428
chr1:157912,1,157912
chr1:157927,1,157927
chr1:158089,1,158089
chr1:158200,1,158200
chr1:158341,1,158341
chr1:158503,1,158503
chr1:158597,1,158597
chr1:158641,1,158641
chr1:158733,1,158733
chr1:158824,1,158824
chr1:158827,1,158827
chr1:158870,1,158870
chr1:158971,1,158971
chr1:159164,1,159164
chr1:159467,1,159467
chr1:160054,1,160054
chr1:166222,1,166222
chr1:166369,1,166369
chr1:167326,1,167326
chr1:168686,1,168686
chr1:168767,1,168767
chr1:168772,1,168772
chr1:168787,1,168787
chr1:168836,1,168836
chr1:169205,1,169205
chr1:169217,1,169217
chr1:169269,1,169269
chr1:169422,1,169422
chr1:169476,1,169476
chr1:169638,1,169638
chr1:169689,1,169689
chr1:169830,1,169830
chr1:169887,1,169887
chr1:169992,1,169992
chr1:170022,1,170022
chr1:170564,1,170564
chr1:171389,1,171389
chr1:171431,1,171431
chr1:171961,1,171961
chr1:171975,1,171975
chr1:172113,1,172113
chr1:172129,1,172129
chr1:172431,1,172431
chr1:172585,1,172585
chr1:173222,1,173222
chr1:173339,1,173339
chr1:173845,1,173845
chr1:174118,1,174118
chr1:174371,1,174371
chr1:174746,1,174746
chr1:174919,1,174919
chr1:174938,1,174938
chr1:175281,1,175281
chr1:175315,1,175315
chr1:175523,1,175523
chr1:175541,1,175541
chr1:175653,1,175653
chr1:175818,1,175818
chr1:175856,1,175856
chr1:175876,1,175876
chr1:175989,1,175989
chr1:176001,1,176001
chr1:176230,1,176230
chr1:176266,1,176266
chr1:176273,1,176273
chr1:176512,1,176512
chr1:176650,1,176650
chr1:176694,1,176694
chr1:176721,1,176721
chr1:176847,1,176847
chr1:176858,1,176858
chr1:176948,1,176948
chr1:177285,1,177285
chr1:177667,1,177667
chr1:178191,1,178191
chr1:178602,1,178602
chr1:178654,1,178654
chr1:178674,1,178674
chr1:178682,1,178682
chr1:178768,1,178768
chr1:178802,1,178802
chr1:178875,1,178875
chr1:178905,1,178905
chr1:178960,1,178960
chr1:179014,1,179014
chr1:179051,1,179051
chr1:179052,1,179052
chr1:179221,1,179221
chr1:179397,1,179397
chr1:179578,1,179578
chr1:181197,1,181197
chr1:186936,1,186936
chr1:186963,1,186963
chr1:186974,1,186974
chr1:186987,1,186987
chr1:186990,1,186990
chr1:187411,1,187411
chr1:187414,1,187414
chr1:187420,1,187420
chr1:187422,1,187422
chr1:187426,1,187426
chr1:187427,1,187427
chr1:189123,1,189123
chr1:191617,1,191617
chr1:191704,1,191704
chr1:192073,1,192073
chr1:192139,1,192139
chr1:192149,1,192149
chr1:192169,1,192169
chr1:192170,1,192170
chr1:192196,1,192196
chr1:192338,1,192338
chr1:192427,1,192427
chr1:192429,1,192429
chr1:192469,1,192469
chr1:192531,1,192531
chr1:192550,1,192550
chr1:192618,1,192618
chr1:192693,1,192693
chr1:192795,1,192795
chr1:192954,1,192954
chr1:193260,1,193260
chr1:193452,1,193452
chr1:193500,1,193500
chr1:193631,1,193631
chr1:194020,1,194020
chr1:194101,1,194101
chr1:194104,1,194104
chr1:194166,1,194166
chr1:194169,1,194169
chr1:194241,1,194241
chr1:194475,1,194475
chr1:194499,1,194499
chr1:194626,1,194626
chr1:194700,1,194700
chr1:194867,1,194867
chr1:195459,1,195459
chr1:195677,1,195677
chr1:195872,1,195872
chr1:195910,1,195910
chr1:196198,1,196198
chr1:196248,1,196248
chr1:196284,1,196284
chr1:196452,1,196452
chr1:196500,1,196500
chr1:196523,1,196523
chr1:196564,1,196564
chr1:196929,1,196929
chr1:196932,1,196932
chr1:197024,1,197024
chr1:197236,1,197236
chr1:197266,1,197266
chr1:197325,1,197325
chr1:197344,1,197344
chr1:197392,1,197392
chr1:197428,1,197428
chr1:197459,1,197459
chr1:197484,1,197484
chr1:197497,1,197497
chr1:197560,1,197560
chr1:197587,1,197587
chr1:197611,1,197611
chr1:197629,1,197629
chr1:197646,1,197646
chr1:197694,1,197694
chr1:197695,1,197695
chr1:197758,1,197758
chr1:197772,1,197772
chr1:197783,1,197783
chr1:197791,1,197791
chr1:197811,1,197811
chr1:197813,1,197813
chr1:197819,1,197819
chr1:197825,1,197825
chr1:197873,1,197873
chr1:197890,1,197890
chr1:197908,1,197908
chr1:197919,1,197919
chr1:197983,1,197983
chr1:198013,1,198013
chr1:198022,1,198022
chr1:198027,1,198027
chr1:198030,1,198030
chr1:198118,1,198118
chr1:198168,1,198168
chr1:198232,1,198232
chr1:198244,1,198244
chr1:198252,1,198252
chr1:198259,1,198259
chr1:198267,1,198267
chr1:198279,1,198279
chr1:198287,1,198287
chr1:198331,1,198331
chr1:198351,1,198351
chr1:198398,1,198398
chr1:198448,1,198448
chr1:198456,1,198456
chr1:198490,1,198490
chr1:198533,1,198533
chr1:198536,1,198536
chr1:198560,1,198560
chr1:198562,1,198562
chr1:198568,1,198568
chr1:198586,1,198586
chr1:198605,1,198605
chr1:198619,1,198619
chr1:198620,1,198620
chr1:198623,1,198623
chr1:198634,1,198634
chr1:198652,1,198652
chr1:198657,1,198657
chr1:198664,1,198664
chr1:198675,1,198675
chr1:198676,1,198676
chr1:198677,1,198677
chr1:198699,1,198699
chr1:198707,1,198707
chr1:198708,1,198708
chr1:198713,1,198713
chr1:202663,1,202663
chr1:202664,1,202664
chr1:202668,1,202668
chr1:202692,1,202692
chr1:202701,1,202701
chr1:202706,1,202706
chr1:202724,1,202724
chr1:202727,1,202727
chr1:202732,1,202732
chr1:202763,1,202763
chr1:202801,1,202801
chr1:202825,1,202825
chr1:202896,1,202896
chr1:202953,1,202953
chr1:202957,1,202957
chr1:202977,1,202977
chr1:203283,1,203283
chr1:203349,1,203349
chr1:203386,1,203386
chr1:203860,1,203860
chr1:203922,1,203922
chr1:203973,1,203973
chr1:203984,1,203984
chr1:204012,1,204012
chr1:204035,1,204035
chr1:206675,1,206675
chr1:207299,1,207299
chr1:207449,1,207449
chr1:207579,1,207579
chr1:207771,1,207771
chr2:10135,2,10135
chr2:10621,2,10621
chr2:12133,2,12133
chr2:12194,2,12194
chr2:13061,2,13061
chr2:14298,2,14298
chr2:15101,2,15101
chr2:15222,2,15222
chr2:18004,2,18004
chr2:18636,2,18636
chr2:19967,2,19967
chr2:21595,2,21595
chr2:22385,2,22385
chr2:23441,2,23441
chr2:24209,2,24209
chr2:24341,2,24341
chr2:26500,2,26500
chr2:29490,2,29490
chr2:35631,2,35631
chr2:35660,2,35660
chr2:35672,2,35672
chr2:35688,2,35688
chr2:35711,2,35711
chr2:35712,2,35712
chr2:35718,2,35718
chr2:35722,2,35722
chr2:35736,2,35736
chr2:35737,2,35737
chr2:35769,2,35769
chr2:36327,2,36327
chr2:36366,2,36366
chr2:36389,2,36389
chr2:36492,2,36492
chr2:36830,2,36830
chr2:37029,2,37029
chr2:37424,2,37424
chr2:37454,2,37454
chr2:37628,2,37628
chr2:38273,2,38273
chr2:38779,2,38779
chr2:38800,2,38800
chr2:38816,2,38816
chr2:39234,2,39234
chr2:40260,2,40260
chr2:41245,2,41245
chr2:47104,2,47104
chr2:49603,2,49603
chr2:50915,2,50915
chr2:51771,2,51771
chr2:54156,2,54156
chr2:56422,2,56422
chr2:59046,2,59046
chr2:59164,2,59164
chr2:63857,2,63857
chr2:67976,2,67976
chr2:68834,2,68834
chr2:69772,2,69772
chr2:71431,2,71431
chr2:72663,2,72663
chr2:73337,2,73337
chr2:73354,2,73354
chr2:73448,2,73448
chr2:73470,2,73470
chr2:73646,2,73646
chr2:73697,2,73697
chr2:73758,2,73758
chr2:73871,2,73871
chr2:73943,2,73943
chr2:74102,2,74102
chr2:74189,2,74189
chr2:74688,2,74688
chr2:74739,2,74739
chr2:74853,2,74853
chr2:74876,2,74876
chr2:74920,2,74920
chr2:75047,2,75047
chr2:75097,2,75097
chr2:75102,2,75102
chr2:75564,2,75564
chr2:76187,2,76187
chr2:76203,2,76203
chr2:76212,2,76212
chr2:76314,2,76314
chr2:76824,2,76824
chr2:76869,2,76869
chr2:76947,2,76947
chr2:77223,2,77223
chr2:77239,2,77239
chr2:77259,2,77259
chr2:80748,2,80748
chr2:81501,2,81501
chr2:83698,2,83698
chr2:87391,2,87391
chr2:87849,2,87849
chr2:89547,2,89547
chr2:93811,2,93811
chr2:93952,2,93952
chr2:96287,2,96287
chr2:102053,2,102053
chr2:103188,2,103188
chr2:107123,2,107123
chr2:108452,2,108452
chr2:108764,2,108764
chr2:109094,2,109094
chr2:109165,2,109165
chr2:112335,2,112335
chr2:114766,2,114766
chr2:115270,2,115270
chr2:115774,2,115774
chr2:115925,2,115925
chr2:116024,2,116024
chr2:116038,2,116038
chr2:116084,2,116084
chr2:116102,2,116102
chr2:116106,2,116106
chr2:116143,2,116143
chr2:116518,2,116518
chr2:116701,2,116701
chr2:116704,2,116704
chr2:116707,2,116707
chr2:116832,2,116832
chr2:116848,2,116848
chr2:116850,2,116850
chr2:116854,2,116854
chr2:116939,2,116939
chr2:116947,2,116947
chr2:117293,2,117293
chr2:117298,2,117298
chr2:117595,2,117595
chr2:117972,2,117972
chr2:118370,2,118370
chr2:118457,2,118457
chr2:118818,2,118818
chr2:118921,2,118921
chr2:118953,2,118953
chr2:118959,2,118959
chr2:119103,2,119103
chr2:119244,2,119244
chr2:119246,2,119246
chr2:119499,2,119499
chr2:119604,2,119604
chr2:119739,2,119739
chr2:119979,2,119979
chr2:120090,2,120090
chr2:120170,2,120170
chr2:120369,2,120369
chr2:120427,2,120427
chr2:120430,2,120430
chr2:120437,2,120437
chr2:120585,2,120585
chr2:120630,2,120630
chr2:120701,2,120701
chr2:120888,2,120888
chr2:121101,2,121101
chr2:121194,2,121194
chr2:121421,2,121421
chr2:121809,2,121809
chr2:121848,2,121848
chr2:121908,2,121908
chr2:122381,2,122381
chr2:122437,2,122437
chr2:122638,2,122638
chr2:123008,2,123008
chr2:123100,2,123100
chr2:123103,2,123103
chr2:123311,2,123311
chr2:123320,2,123320
chr2:123339,2,123339
chr2:123764,2,123764
chr2:123800,2,123800
chr2:123940,2,123940
chr2:124174,2,124174
chr2:124193,2,124193
chr2:124286,2,124286
chr2:124505,2,124505
chr2:124574,2,124574
chr2:124616,2,124616
chr2:124617,2,124617
chr2:124677,2,124677
chr2:124932,2,124932
chr2:124959,2,124959
chr2:124966,2,124966
chr2:125022,2,125022
chr2:125552,2,125552
chr2:126130,2,126130
chr2:126263,2,126263
chr2:126335,2,126335
chr2:126692,2,126692
chr2:126836,2,126836
chr2:127462,2,127462
chr2:127964,2,127964
chr2:128257,2,128257
chr2:128423,2,128423
chr2:128479,2,128479
chr2:128480,2,128480
chr2:128547,2,128547
chr2:128669,2,128669
chr2:128935,2,128935
chr2:129254,2,129254
chr2:129308,2,129308
chr2:129347,2,129347
chr2:129386,2,129386
chr2:129437,2,129437
chr2:129668,2,129668
chr2:129692,2,129692
chr2:129791,2,129791
chr2:130040,2,130040
chr2:130349,2,130349
chr2:130370,2,130370
chr2:130407,2,130407
chr2:130769,2,130769
chr2:130976,2,130976
chr2:130988,2,130988
chr2:131020,2,131020
chr2:131051,2,131051
chr2:131705,2,131705
chr2:131783,2,131783
chr2:132199,2,132199
chr2:132280,2,132280
chr2:132482,2,132482
chr2:132564,2,132564
chr2:132576,2,132576
chr2:132654,2,132654
chr2:132945,2,132945
chr2:132975,2,132975
chr2:133026,2,133026
chr2:133163,2,133163
chr2:133239,2,133239
chr2:133355,2,133355
chr2:133435,2,133435
chr2:133595,2,133595
chr2:133612,2,133612
chr2:133742,2,133742
chr2:133779,2,133779
chr2:133886,2,133886
chr2:133938,2,133938
chr2:134090,2,134090
chr2:135183,2,135183
chr2:135214,2,135214
chr2:135402,2,135402
chr2:135553,2,135553
chr2:135630,2,135630
chr2:135667,2,135667
chr2:135827,2,135827
chr2:135923,2,135923
chr2:136002,2,136002
chr2:136039,2,136039
chr2:136582,2,136582
chr2:136632,2,136632
chr2:136840,2,136840
chr2:137272,2,137272
chr2:137341,2,137341
chr2:137745,2,137745
chr2:137801,2,137801
chr2:137859,2,137859
chr2:137868,2,137868
chr2:137948,2,137948
chr2:138318,2,138318
chr2:138346,2,138346
chr2:138529,2,138529
chr2:138695,2,138695
chr2:138734,2,138734
chr2:138835,2,138835
chr2:139079,2,139079
chr2:139728,2,139728
chr2:140021,2,140021
chr2:140061,2,140061
chr2:140131,2,140131
chr2:140174,2,140174
chr2:140383,2,140383
chr2:140643,2,140643
chr2:140850,2,140850
chr2:140863,2,140863
chr2:140964,2,140964
chr2:141015,2,141015
chr2:141175,2,141175
chr2:141191,2,141191
chr2:141207,2,141207
chr2:141215,2,141215
chr2:141292,2,141292
chr2:141553,2,141553
chr2:141579,2,141579
chr2:141987,2,141987
chr2:142133,2,142133
chr2:142181,2,142181
chr2:142186,2,142186
chr2:142208,2,142208
chr2:142364,2,142364
chr2:142625,2,142625
chr2:142804,2,142804
chr2:142980,2,142980
chr2:143327,2,143327
chr2:143335,2,143335
chr2:143356,2,143356
chr2:143491,2,143491
chr2:143613,2,143613
chr2:143759,2,143759
chr2:144151,2,144151
chr2:144820,2,144820
chr2:144853,2,144853
chr2:144937,2,144937
chr2:144991,2,144991
chr2:145108,2,145108
chr2:145474,2,145474
chr2:145486,2,145486
chr2:146107,2,146107
chr2:146113,2,146113
chr2:146114,2,146114
chr2:146129,2,146129
chr2:146169,2,146169
chr2:146217,2,146217
chr2:146248,2,146248
chr2:146312,2,146312
chr2:146333,2,146333
chr2:146444,2,146444
chr2:146609,2,146609
chr2:146672,2,146672
chr2:146699,2,146699
chr2:146992,2,146992
chr2:147197,2,147197
chr2:147484,2,147484
chr2:147946,2,147946
chr2:148172,2,148172
chr2:148327,2,148327
chr2:148429,2,148429
chr2:148600,2,148600
chr2:149026,2,149026
chr2:149182,2,149182
chr2:149400,2,149400
chr2:149696,2,149696
chr2:149872,2,149872
chr2:150200,2,150200
chr2:150394,2,150394
chr2:150513,2,150513
chr2:150781,2,150781
chr2:151212,2,151212
chr2:151407,2,151407
chr2:151574,2,151574
chr2:151682,2,151682
chr2:151709,2,151709
chr2:151724,2,151724
chr2:151946,2,151946
chr2:151976,2,151976
chr2:152073,2,152073
chr2:152204,2,152204
chr2:152451,2,152451
chr2:152612,2,152612
chr2:152624,2,152624
chr2:152750,2,152750
chr2:152894,2,152894
chr2:152949,2,152949
chr2:153007,2,153007
chr2:153035,2,153035
chr2:153228,2,153228
chr2:153455,2,153455
chr2:153787,2,153787
chr2:153815,2,153815
chr2:154001,2,154001
chr2:154142,2,154142
chr2:154740,2,154740
chr2:154799,2,154799
chr2:155354,2,155354
chr2:155591,2,155591
chr2:155739,2,155739
chr2:155783,2,155783
chr2:155846,2,155846
chr2:155972,2,155972
chr2:156194,2,156194
chr2:156203,2,156203
chr2:156261,2,156261
chr2:158114,2,158114
chr2:158591,2,158591
chr2:158800,2,158800
chr2:158803,2,158803
chr2:158953,2,158953
chr2:159079,2,159079
chr2:159139,2,159139
chr2:159797,2,159797
chr2:159870,2,159870
chr2:159891,2,159891
chr2:159926,2,159926
chr2:160143,2,160143
chr2:160403,2,160403
chr2:160810,2,160810
