SNP_marker,chr,pos,start,end
chr2:372919,2,372919,363190,384955
chr2:373518,2,373518,363190,387301
chr2:376172,2,376172,363190,390138
chr2:389428,2,389428,389425,389428
chr2:395853,2,395853,395228,410647
chr2:419803,2,419803,406688,429095
chr2:432524,2,432524,425467,441927
chr2:441927,2,441927,429095,446471
chr2:446471,2,446471,434090,450017
chr2:451784,2,451784,449325,457298
chr2:455029,2,455029,451779,465824
chr2:474141,2,474141,464424,484021
chr2:477272,2,477272,470145,486033
chr2:483628,2,483628,472403,488757
chr2:486970,2,486970,486970,486970
chr2:488757,2,488757,479414,491316
chr2:498324,2,498324,495558,510140
chr2:500276,2,500276,495558,510140
chr2:501746,2,501746,495558,510140
chr2:507491,2,507491,498324,524731
chr2:510017,2,510017,498324,524731
chr2:510140,2,510140,498324,524731
chr2:517548,2,517548,505207,530047
chr2:517869,2,517869,505207,530047
chr2:518106,2,518106,505207,530047
chr2:518133,2,518133,505207,530047
chr2:518385,2,518385,505207,530047
chr2:518844,2,518844,505207,530047
chr2:523217,2,523217,505207,530047
chr2:524731,2,524731,507274,530047
chr2:528468,2,528468,517548,538868
chr2:528729,2,528729,528729,528729
chr2:530047,2,530047,517548,538990
chr2:533672,2,533672,528468,538990
chr2:538990,2,538990,530047,542505
chr2:541028,2,541028,541028,541028
chr2:541047,2,541047,541047,541047
chr2:541054,2,541054,541054,541054
chr2:542505,2,542505,538868,544962
chr2:544518,2,544518,538868,544962
chr2:552681,2,552681,552681,558703
chr2:553512,2,553512,553512,553512
chr2:553949,2,553949,552681,558703
chr2:555633,2,555633,552681,558703
chr2:556553,2,556553,552681,567339
chr2:571328,2,571328,571328,571328
chr2:571362,2,571362,567265,579042
chr2:573624,2,573624,567265,594044
chr2:583485,2,583485,583485,583485
chr2:599004,2,599004,591631,619593
chr2:618987,2,618987,592643,630554
chr2:630554,2,630554,618987,633859
chr2:643488,2,643488,643488,643488
chr2:662669,2,662669,657722,662669
chr2:679565,2,679565,671051,682239
chr2:690583,2,690583,680493,701195
chr2:694474,2,694474,680493,701195
chr2:698030,2,698030,682076,701195
chr2:699889,2,699889,682239,701195
chr2:712783,2,712783,712783,712783
chr2:718839,2,718839,707207,725577
chr2:723281,2,723281,717833,734586
chr2:723663,2,723663,723663,723663
chr2:725577,2,725577,717833,734586
chr2:757162,2,757162,757162,757162
chr2:773703,2,773703,773703,773703
chr2:780187,2,780187,772699,791790
chr2:780425,2,780425,780425,780425
chr2:782605,2,782605,772699,791790
chr2:786434,2,786434,777253,792233
chr2:801665,2,801665,801661,801665
chr2:801689,2,801689,801689,801690
chr3:658,3,658,658,658
chr3:757,3,757,757,757
chr3:780,3,780,780,780
chr3:2644,3,2644,1349,5784
chr3:4582,3,4582,2644,5784
chr3:4794,3,4794,2644,4794
chr3:7958,3,7958,6078,21337
chr3:25563,3,25563,16356,31109
chr3:56833,3,56833,56833,56833
chr3:63929,3,63929,61460,67277
chr3:75863,3,75863,72402,76147
chr3:76147,3,76147,72402,76147
chr3:79867,3,79867,79867,92716
chr3:80341,3,80341,79867,92716
chr3:80444,3,80444,79867,92716
chr3:82706,3,82706,82706,82706
chr3:84195,3,84195,84195,92671
chr3:84421,3,84421,84421,84421
chr3:84735,3,84735,84735,92716
chr3:84766,3,84766,84766,84766
chr3:84800,3,84800,84800,84800
chr3:84802,3,84802,84802,84803
chr3:84803,3,84803,84802,84803
chr3:84937,3,84937,84937,84937
chr3:90723,3,90723,90723,90727
chr3:90725,3,90725,90723,90727
chr3:92556,3,92556,79867,96560
chr3:92716,3,92716,79867,95493
chr3:92744,3,92744,92744,92744
chr3:95493,3,95493,92556,101814
chr3:96560,3,96560,92556,101814
chr3:101685,3,101685,95493,105429
chr3:114371,3,114371,111179,126954
chr3:136656,3,136656,126125,158006
chr3:143428,3,143428,131971,158006
chr3:151544,3,151544,151520,151549
chr3:151550,3,151550,151550,151550
chr3:152080,3,152080,131971,158006
chr3:168031,3,168031,163856,189158
chr3:186935,3,186935,165283,197297
chr3:188979,3,188979,168031,198615
chr3:189025,3,189025,168031,198615
chr3:189052,3,189052,168031,198615
chr3:190765,3,190765,177081,198615
chr3:195779,3,195779,186935,204903
chr3:196680,3,196680,186935,204903
chr3:196733,3,196733,186935,204903
chr3:197297,3,197297,186935,204903
chr3:198615,3,198615,188758,204903
chr3:201026,3,201026,198615,201026
chr3:203261,3,203261,195779,204903
chr3:204854,3,204854,195779,204903
chr3:204897,3,204897,195779,204903
chr3:212095,3,212095,211348,212095
chr3:214156,3,214156,214156,214156
chr3:237105,3,237105,233663,241126
chr3:242447,3,242447,242447,242447
chr3:242578,3,242578,238714,248454
chr3:245238,3,245238,238714,248454
chr3:247158,3,247158,241126,249928
chr3:251255,3,251255,248454,259020
chr3:251274,3,251274,248454,259020
chr3:252801,3,252801,249928,259458
chr3:256593,3,256593,251255,261281
chr3:257462,3,257462,251255,261281
chr3:258343,3,258343,251255,262631
chr3:258579,3,258579,251255,262631
chr3:260010,3,260010,260010,260010
chr3:272925,3,272925,265059,285299
chr3:278791,3,278791,265059,290417
chr3:282537,3,282537,267625,297295
chr3:284743,3,284743,267625,297295
chr3:285299,3,285299,267625,297295
chr3:285659,3,285659,267625,297295
chr3:286180,3,286180,273446,297295
chr3:286440,3,286440,273446,297295
chr3:286652,3,286652,273631,297295
chr3:290527,3,290527,282537,302380
chr3:292662,3,292662,292662,292662
chr3:292718,3,292718,292718,292718
chr3:293855,3,293855,293842,293855
chr3:299460,3,299460,289803,307046
chr3:306783,3,306783,306783,306783
chr3:307149,3,307149,307149,307149
chr4:2228,4,2228,2228,2230
chr4:16673,4,16673,16673,16673
chr4:21871,4,21871,20302,29835
chr4:27059,4,27059,21871,29835
chr4:32140,4,32140,29835,32140
chr4:38160,4,38160,34142,49675
chr4:43687,4,43687,37106,52141
chr4:43708,4,43708,37106,52141
chr4:43823,4,43823,37106,51859
chr4:48267,4,48267,37106,56089
chr4:48617,4,48617,37106,60023
chr4:48723,4,48723,37106,60023
chr4:49408,4,49408,37106,60460
chr4:49675,4,49675,38160,60460
chr4:51735,4,51735,43687,60460
chr4:51859,4,51859,43687,60460
chr4:52093,4,52093,43687,60460
chr4:52141,4,52141,43687,60460
chr4:53342,4,53342,46065,61772
chr4:55290,4,55290,48267,62324
chr4:56089,4,56089,48267,62324
chr4:57719,4,57719,48617,62324
chr4:61772,4,61772,53342,62324
chr4:62324,4,62324,55290,66159
chr4:68911,4,68911,65329,85322
chr4:70129,4,70129,65329,85322
chr4:70552,4,70552,65329,85322
chr4:71282,4,71282,65329,85322
chr4:72324,4,72324,65329,85322
chr4:77245,4,77245,65329,86904
chr4:82080,4,82080,68860,86904
chr4:84004,4,84004,68860,90424
chr4:84897,4,84897,68860,90554
chr4:86424,4,86424,74160,92317
chr4:86904,4,86904,76499,92317
chr4:90193,4,90193,83947,102509
chr4:96325,4,96325,90193,103991
chr4:98990,4,98990,90193,103991
chr4:102705,4,102705,90554,106371
chr4:105908,4,105908,102509,123976
chr4:108510,4,108510,105908,127323
chr4:132281,4,132281,108791,143484
chr4:135298,4,135298,123976,148075
chr4:136069,4,136069,123193,149678
chr4:143484,4,143484,132281,156963
chr4:147035,4,147035,135298,156963
chr4:149162,4,149162,149162,149162
chr4:149678,4,149678,135873,158426
chr4:160842,4,160842,160842,168256
chr4:167204,4,167204,160842,180121
chr4:178032,4,178032,167204,196790
chr4:211612,4,211612,203027,228580
chr4:212428,4,212428,204037,213950
chr4:217566,4,217566,204037,234536
chr4:218148,4,218148,217566,228580
chr4:223356,4,223356,204037,238194
chr4:228580,4,228580,211612,238194
chr4:234153,4,234153,217566,243657
chr4:234536,4,234536,217566,243657
chr4:257828,4,257828,243657,264432
chr4:267372,4,267372,259994,271787
chr4:268855,4,268855,259994,271787
chr4:270158,4,270158,264432,271787
chr4:271035,4,271035,264432,275191
chr4:271787,4,271787,265022,279037
chr4:274059,4,274059,271035,283830
chr4:274870,4,274870,274059,283830
chr4:275715,4,275715,271787,283830
chr4:276820,4,276820,271787,283830
chr4:280703,4,280703,274059,285568
chr4:280859,4,280859,274059,285568
chr4:293190,4,293190,283830,303011
chr4:307387,4,307387,302611,314015
chr4:351322,4,351322,351322,356541
chr4:355411,4,355411,353020,356853
chr4:368457,4,368457,368078,372110
chr4:369403,4,369403,368078,372110
chr4:382176,4,382176,375648,390909
chr4:383443,4,383443,376511,390909
chr4:383485,4,383485,382176,384607
chr4:383923,4,383923,383923,383923
chr4:384094,4,384094,375688,390909
chr4:384607,4,384607,375648,390909
chr4:390909,4,390909,380252,397927
chr4:397927,4,397927,390909,405368
chr4:405368,4,405368,397927,408981
chr4:411785,4,411785,411785,411785
chr4:428805,4,428805,428805,428805
chr4:452907,4,452907,452907,452907
chr4:471707,4,471707,454913,482653
chr4:476181,4,476181,445208,501469
chr4:476291,4,476291,462685,487957
chr4:480076,4,480076,450801,504419
chr4:481074,4,481074,450801,504419
chr4:482653,4,482653,466223,501469
chr4:485454,4,485454,466223,504419
chr4:487957,4,487957,472918,504419
chr4:498734,4,498734,472918,512749
chr4:504047,4,504047,481074,521148
chr4:512749,4,512749,487562,521148
chr4:520430,4,520430,520430,520430
chr4:520560,4,520560,512749,521148
chr4:520568,4,520568,512749,521148
chr4:538009,4,538009,537994,538009
chr4:538069,4,538069,538030,538069
chr4:538120,4,538120,538120,538120
chr4:538174,4,538174,538174,538183
chr4:542558,4,542558,542558,542558
chr4:544142,4,544142,544142,544142
chr4:544372,4,544372,538198,549461
chr4:547876,4,547876,538294,549461
chr4:558812,4,558812,553181,571075
chr4:560996,4,560996,560996,560996
chr4:562709,4,562709,554056,575468
chr4:575468,4,575468,562709,590025
chr4:576758,4,576758,563928,591983
chr4:578506,4,578506,563928,591983
chr4:578512,4,578512,563928,591983
chr4:579070,4,579070,563928,592839
chr4:584486,4,584486,565447,592839
chr4:590025,4,590025,574801,594369
chr4:590826,4,590826,574801,597710
chr4:590984,4,590984,574801,597710
chr4:591356,4,591356,576758,597710
chr4:591435,4,591435,576758,597710
chr4:591697,4,591697,588662,592839
chr4:591983,4,591983,576758,597710
chr4:592539,4,592539,592539,592539
chr4:592980,4,592980,592980,592980
chr4:592981,4,592981,592981,592981
chr4:593354,4,593354,593354,593354
chr4:593676,4,593676,588662,598800
chr4:598800,4,598800,592839,609905
chr4:605918,4,605918,597710,614738
chr4:608349,4,608349,597710,614738
chr4:610797,4,610797,600513,620786
chr4:611309,4,611309,600513,620786
chr4:613791,4,613791,604043,624555
chr4:614738,4,614738,604043,624555
chr4:618428,4,618428,610797,624555
chr4:619541,4,619541,611309,624555
chr4:620206,4,620206,611309,624555
chr4:620786,4,620786,610797,629042
chr4:621613,4,621613,613791,624555
chr4:621879,4,621879,621879,621879
chr4:621945,4,621945,613791,624555
chr4:621999,4,621999,614738,624555
chr4:622259,4,622259,613791,624555
chr4:622563,4,622563,614738,629042
chr4:623642,4,623642,613791,629973
chr4:624555,4,624555,613791,629973
chr4:629973,4,629973,623642,631409
chr4:637598,4,637598,631409,645245
chr4:638340,4,638340,631409,645245
chr4:641585,4,641585,636237,645245
chr4:642192,4,642192,636237,645245
chr4:643795,4,643795,636237,645245
chr4:664414,4,664414,657631,677658
chr4:664456,4,664456,657631,677658
chr4:668101,4,668101,657631,679624
chr4:672752,4,672752,657631,682178
chr4:672865,4,672865,657631,682178
chr4:679624,4,679624,667986,696549
chr4:680423,4,680423,671424,697690
chr4:681972,4,681972,681972,681972
chr4:693387,4,693387,680423,698339
chr4:720543,4,720543,720543,720543
chr4:721638,4,721638,719215,741737
chr4:736459,4,736459,719215,749708
chr4:747529,4,747529,747523,747529
chr4:757961,4,757961,757961,757961
chr4:758027,4,758027,758027,758027
chr4:765852,4,765852,749708,769943
chr4:769779,4,769779,767117,784282
chr4:782125,4,782125,769065,797405
chr4:783543,4,783543,769065,802519
chr4:795775,4,795775,781689,812053
chr4:795937,4,795937,781689,814423
chr4:801680,4,801680,794376,802519
chr4:802970,4,802970,789241,808113
chr4:808557,4,808557,808113,808557
chr4:811690,4,811690,795937,826324
chr4:816667,4,816667,808113,831973
chr4:817729,4,817729,808113,832289
chr4:843045,4,843045,838720,849577
chr4:843203,4,843203,838720,849577
chr4:845665,4,845665,839960,855322
chr4:850450,4,850450,843818,858371
chr4:851282,4,851282,844958,861441
chr4:852621,4,852621,843927,861470
chr4:877783,4,877783,877783,877784
chr4:878026,4,878026,866929,892444
chr4:886952,4,886952,865297,892444
chr4:892444,4,892444,863802,896785
chr4:911454,4,911454,903873,924619
chr4:912557,4,912557,896181,927559
chr4:914816,4,914816,896785,927577
chr4:914952,4,914952,896785,928575
chr4:917833,4,917833,903873,928575
chr4:924619,4,924619,903873,929694
chr4:927509,4,927509,911766,930823
chr4:929694,4,929694,918606,938510
chr4:930964,4,930964,930964,930964
chr4:938510,4,938510,929694,950108
chr4:942067,4,942067,932727,953287
chr4:947317,4,947317,934187,953287
chr4:950108,4,950108,936493,953287
chr4:956734,4,956734,956734,962979
chr4:957589,4,957589,956734,961744
chr4:959283,4,959283,956734,980835
chr4:960412,4,960412,956734,996583
chr4:962979,4,962979,956734,1000959
chr4:971731,4,971731,961744,998174
chr4:973283,4,973283,959283,1000959
chr4:974689,4,974689,959283,1000959
chr4:974882,4,974882,959283,1000959
chr4:974883,4,974883,959283,1000959
chr4:975090,4,975090,959283,1000959
chr4:975149,4,975149,959283,1000959
chr4:975354,4,975354,959283,1000959
chr4:976036,4,976036,959283,1000959
chr4:976174,4,976174,959283,1000959
chr4:976264,4,976264,959283,1000959
chr4:997624,4,997624,960833,1006085
chr4:998174,4,998174,960833,1000959
chr4:1000959,4,1000959,961744,1006085
chr4:1006085,4,1006085,997624,1018597
chr4:1014176,4,1014176,1006085,1029308
chr4:1018955,4,1018955,1013362,1029308
chr4:1022771,4,1022771,1013362,1036857
chr4:1026744,4,1026744,1013362,1036857
chr4:1057929,4,1057929,1057929,1057929
chr4:1094122,4,1094122,1091087,1116044
chr4:1095148,4,1095148,1091087,1116044
chr4:1101892,4,1101892,1091087,1108564
chr4:1154148,4,1154148,1154148,1154160
chr4:1162000,4,1162000,1149030,1166231
chr4:1171794,4,1171794,1171385,1197837
chr4:1172380,4,1172380,1171385,1198548
chr4:1172576,4,1172576,1171385,1198548
chr4:1172914,4,1172914,1171385,1198548
chr4:1176138,4,1176138,1171385,1191935
chr4:1181165,4,1181165,1171385,1198548
chr4:1184872,4,1184872,1171385,1215342
chr4:1191935,4,1191935,1171385,1219676
chr4:1213560,4,1213560,1184872,1235719
chr4:1213754,4,1213754,1184872,1227990
chr4:1242195,4,1242195,1237546,1248695
chr4:1242383,4,1242383,1237546,1248695
chr4:1246177,4,1246177,1242195,1256208
chr4:1248530,4,1248530,1242195,1256509
chr4:1248695,4,1248695,1242195,1256509
chr4:1250650,4,1250650,1246177,1257441
chr4:1256208,4,1256208,1246177,1264269
chr4:1256509,4,1256509,1248530,1264269
chr4:1257382,4,1257382,1256208,1264269
chr4:1257441,4,1257441,1250650,1264269
chr4:1260055,4,1260055,1256208,1268325
chr4:1260275,4,1260275,1256208,1268325
chr4:1261899,4,1261899,1256208,1268325
chr4:1270033,4,1270033,1266919,1278850
chr4:1284773,4,1284773,1278407,1287974
chr4:1337514,4,1337514,1333470,1345654
chr4:1341560,4,1341560,1335020,1354322
chr4:1342082,4,1342082,1335020,1358780
chr4:1342485,4,1342485,1335020,1360486
chr4:1345539,4,1345539,1337043,1367398
chr4:1345604,4,1345604,1337043,1367398
chr4:1345654,4,1345654,1337514,1367398
chr4:1353994,4,1353994,1341560,1381394
chr4:1354715,4,1354715,1352371,1354715
chr4:1359163,4,1359163,1342485,1381394
chr4:1359608,4,1359608,1342134,1381394
chr4:1372531,4,1372531,1353994,1385147
chr4:1381192,4,1381192,1353994,1385147
chr4:1383768,4,1383768,1363156,1392187
chr4:1418662,4,1418662,1418662,1420155
chr4:1436351,4,1436351,1429971,1446003
chr4:1443800,4,1443800,1433591,1453498
chr4:1443906,4,1443906,1433591,1453498
chr4:1445462,4,1445462,1435743,1453498
chr4:1451946,4,1451946,1440118,1457873
chr4:1458160,4,1458160,1458160,1458160
chr4:1459398,4,1459398,1455597,1462057
chr4:1462057,4,1462057,1455597,1474060
chr4:1475645,4,1475645,1467660,1475645
chr4:1480835,4,1480835,1480211,1490851
chr4:1489545,4,1489545,1488575,1489545
chr4:1505683,4,1505683,1505683,1505691
chr4:1508550,4,1508550,1499852,1523350
chr4:1513956,4,1513956,1513956,1513956
chr4:1517680,4,1517680,1517680,1517680
chr4:1521818,4,1521818,1521818,1521818
chr4:1523440,4,1523440,1523440,1523482
chr5:13449,5,13449,8786,14028
chr5:19517,5,19517,19504,19517
chr5:21355,5,21355,21342,21355
chr5:22638,5,22638,22638,22638
chr5:22917,5,22917,18746,25103
chr5:25397,5,25397,25397,25397
chr5:26058,5,26058,19368,26417
chr5:31263,5,31263,30505,35947
chr5:31451,5,31451,30505,32038
chr5:32038,5,32038,30505,38200
chr5:33814,5,33814,30505,38677
chr5:33851,5,33851,30505,38677
chr5:35048,5,35048,30505,41075
chr5:37398,5,37398,33720,41075
chr5:38037,5,38037,33720,41075
chr5:41075,5,41075,34350,42740
chr5:42051,5,42051,38200,42740
chr5:42740,5,42740,41075,44612
chr5:57276,5,57276,44304,66168
chr5:69083,5,69083,66168,72069
chr5:70969,5,70969,68714,78310
chr5:79208,5,79208,72069,83188
chr5:79230,5,79230,74994,81334
chr5:79231,5,79231,79231,79231
chr5:83188,5,83188,79208,83188
chr5:86488,5,86488,86488,86488
chr5:90720,5,90720,87323,99489
chr5:96610,5,96610,90716,99489
chr5:98040,5,98040,90716,99489
chr5:98089,5,98089,90716,99489
chr5:99314,5,99314,90716,99489
chr5:104442,5,104442,102203,106822
chr5:124644,5,124644,124644,132221
chr5:125211,5,125211,124644,134626
chr5:125474,5,125474,124644,134626
chr5:127339,5,127339,124644,134626
chr5:131540,5,131540,124644,155745
chr5:132221,5,132221,124644,157488
chr5:132565,5,132565,132565,132565
chr5:134344,5,134344,125211,157488
chr5:169452,5,169452,161956,181135
chr5:173927,5,173927,161956,184224
chr5:178044,5,178044,164144,187642
chr5:178674,5,178674,164144,187642
chr5:207275,5,207275,207235,212506
chr5:211245,5,211245,207235,217319
chr5:212506,5,212506,207275,214406
chr5:214406,5,214406,210350,223004
chr5:214752,5,214752,210350,223004
chr5:215862,5,215862,210350,225569
chr5:217319,5,217319,211001,225569
chr5:225501,5,225501,217294,234669
chr5:225774,5,225774,225774,225774
chr5:239147,5,239147,227110,246808
chr5:242428,5,242428,229365,251866
chr5:246143,5,246143,234669,254385
chr5:249522,5,249522,243584,254385
chr5:251756,5,251756,243584,262671
chr5:253670,5,253670,243584,262671
chr5:258177,5,258177,258177,258177
chr5:266246,5,266246,266246,266246
chr5:272558,5,272558,265651,290932
chr5:290040,5,290040,290040,290040
chr5:293706,5,293706,271971,309654
chr5:302362,5,302362,283807,310175
chr5:317740,5,317740,312612,321654
chr5:328525,5,328525,324331,328525
chr5:335406,5,335406,335406,336687
chr5:335771,5,335771,335406,336687
chr5:341045,5,341045,341045,350876
chr5:341262,5,341262,336687,350876
chr5:346773,5,346773,341045,354177
chr5:377631,5,377631,366361,384156
chr5:378741,5,378741,377631,396266
chr5:382523,5,382523,382523,382523
chr5:396254,5,396254,379541,398644
chr5:401545,5,401545,396266,407785
chr5:406826,5,406826,401545,409900
chr5:407785,5,407785,401545,413385
chr5:413363,5,413363,413363,413363
chr5:416981,5,416981,412759,432587
chr5:430235,5,430235,416981,441594
chr5:430620,5,430620,430620,430620
chr5:432587,5,432587,416981,451448
chr5:443367,5,443367,443367,443378
chr5:451448,5,451448,427844,458086
chr5:486157,5,486157,478715,491888
chr5:510020,5,510020,510020,510020
chr5:522970,5,522970,522970,522970
chr5:523232,5,523232,519067,526007
chr5:524625,5,524625,522215,540169
chr5:535074,5,535074,524247,545826
chr5:561193,5,561193,553130,562436
chr5:561211,5,561211,553130,562451
chr5:561430,5,561430,553130,562873
chr5:561555,5,561555,558324,563299
chr5:561678,5,561678,554104,563347
chr5:561692,5,561692,554104,563372
chr5:561746,5,561746,555454,563372
chr5:561906,5,561906,557772,563580
chr5:562667,5,562667,561353,564048
chr5:563421,5,563421,561786,564360
chr5:563565,5,563565,561824,564469
chr5:563580,5,563580,561906,564472
chr5:563607,5,563607,561915,564485
chr5:563661,5,563661,562097,564516
chr5:564252,5,564252,563148,564968
chr5:564355,5,564355,563347,565122
chr5:564360,5,564360,563348,565125
chr5:564372,5,564372,563372,565208
chr5:564395,5,564395,564395,564395
chr5:564397,5,564397,563452,565289
chr5:564904,5,564904,564147,566373
chr5:565013,5,565013,564298,566466
chr5:565737,5,565737,564730,566755
chr5:565800,5,565800,564732,566740
chr5:566427,5,566427,564968,566755
chr5:566434,5,566434,565000,566755
chr6:12139,6,12139,12139,12139
chr6:16905,6,16905,16905,29838
chr6:27551,6,27551,27551,27551
chr6:30082,6,30082,30082,30082
chr6:50825,6,50825,45282,56091
chr6:51781,6,51781,45282,57460
chr6:54487,6,54487,50414,56091
chr6:54932,6,54932,48919,57460
chr6:62743,6,62743,55876,73433
chr6:62990,6,62990,57460,71997
chr6:64449,6,64449,57460,73433
chr6:65043,6,65043,62743,73433
chr6:65125,6,65125,62743,73433
chr6:65183,6,65183,57460,74406
chr6:66460,6,66460,62743,74406
chr6:71471,6,71471,62743,74913
chr6:71997,6,71997,62743,74913
chr6:73357,6,73357,67184,73433
chr6:73433,6,73433,62743,75397
chr6:74406,6,74406,65183,75397
chr6:74485,6,74485,73433,75397
chr6:74913,6,74913,67184,75397
chr6:75397,6,75397,73433,75397
chr6:76526,6,76526,76427,76526
chr6:79955,6,79955,78316,88475
chr6:91505,6,91505,83761,92208
chr6:95926,6,95926,95448,95926
chr6:98668,6,98668,98668,101478
chr6:98707,6,98707,98707,98707
chr6:99153,6,99153,99153,99153
chr6:106653,6,106653,101306,111711
chr6:115037,6,115037,111439,123079
chr6:168223,6,168223,146131,173904
chr6:168360,6,168360,168335,168360
chr6:168572,6,168572,146131,173904
chr6:173904,6,173904,167198,180643
chr6:179345,6,179345,179345,179345
chr6:184860,6,184860,175273,193671
chr6:199005,6,199005,199005,203342
chr6:201882,6,201882,199005,203342
chr6:208815,6,208815,208815,208850
chr6:212247,6,212247,211447,216365
chr6:229567,6,229567,229335,232479
chr6:231725,6,231725,229335,240985
chr6:233698,6,233698,231725,240985
chr6:244245,6,244245,236114,251165
chr6:245636,6,245636,240423,252271
chr6:245962,6,245962,245962,245962
chr6:245963,6,245963,245963,245963
chr6:253516,6,253516,248124,264000
chr6:259953,6,259953,251165,270091
chr6:265477,6,265477,251165,270091
chr6:266627,6,266627,252271,270091
chr6:270091,6,270091,256493,270091
chr6:270110,6,270110,270110,270110
chr6:270112,6,270112,270112,270112
chr6:270132,6,270132,270132,270132
chr7:595,7,595,595,16567
chr7:5119,7,5119,595,20451
chr7:8780,7,8780,8780,8780
chr7:14747,7,14747,595,23383
chr7:17838,7,17838,17838,17843
chr7:17840,7,17840,17838,17843
chr7:17843,7,17843,17838,17843
chr7:19896,7,19896,1581,23383
chr7:33441,7,33441,23383,37288
chr7:34691,7,34691,23383,37288
chr7:34808,7,34808,23383,37288
chr7:36180,7,36180,23383,37288
chr7:42627,7,42627,37288,48435
chr7:43266,7,43266,41301,47250
chr7:45353,7,45353,45353,45353
chr7:47250,7,47250,42627,53544
chr7:65725,7,65725,62689,74414
chr7:70413,7,70413,62689,74414
chr7:80602,7,80602,80602,80602
chr7:80609,7,80609,80608,80609
chr7:98223,7,98223,92844,105525
chr7:103626,7,103626,98223,114462
chr7:115759,7,115759,101935,122646
chr7:122646,7,122646,109520,122646
chr7:128719,7,128719,128719,142863
chr7:140416,7,140416,128719,142935
chr7:142935,7,142935,129502,144443
chr7:154206,7,154206,149219,171892
chr7:154349,7,154349,149219,171892
chr7:173129,7,173129,164509,178295
chr7:174147,7,174147,158616,183625
chr7:206341,7,206341,206341,206341
chr7:209438,7,209438,199802,209438
chr7:255972,7,255972,250680,267569
chr7:272144,7,272144,272144,272365
chr7:275338,7,275338,274400,284441
chr7:307181,7,307181,307179,307209
chr7:307361,7,307361,307361,315634
chr7:308037,7,308037,307361,315634
chr7:321749,7,321749,315634,334340
chr7:323123,7,323123,315634,335709
chr7:324640,7,324640,315634,334340
chr7:326640,7,326640,315634,337273
chr7:329449,7,329449,315634,341488
chr7:331193,7,331193,315634,341488
chr7:333120,7,333120,320913,345530
chr7:335709,7,335709,323123,345530
chr7:336889,7,336889,326640,345530
chr7:356291,7,356291,351511,367665
chr7:362037,7,362037,355322,372094
chr7:362321,7,362321,354145,376215
chr7:365007,7,365007,355322,376215
chr7:366931,7,366931,356291,379511
chr7:367665,7,367665,355322,379511
chr7:371385,7,371385,359010,379511
chr7:377575,7,377575,372094,379511
chr7:377882,7,377882,366066,379511
chr7:379511,7,379511,366066,379511
chr7:390823,7,390823,389537,394456
chr7:394456,7,394456,389537,397324
chr7:394889,7,394889,394889,394889
chr7:397449,7,397449,395909,412413
