SNP	beta	abs_beta	PPI	DRUG	LD050_ID	cis_PPI_genes	cis_trans
1093	-0.649302827	0.649302827	['ADE17', 'PGM2']	Trifluoperazine	LD050_291		trans
1097	-0.695476542	0.695476542	['ADE17', 'PGM2']	Trifluoperazine	LD050_293		trans
1103	-0.603807802	0.603807802	['ADE17', 'PGM2']	Trifluoperazine	LD050_294		trans
10207	-0.593035517	0.593035517	['ADE17', 'PGM2']	Trifluoperazine	LD050_2081		trans
10212	-0.580191045	0.580191045	['ADE17', 'PGM2']	Trifluoperazine	LD050_2082		trans
10842	-0.533036542	0.533036542	['ADE17', 'PGM2']	Trifluoperazine	LD050_2201	TPO4	trans
10853	-0.577217299	0.577217299	['ADE17', 'PGM2']	Trifluoperazine	LD050_2204		trans
10861	-1.325353565	1.325353565	['ADE17', 'PGM2']	Trifluoperazine	LD050_2205		trans
10865	-0.584102813	0.584102813	['ADE17', 'PGM2']	Trifluoperazine	LD050_2206		trans
1093	-0.504355343	0.504355343	['ADE17', 'PGM2']	noDrug	LD050_291		trans
1096	-0.583791104	0.583791104	['ADE17', 'PGM2']	noDrug	LD050_293		trans
1103	-0.568276373	0.568276373	['ADE17', 'PGM2']	noDrug	LD050_294		trans
10207	-0.560292459	0.560292459	['ADE17', 'PGM2']	noDrug	LD050_2081		trans
10212	-0.655080404	0.655080404	['ADE17', 'PGM2']	noDrug	LD050_2082		trans
10855	-0.500377952	0.500377952	['ADE17', 'PGM2']	noDrug	LD050_2204		trans
10861	-1.035483101	1.035483101	['ADE17', 'PGM2']	noDrug	LD050_2205		trans
2866	-0.618766116	0.618766116	['ALO1', 'ADE17']	5-FC	LD050_607		trans
5734	-0.667930125	0.667930125	['ALO1', 'ADE17']	5-FC	LD050_1215		trans
5747	-0.716956424	0.716956424	['ALO1', 'ADE17']	5-FC	LD050_1216		trans
5766	-0.70500492	0.70500492	['ALO1', 'ADE17']	5-FC	LD050_1219		trans
5779	-0.701719158	0.701719158	['ALO1', 'ADE17']	5-FC	LD050_1223		trans
10419	-0.760577861	0.760577861	['ALO1', 'ADE17']	5-FC	LD050_2139		trans
11910	-0.714236331	0.714236331	['ALO1', 'ADE17']	5-FC	LD050_2418		trans
11912	-0.663732694	0.663732694	['ALO1', 'ADE17']	5-FC	LD050_2420		trans
11940	-0.628069781	0.628069781	['ALO1', 'ADE17']	5-FC	LD050_2426		trans
11942	-0.648069467	0.648069467	['ALO1', 'ADE17']	5-FC	LD050_2428		trans
2528	0.670601324	0.670601324	['ALO1', 'ADE17']	Fluconazole	LD050_537		trans
5693	-0.704412211	0.704412211	['ALO1', 'ADE17']	Fluconazole	LD050_1208	MAM33	trans
5704	-0.711954684	0.711954684	['ALO1', 'ADE17']	Fluconazole	LD050_1210		trans
5716	-1.325522539	1.325522539	['ALO1', 'ADE17']	Fluconazole	LD050_1211		trans
5721	-0.663241049	0.663241049	['ALO1', 'ADE17']	Fluconazole	LD050_1212		trans
5732	-0.838136636	0.838136636	['ALO1', 'ADE17']	Fluconazole	LD050_1215		trans
2528	0.524813304	0.524813304	['ALO1', 'ADE17']	Metformin	LD050_537		trans
5734	-0.524286711	0.524286711	['ALO1', 'ADE17']	Metformin	LD050_1215		trans
11903	-0.549320546	0.549320546	['ALO1', 'ADE17']	Metformin	LD050_2418		trans
11912	-0.516350796	0.516350796	['ALO1', 'ADE17']	Metformin	LD050_2420		trans
11918	-0.794341768	0.794341768	['ALO1', 'ADE17']	Metformin	LD050_2421		trans
11927	-0.528265517	0.528265517	['ALO1', 'ADE17']	Metformin	LD050_2424		trans
11940	-0.542141429	0.542141429	['ALO1', 'ADE17']	Metformin	LD050_2426		trans
11942	-0.584328853	0.584328853	['ALO1', 'ADE17']	Metformin	LD050_2428		trans
5734	-0.645805735	0.645805735	['ALO1', 'ADE17']	Trifluoperazine	LD050_1215		trans
5747	-0.612513886	0.612513886	['ALO1', 'ADE17']	Trifluoperazine	LD050_1216		trans
5766	-0.604125975	0.604125975	['ALO1', 'ADE17']	Trifluoperazine	LD050_1219		trans
5779	-0.586845365	0.586845365	['ALO1', 'ADE17']	Trifluoperazine	LD050_1223		trans
11910	-0.640201281	0.640201281	['ALO1', 'ADE17']	Trifluoperazine	LD050_2418		trans
11912	-0.620483129	0.620483129	['ALO1', 'ADE17']	Trifluoperazine	LD050_2420		trans
11921	-0.603890739	0.603890739	['ALO1', 'ADE17']	Trifluoperazine	LD050_2422		trans
11927	-0.615787451	0.615787451	['ALO1', 'ADE17']	Trifluoperazine	LD050_2424		trans
11940	-0.644210349	0.644210349	['ALO1', 'ADE17']	Trifluoperazine	LD050_2426		trans
11942	-0.659480694	0.659480694	['ALO1', 'ADE17']	Trifluoperazine	LD050_2428		trans
5750	-0.664125436	0.664125436	['ALO1', 'ADE17']	noDrug	LD050_1216		trans
5779	-0.659866676	0.659866676	['ALO1', 'ADE17']	noDrug	LD050_1223		trans
11910	-0.744102108	0.744102108	['ALO1', 'ADE17']	noDrug	LD050_2418		trans
11912	-0.72591937	0.72591937	['ALO1', 'ADE17']	noDrug	LD050_2420		trans
11922	-0.665145537	0.665145537	['ALO1', 'ADE17']	noDrug	LD050_2422		trans
11927	-0.709918036	0.709918036	['ALO1', 'ADE17']	noDrug	LD050_2424		trans
11940	-0.732559504	0.732559504	['ALO1', 'ADE17']	noDrug	LD050_2426		trans
11942	-0.764341729	0.764341729	['ALO1', 'ADE17']	noDrug	LD050_2428		trans
5792	-0.535033186	0.535033186	['ALO1', 'HYR1']	5-FC	LD050_1226		trans
10438	-0.939086382	0.939086382	['ALO1', 'HYR1']	5-FC	LD050_2147		trans
11929	-0.571681977	0.571681977	['ALO1', 'HYR1']	5-FC	LD050_2424		trans
11940	-0.554589201	0.554589201	['ALO1', 'HYR1']	5-FC	LD050_2426		trans
11945	-0.554170283	0.554170283	['ALO1', 'HYR1']	5-FC	LD050_2428		trans
1784	1.401887527	1.401887527	['ALO1', 'HYR1']	Fluconazole	LD050_445		trans
5745	-0.66083254	0.66083254	['ALO1', 'HYR1']	Fluconazole	LD050_1216		trans
8898	-0.648596716	0.648596716	['ALO1', 'HYR1']	Fluconazole	LD050_1821		trans
10216	-0.687016277	0.687016277	['ALO1', 'HYR1']	Fluconazole	LD050_2083		trans
11711	0.656108772	0.656108772	['ALO1', 'HYR1']	Fluconazole	LD050_2378		trans
11912	-0.629977903	0.629977903	['ALO1', 'HYR1']	Fluconazole	LD050_2420		trans
11940	-0.611644231	0.611644231	['ALO1', 'HYR1']	Fluconazole	LD050_2426		trans
11946	-0.631393877	0.631393877	['ALO1', 'HYR1']	Fluconazole	LD050_2428		trans
2530	0.481206138	0.481206138	['ALO1', 'HYR1']	Metformin	LD050_537		trans
5792	-0.468369867	0.468369867	['ALO1', 'HYR1']	Metformin	LD050_1226		trans
10389	0.808421594	0.808421594	['ALO1', 'HYR1']	noDrug	LD050_2127		trans
10438	-0.912223589	0.912223589	['ALO1', 'HYR1']	noDrug	LD050_2147		trans
11909	-0.569897102	0.569897102	['ALO1', 'HYR1']	noDrug	LD050_2418		trans
11912	-0.623881887	0.623881887	['ALO1', 'HYR1']	noDrug	LD050_2420		trans
11920	-0.586828911	0.586828911	['ALO1', 'HYR1']	noDrug	LD050_2422		trans
11929	-0.620089713	0.620089713	['ALO1', 'HYR1']	noDrug	LD050_2424		trans
11940	-0.618596348	0.618596348	['ALO1', 'HYR1']	noDrug	LD050_2426		trans
11945	-0.600224926	0.600224926	['ALO1', 'HYR1']	noDrug	LD050_2428		trans
6985	0.648233074	0.648233074	['ALO1', 'UIP4']	5-FC	LD050_1443		trans
6987	0.627095125	0.627095125	['ALO1', 'UIP4']	5-FC	LD050_1445		trans
10419	-0.751060835	0.751060835	['ALO1', 'UIP4']	5-FC	LD050_2139		trans
10425	-0.64531408	0.64531408	['ALO1', 'UIP4']	5-FC	LD050_2143		trans
10438	-1.053650252	1.053650252	['ALO1', 'UIP4']	5-FC	LD050_2147		trans
10480	-0.720731034	0.720731034	['ALO1', 'UIP4']	5-FC	LD050_2157		trans
11897	-0.68325472	0.68325472	['ALO1', 'UIP4']	5-FC	LD050_2418		trans
11912	-0.679810481	0.679810481	['ALO1', 'UIP4']	5-FC	LD050_2420		trans
11940	-0.63979367	0.63979367	['ALO1', 'UIP4']	5-FC	LD050_2426		trans
1784	1.173047184	1.173047184	['ALO1', 'UIP4']	Fluconazole	LD050_445		trans
11912	-0.574406482	0.574406482	['ALO1', 'UIP4']	Fluconazole	LD050_2420		trans
11918	-0.931055407	0.931055407	['ALO1', 'UIP4']	Fluconazole	LD050_2421		trans
11935	-0.578813596	0.578813596	['ALO1', 'UIP4']	Fluconazole	LD050_2426		trans
11946	-0.61415972	0.61415972	['ALO1', 'UIP4']	Fluconazole	LD050_2428		trans
8522	-0.802114416	0.802114416	['ALO1', 'UIP4']	Metformin	LD050_1763	ALO1	cis
10438	-0.871119858	0.871119858	['ALO1', 'UIP4']	Metformin	LD050_2147		trans
10480	-0.580997715	0.580997715	['ALO1', 'UIP4']	Metformin	LD050_2157		trans
11897	-0.525142938	0.525142938	['ALO1', 'UIP4']	Metformin	LD050_2418		trans
6985	0.587632641	0.587632641	['ALO1', 'UIP4']	Trifluoperazine	LD050_1443		trans
6989	0.56995044	0.56995044	['ALO1', 'UIP4']	Trifluoperazine	LD050_1445		trans
10438	-1.108831864	1.108831864	['ALO1', 'UIP4']	Trifluoperazine	LD050_2147		trans
10480	-0.564488442	0.564488442	['ALO1', 'UIP4']	Trifluoperazine	LD050_2157		trans
11912	-0.580768704	0.580768704	['ALO1', 'UIP4']	Trifluoperazine	LD050_2420		trans
11928	-0.564796447	0.564796447	['ALO1', 'UIP4']	Trifluoperazine	LD050_2424		trans
10417	-0.653774707	0.653774707	['ALO1', 'UIP4']	noDrug	LD050_2137		trans
10419	-0.785704956	0.785704956	['ALO1', 'UIP4']	noDrug	LD050_2139		trans
10420	-0.621118471	0.621118471	['ALO1', 'UIP4']	noDrug	LD050_2140		trans
10425	-0.69711944	0.69711944	['ALO1', 'UIP4']	noDrug	LD050_2143		trans
10438	-1.016240868	1.016240868	['ALO1', 'UIP4']	noDrug	LD050_2147		trans
10480	-0.618890874	0.618890874	['ALO1', 'UIP4']	noDrug	LD050_2157		trans
11897	-0.651432383	0.651432383	['ALO1', 'UIP4']	noDrug	LD050_2418		trans
11912	-0.651286605	0.651286605	['ALO1', 'UIP4']	noDrug	LD050_2420		trans
11928	-0.602280302	0.602280302	['ALO1', 'UIP4']	noDrug	LD050_2424		trans
11931	-1.217008384	1.217008384	['ALO1', 'UIP4']	noDrug	LD050_2425		trans
11944	-0.622673763	0.622673763	['ALO1', 'UIP4']	noDrug	LD050_2428		trans
10438	-0.824845591	0.824845591	['DHH1', 'LSM3']	5-FC	LD050_2147		trans
3134	0.613770124	0.613770124	['DHH1', 'LSM3']	Fluconazole	LD050_665		trans
3143	0.626616959	0.626616959	['DHH1', 'LSM3']	Fluconazole	LD050_667		trans
3144	1.458055304	1.458055304	['DHH1', 'LSM3']	Fluconazole	LD050_668		trans
4914	0.624449892	0.624449892	['DHH1', 'LSM3']	Fluconazole	LD050_1052		trans
9430	-0.582860666	0.582860666	['DHH1', 'LSM3']	Fluconazole	LD050_1911		trans
10419	-0.692679882	0.692679882	['DHH1', 'LSM3']	Fluconazole	LD050_2139		trans
10425	-0.628541633	0.628541633	['DHH1', 'LSM3']	Fluconazole	LD050_2143		trans
7115	-0.269925191	0.269925191	['DHH1', 'LSM3']	Metformin	LD050_1468		trans
7123	-0.308439893	0.308439893	['DHH1', 'LSM3']	Metformin	LD050_1470		trans
7128	-0.280485791	0.280485791	['DHH1', 'LSM3']	Metformin	LD050_1471		trans
5793	-1.091562269	1.091562269	['DHH1', 'LSM3']	noDrug	LD050_1227		trans
11897	-0.610518866	0.610518866	['DHH1', 'LSM3']	noDrug	LD050_2418		trans
9995	-1.1281231	1.1281231	['ERG11', 'ACF2']	5-FC	LD050_2033		trans
10389	0.769108732	0.769108732	['ERG11', 'ACF2']	5-FC	LD050_2127		trans
10419	-0.657961996	0.657961996	['ERG11', 'ACF2']	5-FC	LD050_2139		trans
10438	-0.940397843	0.940397843	['ERG11', 'ACF2']	5-FC	LD050_2147		trans
11910	-0.598399617	0.598399617	['ERG11', 'ACF2']	5-FC	LD050_2418		trans
11912	-0.597531359	0.597531359	['ERG11', 'ACF2']	5-FC	LD050_2420		trans
11924	-0.559079149	0.559079149	['ERG11', 'ACF2']	5-FC	LD050_2422		trans
11928	-0.57794965	0.57794965	['ERG11', 'ACF2']	5-FC	LD050_2424		trans
11931	-1.201058569	1.201058569	['ERG11', 'ACF2']	5-FC	LD050_2425		trans
11940	-0.625071678	0.625071678	['ERG11', 'ACF2']	5-FC	LD050_2426		trans
11946	-0.639489074	0.639489074	['ERG11', 'ACF2']	5-FC	LD050_2428		trans
3129	0.481753934	0.481753934	['ERG11', 'ACF2']	Fluconazole	LD050_665		trans
3136	0.49249057	0.49249057	['ERG11', 'ACF2']	Fluconazole	LD050_667		trans
3757	-0.596117426	0.596117426	['ERG11', 'ACF2']	Fluconazole	LD050_783		trans
4732	1.08280352	1.08280352	['ERG11', 'ACF2']	Metformin	LD050_1004		trans
10419	-0.628382061	0.628382061	['ERG11', 'ACF2']	Metformin	LD050_2139		trans
10425	-0.535970745	0.535970745	['ERG11', 'ACF2']	Metformin	LD050_2143		trans
10438	-0.921855552	0.921855552	['ERG11', 'ACF2']	Metformin	LD050_2147		trans
10480	-0.527043166	0.527043166	['ERG11', 'ACF2']	Metformin	LD050_2157		trans
11917	-1.000995361	1.000995361	['ERG11', 'ACF2']	Metformin	LD050_2421		trans
6983	0.57867792	0.57867792	['ERG11', 'ACF2']	Trifluoperazine	LD050_1443		trans
10425	-0.51617317	0.51617317	['ERG11', 'ACF2']	Trifluoperazine	LD050_2143		trans
10438	-0.922678095	0.922678095	['ERG11', 'ACF2']	Trifluoperazine	LD050_2147		trans
10389	0.743577274	0.743577274	['ERG11', 'ACF2']	noDrug	LD050_2127		trans
10438	-0.894086526	0.894086526	['ERG11', 'ACF2']	noDrug	LD050_2147		trans
11910	-0.613608386	0.613608386	['ERG11', 'ACF2']	noDrug	LD050_2418		trans
11912	-0.57531933	0.57531933	['ERG11', 'ACF2']	noDrug	LD050_2420		trans
11921	-0.521706575	0.521706575	['ERG11', 'ACF2']	noDrug	LD050_2422		trans
11940	-0.542345292	0.542345292	['ERG11', 'ACF2']	noDrug	LD050_2426		trans
11946	-0.565271051	0.565271051	['ERG11', 'ACF2']	noDrug	LD050_2428		trans
9717	1.265421219	1.265421219	['ERG11', 'ERG5']	Fluconazole	LD050_1966		trans
11900	-0.450814284	0.450814284	['ERG11', 'ERG5']	Fluconazole	LD050_2418		trans
11912	-0.470481797	0.470481797	['ERG11', 'ERG5']	Fluconazole	LD050_2420		trans
11918	-0.635726349	0.635726349	['ERG11', 'ERG5']	Fluconazole	LD050_2421		trans
11921	-0.442645641	0.442645641	['ERG11', 'ERG5']	Fluconazole	LD050_2422		trans
11926	-0.425632944	0.425632944	['ERG11', 'ERG5']	Fluconazole	LD050_2424		trans
8795	0.274926308	0.274926308	['ERG11', 'ERG5']	Metformin	LD050_1807		trans
10262	-1.038612466	1.038612466	['ERG11', 'ERG5']	Metformin	LD050_2105		trans
10438	-0.493444927	0.493444927	['ERG11', 'ERG5']	Trifluoperazine	LD050_2147		trans
10456	-0.929550634	0.929550634	['ERG11', 'ERG5']	Trifluoperazine	LD050_2151		trans
10480	-0.309114311	0.309114311	['ERG11', 'ERG5']	Trifluoperazine	LD050_2157		trans
8471	-0.488889771	0.488889771	['ERG11', 'ERG5']	noDrug	LD050_1760	ALO1	trans
10480	-0.422586295	0.422586295	['ERG11', 'ERV25']	5-FC	LD050_2157		trans
3815	0.50021191	0.50021191	['ERG11', 'ERV25']	Fluconazole	LD050_796	RET2	trans
10104	-0.897315115	0.897315115	['ERG11', 'ERV25']	Fluconazole	LD050_2067		trans
3141	0.287433384	0.287433384	['ERG11', 'ERV25']	Metformin	LD050_667		trans
3148	0.27300292	0.27300292	['ERG11', 'ERV25']	Metformin	LD050_670		trans
648	0.429143668	0.429143668	['ERG11', 'ERV25']	noDrug	LD050_152		trans
667	0.948079372	0.948079372	['ERG11', 'ERV25']	noDrug	LD050_159		trans
3871	0.710971404	0.710971404	['ERG11', 'ERV25']	noDrug	LD050_813		trans
4116	-0.915622524	0.915622524	['ERG11', 'ERV25']	noDrug	LD050_881		trans
6201	-0.766103648	0.766103648	['ERG11', 'ERV25']	noDrug	LD050_1325		trans
10480	-0.437315995	0.437315995	['ERG11', 'ERV25']	noDrug	LD050_2157		trans
10862	-0.421775136	0.421775136	['ERG11', 'ERV25']	noDrug	LD050_2206		trans
7455	-0.302214469	0.302214469	['ERG11', 'HYR1']	5-FC	LD050_1537		trans
7936	0.937062438	0.937062438	['ERG11', 'HYR1']	5-FC	LD050_1635		trans
11395	-0.539438787	0.539438787	['ERG11', 'HYR1']	5-FC	LD050_2327		trans
1784	0.938947975	0.938947975	['ERG11', 'HYR1']	Fluconazole	LD050_445		trans
3951	-0.44817073	0.44817073	['ERG11', 'HYR1']	Fluconazole	LD050_836		trans
4290	0.462088778	0.462088778	['ERG11', 'HYR1']	Fluconazole	LD050_922	PMC1	trans
4891	0.464346575	0.464346575	['ERG11', 'HYR1']	Fluconazole	LD050_1041		trans
4972	0.465339011	0.465339011	['ERG11', 'HYR1']	Fluconazole	LD050_1061	ERG11	cis
9574	1.168105637	1.168105637	['ERG11', 'HYR1']	Fluconazole	LD050_1931		trans
10438	-0.542460351	0.542460351	['ERG11', 'HYR1']	Trifluoperazine	LD050_2147		trans
9553	-0.368761874	0.368761874	['ERG11', 'HYR1']	noDrug	LD050_1929		trans
10438	-0.687680581	0.687680581	['ERG11', 'HYR1']	noDrug	LD050_2147		trans
10438	-0.73615625	0.73615625	['ERG11', 'MID2']	5-FC	LD050_2147		trans
10456	-1.39997688	1.39997688	['ERG11', 'MID2']	5-FC	LD050_2151		trans
10480	-0.487860369	0.487860369	['ERG11', 'MID2']	5-FC	LD050_2157		trans
4285	0.463345741	0.463345741	['ERG11', 'MID2']	Fluconazole	LD050_918		trans
4290	0.472782738	0.472782738	['ERG11', 'MID2']	Fluconazole	LD050_922	PMC1	trans
9430	-0.454167713	0.454167713	['ERG11', 'MID2']	Fluconazole	LD050_1911		trans
9793	0.446199525	0.446199525	['ERG11', 'MID2']	Fluconazole	LD050_1992		trans
1147	0.313735218	0.313735218	['ERG11', 'MID2']	Metformin	LD050_307		trans
8774	0.273762895	0.273762895	['ERG11', 'MID2']	Metformin	LD050_1805	PGM2	trans
9283	-0.268597877	0.268597877	['ERG11', 'MID2']	Metformin	LD050_1896		trans
10438	-0.844600009	0.844600009	['ERG11', 'MID2']	Trifluoperazine	LD050_2147		trans
10456	-1.641374523	1.641374523	['ERG11', 'MID2']	Trifluoperazine	LD050_2151		trans
10480	-0.518760905	0.518760905	['ERG11', 'MID2']	Trifluoperazine	LD050_2157		trans
11899	-0.49782393	0.49782393	['ERG11', 'MID2']	Trifluoperazine	LD050_2418		trans
11912	-0.481335028	0.481335028	['ERG11', 'MID2']	Trifluoperazine	LD050_2420		trans
10480	-0.565697035	0.565697035	['ERG11', 'MID2']	noDrug	LD050_2157		trans
8792	0.480509401	0.480509401	['ERG11', 'ORM2']	5-FC	LD050_1805	PGM2	trans
8795	0.501939111	0.501939111	['ERG11', 'ORM2']	5-FC	LD050_1807		trans
8797	0.474276541	0.474276541	['ERG11', 'ORM2']	5-FC	LD050_1809	ADE17	trans
8810	0.532774041	0.532774041	['ERG11', 'ORM2']	5-FC	LD050_1811	ADE17	trans
11873	-1.835347024	1.835347024	['ERG11', 'ORM2']	5-FC	LD050_2416		trans
11910	-0.549697844	0.549697844	['ERG11', 'ORM2']	5-FC	LD050_2418		trans
11912	-0.606341027	0.606341027	['ERG11', 'ORM2']	5-FC	LD050_2420		trans
11917	-0.911267845	0.911267845	['ERG11', 'ORM2']	5-FC	LD050_2421		trans
11924	-0.543281492	0.543281492	['ERG11', 'ORM2']	5-FC	LD050_2422		trans
11928	-0.566592565	0.566592565	['ERG11', 'ORM2']	5-FC	LD050_2424		trans
11931	-1.104338848	1.104338848	['ERG11', 'ORM2']	5-FC	LD050_2425		trans
11940	-0.531906882	0.531906882	['ERG11', 'ORM2']	5-FC	LD050_2426		trans
11943	-0.552203506	0.552203506	['ERG11', 'ORM2']	5-FC	LD050_2428		trans
819	0.508264363	0.508264363	['ERG11', 'ORM2']	Fluconazole	LD050_199		trans
2015	0.513286045	0.513286045	['ERG11', 'ORM2']	Fluconazole	LD050_483		trans
3847	0.503526013	0.503526013	['ERG11', 'ORM2']	Fluconazole	LD050_802		trans
4852	0.498385309	0.498385309	['ERG11', 'ORM2']	Fluconazole	LD050_1036		trans
4901	0.478470816	0.478470816	['ERG11', 'ORM2']	Fluconazole	LD050_1045		trans
4904	0.478624569	0.478624569	['ERG11', 'ORM2']	Fluconazole	LD050_1047		trans
4978	0.497536302	0.497536302	['ERG11', 'ORM2']	Fluconazole	LD050_1061	ERG11	cis
4198	-0.280660866	0.280660866	['ERG11', 'ORM2']	Metformin	LD050_900		trans
4206	-0.29539375	0.29539375	['ERG11', 'ORM2']	Metformin	LD050_902		trans
4209	-0.29192578	0.29192578	['ERG11', 'ORM2']	Metformin	LD050_905		trans
4223	-0.326621323	0.326621323	['ERG11', 'ORM2']	Metformin	LD050_907		trans
4532	-0.28109405	0.28109405	['ERG11', 'ORM2']	Metformin	LD050_961	TPO2	trans
5668	-0.274120574	0.274120574	['ERG11', 'ORM2']	Metformin	LD050_1204		trans
5671	-0.278778237	0.278778237	['ERG11', 'ORM2']	Metformin	LD050_1206		trans
8792	0.400423781	0.400423781	['ERG11', 'ORM2']	Metformin	LD050_1805	PGM2	trans
8795	0.353721599	0.353721599	['ERG11', 'ORM2']	Metformin	LD050_1807		trans
8799	0.412412063	0.412412063	['ERG11', 'ORM2']	Metformin	LD050_1809	ADE17	trans
8810	0.401646805	0.401646805	['ERG11', 'ORM2']	Metformin	LD050_1811	ADE17	trans
657	0.461538959	0.461538959	['ERG11', 'ORM2']	Trifluoperazine	LD050_155		trans
8792	0.526999588	0.526999588	['ERG11', 'ORM2']	Trifluoperazine	LD050_1805	PGM2	trans
8794	0.527110163	0.527110163	['ERG11', 'ORM2']	Trifluoperazine	LD050_1807		trans
8802	0.525324641	0.525324641	['ERG11', 'ORM2']	Trifluoperazine	LD050_1809	ADE17	trans
8810	0.516702185	0.516702185	['ERG11', 'ORM2']	Trifluoperazine	LD050_1811	ADE17	trans
10438	-0.774645212	0.774645212	['ERG11', 'ORM2']	Trifluoperazine	LD050_2147		trans
11909	-0.546242742	0.546242742	['ERG11', 'ORM2']	Trifluoperazine	LD050_2418		trans
11912	-0.531551774	0.531551774	['ERG11', 'ORM2']	Trifluoperazine	LD050_2420		trans
11921	-0.548704771	0.548704771	['ERG11', 'ORM2']	Trifluoperazine	LD050_2422		trans
11928	-0.539724324	0.539724324	['ERG11', 'ORM2']	Trifluoperazine	LD050_2424		trans
11931	-1.02969757	1.02969757	['ERG11', 'ORM2']	Trifluoperazine	LD050_2425		trans
11944	-0.456490365	0.456490365	['ERG11', 'ORM2']	Trifluoperazine	LD050_2428		trans
8792	0.549444786	0.549444786	['ERG11', 'ORM2']	noDrug	LD050_1805	PGM2	trans
10438	-1.088830687	1.088830687	['ERG11', 'ORM2']	noDrug	LD050_2147		trans
10456	-1.721923014	1.721923014	['ERG11', 'ORM2']	noDrug	LD050_2151		trans
10480	-0.645911186	0.645911186	['ERG11', 'ORM2']	noDrug	LD050_2157		trans
11912	-0.584168099	0.584168099	['ERG11', 'ORM2']	noDrug	LD050_2420		trans
11928	-0.571165712	0.571165712	['ERG11', 'ORM2']	noDrug	LD050_2424		trans
11931	-1.149824416	1.149824416	['ERG11', 'ORM2']	noDrug	LD050_2425		trans
8522	-0.803774446	0.803774446	['ERG11', 'PIS1']	5-FC	LD050_1763	ALO1	trans
10438	-0.980175104	0.980175104	['ERG11', 'PIS1']	5-FC	LD050_2147		trans
10480	-0.586631464	0.586631464	['ERG11', 'PIS1']	5-FC	LD050_2157		trans
11912	-0.545530723	0.545530723	['ERG11', 'PIS1']	5-FC	LD050_2420		trans
4976	0.491823818	0.491823818	['ERG11', 'PIS1']	Fluconazole	LD050_1061	ERG11	cis
7226	-0.29959742	0.29959742	['ERG11', 'PIS1']	Metformin	LD050_1500		trans
8522	-0.457903491	0.457903491	['ERG11', 'PIS1']	Metformin	LD050_1763	ALO1	trans
8792	0.288584832	0.288584832	['ERG11', 'PIS1']	Metformin	LD050_1805	PGM2	trans
8805	0.324888753	0.324888753	['ERG11', 'PIS1']	Metformin	LD050_1809	ADE17	trans
8816	0.317269101	0.317269101	['ERG11', 'PIS1']	Metformin	LD050_1811	ADE17	trans
8522	-0.804698648	0.804698648	['ERG11', 'PIS1']	Trifluoperazine	LD050_1763	ALO1	trans
10425	-0.500647084	0.500647084	['ERG11', 'PIS1']	Trifluoperazine	LD050_2143		trans
10438	-0.930693987	0.930693987	['ERG11', 'PIS1']	Trifluoperazine	LD050_2147		trans
10480	-0.502768305	0.502768305	['ERG11', 'PIS1']	Trifluoperazine	LD050_2157		trans
11912	-0.503126814	0.503126814	['ERG11', 'PIS1']	Trifluoperazine	LD050_2420		trans
10438	-1.009384581	1.009384581	['ERG11', 'PIS1']	noDrug	LD050_2147		trans
