,Uniprot_InteractorA,Uniprot_InteractorB,Confidence.value.s.,InteractorA,InteractorB
1242,uniprotkb:P48232,uniprotkb:P25344,intact-miscore:0.37,YNL086W,YCL032W
1328,uniprotkb:Q12466,uniprotkb:P43603,author score:34149.136744800002|intact-miscore:0.44,YOR086C,YFR024C-A
1384,uniprotkb:P53867,uniprotkb:P09733,intact-miscore:0.37,YNL223W,YML085C
1385,uniprotkb:P02557,uniprotkb:P53867,intact-miscore:0.37,YFL037W,YNL223W
1425,uniprotkb:Q07732,uniprotkb:P53267,intact-miscore:0.37,YDL239C,YGR113W
1430,uniprotkb:P53267,uniprotkb:P47822,intact-miscore:0.37,YGR113W,YDR308C
1431,uniprotkb:P53267,uniprotkb:P25344,intact-miscore:0.37,YGR113W,YCL032W
1438,uniprotkb:P53267,uniprotkb:P40094,intact-miscore:0.37,YGR113W,YER157W
1442,uniprotkb:P53267,uniprotkb:P53267,intact-miscore:0.51,YGR113W,YGR113W
1475,uniprotkb:Q04048,uniprotkb:Q04048,intact-miscore:0.37,YDR416W,YDR416W
1653,uniprotkb:P14359,uniprotkb:P43603,intact-miscore:0.37,YJL151C,YFR024C-A
1712,uniprotkb:P00359,uniprotkb:Q04439,intact-miscore:0.37,YGR192C,YMR109W
1715,uniprotkb:Q04439,uniprotkb:P40073,intact-miscore:0.37,YMR109W,YER118C
1719,uniprotkb:P18494,uniprotkb:P40073,intact-miscore:0.37,YER040W,YER118C
1721,uniprotkb:P53297,uniprotkb:P40073,intact-miscore:0.37,YGR178C,YER118C
1746,uniprotkb:P39940,uniprotkb:Q12446,intact-miscore:0.37,YER125W,YOR181W
1752,uniprotkb:Q12446,uniprotkb:P47068,author score:Below 1|intact-miscore:0.68,YOR181W,YJL020C
1761,uniprotkb:P34230,uniprotkb:P34230,intact-miscore:0.40,YKL188C,YKL188C
1885,uniprotkb:P33203,uniprotkb:P33203,intact-miscore:0.40,YKL012W,YKL012W
1920,uniprotkb:P00958,uniprotkb:P00958,intact-miscore:0.40,YGR264C,YGR264C
1946,uniprotkb:P32486,uniprotkb:Q12446,intact-miscore:0.40,YPR159W,YOR181W
2017,uniprotkb:P23900,uniprotkb:P25619,intact-miscore:0.37,YLL043W,YCR021C
2581,uniprotkb:P38264,uniprotkb:P02829,intact-miscore:0.56,YBR106W,YPL240C
2600,uniprotkb:P39007,uniprotkb:P02829,intact-miscore:0.40,YGL022W,YPL240C
2601,uniprotkb:P19807,uniprotkb:P02829,intact-miscore:0.40,YGL077C,YPL240C
2602,uniprotkb:P46672,uniprotkb:P02829,intact-miscore:0.56,YGL105W,YPL240C
2606,uniprotkb:P00359,uniprotkb:P02829,intact-miscore:0.56,YGR192C,YPL240C
2616,uniprotkb:Q02201,uniprotkb:P02829,intact-miscore:0.40,YKR003W,YPL240C
2618,uniprotkb:P10592,uniprotkb:P02829,intact-miscore:0.67,YLL024C,YPL240C
2634,uniprotkb:Q08409,uniprotkb:P02829,intact-miscore:0.40,YOR011W,YPL240C
2681,uniprotkb:Q07732,uniprotkb:P02829,intact-miscore:0.55,YDL239C,YPL240C
2696,uniprotkb:P22224,uniprotkb:P02829,intact-miscore:0.37,YGL233W,YPL240C
2705,uniprotkb:P02829,uniprotkb:P38866,intact-miscore:0.55,YPL240C,YHR176W
2724,uniprotkb:Q06410,uniprotkb:P02829,intact-miscore:0.37,YLR423C,YPL240C
2924,uniprotkb:P10592,uniprotkb:Q02201,intact-miscore:0.40,YLL024C,YKR003W
2950,uniprotkb:P10592,uniprotkb:Q06523,intact-miscore:0.40,YLL024C,YPR148C
2966,uniprotkb:P10592,uniprotkb:P20438,intact-miscore:0.56,YLL024C,YPL256C
2991,uniprotkb:P02994,uniprotkb:P53867,intact-miscore:0.40,YBR118W,YNL223W
3009,uniprotkb:P09733,uniprotkb:Q12486,intact-miscore:0.40,YML085C,YOR131C
3052,uniprotkb:P0CS90,uniprotkb:P32335,intact-miscore:0.56,YJR045C,YLR203C
3084,uniprotkb:P10592,uniprotkb:P07143,intact-miscore:0.40,YLL024C,YOR065W
3198,uniprotkb:Q00955,uniprotkb:P39676,intact-miscore:0.27,YNR016C,YGR234W
3200,uniprotkb:Q00955,uniprotkb:P02829,intact-miscore:0.27,YNR016C,YPL240C
3204,uniprotkb:Q00955,uniprotkb:P07283,intact-miscore:0.27,YNR016C,YFL045C
3213,uniprotkb:Q00955,uniprotkb:Q07527,intact-miscore:0.27,YNR016C,YDL112W
3400,uniprotkb:P00830,uniprotkb:P09733,intact-miscore:0.27,YJR121W,YML085C
3426,uniprotkb:P18239,uniprotkb:P11972,intact-miscore:0.27,YBL030C,YLR452C
3688,uniprotkb:P38737,uniprotkb:P25045,intact-miscore:0.27,YHL030W,YMR296C
3698,uniprotkb:P38737,uniprotkb:P33302,intact-miscore:0.27,YHL030W,YOR153W
3699,uniprotkb:P38737,uniprotkb:P26570,intact-miscore:0.27,YHL030W,YML016C
3701,uniprotkb:P38737,uniprotkb:P09733,intact-miscore:0.27,YHL030W,YML085C
3705,uniprotkb:P38737,uniprotkb:P53278,intact-miscore:0.27,YHL030W,YGR130C
3714,uniprotkb:Q12449,uniprotkb:P11972,intact-miscore:0.27,YDR214W,YLR452C
3893,uniprotkb:Q00955,uniprotkb:Q12449,intact-miscore:0.27,YNR016C,YDR214W
3895,uniprotkb:Q00955,uniprotkb:P38737,intact-miscore:0.27,YNR016C,YHL030W
3903,uniprotkb:Q00955,uniprotkb:P08518,intact-miscore:0.27,YNR016C,YOR151C
3908,uniprotkb:Q00955,uniprotkb:P09733,intact-miscore:0.27,YNR016C,YML085C
4184,uniprotkb:Q00955,uniprotkb:P04821,intact-miscore:0.27,YNR016C,YLR310C
4186,uniprotkb:Q00955,uniprotkb:P16521,intact-miscore:0.27,YNR016C,YLR249W
4197,uniprotkb:P32582,uniprotkb:Q03103,intact-miscore:0.27,YGR155W,YML130C
4198,uniprotkb:P32582,uniprotkb:Q04410,intact-miscore:0.27,YGR155W,YDR517W
4199,uniprotkb:P32582,uniprotkb:Q99257,intact-miscore:0.27,YGR155W,YPL169C
4200,uniprotkb:P32582,uniprotkb:P35729,intact-miscore:0.27,YGR155W,YKL057C
4201,uniprotkb:P32582,uniprotkb:P49687,intact-miscore:0.27,YGR155W,YGL092W
4202,uniprotkb:P32582,uniprotkb:P52891,intact-miscore:0.27,YGR155W,YDL116W
4203,uniprotkb:P32582,uniprotkb:P46673,intact-miscore:0.27,YGR155W,YJR042W
4204,uniprotkb:P32582,uniprotkb:Q04491,intact-miscore:0.27,YGR155W,YLR208W
4205,uniprotkb:P32582,uniprotkb:P48415,intact-miscore:0.27,YGR155W,YPL085W
4206,uniprotkb:P32582,uniprotkb:P15303,intact-miscore:0.27,YGR155W,YPR181C
4207,uniprotkb:P32582,uniprotkb:P40482,intact-miscore:0.44,YGR155W,YIL109C
4208,uniprotkb:P32582,uniprotkb:P38968,intact-miscore:0.27,YGR155W,YDL195W
4209,uniprotkb:P32582,uniprotkb:P53011,intact-miscore:0.27,YGR155W,YGL100W
4210,uniprotkb:P32582,uniprotkb:P53953,intact-miscore:0.27,YGR155W,YNL049C
4211,uniprotkb:P32582,uniprotkb:P39007,intact-miscore:0.27,YGR155W,YGL022W
4232,uniprotkb:P32898,uniprotkb:Q12329,intact-miscore:0.44,YDR430C,YDR171W
4251,uniprotkb:P40344,uniprotkb:P09733,intact-miscore:0.27,YNR007C,YML085C
4326,uniprotkb:P14540,uniprotkb:Q03640,intact-miscore:0.27,YKL060C,YML072C
4327,uniprotkb:P14540,uniprotkb:P32563,intact-miscore:0.27,YKL060C,YOR270C
4328,uniprotkb:P14540,uniprotkb:P53049,intact-miscore:0.27,YKL060C,YGR281W
4329,uniprotkb:P00925,uniprotkb:P32288,intact-miscore:0.27,YHR174W,YPR035W
4330,uniprotkb:P00925,uniprotkb:Q12329,intact-miscore:0.27,YHR174W,YDR171W
4331,uniprotkb:P00925,uniprotkb:P09435,intact-miscore:0.51,YHR174W,YBL075C
4332,uniprotkb:P00925,uniprotkb:P38828,intact-miscore:0.44,YHR174W,YHR121W
4333,uniprotkb:P00925,uniprotkb:P53297,intact-miscore:0.27,YHR174W,YGR178C
4334,uniprotkb:P00925,uniprotkb:P05317,intact-miscore:0.27,YHR174W,YLR340W
4335,uniprotkb:P00925,uniprotkb:P06786,intact-miscore:0.27,YHR174W,YNL088W
4441,uniprotkb:P00830,uniprotkb:Q12329,intact-miscore:0.27,YJR121W,YDR171W
4444,uniprotkb:P00830,uniprotkb:P09734,intact-miscore:0.44,YJR121W,YML124C
4445,uniprotkb:P00830,uniprotkb:P02557,intact-miscore:0.27,YJR121W,YFL037W
4457,uniprotkb:Q00955,uniprotkb:P20438,intact-miscore:0.27,YNR016C,YPL256C
4458,uniprotkb:Q00955,uniprotkb:P32324,intact-miscore:0.27,YNR016C,YOR133W
4461,uniprotkb:Q00955,uniprotkb:P32589,intact-miscore:0.51,YNR016C,YPL106C
4465,uniprotkb:Q00955,uniprotkb:P07806,intact-miscore:0.27,YNR016C,YGR094W
4604,uniprotkb:P00830,uniprotkb:P06786,intact-miscore:0.27,YJR121W,YNL088W
4605,uniprotkb:P00830,uniprotkb:Q12159,intact-miscore:0.27,YJR121W,YDR381W
4648,uniprotkb:Q00955,uniprotkb:P09734,intact-miscore:0.27,YNR016C,YML124C
4670,uniprotkb:P18239,uniprotkb:Q12449,intact-miscore:0.27,YBL030C,YDR214W
4671,uniprotkb:P18239,uniprotkb:P54115,intact-miscore:0.27,YBL030C,YPL061W
4674,uniprotkb:P18239,uniprotkb:P02829,intact-miscore:0.27,YBL030C,YPL240C
4677,uniprotkb:P18239,uniprotkb:P39692,intact-miscore:0.27,YBL030C,YFR030W
4679,uniprotkb:P18239,uniprotkb:P07283,intact-miscore:0.27,YBL030C,YFL045C
4681,uniprotkb:P18239,uniprotkb:P09733,intact-miscore:0.27,YBL030C,YML085C
4767,uniprotkb:P32288,uniprotkb:P08518,intact-miscore:0.27,YPR035W,YOR151C
4769,uniprotkb:P54784,uniprotkb:P04147,intact-miscore:0.44,YML065W,YER165W
4826,uniprotkb:P07251,uniprotkb:P32563,intact-miscore:0.27,YBL099W,YOR270C
4827,uniprotkb:P07251,uniprotkb:P53049,intact-miscore:0.44,YBL099W,YGR281W
4877,uniprotkb:P11353,uniprotkb:P07806,intact-miscore:0.27,YDR044W,YGR094W
4914,uniprotkb:Q03771,uniprotkb:P14540,intact-miscore:0.44,YDR161W,YKL060C
4915,uniprotkb:Q03771,uniprotkb:P00925,intact-miscore:0.44,YDR161W,YHR174W
5047,uniprotkb:Q12449,uniprotkb:P39692,intact-miscore:0.27,YDR214W,YFR030W
5051,uniprotkb:Q12449,uniprotkb:P09734,intact-miscore:0.27,YDR214W,YML124C
5176,uniprotkb:P38903,uniprotkb:P32563,intact-miscore:0.27,YOR014W,YOR270C
5177,uniprotkb:P38903,uniprotkb:P53049,intact-miscore:0.27,YOR014W,YGR281W
5182,uniprotkb:P02994,uniprotkb:P32324,intact-miscore:0.44,YBR118W,YOR133W
5334,uniprotkb:P46682,uniprotkb:P00925,intact-miscore:0.59,YGR261C,YHR174W
5448,uniprotkb:P19414,uniprotkb:P54861,intact-miscore:0.27,YLR304C,YLL001W
5504,uniprotkb:P14540,uniprotkb:P00925,intact-miscore:0.27,YKL060C,YHR174W
5594,uniprotkb:P46672,uniprotkb:P11353,intact-miscore:0.27,YGL105W,YDR044W
5595,uniprotkb:P46672,uniprotkb:P07806,intact-miscore:0.27,YGL105W,YGR094W
5637,uniprotkb:P19414,uniprotkb:Q12449,intact-miscore:0.27,YLR304C,YDR214W
5639,uniprotkb:P19414,uniprotkb:P39676,intact-miscore:0.44,YLR304C,YGR234W
5673,uniprotkb:P00359,uniprotkb:P09733,intact-miscore:0.27,YGR192C,YML085C
5686,uniprotkb:P07283,uniprotkb:P09733,intact-miscore:0.44,YFL045C,YML085C
5716,uniprotkb:P54861,uniprotkb:P07283,intact-miscore:0.27,YLL001W,YFL045C
5718,uniprotkb:P54861,uniprotkb:P11972,intact-miscore:0.27,YLL001W,YLR452C
5719,uniprotkb:P54861,uniprotkb:P09733,intact-miscore:0.44,YLL001W,YML085C
5756,uniprotkb:Q12449,uniprotkb:P10081,intact-miscore:0.44,YDR214W,YJL138C
5758,uniprotkb:Q12449,uniprotkb:P09733,intact-miscore:0.44,YDR214W,YML085C
5759,uniprotkb:Q12449,uniprotkb:P02557,intact-miscore:0.44,YDR214W,YFL037W
5778,uniprotkb:P16474,uniprotkb:P32582,intact-miscore:0.44,YJL034W,YGR155W
5779,uniprotkb:P16474,uniprotkb:Q04410,intact-miscore:0.27,YJL034W,YDR517W
5780,uniprotkb:P16474,uniprotkb:P32445,intact-miscore:0.27,YJL034W,YCR028C-A
5783,uniprotkb:P16474,uniprotkb:Q04491,intact-miscore:0.27,YJL034W,YLR208W
5784,uniprotkb:P16474,uniprotkb:P48415,intact-miscore:0.44,YJL034W,YPL085W
5785,uniprotkb:P16474,uniprotkb:P15303,intact-miscore:0.44,YJL034W,YPR181C
5786,uniprotkb:P16474,uniprotkb:P40482,intact-miscore:0.27,YJL034W,YIL109C
5787,uniprotkb:P16474,uniprotkb:P38968,intact-miscore:0.44,YJL034W,YDL195W
5788,uniprotkb:P16474,uniprotkb:P53953,intact-miscore:0.27,YJL034W,YNL049C
5809,uniprotkb:P32582,uniprotkb:P00546,intact-miscore:0.44,YGR155W,YBR160W
5810,uniprotkb:P32582,uniprotkb:P20437,intact-miscore:0.27,YGR155W,YMR199W
5811,uniprotkb:P32582,uniprotkb:P24870,intact-miscore:0.27,YGR155W,YDL155W
5812,uniprotkb:P32582,uniprotkb:P20486,intact-miscore:0.27,YGR155W,YBR135W
5813,uniprotkb:P32582,uniprotkb:P10081,intact-miscore:0.27,YGR155W,YJL138C
5814,uniprotkb:P32582,uniprotkb:P38634,intact-miscore:0.27,YGR155W,YLR079W
5817,uniprotkb:P38903,uniprotkb:P32589,intact-miscore:0.44,YOR014W,YPL106C
5846,uniprotkb:P19414,uniprotkb:P25045,intact-miscore:0.27,YLR304C,YMR296C
5849,uniprotkb:P19414,uniprotkb:P09733,intact-miscore:0.27,YLR304C,YML085C
5886,uniprotkb:Q12449,uniprotkb:P54861,intact-miscore:0.27,YDR214W,YLL001W
5889,uniprotkb:Q12449,uniprotkb:P39676,intact-miscore:0.27,YDR214W,YGR234W
5897,uniprotkb:Q12449,uniprotkb:P07283,intact-miscore:0.27,YDR214W,YFL045C
6033,uniprotkb:P32335,uniprotkb:P32898,intact-miscore:0.27,YLR203C,YDR430C
6278,uniprotkb:P18239,uniprotkb:Q03921,intact-miscore:0.27,YBL030C,YDR141C
6283,uniprotkb:P18239,uniprotkb:P40513,intact-miscore:0.27,YBL030C,YIL070C
6291,uniprotkb:P18239,uniprotkb:P33302,intact-miscore:0.27,YBL030C,YOR153W
6295,uniprotkb:P18239,uniprotkb:P02557,intact-miscore:0.27,YBL030C,YFL037W
6484,uniprotkb:P32582,uniprotkb:P25293,intact-miscore:0.27,YGR155W,YKR048C
6485,uniprotkb:P32582,uniprotkb:Q08229,intact-miscore:0.27,YGR155W,YOL070C
6486,uniprotkb:P32582,uniprotkb:P53939,intact-miscore:0.27,YGR155W,YNL078W
6561,uniprotkb:P32582,uniprotkb:P20438,intact-miscore:0.27,YGR155W,YPL256C
6562,uniprotkb:P32582,uniprotkb:P32898,intact-miscore:0.27,YGR155W,YDR430C
6563,uniprotkb:P32582,uniprotkb:P34216,intact-miscore:0.27,YGR155W,YBL047C
6564,uniprotkb:P32582,uniprotkb:P00924,intact-miscore:0.27,YGR155W,YGR254W
6565,uniprotkb:P32582,uniprotkb:P0CS90,intact-miscore:0.44,YGR155W,YJR045C
6566,uniprotkb:P32582,uniprotkb:P38250,intact-miscore:0.27,YGR155W,YBR086C
6567,uniprotkb:P32582,uniprotkb:P39692,intact-miscore:0.27,YGR155W,YFR030W
6568,uniprotkb:P32582,uniprotkb:P32335,intact-miscore:0.27,YGR155W,YLR203C
6569,uniprotkb:P32582,uniprotkb:Q03558,intact-miscore:0.27,YGR155W,YHR179W
6570,uniprotkb:P32582,uniprotkb:P25623,intact-miscore:0.27,YGR155W,YCR030C
6571,uniprotkb:P32582,uniprotkb:Q07527,intact-miscore:0.27,YGR155W,YDL112W
6806,uniprotkb:P54861,uniprotkb:P02994,intact-miscore:0.44,YLL001W,YBR118W
6815,uniprotkb:P32288,uniprotkb:P10081,intact-miscore:0.27,YPR035W,YJL138C
6822,uniprotkb:P32582,uniprotkb:P39676,intact-miscore:0.27,YGR155W,YGR234W
6823,uniprotkb:P32582,uniprotkb:P32589,intact-miscore:0.59,YGR155W,YPL106C
6929,uniprotkb:P43582,uniprotkb:Q05583,author score:1|author score:low|intact-miscore:0.37,YFL010C,YDR267C
6951,uniprotkb:P00925,uniprotkb:Q05583,author score:1|author score:low|intact-miscore:0.37,YHR174W,YDR267C
7286,uniprotkb:P32318,uniprotkb:P38829,author score:1|author score:low|intact-miscore:0.37,YGR144W,YHR122W
7319,uniprotkb:Q03921,uniprotkb:P38829,author score:1|author score:low|intact-miscore:0.37,YDR141C,YHR122W
7370,uniprotkb:P29366,uniprotkb:P38829,author score:1|author score:low|intact-miscore:0.37,YBR200W,YHR122W
7388,uniprotkb:Q04659,uniprotkb:P38074,author score:4|intact-miscore:0.55,YMR048W,YBR034C
7432,uniprotkb:P11353,uniprotkb:P38074,author score:1|author score:low|intact-miscore:0.37,YDR044W,YBR034C
7438,uniprotkb:P54791,uniprotkb:P38074,author score:1|author score:low|intact-miscore:0.37,YPR162C,YBR034C
7446,uniprotkb:P24870,uniprotkb:P38074,author score:1|author score:low|intact-miscore:0.37,YDL155W,YBR034C
7451,uniprotkb:P09734,uniprotkb:P38074,author score:1|author score:low|intact-miscore:0.37,YML124C,YBR034C
7458,uniprotkb:Q08234,uniprotkb:P38074,author score:1|author score:low|intact-miscore:0.37,YOL075C,YBR034C
7459,uniprotkb:P25651,uniprotkb:P38074,author score:1|author score:low|intact-miscore:0.37,YCR086W,YBR034C
7463,uniprotkb:P38074,uniprotkb:P42935,author score:1|author score:low|intact-miscore:0.37,YBR034C,YGR200C
7476,uniprotkb:P41909,uniprotkb:P38074,author score:1|author score:low|intact-miscore:0.37,YPL147W,YBR034C
7480,uniprotkb:Q08409,uniprotkb:P38074,author score:1|author score:low|intact-miscore:0.37,YOR011W,YBR034C
7497,uniprotkb:P38250,uniprotkb:P38074,author score:1|author score:low|intact-miscore:0.37,YBR086C,YBR034C
7519,uniprotkb:P25619,uniprotkb:P38074,author score:1|author score:low|intact-miscore:0.37,YCR021C,YBR034C
7522,uniprotkb:P11972,uniprotkb:P38074,author score:1|author score:low|intact-miscore:0.37,YLR452C,YBR034C
7543,uniprotkb:P38264,uniprotkb:P38074,author score:1|author score:low|intact-miscore:0.37,YBR106W,YBR034C
7556,uniprotkb:P38741,uniprotkb:P38074,author score:1|author score:low|intact-miscore:0.37,YHL024W,YBR034C
7712,uniprotkb:P32486,uniprotkb:P47088,author score:2|intact-miscore:0.37,YPR159W,YJR013W
7713,uniprotkb:P40578,uniprotkb:P47088,author score:2|intact-miscore:0.37,YIR033W,YJR013W
7722,uniprotkb:Q12675,uniprotkb:P47088,author score:1|author score:low|intact-miscore:0.37,YDR093W,YJR013W
7734,uniprotkb:P21147,uniprotkb:P47088,author score:1|author score:low|intact-miscore:0.37,YGL055W,YJR013W
7758,uniprotkb:P22289,uniprotkb:P47122,author score:4|intact-miscore:0.37,YGR183C,YJR072C
7760,uniprotkb:P43582,uniprotkb:P47122,author score:4|intact-miscore:0.37,YFL010C,YJR072C
7766,uniprotkb:P40513,uniprotkb:P47122,author score:2|intact-miscore:0.37,YIL070C,YJR072C
7770,uniprotkb:P53279,uniprotkb:P47122,author score:2|intact-miscore:0.37,YGR131W,YJR072C
7794,uniprotkb:P25649,uniprotkb:P47122,author score:1|author score:low|intact-miscore:0.37,YCR082W,YJR072C
7845,uniprotkb:P20437,uniprotkb:P00546,author score:2|intact-miscore:0.87,YMR199W,YBR160W
7862,uniprotkb:P25344,uniprotkb:Q06648,author score:2|intact-miscore:0.55,YCL032W,YDR309C
7864,uniprotkb:P25651,uniprotkb:Q06648,author score:2|intact-miscore:0.55,YCR086W,YDR309C
7876,uniprotkb:P25344,uniprotkb:P38785,author score:2|intact-miscore:0.55,YCL032W,YHR061C
7880,uniprotkb:P25651,uniprotkb:P38785,author score:2|intact-miscore:0.55,YCR086W,YHR061C
7882,uniprotkb:P38785,uniprotkb:P38785,author score:2|intact-miscore:0.37,YHR061C,YHR061C
7884,uniprotkb:Q06648,uniprotkb:P38785,author score:2|intact-miscore:0.55,YDR309C,YHR061C
8134,uniprotkb:P40344,uniprotkb:P38316,author score:3|intact-miscore:0.55,YNR007C,YBR217W
8140,uniprotkb:Q04659,uniprotkb:P38316,author score:1|author score:low|intact-miscore:0.37,YMR048W,YBR217W
8182,uniprotkb:P53279,uniprotkb:P38316,author score:1|author score:low|intact-miscore:0.37,YGR131W,YBR217W
8307,uniprotkb:P53011,uniprotkb:P53919,author score:1|author score:low|intact-miscore:0.37,YGL100W,YNL124W
8320,uniprotkb:P16521,uniprotkb:P53919,author score:1|author score:low|intact-miscore:0.37,YLR249W,YNL124W
8321,uniprotkb:P27514,uniprotkb:P53919,author score:1|author score:low|intact-miscore:0.37,YNR013C,YNL124W
8329,uniprotkb:Q03921,uniprotkb:P53919,author score:1|author score:low|intact-miscore:0.37,YDR141C,YNL124W
8421,uniprotkb:P53139,uniprotkb:P53919,author score:1|author score:low|intact-miscore:0.37,YGL108C,YNL124W
8431,uniprotkb:P32318,uniprotkb:P53919,author score:1|author score:low|intact-miscore:0.37,YGR144W,YNL124W
8455,uniprotkb:P18239,uniprotkb:P53919,author score:1|author score:low|intact-miscore:0.37,YBL030C,YNL124W
8464,uniprotkb:P25344,uniprotkb:P53919,author score:1|author score:low|intact-miscore:0.37,YCL032W,YNL124W
8471,uniprotkb:Q03653,uniprotkb:P53919,author score:1|author score:low|intact-miscore:0.37,YMR212C,YNL124W
8477,uniprotkb:Q08234,uniprotkb:P53919,author score:1|author score:low|intact-miscore:0.37,YOL075C,YNL124W
8598,uniprotkb:P40350,uniprotkb:Q02159,author score:3|intact-miscore:0.37,YPL227C,YMR022W
8622,uniprotkb:Q03558,uniprotkb:Q02159,author score:1|author score:low|intact-miscore:0.37,YHR179W,YMR022W
8667,uniprotkb:P38756,uniprotkb:Q02159,author score:1|author score:low|intact-miscore:0.37,YHR003C,YMR022W
8683,uniprotkb:P22289,uniprotkb:Q02159,author score:1|author score:low|intact-miscore:0.37,YGR183C,YMR022W
8718,uniprotkb:P07806,uniprotkb:Q02159,author score:1|author score:low|intact-miscore:0.37,YGR094W,YMR022W
8764,uniprotkb:P53923,uniprotkb:Q02159,author score:1|author score:low|intact-miscore:0.37,YNL119W,YMR022W
8765,uniprotkb:P25344,uniprotkb:Q02159,author score:1|author score:low|intact-miscore:0.37,YCL032W,YMR022W
8812,uniprotkb:Q12230,uniprotkb:Q02159,author score:1|author score:low|intact-miscore:0.37,YPL004C,YMR022W
8862,uniprotkb:P38695,uniprotkb:Q02159,author score:1|author score:low|intact-miscore:0.37,YHR096C,YMR022W
8880,uniprotkb:Q06592,uniprotkb:Q02159,author score:1|author score:low|intact-miscore:0.37,YPR193C,YMR022W
8907,uniprotkb:P25045,uniprotkb:Q02159,author score:1|author score:low|intact-miscore:0.37,YMR296C,YMR022W
8933,uniprotkb:P39692,uniprotkb:Q02159,author score:1|author score:low|intact-miscore:0.37,YFR030W,YMR022W
8941,uniprotkb:P40094,uniprotkb:Q02159,author score:1|author score:low|intact-miscore:0.37,YER157W,YMR022W
8942,uniprotkb:P22696,uniprotkb:Q02159,author score:1|author score:low|intact-miscore:0.37,YJR017C,YMR022W
8948,uniprotkb:Q06512,uniprotkb:Q02159,author score:1|author score:low|intact-miscore:0.37,YPR144C,YMR022W
8954,uniprotkb:P23900,uniprotkb:Q02159,author score:1|author score:low|intact-miscore:0.37,YLL043W,YMR022W
9002,uniprotkb:P23561,uniprotkb:Q02159,author score:1|author score:low|intact-miscore:0.37,YLR362W,YMR022W
9046,uniprotkb:P24482,uniprotkb:Q02159,author score:1|author score:low|intact-miscore:0.37,YPR175W,YMR022W
9074,uniprotkb:P21269,uniprotkb:Q02159,author score:1|author score:low|intact-miscore:0.37,YER168C,YMR022W
