SNP,SNP_marker,chr,pos,start,end
108,chr1:154084,1,154084,154084,178960
109,chr1:156633,1,156633,154084,178960
110,chr1:157269,1,157269,154084,178960
111,chr1:160054,1,160054,154084,178960
112,chr1:166222,1,166222,154084,178960
113,chr1:166416,1,166416,154084,178960
114,chr1:167326,1,167326,154084,178960
115,chr1:168836,1,168836,154084,178960
116,chr1:171200,1,171200,154084,178960
117,chr1:171431,1,171431,154084,178960
118,chr1:173339,1,173339,154084,178960
119,chr1:173845,1,173845,154084,178960
120,chr1:175121,1,175121,154084,178960
121,chr1:175281,1,175281,154084,178960
122,chr1:175315,1,175315,154084,178960
123,chr1:175523,1,175523,154084,178960
124,chr1:175541,1,175541,154084,178960
125,chr1:175653,1,175653,154084,178960
126,chr1:175805,1,175805,154084,178960
127,chr1:175818,1,175818,154084,178960
128,chr1:175856,1,175856,154084,178960
129,chr1:175876,1,175876,154084,178960
130,chr1:175989,1,175989,154084,178960
131,chr1:176001,1,176001,154084,178960
132,chr1:176451,1,176451,154084,178960
133,chr1:177692,1,177692,154084,178960
134,chr1:178191,1,178191,154084,178960
135,chr1:178224,1,178224,154084,178960
136,chr1:178960,1,178960,154084,178960
137,chr1:179139,1,179139,179139,179139
139,chr1:180955,1,180955,180955,180955
140,chr1:183802,1,183802,183802,186896
141,chr1:183954,1,183954,183802,186896
142,chr1:184450,1,184450,183802,186896
143,chr1:184641,1,184641,183802,186896
144,chr1:184718,1,184718,183802,186896
145,chr1:185296,1,185296,183802,186896
146,chr1:185438,1,185438,183802,186896
147,chr1:185469,1,185469,183802,186896
148,chr1:185503,1,185503,183802,186896
149,chr1:185705,1,185705,183802,186896
150,chr1:185749,1,185749,183802,186896
151,chr1:185806,1,185806,183802,186896
152,chr1:185879,1,185879,183802,186896
153,chr1:185916,1,185916,183802,186896
154,chr1:185941,1,185941,183802,186896
155,chr1:185954,1,185954,183802,186896
156,chr1:186055,1,186055,183802,186896
157,chr1:186896,1,186896,183802,186896
158,chr1:187697,1,187697,187697,187697
159,chr1:189392,1,189392,189392,189416
160,chr1:189416,1,189416,189392,189416
161,chr1:190132,1,190132,190132,190169
162,chr1:190148,1,190148,190132,190169
163,chr1:190165,1,190165,190132,190169
164,chr1:190169,1,190169,190132,190169
165,chr1:190933,1,190933,190933,190933
166,chr1:192149,1,192149,192149,192149
167,chr1:192302,1,192302,192302,192305
168,chr1:192303,1,192303,192302,192305
169,chr1:192305,1,192305,192302,192305
170,chr1:192315,1,192315,192315,192315
171,chr1:192795,1,192795,192795,192795
172,chr1:194020,1,194020,194020,197392
173,chr1:194187,1,194187,194020,197392
174,chr1:194867,1,194867,194020,197392
175,chr1:197325,1,197325,194020,197392
176,chr1:197392,1,197392,194020,197392
177,chr1:198857,1,198857,198857,198857
178,chr1:206666,1,206666,206666,206666
179,chr1:206675,1,206675,206675,206675
180,chr1:223051,1,223051,223051,223059
181,chr1:223059,1,223059,223051,223059
182,chr2:7366,2,7366,7366,7366
183,chr2:8180,2,8180,8180,8180
184,chr2:8187,2,8187,8187,8187
185,chr2:8250,2,8250,8250,8253
186,chr2:8253,2,8253,8250,8253
187,chr2:8285,2,8285,8285,8651
188,chr2:8302,2,8302,8285,8651
189,chr2:8306,2,8306,8285,8651
190,chr2:8314,2,8314,8285,8651
191,chr2:8317,2,8317,8285,8651
192,chr2:8328,2,8328,8285,8651
193,chr2:8331,2,8331,8285,8651
194,chr2:8498,2,8498,8285,8651
195,chr2:8651,2,8651,8285,8651
196,chr2:9418,2,9418,9418,9418
197,chr2:9812,2,9812,9812,28695
198,chr2:9932,2,9932,9812,28695
199,chr2:10135,2,10135,9812,28695
200,chr2:11616,2,11616,9812,28695
201,chr2:12133,2,12133,9812,28695
202,chr2:12194,2,12194,9812,28695
203,chr2:12359,2,12359,9812,28695
204,chr2:13061,2,13061,9812,28695
205,chr2:14298,2,14298,9812,28695
206,chr2:15222,2,15222,9812,28695
207,chr2:17986,2,17986,9812,28695
208,chr2:19770,2,19770,9812,28695
209,chr2:19836,2,19836,9812,28695
210,chr2:19851,2,19851,9812,28695
211,chr2:21595,2,21595,9812,28695
212,chr2:22385,2,22385,9812,28695
213,chr2:23441,2,23441,9812,28695
214,chr2:24209,2,24209,9812,28695
215,chr2:24341,2,24341,9812,28695
216,chr2:26815,2,26815,9812,28695
217,chr2:28209,2,28209,9812,28695
218,chr2:28695,2,28695,9812,28695
219,chr2:35849,2,35849,35849,35850
220,chr2:35850,2,35850,35849,35850
221,chr2:41245,2,41245,41245,59477
222,chr2:43214,2,43214,41245,59477
223,chr2:47104,2,47104,41245,59477
224,chr2:50915,2,50915,41245,59477
225,chr2:55834,2,55834,41245,59477
226,chr2:56422,2,56422,41245,59477
227,chr2:57715,2,57715,41245,59477
228,chr2:59046,2,59046,41245,59477
229,chr2:59191,2,59191,41245,59477
230,chr2:59383,2,59383,41245,59477
231,chr2:59477,2,59477,41245,59477
232,chr2:59755,2,59755,59755,59755
233,chr2:60471,2,60471,60471,67007
234,chr2:60478,2,60478,60471,67007
235,chr2:60786,2,60786,60471,67007
236,chr2:61035,2,61035,60471,67007
237,chr2:61071,2,61071,60471,67007
238,chr2:61675,2,61675,60471,67007
239,chr2:62776,2,62776,60471,67007
240,chr2:62939,2,62939,60471,67007
241,chr2:63527,2,63527,60471,67007
242,chr2:63857,2,63857,60471,67007
243,chr2:65527,2,65527,60471,67007
244,chr2:67007,2,67007,60471,67007
245,chr2:67023,2,67023,67023,67024
246,chr2:67024,2,67024,67023,67024
247,chr2:67976,2,67976,67976,69628
248,chr2:69628,2,69628,67976,69628
249,chr2:71825,2,71825,71825,71825
250,chr2:72389,2,72389,72389,74739
251,chr2:72392,2,72392,72389,74739
252,chr2:73646,2,73646,72389,74739
253,chr2:74564,2,74564,72389,74739
254,chr2:74739,2,74739,72389,74739
255,chr2:79931,2,79931,79931,83845
256,chr2:80748,2,80748,79931,83845
257,chr2:80873,2,80873,79931,83845
258,chr2:81501,2,81501,79931,83845
259,chr2:83526,2,83526,79931,83845
260,chr2:83845,2,83845,79931,83845
261,chr2:84412,2,84412,84412,84412
263,chr2:84447,2,84447,84447,87878
264,chr2:87391,2,87391,84447,87878
265,chr2:87562,2,87562,84447,87878
266,chr2:87849,2,87849,84447,87878
267,chr2:87878,2,87878,84447,87878
268,chr2:88125,2,88125,88125,88125
269,chr2:89785,2,89785,89785,95085
270,chr2:93441,2,93441,89785,95085
271,chr2:93588,2,93588,89785,95085
272,chr2:93721,2,93721,89785,95085
273,chr2:93952,2,93952,89785,95085
274,chr2:95085,2,95085,89785,95085
275,chr2:103188,2,103188,103188,116024
276,chr2:107124,2,107124,103188,116024
277,chr2:111645,2,111645,103188,116024
278,chr2:111916,2,111916,103188,116024
279,chr2:111931,2,111931,103188,116024
280,chr2:111999,2,111999,103188,116024
281,chr2:114528,2,114528,103188,116024
282,chr2:116024,2,116024,103188,116024
283,chr2:119244,2,119244,119244,124677
284,chr2:119246,2,119246,119244,124677
285,chr2:119247,2,119247,119244,124677
286,chr2:120090,2,120090,119244,124677
287,chr2:120291,2,120291,119244,124677
288,chr2:120726,2,120726,119244,124677
289,chr2:121716,2,121716,119244,124677
290,chr2:123100,2,123100,119244,124677
291,chr2:124677,2,124677,119244,124677
292,chr2:127636,2,127636,127636,127636
293,chr2:127887,2,127887,127887,133435
294,chr2:128935,2,128935,127887,133435
295,chr2:129053,2,129053,127887,133435
296,chr2:130040,2,130040,127887,133435
297,chr2:130976,2,130976,127887,133435
298,chr2:132199,2,132199,127887,133435
299,chr2:133355,2,133355,127887,133435
300,chr2:133435,2,133435,127887,133435
301,chr2:133943,2,133943,133943,133943
302,chr2:135183,2,135183,135183,145823
303,chr2:135402,2,135402,135183,145823
304,chr2:135898,2,135898,135183,145823
305,chr2:135912,2,135912,135183,145823
306,chr2:135925,2,135925,135183,145823
307,chr2:136002,2,136002,135183,145823
308,chr2:136173,2,136173,135183,145823
309,chr2:138209,2,138209,135183,145823
310,chr2:138318,2,138318,135183,145823
311,chr2:138695,2,138695,135183,145823
312,chr2:138818,2,138818,135183,145823
313,chr2:139728,2,139728,135183,145823
314,chr2:140174,2,140174,135183,145823
315,chr2:140863,2,140863,135183,145823
316,chr2:141152,2,141152,135183,145823
317,chr2:141292,2,141292,135183,145823
318,chr2:141545,2,141545,135183,145823
319,chr2:145823,2,145823,135183,145823
320,chr2:145934,2,145934,145934,145934
321,chr2:145980,2,145980,145980,150394
322,chr2:146723,2,146723,145980,150394
323,chr2:147946,2,147946,145980,150394
324,chr2:150394,2,150394,145980,150394
325,chr2:151274,2,151274,151274,151274
326,chr2:151397,2,151397,151397,155527
327,chr2:153035,2,153035,151397,155527
328,chr2:153228,2,153228,151397,155527
329,chr2:153455,2,153455,151397,155527
330,chr2:153732,2,153732,151397,155527
331,chr2:153815,2,153815,151397,155527
332,chr2:154160,2,154160,151397,155527
333,chr2:154235,2,154235,151397,155527
334,chr2:155527,2,155527,151397,155527
335,chr2:159870,2,159870,159870,161229
336,chr2:161229,2,161229,159870,161229
337,chr2:161451,2,161451,161451,161451
339,chr2:162696,2,162696,162696,165675
340,chr2:163284,2,163284,162696,165675
341,chr2:164166,2,164166,162696,165675
342,chr2:165270,2,165270,162696,165675
343,chr2:165675,2,165675,162696,165675
344,chr2:166404,2,166404,166404,166404
345,chr2:168012,2,168012,168012,169651
346,chr2:168062,2,168062,168012,169651
347,chr2:168518,2,168518,168012,169651
348,chr2:168980,2,168980,168012,169651
349,chr2:169651,2,169651,168012,169651
350,chr2:169902,2,169902,169902,169902
351,chr2:169960,2,169960,169960,169960
352,chr2:170725,2,170725,170725,173973
353,chr2:171254,2,171254,170725,173973
354,chr2:172242,2,172242,170725,173973
355,chr2:173254,2,173254,170725,173973
356,chr2:173340,2,173340,170725,173973
357,chr2:173385,2,173385,170725,173973
358,chr2:173973,2,173973,170725,173973
359,chr2:174714,2,174714,174714,174714
360,chr2:177341,2,177341,177341,191066
361,chr2:180314,2,180314,177341,191066
362,chr2:180339,2,180339,177341,191066
363,chr2:182758,2,182758,177341,191066
364,chr2:183619,2,183619,177341,191066
365,chr2:183913,2,183913,177341,191066
366,chr2:184146,2,184146,177341,191066
367,chr2:187176,2,187176,177341,191066
368,chr2:191066,2,191066,177341,191066
369,chr2:191124,2,191124,191124,191128
370,chr2:191128,2,191128,191124,191128
371,chr2:191599,2,191599,191599,192390
372,chr2:191762,2,191762,191599,192390
373,chr2:191763,2,191763,191599,192390
374,chr2:191959,2,191959,191599,192390
375,chr2:192390,2,192390,191599,192390
376,chr2:195759,2,195759,195759,196912
377,chr2:196912,2,196912,195759,196912
378,chr2:197598,2,197598,197598,197598
379,chr2:198110,2,198110,198110,210102
380,chr2:198283,2,198283,198110,210102
381,chr2:198805,2,198805,198110,210102
382,chr2:198891,2,198891,198110,210102
383,chr2:199248,2,199248,198110,210102
384,chr2:201782,2,201782,198110,210102
385,chr2:203285,2,203285,198110,210102
386,chr2:203783,2,203783,198110,210102
387,chr2:204179,2,204179,198110,210102
388,chr2:205406,2,205406,198110,210102
389,chr2:205834,2,205834,198110,210102
390,chr2:205965,2,205965,198110,210102
391,chr2:207192,2,207192,198110,210102
392,chr2:207561,2,207561,198110,210102
393,chr2:208682,2,208682,198110,210102
394,chr2:210102,2,210102,198110,210102
395,chr2:212519,2,212519,212519,212519
396,chr2:214801,2,214801,214801,215016
397,chr2:215016,2,215016,214801,215016
398,chr2:218876,2,218876,218876,254908
399,chr2:227511,2,227511,218876,254908
400,chr2:230378,2,230378,218876,254908
401,chr2:231943,2,231943,218876,254908
402,chr2:232156,2,232156,218876,254908
403,chr2:232789,2,232789,218876,254908
404,chr2:238524,2,238524,218876,254908
405,chr2:241518,2,241518,218876,254908
406,chr2:250396,2,250396,218876,254908
407,chr2:250466,2,250466,218876,254908
408,chr2:252305,2,252305,218876,254908
409,chr2:254571,2,254571,218876,254908
410,chr2:254742,2,254742,218876,254908
411,chr2:254908,2,254908,218876,254908
412,chr2:255033,2,255033,255033,255033
413,chr2:255862,2,255862,255862,288379
414,chr2:255975,2,255975,255862,288379
415,chr2:258311,2,258311,255862,288379
416,chr2:259284,2,259284,255862,288379
417,chr2:266330,2,266330,255862,288379
418,chr2:267100,2,267100,255862,288379
419,chr2:268086,2,268086,255862,288379
420,chr2:274614,2,274614,255862,288379
421,chr2:274729,2,274729,255862,288379
422,chr2:275746,2,275746,255862,288379
423,chr2:277029,2,277029,255862,288379
424,chr2:277741,2,277741,255862,288379
425,chr2:278218,2,278218,255862,288379
426,chr2:278379,2,278379,255862,288379
427,chr2:279910,2,279910,255862,288379
428,chr2:280616,2,280616,255862,288379
429,chr2:283431,2,283431,255862,288379
430,chr2:283573,2,283573,255862,288379
431,chr2:286762,2,286762,255862,288379
432,chr2:287187,2,287187,255862,288379
433,chr2:288379,2,288379,255862,288379
434,chr2:294941,2,294941,294941,296082
435,chr2:296073,2,296073,294941,296082
436,chr2:296082,2,296082,294941,296082
437,chr2:296198,2,296198,296198,296198
438,chr2:296313,2,296313,296313,296313
439,chr2:297610,2,297610,297610,297610
440,chr2:299553,2,299553,299553,299553
441,chr2:299680,2,299680,299680,300111
442,chr2:299708,2,299708,299680,300111
443,chr2:299759,2,299759,299680,300111
444,chr2:300111,2,300111,299680,300111
445,chr2:300931,2,300931,300931,300931
446,chr2:301710,2,301710,301710,312659
447,chr2:303446,2,303446,301710,312659
448,chr2:303854,2,303854,301710,312659
449,chr2:304472,2,304472,301710,312659
450,chr2:304691,2,304691,301710,312659
451,chr2:308097,2,308097,301710,312659
452,chr2:308989,2,308989,301710,312659
453,chr2:309402,2,309402,301710,312659
454,chr2:310030,2,310030,301710,312659
455,chr2:310113,2,310113,301710,312659
456,chr2:310972,2,310972,301710,312659
457,chr2:312659,2,312659,301710,312659
458,chr2:316657,2,316657,316657,316657
459,chr2:316693,2,316693,316693,316693
460,chr2:318265,2,318265,318265,325221
461,chr2:318379,2,318379,318265,325221
462,chr2:321266,2,321266,318265,325221
463,chr2:322957,2,322957,318265,325221
464,chr2:325221,2,325221,318265,325221
465,chr2:332691,2,332691,332691,340466
466,chr2:333006,2,333006,332691,340466
467,chr2:333887,2,333887,332691,340466
468,chr2:335046,2,335046,332691,340466
469,chr2:335049,2,335049,332691,340466
470,chr2:335995,2,335995,332691,340466
471,chr2:336060,2,336060,332691,340466
472,chr2:338292,2,338292,332691,340466
473,chr2:339568,2,339568,332691,340466
474,chr2:340466,2,340466,332691,340466
475,chr2:342440,2,342440,342440,342440
477,chr2:344347,2,344347,344347,344347
478,chr2:348480,2,348480,348480,353536
479,chr2:350086,2,350086,348480,353536
480,chr2:351083,2,351083,348480,353536
481,chr2:351335,2,351335,348480,353536
482,chr2:351417,2,351417,348480,353536
483,chr2:351450,2,351450,348480,353536
484,chr2:352302,2,352302,348480,353536
485,chr2:352469,2,352469,348480,353536
486,chr2:352562,2,352562,348480,353536
487,chr2:352944,2,352944,348480,353536
488,chr2:353536,2,353536,348480,353536
489,chr2:353595,2,353595,353595,353595
490,chr2:355266,2,355266,355266,369530
491,chr2:358277,2,358277,355266,369530
492,chr2:358926,2,358926,355266,369530
493,chr2:358948,2,358948,355266,369530
494,chr2:359515,2,359515,355266,369530
495,chr2:363190,2,363190,355266,369530
496,chr2:363588,2,363588,355266,369530
497,chr2:363888,2,363888,355266,369530
498,chr2:363954,2,363954,355266,369530
499,chr2:364199,2,364199,355266,369530
500,chr2:365863,2,365863,355266,369530
501,chr2:365981,2,365981,355266,369530
502,chr2:366047,2,366047,355266,369530
503,chr2:366936,2,366936,355266,369530
504,chr2:369530,2,369530,355266,369530
505,chr2:369788,2,369788,369788,369788
506,chr2:369931,2,369931,369931,376172
507,chr2:371033,2,371033,369931,376172
508,chr2:372919,2,372919,369931,376172
509,chr2:373518,2,373518,369931,376172
510,chr2:376157,2,376157,369931,376172
511,chr2:376172,2,376172,369931,376172
512,chr2:381364,2,381364,381364,384955
513,chr2:381368,2,381368,381364,384955
514,chr2:381433,2,381433,381364,384955
515,chr2:381922,2,381922,381364,384955
516,chr2:382146,2,382146,381364,384955
517,chr2:384206,2,384206,381364,384955
518,chr2:384955,2,384955,381364,384955
519,chr2:386207,2,386207,386207,386207
520,chr2:387301,2,387301,387301,388313
521,chr2:388313,2,388313,387301,388313
522,chr2:389425,2,389425,389425,389428
523,chr2:389428,2,389428,389425,389428
524,chr2:390138,2,390138,390138,391319
525,chr2:391233,2,391233,390138,391319
526,chr2:391319,2,391319,390138,391319
527,chr2:393340,2,393340,393340,395042
528,chr2:395042,2,395042,393340,395042
529,chr2:395228,2,395228,395228,405100
530,chr2:395606,2,395606,395228,405100
531,chr2:395726,2,395726,395228,405100
532,chr2:395853,2,395853,395228,405100
533,chr2:396484,2,396484,395228,405100
534,chr2:396705,2,396705,395228,405100
535,chr2:398759,2,398759,395228,405100
536,chr2:400386,2,400386,395228,405100
537,chr2:400847,2,400847,395228,405100
538,chr2:401130,2,401130,395228,405100
539,chr2:401143,2,401143,395228,405100
540,chr2:401979,2,401979,395228,405100
541,chr2:403598,2,403598,395228,405100
542,chr2:404844,2,404844,395228,405100
543,chr2:405100,2,405100,395228,405100
544,chr2:405576,2,405576,405576,405576
545,chr2:405578,2,405578,405578,405578
546,chr2:405579,2,405579,405579,405579
547,chr2:405730,2,405730,405730,405730
548,chr2:406181,2,406181,406181,418057
549,chr2:406688,2,406688,406181,418057
550,chr2:407621,2,407621,406181,418057
551,chr2:409016,2,409016,406181,418057
552,chr2:410647,2,410647,406181,418057
553,chr2:418057,2,418057,406181,418057
554,chr2:419803,2,419803,419803,425467
555,chr2:419943,2,419943,419803,425467
556,chr2:422349,2,422349,419803,425467
557,chr2:425467,2,425467,419803,425467
558,chr2:427842,2,427842,427842,427869
559,chr2:427869,2,427869,427842,427869
560,chr2:429095,2,429095,429095,455247
561,chr2:431266,2,431266,429095,455247
562,chr2:431446,2,431446,429095,455247
563,chr2:432524,2,432524,429095,455247
564,chr2:434090,2,434090,429095,455247
565,chr2:441927,2,441927,429095,455247
566,chr2:446471,2,446471,429095,455247
567,chr2:449325,2,449325,429095,455247
568,chr2:449537,2,449537,429095,455247
569,chr2:450017,2,450017,429095,455247
570,chr2:451779,2,451779,429095,455247
571,chr2:451784,2,451784,429095,455247
572,chr2:453525,2,453525,429095,455247
573,chr2:453768,2,453768,429095,455247
574,chr2:454027,2,454027,429095,455247
575,chr2:455029,2,455029,429095,455247
576,chr2:455247,2,455247,429095,455247
577,chr2:455272,2,455272,455272,455272
579,chr2:455756,2,455756,455756,460202
580,chr2:457024,2,457024,455756,460202
581,chr2:457298,2,457298,455756,460202
582,chr2:460202,2,460202,455756,460202
583,chr2:460262,2,460262,460262,464079
584,chr2:460263,2,460263,460262,464079
585,chr2:464079,2,464079,460262,464079
586,chr2:464424,2,464424,464424,477508
587,chr2:465824,2,465824,464424,477508
588,chr2:470145,2,470145,464424,477508
589,chr2:470686,2,470686,464424,477508
590,chr2:471144,2,471144,464424,477508
591,chr2:471830,2,471830,464424,477508
592,chr2:472403,2,472403,464424,477508
593,chr2:473668,2,473668,464424,477508
594,chr2:473888,2,473888,464424,477508
595,chr2:474138,2,474138,464424,477508
596,chr2:474141,2,474141,464424,477508
597,chr2:475703,2,475703,464424,477508
598,chr2:476732,2,476732,464424,477508
599,chr2:477089,2,477089,464424,477508
600,chr2:477272,2,477272,464424,477508
601,chr2:477273,2,477273,464424,477508
602,chr2:477508,2,477508,464424,477508
603,chr2:479414,2,479414,479414,486033
604,chr2:480275,2,480275,479414,486033
605,chr2:480340,2,480340,479414,486033
606,chr2:481293,2,481293,479414,486033
607,chr2:481312,2,481312,479414,486033
608,chr2:483628,2,483628,479414,486033
609,chr2:484021,2,484021,479414,486033
610,chr2:484651,2,484651,479414,486033
611,chr2:485249,2,485249,479414,486033
612,chr2:485603,2,485603,479414,486033
613,chr2:486033,2,486033,479414,486033
614,chr2:486970,2,486970,486970,486970
615,chr2:488757,2,488757,488757,499384
616,chr2:490612,2,490612,488757,499384
617,chr2:491316,2,491316,488757,499384
618,chr2:495558,2,495558,488757,499384
619,chr2:495559,2,495559,488757,499384
620,chr2:498324,2,498324,488757,499384
621,chr2:498889,2,498889,488757,499384
622,chr2:499266,2,499266,488757,499384
623,chr2:499294,2,499294,488757,499384
624,chr2:499384,2,499384,488757,499384
625,chr2:500276,2,500276,500276,505207
626,chr2:500320,2,500320,500276,505207
627,chr2:500677,2,500677,500276,505207
628,chr2:501170,2,501170,500276,505207
629,chr2:501746,2,501746,500276,505207
630,chr2:505207,2,505207,500276,505207
631,chr2:505430,2,505430,505430,505430
632,chr2:507274,2,507274,507274,528468
633,chr2:507491,2,507491,507274,528468
634,chr2:510017,2,510017,507274,528468
635,chr2:510140,2,510140,507274,528468
636,chr2:517548,2,517548,507274,528468
637,chr2:517869,2,517869,507274,528468
638,chr2:518106,2,518106,507274,528468
639,chr2:518133,2,518133,507274,528468
640,chr2:518385,2,518385,507274,528468
641,chr2:518844,2,518844,507274,528468
642,chr2:523217,2,523217,507274,528468
643,chr2:524731,2,524731,507274,528468
644,chr2:528468,2,528468,507274,528468
645,chr2:528729,2,528729,528729,528729
646,chr2:530047,2,530047,530047,538990
647,chr2:533672,2,533672,530047,538990
648,chr2:538868,2,538868,530047,538990
649,chr2:538990,2,538990,530047,538990
650,chr2:541028,2,541028,541028,541028
651,chr2:541047,2,541047,541047,541054
652,chr2:541054,2,541054,541047,541054
653,chr2:542505,2,542505,542505,552681
654,chr2:544518,2,544518,542505,552681
655,chr2:544904,2,544904,542505,552681
656,chr2:544912,2,544912,542505,552681
657,chr2:544962,2,544962,542505,552681
658,chr2:552681,2,552681,542505,552681
659,chr2:553512,2,553512,553512,553512
660,chr2:553949,2,553949,553949,558703
661,chr2:555320,2,555320,553949,558703
662,chr2:555633,2,555633,553949,558703
663,chr2:556553,2,556553,553949,558703
664,chr2:557658,2,557658,553949,558703
665,chr2:558703,2,558703,553949,558703
666,chr2:559798,2,559798,559798,559798
667,chr2:562919,2,562919,562919,564751
668,chr2:564751,2,564751,562919,564751
669,chr2:567265,2,567265,567265,567339
670,chr2:567339,2,567339,567265,567339
671,chr2:571328,2,571328,571328,571328
672,chr2:571362,2,571362,571362,573624
673,chr2:572291,2,572291,571362,573624
674,chr2:572565,2,572565,571362,573624
675,chr2:573554,2,573554,571362,573624
676,chr2:573624,2,573624,571362,573624
677,chr2:573743,2,573743,573743,573743
678,chr2:573868,2,573868,573868,574678
679,chr2:573983,2,573983,573868,574678
680,chr2:574281,2,574281,573868,574678
681,chr2:574592,2,574592,573868,574678
682,chr2:574678,2,574678,573868,574678
683,chr2:576030,2,576030,576030,576030
684,chr2:577915,2,577915,577915,579042
685,chr2:579042,2,579042,577915,579042
687,chr2:582226,2,582226,581558,582226
688,chr2:583485,2,583485,583485,583485
689,chr2:591478,2,591478,591478,591478
690,chr2:591631,2,591631,591631,591631
691,chr2:592643,2,592643,592643,592643
701,chr2:602542,2,602542,592973,610624
702,chr2:604023,2,604023,592973,610624
703,chr2:609784,2,609784,592973,610624
704,chr2:610624,2,610624,592973,610624
705,chr2:612133,2,612133,612133,612133
706,chr2:616723,2,616723,616723,638637
707,chr2:618646,2,618646,616723,638637
708,chr2:618987,2,618987,616723,638637
709,chr2:619593,2,619593,616723,638637
710,chr2:620149,2,620149,616723,638637
711,chr2:620925,2,620925,616723,638637
712,chr2:622622,2,622622,616723,638637
