BETA	cis_trans	abs_effect
-0.0625948	cis	0.0625948
-0.226101	cis	0.226101
-0.119593	cis	0.119593
1.66885	cis	1.66885
-0.943902	cis	0.943902
-0.243725	cis	0.243725
0.191253	cis	0.191253
-0.087721	cis	0.087721
-0.0632316	cis	0.0632316
0.177986	cis	0.177986
0.114555	cis	0.114555
0.659098	cis	0.659098
-0.575446	cis	0.575446
0.559026	cis	0.559026
0.145837	cis	0.145837
0.157958	cis	0.157958
0.150069	cis	0.150069
-0.157199	cis	0.157199
-0.152284	cis	0.152284
-0.293416	cis	0.293416
-1.31708	cis	1.31708
0.0635468	cis	0.0635468
0.384006	cis	0.384006
-0.0991638	cis	0.0991638
-0.97428	cis	0.97428
1.1618	cis	1.1618
-0.319387	cis	0.319387
-0.0508892	cis	0.0508892
0.0679369	cis	0.0679369
-0.578799	cis	0.578799
-1.07208	cis	1.07208
0.244399	cis	0.244399
-0.104139	cis	0.104139
0.0561669	cis	0.0561669
-0.498094	cis	0.498094
-0.732268	cis	0.732268
-0.51417	cis	0.51417
-0.187019	cis	0.187019
1.36037	cis	1.36037
-0.11102	cis	0.11102
-0.243039	cis	0.243039
-0.332652	cis	0.332652
-0.198132	cis	0.198132
0.276143	cis	0.276143
-0.89061	cis	0.89061
-0.608198	cis	0.608198
-0.931659	cis	0.931659
0.12433	cis	0.12433
-0.655164	cis	0.655164
-0.0997571	cis	0.0997571
0.363358	cis	0.363358
-0.564358	cis	0.564358
-1.2396	cis	1.2396
0.482524	cis	0.482524
0.153192	cis	0.153192
0.697897	cis	0.697897
0.143194	cis	0.143194
-0.0590917	cis	0.0590917
-0.0512882	cis	0.0512882
0.190019	cis	0.190019
-0.10388	cis	0.10388
0.0729292	cis	0.0729292
-0.275561	cis	0.275561
0.31284	cis	0.31284
-0.212675	cis	0.212675
0.313273	cis	0.313273
-0.455126	cis	0.455126
0.0635579	cis	0.0635579
0.0543412	cis	0.0543412
0.776879	cis	0.776879
-2.1286	cis	2.1286
0.0689859	cis	0.0689859
-0.260536	cis	0.260536
-0.21656	cis	0.21656
-0.060453	cis	0.060453
0.510299	cis	0.510299
0.322668	cis	0.322668
0.131409	cis	0.131409
-0.347906	cis	0.347906
-0.329491	cis	0.329491
0.14734	cis	0.14734
0.891717	cis	0.891717
-0.213248	cis	0.213248
-0.310258	cis	0.310258
0.0505972	cis	0.0505972
-0.155608	cis	0.155608
-0.106363	cis	0.106363
-0.127843	cis	0.127843
0.999377	cis	0.999377
-0.261961	cis	0.261961
-0.132765	cis	0.132765
-1.11448	cis	1.11448
0.0800974	cis	0.0800974
-0.0654035	cis	0.0654035
-0.982666	cis	0.982666
-0.94832	cis	0.94832
-0.446614	cis	0.446614
-0.283305	cis	0.283305
-0.66665	cis	0.66665
1.68857	cis	1.68857
-0.163053	cis	0.163053
-0.0898858	cis	0.0898858
0.261816	cis	0.261816
-0.515765	cis	0.515765
-0.251881	cis	0.251881
-0.385618	cis	0.385618
0.205498	cis	0.205498
0.310273	cis	0.310273
0.308195	cis	0.308195
-1.25827	cis	1.25827
-0.27829	cis	0.27829
1.4738	cis	1.4738
0.161767	cis	0.161767
0.127786	cis	0.127786
0.266088	cis	0.266088
-0.266289	cis	0.266289
-0.189629	cis	0.189629
0.148262	cis	0.148262
0.119599	cis	0.119599
0.075854	cis	0.075854
-0.251129	cis	0.251129
-0.424937	cis	0.424937
-0.82517	cis	0.82517
0.135582	cis	0.135582
0.0804661	cis	0.0804661
0.120783	cis	0.120783
-0.499516	cis	0.499516
0.323625	cis	0.323625
-0.181662	cis	0.181662
0.251007	cis	0.251007
-1.31457	cis	1.31457
0.150051	cis	0.150051
-0.0940479	cis	0.0940479
-0.320886	cis	0.320886
-0.250327	cis	0.250327
-1.65859	cis	1.65859
0.966602	cis	0.966602
0.94409	cis	0.94409
0.812692	cis	0.812692
0.119717	cis	0.119717
-1.51183	cis	1.51183
-0.962236	cis	0.962236
1.90821	cis	1.90821
-0.29314	cis	0.29314
-0.0540588	cis	0.0540588
0.243096	cis	0.243096
-0.123112	cis	0.123112
0.135281	cis	0.135281
0.150654	cis	0.150654
0.067092	cis	0.067092
-0.306329	cis	0.306329
0.231572	cis	0.231572
0.510801	cis	0.510801
-0.528646	cis	0.528646
-0.394004	cis	0.394004
0.595659	cis	0.595659
2.43448	cis	2.43448
2.10958	cis	2.10958
0.059038	cis	0.059038
-0.193589	cis	0.193589
-0.0702393	cis	0.0702393
0.115504	cis	0.115504
-0.126513	cis	0.126513
-0.515555	cis	0.515555
-1.16652	cis	1.16652
-1.83917	cis	1.83917
0.190846	cis	0.190846
-0.269874	cis	0.269874
-0.145603	cis	0.145603
-0.402216	cis	0.402216
0.101156	cis	0.101156
0.169727	cis	0.169727
0.0669946	cis	0.0669946
0.385293	cis	0.385293
1.16733	cis	1.16733
-0.544731	cis	0.544731
-0.139907	cis	0.139907
0.732663	cis	0.732663
1.83598	cis	1.83598
-0.758729	cis	0.758729
-0.228234	cis	0.228234
0.0524554	cis	0.0524554
-0.209925	cis	0.209925
-0.0914883	cis	0.0914883
-0.114888	cis	0.114888
-0.908153	cis	0.908153
-0.208963	cis	0.208963
-0.136077	cis	0.136077
-0.20784	cis	0.20784
0.0800052	cis	0.0800052
-0.17267	cis	0.17267
-0.375327	cis	0.375327
0.183481	cis	0.183481
-0.231143	cis	0.231143
-1.08702	cis	1.08702
-0.104598	cis	0.104598
0.488624	cis	0.488624
1.0155	cis	1.0155
1.03637	cis	1.03637
0.833102	cis	0.833102
-0.123596	cis	0.123596
-0.103007	cis	0.103007
-0.260142	cis	0.260142
-1.35046	cis	1.35046
0.52264	cis	0.52264
-0.571574	cis	0.571574
0.431274	cis	0.431274
0.843766	cis	0.843766
0.158759	cis	0.158759
-0.288569	cis	0.288569
-1.45267	cis	1.45267
-0.438917	cis	0.438917
-0.855514	cis	0.855514
0.437541	cis	0.437541
-0.614653	cis	0.614653
-0.342285	cis	0.342285
0.758797	cis	0.758797
0.956851	cis	0.956851
-0.482434	cis	0.482434
-0.865384	cis	0.865384
1.36803	cis	1.36803
0.0501624	cis	0.0501624
0.130076	cis	0.130076
-1.38187	cis	1.38187
-2.09748	cis	2.09748
-1.24747	cis	1.24747
-0.124514	cis	0.124514
0.0991727	cis	0.0991727
-0.713267	cis	0.713267
0.664161	cis	0.664161
-0.123251	cis	0.123251
0.705411	cis	0.705411
-0.387989	cis	0.387989
-0.107184	cis	0.107184
0.995087	cis	0.995087
0.653381	cis	0.653381
-0.178699	cis	0.178699
0.0969185	cis	0.0969185
-0.352706	cis	0.352706
-0.969647	cis	0.969647
-0.247641	cis	0.247641
-0.135033	cis	0.135033
-0.211254	cis	0.211254
-0.730729	cis	0.730729
-0.601237	cis	0.601237
-0.695581	cis	0.695581
-1.09614	cis	1.09614
-0.0899036	cis	0.0899036
-0.451425	cis	0.451425
0.452594	cis	0.452594
-0.411811	cis	0.411811
-0.0844093	cis	0.0844093
0.193847	cis	0.193847
-0.186439	cis	0.186439
0.321151	cis	0.321151
1.67033	cis	1.67033
-0.0960176	cis	0.0960176
0.279846	cis	0.279846
-0.782673	cis	0.782673
-0.147324	cis	0.147324
-0.146904	cis	0.146904
0.0988859	cis	0.0988859
-0.128196	cis	0.128196
-0.844495	cis	0.844495
-0.462163	cis	0.462163
-0.379826	cis	0.379826
0.507389	cis	0.507389
0.197679	cis	0.197679
-0.163048	cis	0.163048
-0.905298	cis	0.905298
0.0769487	cis	0.0769487
-0.386177	cis	0.386177
0.374248	cis	0.374248
0.287041	cis	0.287041
-0.386754	cis	0.386754
-0.807068	cis	0.807068
-0.766881	cis	0.766881
0.14807	cis	0.14807
-0.1279	cis	0.1279
-0.117869	cis	0.117869
-0.332675	cis	0.332675
-0.756792	cis	0.756792
-0.135415	cis	0.135415
-1.32784	cis	1.32784
0.126321	cis	0.126321
-0.810284	cis	0.810284
0.111134	cis	0.111134
-0.0550163	cis	0.0550163
-0.498231	cis	0.498231
1.21188	cis	1.21188
0.376783	cis	0.376783
-0.394843	cis	0.394843
0.254231	cis	0.254231
-0.0912416	cis	0.0912416
0.121345	cis	0.121345
-0.292623	cis	0.292623
0.293541	cis	0.293541
0.0949557	cis	0.0949557
0.374495	cis	0.374495
-0.443589	cis	0.443589
-0.117125	cis	0.117125
0.720656	cis	0.720656
-0.352544	cis	0.352544
0.250404	cis	0.250404
0.32916	cis	0.32916
1.38002	cis	1.38002
-0.685115	cis	0.685115
-0.600187	cis	0.600187
-0.919677	cis	0.919677
-0.299014	cis	0.299014
-0.424788	cis	0.424788
0.0598131	cis	0.0598131
0.225073	cis	0.225073
0.219874	cis	0.219874
0.0569828	cis	0.0569828
-0.325834	cis	0.325834
-0.112657	cis	0.112657
-0.746705	cis	0.746705
0.653756	cis	0.653756
-0.664097	cis	0.664097
-0.115544	cis	0.115544
-1.60553	cis	1.60553
-0.97424	cis	0.97424
0.251524	cis	0.251524
0.0754471	cis	0.0754471
0.702106	cis	0.702106
-0.0978435	cis	0.0978435
0.24053	cis	0.24053
0.122237	cis	0.122237
0.592805	cis	0.592805
0.054516	cis	0.054516
-0.256835	cis	0.256835
-0.673246	cis	0.673246
-0.990816	cis	0.990816
-0.227152	cis	0.227152
-0.144621	cis	0.144621
0.393195	cis	0.393195
-0.708717	cis	0.708717
0.499694	cis	0.499694
-0.866532	cis	0.866532
-1.18373	cis	1.18373
0.478116	cis	0.478116
-0.259551	cis	0.259551
-1.07442	cis	1.07442
-1.02133	cis	1.02133
0.216467	cis	0.216467
-0.685375	cis	0.685375
-0.769842	cis	0.769842
-0.218422	cis	0.218422
0.284863	cis	0.284863
0.263919	cis	0.263919
0.723556	cis	0.723556
-0.389423	cis	0.389423
-0.262561	cis	0.262561
-0.249898	cis	0.249898
-0.0811361	cis	0.0811361
0.441574	cis	0.441574
1.02672	cis	1.02672
-0.126377	cis	0.126377
0.318199	cis	0.318199
0.314034	cis	0.314034
-0.424563	cis	0.424563
0.195763	cis	0.195763
-1.03507	cis	1.03507
-2.13562	cis	2.13562
0.125425	cis	0.125425
-0.0440477	cis	0.0440477
0.0723366	cis	0.0723366
-0.350068	cis	0.350068
-0.90262	cis	0.90262
-0.0973696	cis	0.0973696
-0.782268	cis	0.782268
-0.456088	cis	0.456088
-1.65618	cis	1.65618
-0.0489091	cis	0.0489091
0.449638	cis	0.449638
-1.02774	cis	1.02774
0.400809	cis	0.400809
-0.107179	cis	0.107179
-0.333573	cis	0.333573
-0.866471	cis	0.866471
-0.0475776	cis	0.0475776
1.15549	cis	1.15549
-0.2935	cis	0.2935
0.104211	cis	0.104211
-0.30222	cis	0.30222
0.0873582	cis	0.0873582
-0.490531	cis	0.490531
-0.183077	cis	0.183077
-0.248941	cis	0.248941
-0.170939	cis	0.170939
-0.598903	cis	0.598903
1.00059	cis	1.00059
0.677846	cis	0.677846
0.429709	cis	0.429709
0.382561	cis	0.382561
0.608491	cis	0.608491
-0.161943	cis	0.161943
1.1396	cis	1.1396
-0.111728	cis	0.111728
-1.11533	cis	1.11533
0.21306	cis	0.21306
0.459153	cis	0.459153
-0.796557	cis	0.796557
-0.693431	cis	0.693431
0.462985	cis	0.462985
-0.895896	cis	0.895896
0.320152	cis	0.320152
-0.245553	cis	0.245553
-0.567555	cis	0.567555
-1.10774	cis	1.10774
-1.55135	cis	1.55135
0.588142	cis	0.588142
-1.26318	cis	1.26318
0.0739611	cis	0.0739611
0.126215	cis	0.126215
-0.554043	cis	0.554043
-0.168808	cis	0.168808
-0.542109	cis	0.542109
0.172867	cis	0.172867
0.413316	cis	0.413316
0.0912382	cis	0.0912382
0.30914	cis	0.30914
-0.109719	cis	0.109719
0.807	cis	0.807
-0.393993	cis	0.393993
-0.605073	cis	0.605073
0.271047	cis	0.271047
0.266776	cis	0.266776
0.267068	cis	0.267068
0.274569	cis	0.274569
0.521978	cis	0.521978
-0.49846	cis	0.49846
-0.117008	cis	0.117008
-0.442276	cis	0.442276
-0.193638	cis	0.193638
1.4118	cis	1.4118
-0.0879517	cis	0.0879517
-0.939817	cis	0.939817
0.948856	cis	0.948856
0.11285	cis	0.11285
0.556243	cis	0.556243
-0.0494707	cis	0.0494707
-0.066021	cis	0.066021
0.450744	cis	0.450744
0.0503694	cis	0.0503694
-0.13114	cis	0.13114
-0.393344	cis	0.393344
