Pheno_Type	Pheno	Geno_Type	Chr	ChrPos	PValue	EffectSize	Loc	abs_effect	cis_trans
Proteomics	YBR149W	SNPs	11	190441	1.44e-08	0.06768181	Distant	0.06768181	trans
Proteomics	YBR149W	SNPs	2	538483	3.84e-07	0.12426722	Local	0.12426722	cis
Proteomics	YBR149W	SNPs	2	536859	2.8e-06	0.02522811	Local	0.02522811	cis
Proteomics	YBR149W	SNPs	11	182342	4.88e-06	0.0062888	Distant	0.0062888	trans
Proteomics	YBR160W	SNPs	8	517079	1.48e-06	0.05687822	Distant	0.05687822	trans
Proteomics	YBR164C	SNPs	7	828702	1.29e-07	0.02066823	Distant	0.02066823	trans
Proteomics	YBR169C	SNPs	4	1441011	2.42e-06	0.01663742	Distant	0.01663742	trans
Proteomics	YBR170C	SNPs	11	157764	3.64e-06	0.0213761	Distant	0.0213761	trans
Proteomics	YBR173C	SNPs	2	146113	4.45e-07	0.08615657	Distant	0.08615657	trans
Proteomics	YBR177C	SNPs	14	536361	4.1e-06	0.02303609	Distant	0.02303609	trans
Proteomics	YBR177C	SNPs	11	628031	5.82e-06	0.01452847	Distant	0.01452847	trans
Proteomics	YBR196C	SNPs	13	235787	1.03e-07	0.01545418	Distant	0.01545418	trans
Proteomics	YBR198C	SNPs	14	427451	3e-06	0.03359133	Distant	0.03359133	trans
Proteomics	YBR218C	SNPs	4	1513185	1.15e-06	0.01438118	Distant	0.01438118	trans
Proteomics	YBR221C	SNPs	14	34569	5.08e-07	0.0616284	Distant	0.0616284	trans
Proteomics	YBR222C	SNPs	16	171885	2.77e-06	0.01521523	Distant	0.01521523	trans
Proteomics	YBR222C	SNPs	14	51303	4.27e-06	0.01950865	Distant	0.01950865	trans
Proteomics	YBR222C	SNPs	15	184636	4.49e-06	0.01069067	Distant	0.01069067	trans
Proteomics	YBR249C	SNPs	2	718330	2.49e-06	0.06002245	Local	0.06002245	cis
Proteomics	YBR256C	SNPs	2	717374	1.89e-06	0.09817613	Local	0.09817613	cis
Proteomics	YBR263W	SNPs	5	85780	2.03e-06	0.00691047	Distant	0.00691047	trans
Proteomics	YBR265W	SNPs	10	323601	3.06e-06	0.08631511	Distant	0.08631511	trans
Proteomics	YBR269C	SNPs	4	1441011	7.72e-06	0.01402753	Distant	0.01402753	trans
Proteomics	YBR283C	SNPs	15	234579	1.45e-06	0.00938182	Distant	0.00938182	trans
Proteomics	YBR286W	SNPs	16	125490	5.02e-08	0.0436489	Distant	0.0436489	trans
Proteomics	YBR288C	SNPs	14	71495	3.87e-06	0.08561385	Distant	0.08561385	trans
Proteomics	YCL026C-B	SNPs	3	74146	3.9199999999999995e-30	0.36636758	Local	0.36636758	cis
Proteomics	YCL026C-B	SNPs	3	103649	7.32e-09	0.07269172	Distant	0.07269172	trans
Proteomics	YCL026C-B	SNPs	3	75130	1.6e-08	0.10694481	Local	0.10694481	cis
Proteomics	YCL026C-B	SNPs	3	98770	8.3e-08	0.01086435	Distant	0.01086435	trans
Proteomics	YCL026C-B	SNPs	3	103556	1.6e-07	0.06512051	Distant	0.06512051	trans
Proteomics	YCL026C-B	SNPs	15	675251	3.42e-07	0.00935805	Distant	0.00935805	trans
Proteomics	YCL026C-B	SNPs	3	154067	3.48e-07	0.00612138	Distant	0.00612138	trans
Proteomics	YCL026C-B	SNPs	3	103955	3e-06	0.0571879	Distant	0.0571879	trans
Proteomics	YCL026C-B	SNPs	3	106818	4.48e-06	0.06299147	Distant	0.06299147	trans
Proteomics	YCL026C-B	SNPs	3	74146	2.69e-19	0.24824347	Local	0.24824347	cis
Proteomics	YCL026C-B	SNPs	3	74577	8.38e-07	0.04098468	Local	0.04098468	cis
Proteomics	YCL026C-B	SNPs	12	460189	1.35e-06	0.00631379	Distant	0.00631379	trans
Proteomics	YCL026C-B	SNPs	3	107312	1.71e-06	0.00833142	Distant	0.00833142	trans
Proteomics	YCL026C-B	SNPs	3	71241	3.43e-06	0.05321194	Local	0.05321194	cis
Proteomics	YCL030C	SNPs	4	1387755	3.99e-06	0.01640795	Distant	0.01640795	trans
Proteomics	YCL033C	SNPs	3	62729	4.78e-10	0.02406264	Local	0.02406264	cis
Proteomics	YCL033C	SNPs	12	493479	3.63e-06	0.00662263	Distant	0.00662263	trans
Proteomics	YCL035C	SNPs	3	61329	7.82e-20	0.02717131	Local	0.02717131	cis
Proteomics	YCL040W	SNPs	7	295612	4.6e-06	0.09223501	Distant	0.09223501	trans
Proteomics	YCL043C	SNPs	10	290106	4.45e-06	0.01587736	Distant	0.01587736	trans
Proteomics	YCL043C	SNPs	6	177638	1.99e-06	0.05527411	Distant	0.05527411	trans
Proteomics	YCR005C	SNPs	7	91959	2.7e-06	0.03611923	Distant	0.03611923	trans
Proteomics	YCR005C	SNPs	15	951994	5.52e-06	0.01486694	Distant	0.01486694	trans
Proteomics	YCR020C-A	SNPs	4	1296045	1.51e-08	0.14811054	Distant	0.14811054	trans
Proteomics	YCR020C-A	SNPs	11	154842	1.81e-06	0.10674425	Distant	0.10674425	trans
Proteomics	YCR028C-A	SNPs	8	438265	4.98e-06	0.01780405	Distant	0.01780405	trans
Proteomics	YCR028C-A	SNPs	4	592179	6.14e-06	0.05124806	Distant	0.05124806	trans
Proteomics	YCR030C	SNPs	4	51125	6.52e-07	0.00857511	Distant	0.00857511	trans
Proteomics	YCR052W	SNPs	7	907935	4.19e-06	0.01161118	Distant	0.01161118	trans
Proteomics	YCR052W	SNPs	14	38784	5.12e-06	0.02741673	Distant	0.02741673	trans
Proteomics	YCR052W	SNPs	7	655851	6.2e-06	0.00628067	Distant	0.00628067	trans
Proteomics	YCR052W	SNPs	16	269913	8.92e-06	0.00750404	Distant	0.00750404	trans
Proteomics	YCR053W	SNPs	3	216556	1.7e-09	0.05049453	Local	0.05049453	cis
Proteomics	YCR057C	SNPs	16	763440	3.88e-06	0.03012154	Distant	0.03012154	trans
Proteomics	YCR083W	SNPs	4	1276306	1.86e-06	0.03145324	Distant	0.03145324	trans
Proteomics	YCR084C	SNPs	12	188953	7.9e-07	0.01500793	Distant	0.01500793	trans
Proteomics	YCR084C	SNPs	10	553579	1.29e-06	0.02882234	Distant	0.02882234	trans
Proteomics	YCR087C-A	SNPs	15	106359	6e-06	0.02149707	Distant	0.02149707	trans
Proteomics	YCR088W	SNPs	5	295532	1.5e-09	0.00913159	Distant	0.00913159	trans
Proteomics	YCR088W	SNPs	11	290740	1.67e-06	0.00720402	Distant	0.00720402	trans
Proteomics	YDL015C	SNPs	15	293858	3.54e-06	0.00882327	Distant	0.00882327	trans
Proteomics	YDL022W	SNPs	16	753507	3.39e-06	0.00755804	Distant	0.00755804	trans
Proteomics	YDL022W	SNPs	7	161187	3.81e-06	0.02541064	Distant	0.02541064	trans
Proteomics	YDL029W	SNPs	4	399144	1.36e-06	0.01580674	Local	0.01580674	cis
Proteomics	YDL029W	SNPs	4	398799	1.2e-06	0.01950911	Local	0.01950911	cis
Proteomics	YDL029W	SNPs	4	399144	1.82e-06	0.01805254	Local	0.01805254	cis
Proteomics	YDL040C	SNPs	12	696819	1.74e-06	0.01824509	Distant	0.01824509	trans
Proteomics	YDL040C	SNPs	14	307944	1.81e-06	0.03217562	Distant	0.03217562	trans
Proteomics	YDL046W	SNPs	4	592179	3.51e-06	0.05525723	Distant	0.05525723	trans
Proteomics	YDL052C	SNPs	15	1032162	6.59e-06	0.02965612	Distant	0.02965612	trans
Proteomics	YDL055C	SNPs	4	355467	3.05e-08	0.02123825	Local	0.02123825	cis
Proteomics	YDL055C	SNPs	4	357312	3.5e-06	0.02353803	Local	0.02353803	cis
Proteomics	YDL055C	SNPs	4	355467	1.71e-07	0.02435699	Local	0.02435699	cis
Proteomics	YDL055C	SNPs	13	726654	3.72e-07	0.09786219	Distant	0.09786219	trans
Proteomics	YDL055C	SNPs	3	117376	2.84e-06	0.03342782	Distant	0.03342782	trans
Proteomics	YDL066W	SNPs	16	725524	1.44e-06	0.01358309	Distant	0.01358309	trans
Proteomics	YDL066W	SNPs	14	16743	2.99e-06	0.01059644	Distant	0.01059644	trans
Proteomics	YDL078C	SNPs	2	198110	5.25e-06	0.00960438	Distant	0.00960438	trans
Proteomics	YDL078C	SNPs	14	534041	1.08e-05	0.05001149	Distant	0.05001149	trans
Proteomics	YDL084W	SNPs	12	970600	1.38e-07	0.01054654	Distant	0.01054654	trans
Proteomics	YDL084W	SNPs	7	580396	3.64e-06	0.00421122	Distant	0.00421122	trans
Proteomics	YDL084W	SNPs	4	1073479	1.61e-06	0.04654486	Distant	0.04654486	trans
Proteomics	YDL084W	SNPs	13	331677	4.28e-06	0.007368	Distant	0.007368	trans
Proteomics	YDL086W	SNPs	4	302259	2.78e-07	0.13218734	Local	0.13218734	cis
Proteomics	YDL092W	SNPs	16	65188	3.82e-06	0.01543084	Distant	0.01543084	trans
Proteomics	YDL100C	SNPs	15	317984	8.95e-06	0.00437683	Distant	0.00437683	trans
Proteomics	YDL100C	SNPs	5	460737	1.66e-06	0.01514018	Distant	0.01514018	trans
Proteomics	YDL103C	SNPs	4	275191	1.35e-10	0.0345156	Local	0.0345156	cis
Proteomics	YDL124W	SNPs	4	239573	8.3e-14	0.072774	Local	0.072774	cis
Proteomics	YDL124W	SNPs	4	239907	1.93e-13	0.06247025	Local	0.06247025	cis
Proteomics	YDL124W	SNPs	4	240532	2.19e-13	0.13918382	Local	0.13918382	cis
Proteomics	YDL124W	SNPs	4	239892	2.21e-08	0.00802203	Local	0.00802203	cis
Proteomics	YDL124W	SNPs	12	704386	1.04e-07	0.16846539	Distant	0.16846539	trans
Proteomics	YDL124W	SNPs	8	403332	1.58e-06	0.0129773	Distant	0.0129773	trans
Proteomics	YDL124W	SNPs	7	163260	3.42e-06	0.01179669	Distant	0.01179669	trans
Proteomics	YDL126C	SNPs	5	56063	2.62e-06	0.0108541	Distant	0.0108541	trans
Proteomics	YDL126C	SNPs	13	114469	1.06e-06	0.00900882	Distant	0.00900882	trans
Proteomics	YDL131W	SNPs	7	238407	3.56e-06	0.03514189	Distant	0.03514189	trans
Proteomics	YDL131W	SNPs	16	858824	4.32e-06	0.03502677	Distant	0.03502677	trans
Proteomics	YDL135C	SNPs	9	127998	3.28e-06	0.01780172	Distant	0.01780172	trans
Proteomics	YDL143W	SNPs	14	503659	8.19e-08	0.11166037	Distant	0.11166037	trans
Proteomics	YDL143W	SNPs	16	654514	6.25e-06	0.02229802	Distant	0.02229802	trans
Proteomics	YDL147W	SNPs	7	924719	3.63e-07	0.04302233	Distant	0.04302233	trans
Proteomics	YDL168W	SNPs	4	159428	2.01e-39	0.2471025	Local	0.2471025	cis
Proteomics	YDL168W	SNPs	4	159505	3.28e-14	0.1962141	Local	0.1962141	cis
Proteomics	YDL168W	SNPs	4	159190	5.93e-08	0.06411126	Local	0.06411126	cis
Proteomics	YDL168W	SNPs	4	158749	9.84e-08	0.01998811	Local	0.01998811	cis
Proteomics	YDL168W	SNPs	4	159017	2.71e-07	0.03451781	Local	0.03451781	cis
Proteomics	YDL168W	SNPs	4	173776	1.69e-06	0.04676249	Local	0.04676249	cis
Proteomics	YDL168W	SNPs	4	159428	5.94e-48	0.31217874	Local	0.31217874	cis
Proteomics	YDL168W	SNPs	4	159505	1.32e-13	0.17042925	Local	0.17042925	cis
Proteomics	YDL168W	SNPs	4	159190	1.7e-09	0.06697354	Local	0.06697354	cis
Proteomics	YDL168W	SNPs	4	159051	3.07e-09	0.05309702	Local	0.05309702	cis
Proteomics	YDL168W	SNPs	4	158749	6.1e-09	0.03074267	Local	0.03074267	cis
Proteomics	YDL168W	SNPs	4	158966	6.23e-09	0.1227591	Local	0.1227591	cis
Proteomics	YDL168W	SNPs	4	157148	2.83e-06	0.04848025	Local	0.04848025	cis
Proteomics	YDL168W	SNPs	4	159017	3.57e-06	0.03143117	Local	0.03143117	cis
Proteomics	YDL173W	SNPs	4	241739	1.23e-07	0.01150834	Distant	0.01150834	trans
Proteomics	YDL173W	SNPs	4	406981	2.9e-07	0.01361133	Distant	0.01361133	trans
Proteomics	YDL174C	SNPs	15	614209	2.13e-07	0.0296056	Distant	0.0296056	trans
Proteomics	YDL178W	SNPs	4	139426	2.97e-06	0.08171538	Local	0.08171538	cis
Proteomics	YDL181W	SNPs	16	726386	5.5e-06	0.05777266	Distant	0.05777266	trans
Proteomics	YDL181W	SNPs	8	295078	3.08e-06	0.01306223	Distant	0.01306223	trans
Proteomics	YDL182W	SNPs	16	858824	3.12e-07	0.05673658	Distant	0.05673658	trans
Proteomics	YDL185W	SNPs	13	348518	1.77e-06	0.0137242	Distant	0.0137242	trans
Proteomics	YDL195W	SNPs	16	171729	1.05e-06	0.0758938	Distant	0.0758938	trans
Proteomics	YDL198C	SNPs	4	864201	1.68e-06	0.00501404	Distant	0.00501404	trans
Proteomics	YDL204W	SNPs	16	233841	9.13e-07	0.03368436	Distant	0.03368436	trans
Proteomics	YDL208W	SNPs	10	420497	4.78e-06	0.03839206	Distant	0.03839206	trans
Proteomics	YDL208W	SNPs	4	1278950	2.94e-06	0.00613418	Distant	0.00613418	trans
Proteomics	YDL226C	SNPs	12	425109	6.63e-07	0.02810723	Distant	0.02810723	trans
Proteomics	YDL226C	SNPs	8	53413	1.18e-06	0.01731541	Distant	0.01731541	trans
Proteomics	YDL226C	SNPs	7	907935	2.66e-06	0.01151115	Distant	0.01151115	trans
Proteomics	YDL229W	SNPs	15	81792	3.02e-06	0.01420384	Distant	0.01420384	trans
Proteomics	YDL229W	SNPs	8	423426	5.12e-06	0.05700104	Distant	0.05700104	trans
Proteomics	YDL236W	SNPs	11	326668	8.46e-07	0.02120412	Distant	0.02120412	trans
Proteomics	YDR019C	SNPs	7	885330	5.96e-06	0.05070934	Distant	0.05070934	trans
Proteomics	YDR019C	SNPs	7	686910	3.95e-06	0.02550063	Distant	0.02550063	trans
Proteomics	YDR023W	SNPs	4	489556	8.04e-07	0.09802668	Local	0.09802668	cis
Proteomics	YDR023W	SNPs	5	46989	1.72e-06	0.08779811	Distant	0.08779811	trans
Proteomics	YDR033W	SNPs	4	507718	5.46e-13	0.17987286	Local	0.17987286	cis
Proteomics	YDR035W	SNPs	4	521623	3.94e-08	0.04518935	Local	0.04518935	cis
Proteomics	YDR044W	SNPs	12	673355	2.71e-06	0.07274552	Distant	0.07274552	trans
Proteomics	YDR047W	SNPs	4	551764	1.82e-08	0.12951077	Local	0.12951077	cis
Proteomics	YDR050C	SNPs	7	965736	7.7e-06	0.00764525	Distant	0.00764525	trans
Proteomics	YDR055W	SNPs	15	666991	5.67e-06	0.00765302	Distant	0.00765302	trans
Proteomics	YDR064W	SNPs	14	640720	2.33e-07	0.02673574	Distant	0.02673574	trans
Proteomics	YDR064W	SNPs	4	451706	2.08e-06	0.02962986	Distant	0.02962986	trans
Proteomics	YDR086C	SNPs	7	373766	4.4e-06	0.11873774	Distant	0.11873774	trans
Proteomics	YDR116C	SNPs	4	1459601	6.22e-06	0.09575366	Distant	0.09575366	trans
Proteomics	YDR155C	SNPs	16	681656	5.27e-07	0.00829158	Distant	0.00829158	trans
Proteomics	YDR165W	SNPs	2	180372	2.78e-06	0.01526553	Distant	0.01526553	trans
Proteomics	YDR174W	SNPs	16	139660	1.91e-07	0.08272601	Distant	0.08272601	trans
Proteomics	YDR174W	SNPs	5	541331	1.97e-06	0.00522155	Distant	0.00522155	trans
Proteomics	YDR177W	SNPs	4	1051793	8.74e-07	0.0177661	Distant	0.0177661	trans
Proteomics	YDR177W	SNPs	13	175545	8.93e-07	0.13813996	Distant	0.13813996	trans
Proteomics	YDR188W	SNPs	11	21448	6.03e-06	0.02785935	Distant	0.02785935	trans
Proteomics	YDR188W	SNPs	7	774950	6.23e-06	0.06349454	Distant	0.06349454	trans
Proteomics	YDR189W	SNPs	8	315653	3.47e-07	0.13628774	Distant	0.13628774	trans
Proteomics	YDR231C	SNPs	8	314622	2.24e-07	0.08020622	Distant	0.08020622	trans
Proteomics	YDR231C	SNPs	16	235149	4.58e-07	0.03229747	Distant	0.03229747	trans
Proteomics	YDR232W	SNPs	16	747101	2.97e-06	0.0133863	Distant	0.0133863	trans
Proteomics	YDR233C	SNPs	14	34569	7.15e-08	0.07598588	Distant	0.07598588	trans
Proteomics	YDR233C	SNPs	4	930077	4.61e-07	0.01666215	Local	0.01666215	cis
Proteomics	YDR233C	SNPs	4	930077	2.84e-11	0.03709142	Local	0.03709142	cis
Proteomics	YDR234W	SNPs	7	883496	1.68e-06	0.0700179	Distant	0.0700179	trans
Proteomics	YDR234W	SNPs	14	129447	1.87e-06	0.00893698	Distant	0.00893698	trans
Proteomics	YDR245W	SNPs	8	329295	2.97e-06	0.03524697	Distant	0.03524697	trans
Proteomics	YDR245W	SNPs	11	292695	3.04e-06	0.08952972	Distant	0.08952972	trans
Proteomics	YDR251W	SNPs	12	369873	5.22e-07	0.05198182	Distant	0.05198182	trans
Proteomics	YDR298C	SNPs	11	231929	2.38e-06	0.12962847	Distant	0.12962847	trans
Proteomics	YDR304C	SNPs	12	851969	1.42e-06	0.09466604	Distant	0.09466604	trans
Proteomics	YDR321W	SNPs	4	1109537	3.34e-06	0.00641779	Local	0.00641779	cis
Proteomics	YDR324C	SNPs	16	254689	1.49e-06	0.00854856	Distant	0.00854856	trans
Proteomics	YDR324C	SNPs	3	246831	7.5e-06	0.00522521	Distant	0.00522521	trans
Proteomics	YDR368W	SNPs	16	214566	2.5e-06	0.01077615	Distant	0.01077615	trans
Proteomics	YDR372C	SNPs	15	652418	6.67e-07	0.03626397	Distant	0.03626397	trans
Proteomics	YDR382W	SNPs	7	907935	9.25e-07	0.01670478	Distant	0.01670478	trans
Proteomics	YDR388W	SNPs	4	1252116	2.12e-06	0.01256747	Local	0.01256747	cis
Proteomics	YDR408C	SNPs	11	169303	3.52e-06	0.04129968	Distant	0.04129968	trans
Proteomics	YDR408C	SNPs	2	15162	3.64e-06	0.02543412	Distant	0.02543412	trans
Proteomics	YDR427W	SNPs	1	190558	1.94e-06	0.05003859	Distant	0.05003859	trans
Proteomics	YDR428C	SNPs	4	1324081	1.03e-08	0.02606097	Local	0.02606097	cis
Proteomics	YDR429C	SNPs	16	235149	4.42e-08	0.03949204	Distant	0.03949204	trans
Proteomics	YDR434W	SNPs	8	192841	3.19e-06	0.01069884	Distant	0.01069884	trans
Proteomics	YDR454C	SNPs	8	474210	3.08e-07	0.01555979	Distant	0.01555979	trans
Proteomics	YDR454C	SNPs	5	169068	2.15e-06	0.01568346	Distant	0.01568346	trans
Proteomics	YDR454C	SNPs	14	695040	2.2e-06	0.02578997	Distant	0.02578997	trans
Proteomics	YDR472W	SNPs	2	164166	8.53e-07	0.01028973	Distant	0.01028973	trans
Proteomics	YDR477W	SNPs	4	1297994	4.25e-07	0.09547842	Distant	0.09547842	trans
Proteomics	YDR483W	SNPs	4	1420967	3.64e-11	0.01499389	Local	0.01499389	cis
Proteomics	YDR483W	SNPs	4	1423656	9.08e-07	0.00962823	Local	0.00962823	cis
Proteomics	YDR487C	SNPs	4	1428277	1.65e-08	0.0419945	Local	0.0419945	cis
Proteomics	YDR487C	SNPs	4	1428277	1.68e-06	0.0308136	Local	0.0308136	cis
Proteomics	YDR487C	SNPs	15	306699	2.88e-06	0.02489106	Distant	0.02489106	trans
Proteomics	YDR487C	SNPs	11	139373	4.68e-06	0.01455935	Distant	0.01455935	trans
Proteomics	YDR497C	SNPs	4	1445249	2.33e-09	0.13236014	Local	0.13236014	cis
Proteomics	YDR497C	SNPs	4	1444679	2.77e-06	0.03102303	Local	0.03102303	cis
Proteomics	YDR500C	SNPs	16	760952	1.8e-06	0.00862814	Distant	0.00862814	trans
Proteomics	YDR500C	SNPs	7	907935	1.88e-06	0.01285128	Distant	0.01285128	trans
Proteomics	YDR500C	SNPs	6	48886	2.32e-06	0.01343176	Distant	0.01343176	trans
Proteomics	YDR502C	SNPs	4	1453164	8.14e-07	0.026217	Local	0.026217	cis
Proteomics	YDR507C	SNPs	16	74774	1.66e-06	0.0078138	Distant	0.0078138	trans
Proteomics	YDR513W	SNPs	10	553445	5.19e-07	0.01279349	Distant	0.01279349	trans
Proteomics	YDR515W	SNPs	4	1296045	5.03e-12	0.19572764	Distant	0.19572764	trans
Proteomics	YDR515W	SNPs	8	227009	4.35e-07	0.05043996	Distant	0.05043996	trans
Proteomics	YDR515W	SNPs	12	774232	1.59e-06	0.00706582	Distant	0.00706582	trans
Proteomics	YDR515W	SNPs	8	218539	2.6e-06	0.00716663	Distant	0.00716663	trans
Proteomics	YDR529C	SNPs	15	87202	1.13e-06	0.02606937	Distant	0.02606937	trans
Proteomics	YDR529C	SNPs	3	216193	1.65e-06	0.01816412	Distant	0.01816412	trans
Proteomics	YDR533C	SNPs	2	507764	3.97e-06	0.02515975	Distant	0.02515975	trans
Proteomics	YEL002C	SNPs	4	1298829	2.43e-06	0.11025787	Distant	0.11025787	trans
Proteomics	YEL011W	SNPs	15	725266	1.96e-06	0.01633423	Distant	0.01633423	trans
Proteomics	YEL013W	SNPs	7	766797	8.29e-09	0.08747286	Distant	0.08747286	trans
Proteomics	YEL013W	SNPs	15	257563	1.71e-06	0.01945275	Distant	0.01945275	trans
Proteomics	YEL020W-A	SNPs	9	192411	1.34e-06	0.01079261	Distant	0.01079261	trans
Proteomics	YEL020W-A	SNPs	16	24701	5.4e-06	0.00536639	Distant	0.00536639	trans
Proteomics	YEL020W-A	SNPs	10	357265	3.38e-06	0.01048655	Distant	0.01048655	trans
Proteomics	YEL021W	SNPs	12	174195	2.67e-07	0.01355618	Distant	0.01355618	trans
Proteomics	YEL024W	SNPs	9	212456	5.56e-06	0.03261248	Distant	0.03261248	trans
Proteomics	YEL032W	SNPs	15	818536	6.76e-07	0.02391392	Distant	0.02391392	trans
Proteomics	YEL034W	SNPs	10	229400	9.69e-06	0.01359608	Distant	0.01359608	trans
Proteomics	YEL036C	SNPs	4	1298829	1.25e-08	0.16796584	Distant	0.16796584	trans
Proteomics	YEL040W	SNPs	9	96598	1.06e-06	0.0192501	Distant	0.0192501	trans
Proteomics	YEL042W	SNPs	16	235149	6.13e-07	0.03380235	Distant	0.03380235	trans
Proteomics	YEL042W	SNPs	7	907935	3.02e-06	0.01373122	Distant	0.01373122	trans
Proteomics	YEL042W	SNPs	11	232156	3.51e-06	0.0079726	Distant	0.0079726	trans
Proteomics	YEL042W	SNPs	12	263103	4.24e-06	0.02368048	Distant	0.02368048	trans
