eQTL_gene_id,eQTL_gene,chromosome,eQTL_peak,eQTL_left,eQTL_right,eQTL_LOD,eQTL_gene_dist,eQTL_cis,eQTL_gene_description
YAL040C,CLN3,1,81262,47206,93789,2.970807277,0.0,True,"""G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins ; CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2 ; CCNB1 ; CCNC ; CCND1 ; or CCNE1"""
YAL039C,CYC3,1,70024,68785,70905,96.36767564,0.0,True,"""Cytochrome c heme lyase (holocytochrome c synthase); attaches heme to apo-cytochrome c (Cyc1p or Cyc7p) in mitochondrial intermembrane space; human homolog HCCS implicated in microphthalmia with linear skin defects (MLS) ; and can complement yeast null mutant"""
YAL038W,CDC19,1,65365,33040,74327,3.141328525,0.0,True,"""Pyruvate kinase; functions as a homotetramer in glycolysis to convert phosphoenolpyruvate to pyruvate ; the input for aerobic (TCA cycle) or anaerobic (glucose fermentation) respiration; regulated via allosteric activation by fructose bisphosphate; CDC19 has a paralog ; PYK2 ; that arose from the whole genome duplication"""
YAL036C,RBG1,1,131539,128302,133134,4.936562403,51149.0,False,"""Member of the DRG family of GTP-binding proteins; associates with translating ribosomes; interacts with Tma46p ; Ygr250cp ; Gir2p and Yap1p via two-hybrid"""
YAL035W,FUN12,1,53266,33040,74327,3.571435817,1099.0,False,"""Translation initiation factor eIF5B; GTPase that promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2"""
YAL034C,FUN19,1,131539,112136,133857,3.900357192,29184.0,False,"""Non-essential protein of unknown function; expression induced in response to heat stress; FUN19 has a paralog ; YOR338W ; that arose from the whole genome duplication"""
YAL033W,POP5,1,84112,83284,84858,61.97581149,0.0,True,"""Subunit of both RNase MRP and nuclear RNase P; RNase MRP cleaves pre-rRNA ; while nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs"""
YAL032C,PRP45,1,84112,83284,85480,31.7038721,0.0,True,"""Protein required for pre-mRNA splicing; associates with the spliceosome and interacts with splicing factors Prp22p and Prp46p; orthologous to human transcriptional coactivator SKIP and can activate transcription of a reporter gene"""
YAL030W,SNC1,1,131539,112136,133134,6.989648485,24183.0,False,"""Vesicle membrane receptor protein (v-SNARE); involved in the fusion between Golgi-derived secretory vesicles with the plasma membrane; proposed to be involved in endocytosis; member of the synaptobrevin/VAMP family of R-type v-SNARE proteins; SNC1 has a paralog ; SNC2 ; that arose from the whole genome duplication"""
YAL029C,MYO4,1,87445,83284,99471,5.984193539,0.0,True,"""Type V myosin motor involved in actin-based transport of cargos; required for mRNA transport ; including ASH1 mRNA ; and facilitating the growth and movement of ER tubules into the growing bud along with She3p; MYO4 has a paralog ; MYO2 ; that arose from the whole genome duplication"""
YAL028W,FRT2,1,94351,94351,107538,14.87948063,0.0,True,"""Tail-anchored ER membrane protein of unknown function; interacts with homolog Frt1p; promotes growth in conditions of high Na+ ; alkaline pH ; or cell wall stress ; possibly via a role in posttranslational translocation; potential Cdc28p substrate; FRT2 has a paralog ; FRT1 ; that arose from the whole genome duplication"""
YAL027W,SAW1,1,107538,74327,107538,4.488930861,0.0,True,"""5'- and 3'-flap DNA binding protein; recruits Rad1p-Rad10p to single-strand annealing intermediates with 3' non-homologous tails for removal during double-strand break repair; complexes with Rad1p-Rad10p and stimulates its endonuclease activity; green fluorescent protein (GFP)-fusion protein localizes to the nucleus"""
YAL026C,DRS2,1,51287,33040,68621,4.349710206,27953.0,False,"""Trans-golgi network aminophospholipid translocase (flippase); maintains membrane lipid asymmetry in post-Golgi secretory vesicles; contributes to clathrin-coated vesicle formation ; endocytosis ; protein trafficking between the Golgi and endosomal system and the cellular response to mating pheromone; autoinhibited by its C-terminal tail; localizes to the trans-Golgi network; mutations in human homolog ATP8B1 result in liver disease"""
YAL022C,FUN26,1,114628,109735,129476,13.13838963,0.0,True,"""High affinity ; broad selectivity ; nucleoside/nucleobase transporter; vacuolar membrane localized transporter which may regulate the balance of nicotinamide riboside (NmR) levels between the cytosol and vacuole ; contributing to salvage of NmR for use in cytosolic NAD+ synthesis; equilibrative nucleoside transporter (ENT) family member"""
YAL020C,ATS1,1,88173,74327,116327,4.683172991,0.0,True,"""Protein required for modification of wobble nucleosides in tRNA; acts with Elongator complex ; Kti11p ; and Kti12p; has a potential role in regulatory interactions between microtubules and the cell cycle; forms a stable heterodimer with Kti11p"""
YAL019W,FUN30,1,114628,114628,116327,15.1211178,0.0,True,"""Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus ; telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres ; as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate"""
YAL013W,DEP1,1,131539,128302,134219,4.610873001,0.0,True,"""Component of the Rpd3L histone deacetylase complex; required for diauxic shift-induced histone H2B deposition onto rDNA genes; transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes ; as well as maintenance of telomeres ; mating efficiency ; and sporulation"""
YAL012W,CYS3,1,139311,109735,174371,3.308457605,0.0,True,"""Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress"""
YAL011W,SWC3,1,131539,131539,133080,21.06168371,0.0,True,"""Protein of unknown function; component of the SWR1 complex ; which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae"""
YAL010C,MDM10,1,134219,132723,159164,8.642595291,0.0,True,"""Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER ; necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase"""
YAL009W,SPO7,1,132723,131539,145720,15.41769904,0.0,True,"""Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis ; required for normal nuclear envelope morphology ; premeiotic replication ; and sporulation"""
YAL008W,FUN14,1,136961,135181,159164,17.12097627,0.0,True,"""Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes ; such as alterations in mitochondrial morphology ; protein complex assembly ; and lipid profile; dosage suppressor of MDM12 ; MDM34 ; and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p ; the TOM complex ; and the TIM23 complex ; requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis"""
YAL005C,SSA1,1,137167,135417,138257,92.23021952,2135.0,False,"""ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus ; cytoplasm ; cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions ; vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils"""
YAL003W,EFB1,1,133174,131539,143806,35.01386253,0.0,True,"""Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex ; which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants"""
YAL002W,VPS8,1,132723,129517,136153,7.504348964,6879.0,False,"""Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif"""
YAR002W,NUP60,1,146738,142779,154086,26.88737368,0.0,True,"""FG-nucleoporin component of central core of the nuclear pore complex; contributes directly to nucleocytoplasmic transport and maintenance of the nuclear pore complex (NPC) permeability barrier and is involved in gene tethering at the nuclear periphery; relocalizes to the cytosol in response to hypoxia; both NUP1 and NUP60 are homologous to human NUP153"""
YAR002C-A,ERP1,1,142779,138499,160054,18.46885393,0.0,True,"""Member of the p24 family involved in ER to Golgi transport; role in misfolded protein quality control; forms heterotrimeric complex with Erp2p ; Emp24p ; and Erv25p; localized to COPII-coated vesicles; ERP1 has a paralog ; ERP6 ; that arose from the whole genome duplication"""
YAR003W,SWD1,1,158341,132723,168836,6.82511413,0.0,True,"""Subunit of the COMPASS (Set1C) complex; COMPASS methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres; WD40 beta propeller superfamily member with similarity to mammalian Rbbp7"""
YAR008W,SEN34,1,158341,153742,167326,10.72947543,0.0,True,"""Subunit of the tRNA splicing endonuclease; tRNA splicing endonuclease (Sen complex) is composed of Sen2p ; Sen15p ; Sen34p ; and Sen54p; Sen complex also cleaves the CBP1 mRNA at the mitochondrial surface; Sen34p contains the active site for tRNA 3' splice site cleavage and has similarity to Sen2p and to Archaeal tRNA splicing endonuclease"""
YAR009C,YAR009C,1,166369,159467,167326,339.1664971,0.0,True,"""Retrotransposon TYA Gag and TYB Pol genes; Gag processing produces capsid proteins ; Pol is cleaved to produce protease ; reverse transcriptase and integrase activities; in YARCTy1-1 TYB is mutant and probably non-functional; protein product forms cytoplasmic foci upon DNA replication stress"""
YAR010C,YAR010C,1,166369,166222,167326,67.01377763,0.0,True,"""Retrotransposon TYA Gag gene co-transcribed with TYB Pol; Gag processing produces capsid proteins; in YARCTy1-1 TYB is mutant and probably non-functional"""
YAR015W,ADE1,1,169638,166369,170022,25.8187454,0.0,True,"""N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress"""
YAR018C,KIN3,1,171431,171389,177285,20.39145524,0.0,True,"""Nonessential serine/threonine protein kinase; possible role in DNA damage response; influences tolerance to high levels of ethanol"""
YAR019C,CDC15,1,174371,172585,179578,12.87185445,0.0,True,"""Hippo-like kinase of the Mitotic Exit Network; promotes exit by activating the Dbf2p kinase; component of a non-canonical Hippo pathway with Sps1p required for prospore membrane closure ; spindle disassembly and sustained release of Cdc14p during meiotic anaphase II; complexes with Sps1p and contributes to its phosphorylation; phosphorylates the RNAPII CTD during mitosis; localizes to the bud neck and SPB during anaphase and telophase; relocalizes to the cytoplasm upon DNA replication stress"""
YAR020C,PAU7,1,176266,174118,177285,15.8156419,389.0,True,"""Member of the seripauperin multigene family; active during alcoholic fermentation ; regulated by anaerobiosis ; inhibited by oxygen ; repressed by heme"""
YAR023C,YAR023C,1,179578,178768,179578,80.25997733,0.0,True,"""Putative integral membrane protein; member of DUP240 gene family"""
YAR027W,UIP3,1,181197,181197,181197,296.8793616,1572.0,False,"""Putative integral membrane protein of unknown function; interacts with Ulp1p at the nuclear periphery; member of DUP240 gene family"""
YAR028W,YAR028W,1,181197,181197,181197,332.627104,2694.0,False,"""Putative integral membrane protein; member of DUP240 gene family; GFP-fusion protein is induced in response to the DNA-damaging agent MMS"""
YAR029W,YAR029W,1,186990,177667,189123,24.70952404,0.0,True,"""Member of DUP240 gene family but contains no transmembrane domains; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern"""
YAR033W,MST28,1,189123,189123,189123,291.5734369,111.0,False,"""Putative integral membrane protein ; involved in vesicle formation; forms complex with Mst27p; member of DUP240 gene family; binds COPI and COPII vesicles; MST28 has a paralog ; MST27 ; that arose from a segmental duplication"""
YAR035W,YAT1,1,191704,191704,207771,4.504622319,0.0,True,"""Outer mitochondrial carnitine acetyltransferase; minor ethanol-inducible enzyme involved in transport of activated acyl groups from the cytoplasm into the mitochondrial matrix; phosphorylated"""
YAR042W,SWH1,1,195677,189123,207771,3.33155492,0.0,True,"""Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats and FFAT motif; interacts with ER anchor Scs2p at the nucleus-vacuole junction; regulated by sterol binding; SWH1 has a paralog ; OSH2 ; that arose from the whole genome duplication"""
YAR050W,FLO1,1,202732,197772,207771,110.2218323,0.0,True,"""Lectin-like protein involved in flocculation; cell wall protein that binds mannose chains on the surface of other cells ; confers floc-forming ability that is chymotrypsin sensitive and heat resistant; important for co-flocculation with other yeasts ; mediating interaction with specific species; FLO1 has a paralog ; FLO5 ; that arose from a segmental duplication"""
YAR071W,PHO11,1,202825,202825,207771,221.0841835,21634.0,False,"""One of three repressible acid phosphatases; glycoprotein that is transported to the cell surface by the secretory pathway; induced by phosphate starvation and coordinately regulated by PHO4 and PHO2; PHO11 has a paralog ; PHO12 ; that arose from a segmental duplication"""
YBL099W,ATP1,1,50456,33040,66033,3.710706941,,False,"""Alpha subunit of the F1 sector of mitochondrial F1F0 ATP synthase; which is a large ; evolutionarily conserved enzyme complex required for ATP synthesis; F1 translationally regulates ATP6 and ATP8 expression to achieve a balanced output of ATP synthase genes encoded in nucleus and mitochondria; phosphorylated; N-terminally propionylated in vivo"""
YBL097W,BRN1,1,171975,128704,179578,2.874317134,,False,"""Subunit of the condensin complex; required for chromosome condensation and for clustering of tRNA genes at the nucleolus; may influence multiple aspects of chromosome transmission"""
YBL095W,MRX3,1,48890,48890,50024,70.02356763,,False,"""Protein that associates with mitochondrial ribosome; likely functions in cristae junction formation; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies"""
YBL093C,ROX3,1,35818,33040,93789,2.808763493,,False,"""Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme"""
YBL091C,MAP2,1,81262,74327,179578,3.311857081,,False,"""Methionine aminopeptidase; catalyzes the cotranslational removal of N-terminal methionine from nascent polypeptides; function is partially redundant with that of Map1p"""
YBL068W,PRS4,1,131539,128302,197758,3.059831153,,False,"""5-phospho-ribosyl-1(alpha)-pyrophosphate synthetase ; synthesizes PRPP; which is required for nucleotide ; histidine ; and tryptophan biosynthesis; one of five related enzymes ; which are active as heteromultimeric complexes; PRS4 has a paralog ; PRS2 ; that arose from the whole genome duplication; a missense mutation in the conserved residue R196 of its human homolog PRPS1 is pathogenic"""
YBL066C,SEF1,1,45522,33040,55327,5.009117091,,False,"""Putative transcription factor; has homolog in Kluyveromyces lactis"""
YBL045C,COR1,1,45522,33040,66033,3.9445804,,False,"""Core subunit of the ubiquinol-cytochrome c reductase complex; the ubiquinol-cytochrome c reductase complex (bc1 complex) is a component of the mitochondrial inner membrane electron transport chain"""
YBL042C,FUI1,1,51287,33040,55688,3.670587019,,False,"""High affinity uridine permease ; localizes to the plasma membrane; also mediates low but significant transport of the cytotoxic nucleoside analog 5-fluorouridine; not involved in uracil transport; relative distribution to the vacuole increases upon DNA replication stress"""
YBL039W-B,MIN6,1,130362,109735,133857,3.546315284,,False,"""Mitochondrial protein of unknown function; mCherry fusion protein localizes to the vacuole"""
YBL039C,URA7,1,131539,129517,173845,2.855894762,,False,"""Major CTP synthase isozyme (see also URA8); catalyzes the ATP-dependent transfer of the amide nitrogen from glutamine to UTP ; forming CTP ; the final step in de novo biosynthesis of pyrimidines; involved in phospholipid biosynthesis; capable of forming cytoplasmic filaments termed cytoophidium ; especially during conditions of glucose depletion; URA7 has a paralog ; URA8 ; that arose from the whole genome duplication"""
YBL038W,MRPL16,1,131539,129517,176230,4.217660624,,False,"""Mitochondrial ribosomal protein of the large subunit; homologous to bacterial L16 ribosomal protein; synthetic lethality with hac1 mutation suggests a possible role in synthesis of precursors for protein glycosylation"""
YBL030C,PET9,1,52124,33040,66033,3.359451631,,False,"""Major ADP/ATP carrier of the mitochondrial inner membrane; exchanges cytosolic ADP for mitochondrially synthesized ATP; also imports heme and ATP; required for viability in many lab strains that carry a sal1 mutation; PET9 has a paralog ; AAC3 ; that arose from the whole genome duplication; human homolog SLC25A4 implicated in progressive external ophthalmoplegia can complement yeast null mutant"""
YBL015W,ACH1,1,45522,33040,68621,3.256986592,,False,"""Protein with CoA transferase activity; particularly for CoASH transfer from succinyl-CoA to acetate; has minor acetyl-CoA-hydrolase activity; phosphorylated; required for acetate utilization and for diploid pseudohyphal growth"""
YBL011W,SCT1,1,51287,44384,54175,7.089586254,,False,"""Glycerol 3-phosphate/dihydroxyacetone phosphate sn-1 acyltransferase; dual substrate-specific acyltransferase of the glycerolipid biosynthesis pathway; prefers 16-carbon fatty acids; similar to Gpt2p; gene is constitutively transcribed"""
YBL009W,ALK2,1,132618,76368,179578,3.613640565,,False,"""Atypical protein kinase; along with its paralog ; ALK1 ; required for proper spindle positioning and nuclear segregation following mitotic arrest ; proper organization of cell polarity factors in mitosis ; proper localization of formins and polarity factors ; and survival in cells that activate spindle assembly checkpoint; negatively regulates the morphogenesis checkpoint in response to polarity insults in opposition to ALK1; phosphorylated in response to DNA damage; similar to mammalian haspins"""
YBL005W,PDR3,1,51287,33040,58073,3.156602551,,False,"""Transcriptional activator of the pleiotropic drug resistance network; regulates expression of ATP-binding cassette (ABC) transporters through binding to cis-acting PDRE sites (PDR responsive elements); has a role in response to drugs and organic solvents; post-translationally up-regulated in cells lacking functional mitochondrial genome; involved in diauxic shift; relative distribution to nucleus increases upon DNA replication stress; APCC(Cdh1) substrate"""
YBL002W,HTB2,1,76368,74327,179578,3.042390311,,False,"""Histone H2B; core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB1; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates reassembly after DNA replication ; transcriptional activation ; meiotic DSB formation and H3 methylation"""
YBL001C,ECM15,1,178191,81262,195459,3.30972027,,False,"""Non-essential protein of unknown function; likely exists as tetramer ; may be regulated by the binding of small-molecule ligands (possibly sulfate ions) ; may have a role in yeast cell-wall biogenesis"""
YBR003W,COQ1,1,131539,128302,136153,3.044100102,,False,"""Hexaprenyl pyrophosphate synthetase; catalyzes the first step in ubiquinone (coenzyme Q) biosynthesis"""
YBR009C,HHF1,1,76368,68785,176001,2.873135486,,False,"""Histone H4; core histone protein required for chromatin assembly and chromosome function; one of two identical histone proteins (see also HHF2); contributes to telomeric silencing; N-terminal domain involved in maintaining genomic integrity"""
YBR015C,MNN2,1,51287,33040,60165,2.869426835,,False,"""Alpha-1,2-mannosyltransferase; responsible for addition of the first alpha-1,2-linked mannose to form the branches on the mannan backbone of oligosaccharides ; localizes to an early Golgi compartment"""
YBR022W,POA1,1,81999,74327,130975,3.489305459,,False,"""Phosphatase that is highly specific for ADP-ribose 1''-phosphate; a tRNA splicing metabolite; may have a role in regulation of tRNA splicing"""
YBR025C,OLA1,1,141342,131539,167326,8.627876012,,False,"""P-loop ATPase with similarity to human OLA1 and bacterial YchF; identified as specifically interacting with the proteasome; null mutant displays increased translation rate and increased readthrough of premature stop codons; protein abundance increases in response to hydrogen peroxide and to DNA replication stress"""
YBR035C,PDX3,1,131539,119344,179397,3.18498621,,False,"""Pyridoxine (pyridoxamine) phosphate oxidase; has homologs in E. coli and Myxococcus xanthus; transcription is under the general control of nitrogen metabolism"""
YBR037C,SCO1,1,131539,128302,167326,4.072497635,,False,"""Copper-binding protein of mitochondrial inner membrane; required for cytochrome c oxidase activity and respiration; may function to deliver copper to cytochrome c oxidase; similar to thioredoxins; SCO1 has a paralog ; SCO2 ; that arose from the whole genome duplication"""
YBR038W,CHS2,1,84112,74327,178905,3.272005655,,False,"""Chitin synthase II; catalyzes transfer of N-acetylglucosamine (GlcNAc) to chitin upon activation of zymogenic form; required for chitin synthesis in the primary septum during cytokinesis; localization regulated by Cdk1p during mitosis; phosphorylation by Dbf2p kinase regulates its dynamics and chitin synthesis during cytokinesis"""
YBR039W,ATP3,1,44384,33040,58794,3.701224467,,False,"""Gamma subunit of the F1 sector of mitochondrial F1F0 ATP synthase; F1F0 ATP synthase is a large ; evolutionarily conserved enzyme complex required for ATP synthesis"""
YBR052C,RFS1,1,131539,109735,171389,2.787267888,,False,"""Protein of unknown function; member of a flavodoxin-like fold protein family that includes Pst2p and Ycp4p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; RFS1 has a paralog ; PST2 ; that arose from the whole genome duplication"""
YBR058C,UBP14,1,50456,33293,68621,2.838206918,,False,"""Ubiquitin-specific protease; specifically disassembles unanchored ubiquitin chains; involved in fructose-1,6-bisphosphatase (Fbp1p) degradation; similar to human isopeptidase T"""
YBR067C,TIP1,1,48890,46375,52124,73.4057814,,False,"""Major cell wall mannoprotein with possible lipase activity; transcription is induced by heat- and cold-shock; member of the Srp1p/Tip1p family of serine-alanine-rich proteins"""
YBR073W,RDH54,1,46375,33040,55688,3.378614981,,False,"""DNA-dependent ATPase; DNA recombination/repair translocase ; supercoils DNA ; promotes DNA strand opening; stimulates strand exchange by modifying dsDNA topology; involved in recombinational repair of DNA double-strand breaks (DSBs) during mitosis ; meiosis; implicated in cell divisions in telomerase-negative strains through adaptation to DNA damage ; which allows bypass of cell cycle arrest and contributes senescence-specific genome instability; phosphorylated in response to DNA damage"""
YBR089C-A,NHP6B,1,53542,33040,142111,3.07515035,,False,"""High-mobility group (HMG) protein; binds to and remodels nucleosomes; involved in recruiting FACT and other chromatin remodelling complexes to the chromosomes; functionally redundant with Nhp6Ap; required for transcriptional initiation fidelity of some tRNA genes; homologous to mammalian HMGB1 and HMGB2; NHP6B has a paralog ; NHP6A ; that arose from the whole genome duplication"""
YBR109C,CMD1,1,55145,33040,71601,3.040064637,,False,"""Calmodulin; Ca2+ binding protein that regulates Ca2+ independent processes (mitosis ; bud growth ; actin organization ; endocytosis ; etc.) and Ca2+ dependent processes (stress-activated pathways) ; targets include Nuf1p ; Myo2p and calcineurin; binds to the Hog1p MAPK in response to hyperosmotic stress; potentiates membrane tubulation and constriction mediated by the Rvs161p-Rvs167p complex; human CALM1 or CALM2 functionally complement repression induced inviability"""
YBR114W,RAD16,1,42115,33040,171389,3.1203081,,False,"""Nucleotide excision repair (NER) protein; binds damaged DNA during NER; binds DNA in an ATP-dependent manner (with Rad7p) during NER; required for NER of non-transcribed chromatin; subunit of Nucleotide Excision Repair Factor 4 (NEF4) and the Elongin-Cullin-Socs (ECS) ligase complex"""
YBR117C,TKL2,1,51287,33040,59496,3.294382548,,False,"""Transketolase; catalyzes conversion of xylulose-5-phosphate and ribose-5-phosphate to sedoheptulose-7-phosphate and glyceraldehyde-3-phosphate in the pentose phosphate pathway; needed for synthesis of aromatic amino acids; TKL2 has a paralog ; TKL1 ; that arose from the whole genome duplication"""
YBR121C,GRS1,1,132618,109735,178905,3.0439713,,False,"""Cytoplasmic and mitochondrial glycyl-tRNA synthase; ligates glycine to the cognate anticodon-bearing tRNA; transcription termination factor that may interact with the 3'-end of pre-mRNA to promote 3'-end formation; GRS1 has a paralog ; GRS2 ; that arose from the whole genome duplication; human homolog GARS implicated in Charcot-Marie-Tooth disease ; can complement yeast null mutant"""
YBR137W,YBR137W,1,50024,33040,60198,3.499773051,,False,"""Protein with a role in ER delivery of tail-anchored membrane proteins; interacts with Sgt2p; binds to the TRC complex ; which inserts proteins into the ER membrane; interacts with Msn5p karyopherin; YBR137W is not an essential gene"""
YBR150C,TBS1,1,34170,33040,60165,3.552491934,,False,"""Protein of unknown function; the authentic ; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; associates with rDNA chromatin in vivo; TBS1 has a paralog ; HAL9 ; that arose from the whole genome duplication"""
YBR151W,APD1,1,131539,129517,145720,2.899290291,,False,"""Protein of unknown function; required for normal localization of actin patches and for normal tolerance of sodium ions and hydrogen peroxide; localizes to both cytoplasm and nucleus"""
YBR157C,ICS2,1,47518,33293,55327,5.527115714,,False,"""Protein of unknown function; null mutation does not confer any obvious defects in growth ; spore germination ; viability ; or carbohydrate utilization"""
YBR159W,IFA38,1,49589,44384,54661,32.24663704,,False,"""Microsomal beta-keto-reductase; contains oleate response element (ORE) sequence in the promoter region; mutants exhibit reduced VLCFA synthesis ; accumulate high levels of dihydrosphingosine ; phytosphingosine and medium-chain ceramides"""
YBR167C,POP7,1,51287,41987,58073,7.5494706,,False,"""Subunit of RNase MRP ; nuclear RNase P and telomerase; forms a soluble heterodimer with Pop6p that binds P3 domain of RNase MRP and RNase P RNAs; RNase MRP cleaves pre-rRNA ; nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs ; while telomerase replenishes telomeric DNA"""
