snp_marker,PPI,DRUG,piQTL_EFFECTSIZE_abs,piQTL,eQTL,pQTL,overlap_category
chr8:120385,ERV25_ERG5,Fluconazole,0.558835946,ERG11_HYR1(Fluconazole);ERV25_ERG5(Fluconazole),,,piQTL_only
chr1:29787,ALO1_UIP4,Trifluoperazine,3.592200172,ALO1_UIP4(Trifluoperazine);MID2_PIN2(Trifluoperazine);MID2_PIN2(noDrug);RET2_EMP47(Trifluoperazine);TPO1_TPO2(Trifluoperazine);TPO1_TPO2(noDrug),,,piQTL_only
chr1:29787,MID2_PIN2,Trifluoperazine,3.570787869,ALO1_UIP4(Trifluoperazine);MID2_PIN2(Trifluoperazine);MID2_PIN2(noDrug);RET2_EMP47(Trifluoperazine);TPO1_TPO2(Trifluoperazine);TPO1_TPO2(noDrug),,,piQTL_only
chr1:29787,MID2_PIN2,noDrug,3.778868856,ALO1_UIP4(Trifluoperazine);MID2_PIN2(Trifluoperazine);MID2_PIN2(noDrug);RET2_EMP47(Trifluoperazine);TPO1_TPO2(Trifluoperazine);TPO1_TPO2(noDrug),,,piQTL_only
chr1:29787,RET2_EMP47,Trifluoperazine,2.595290478,ALO1_UIP4(Trifluoperazine);MID2_PIN2(Trifluoperazine);MID2_PIN2(noDrug);RET2_EMP47(Trifluoperazine);TPO1_TPO2(Trifluoperazine);TPO1_TPO2(noDrug),,,piQTL_only
chr1:29787,TPO1_TPO2,Trifluoperazine,3.79676472,ALO1_UIP4(Trifluoperazine);MID2_PIN2(Trifluoperazine);MID2_PIN2(noDrug);RET2_EMP47(Trifluoperazine);TPO1_TPO2(Trifluoperazine);TPO1_TPO2(noDrug),,,piQTL_only
chr1:29787,TPO1_TPO2,noDrug,4.206123235,ALO1_UIP4(Trifluoperazine);MID2_PIN2(Trifluoperazine);MID2_PIN2(noDrug);RET2_EMP47(Trifluoperazine);TPO1_TPO2(Trifluoperazine);TPO1_TPO2(noDrug),,,piQTL_only
chr8:452328,MID2_TPO2,Fluconazole,1.244096944,MID2_TPO2(Fluconazole),,,piQTL_only
chr8:455783,MID2_TPO2,Fluconazole,0.672005177,MID2_TPO2(Fluconazole),,GOR1,pQTL_only
chr8:531108,SNA4_VAC8,Trifluoperazine,0.95851484,SNA4_VAC8(Trifluoperazine),,,piQTL_only
chr9:144955,HNM1_TPO4,Fluconazole,0.600660526,HNM1_TPO4(Fluconazole),,ABF2; HIM1;ARO4;GAD1;DUG1;HSP104;HXK2;MRX4;PRY1;ADE6,pQTL_only
chr9:198256,ERG11_ORM2,Metformin,0.274120574,ERG11_ORM2(Metformin),,,piQTL_only
chr9:198850,ERG11_ORM2,Metformin,0.278778237,ERG11_ORM2(Metformin),,,piQTL_only
chr9:204151,SNA4_VAC8,Metformin,0.332902188,SNA4_VAC8(Metformin),,,piQTL_only
chr9:226182,ALO1_ADE17,Fluconazole,0.704412211,ALO1_ADE17(Fluconazole);HUG1_ALO1(Fluconazole),,,piQTL_only
chr9:226182,HUG1_ALO1,Fluconazole,0.736458984,ALO1_ADE17(Fluconazole);HUG1_ALO1(Fluconazole),,,piQTL_only
chr9:242937,ALO1_ADE17,Fluconazole,0.711954684,ALO1_ADE17(Fluconazole),,,piQTL_only
chr9:243786,HNM1_TPO2,Fluconazole,0.586869005,HNM1_TPO2(Fluconazole),,,piQTL_only
chr9:243951,ALO1_ADE17,Fluconazole,1.325522539,ALO1_ADE17(Fluconazole),,,piQTL_only
chr9:244863,ALO1_ADE17,Fluconazole,0.663241049,ALO1_ADE17(Fluconazole),,,piQTL_only
chr9:250484,ALO1_ADE17,5-FC,0.667930125,ALO1_ADE17(5-FC);ALO1_ADE17(Metformin);ALO1_ADE17(Trifluoperazine);ERV25_UIP4(noDrug),,GGC1,pQTL_only
chr9:249625,ALO1_ADE17,Fluconazole,0.838136636,ALO1_ADE17(Fluconazole),,YMR090W; YM9582.15,pQTL_only
chr9:250484,ALO1_ADE17,Metformin,0.524286711,ALO1_ADE17(5-FC);ALO1_ADE17(Metformin);ALO1_ADE17(Trifluoperazine);ERV25_UIP4(noDrug),,GGC1,pQTL_only
chr9:250484,ALO1_ADE17,Trifluoperazine,0.645805735,ALO1_ADE17(5-FC);ALO1_ADE17(Metformin);ALO1_ADE17(Trifluoperazine);ERV25_UIP4(noDrug),,GGC1,pQTL_only
chr9:254003,ERG27_ACF2,Metformin,0.492172978,ERG27_ACF2(Metformin);HNM1_RBD2(Metformin);TPO1_MID2(Fluconazole);TPO1_TCB2(Metformin);TPO1_TPO2(noDrug),,,piQTL_only
chr9:250581,ERV25_EMP47,noDrug,0.615336447,ERV25_EMP47(noDrug),,,piQTL_only
chr9:250484,ERV25_UIP4,noDrug,0.638152875,ALO1_ADE17(5-FC);ALO1_ADE17(Metformin);ALO1_ADE17(Trifluoperazine);ERV25_UIP4(noDrug),,GGC1,pQTL_only
chr9:254003,HNM1_RBD2,Metformin,0.426433651,ERG27_ACF2(Metformin);HNM1_RBD2(Metformin);TPO1_MID2(Fluconazole);TPO1_TCB2(Metformin);TPO1_TPO2(noDrug),,,piQTL_only
chr9:251030,HUG1_ADE17,Fluconazole,0.553619638,HUG1_ADE17(Fluconazole),,,piQTL_only
chr9:254003,TPO1_MID2,Fluconazole,0.588021956,ERG27_ACF2(Metformin);HNM1_RBD2(Metformin);TPO1_MID2(Fluconazole);TPO1_TCB2(Metformin);TPO1_TPO2(noDrug),,,piQTL_only
chr9:254003,TPO1_TCB2,Metformin,0.547219737,ERG27_ACF2(Metformin);HNM1_RBD2(Metformin);TPO1_MID2(Fluconazole);TPO1_TCB2(Metformin);TPO1_TPO2(noDrug),,,piQTL_only
chr9:254003,TPO1_TPO2,noDrug,0.65830148,ERG27_ACF2(Metformin);HNM1_RBD2(Metformin);TPO1_MID2(Fluconazole);TPO1_TCB2(Metformin);TPO1_TPO2(noDrug),,,piQTL_only
chr9:254311,ALO1_ADE17,5-FC,0.716956424,ALO1_ADE17(5-FC);ALO1_ADE17(Trifluoperazine);ERV25_EMP47(noDrug),,,piQTL_only
chr9:254311,ALO1_ADE17,Trifluoperazine,0.612513886,ALO1_ADE17(5-FC);ALO1_ADE17(Trifluoperazine);ERV25_EMP47(noDrug),,,piQTL_only
chr9:254355,ALO1_ADE17,noDrug,0.664125436,ALO1_ADE17(noDrug),,,piQTL_only
chr9:254108,ALO1_HYR1,Fluconazole,0.66083254,ALO1_HYR1(Fluconazole);HNM1_RBD2(Metformin),,,piQTL_only
chr9:254311,ERV25_EMP47,noDrug,0.635842376,ALO1_ADE17(5-FC);ALO1_ADE17(Trifluoperazine);ERV25_EMP47(noDrug),,,piQTL_only
chr9:254108,HNM1_RBD2,Metformin,0.401959781,ALO1_HYR1(Fluconazole);HNM1_RBD2(Metformin),,,piQTL_only
chr9:257575,ALO1_ADE17,5-FC,0.70500492,ALO1_ADE17(5-FC);ALO1_ADE17(Trifluoperazine);ERV25_EMP47(noDrug);HUG1_ADE17(5-FC),,,piQTL_only
chr9:257575,ALO1_ADE17,Trifluoperazine,0.604125975,ALO1_ADE17(5-FC);ALO1_ADE17(Trifluoperazine);ERV25_EMP47(noDrug);HUG1_ADE17(5-FC),,,piQTL_only
chr9:257575,ERV25_EMP47,noDrug,0.640246671,ALO1_ADE17(5-FC);ALO1_ADE17(Trifluoperazine);ERV25_EMP47(noDrug);HUG1_ADE17(5-FC),,,piQTL_only
chr9:257575,HUG1_ADE17,5-FC,0.564390945,ALO1_ADE17(5-FC);ALO1_ADE17(Trifluoperazine);ERV25_EMP47(noDrug);HUG1_ADE17(5-FC),,,piQTL_only
chr9:260947,HUG1_ADE17,5-FC,1.259447854,HUG1_ADE17(5-FC);MID2_TPO4(Fluconazole),,ECM19;HSP26,pQTL_only
chr9:260947,MID2_TPO4,Fluconazole,1.408734614,HUG1_ADE17(5-FC);MID2_TPO4(Fluconazole),,ECM19;HSP26,pQTL_only
chr9:261156,ALO1_ADE17,5-FC,0.701719158,ALO1_ADE17(5-FC);ALO1_ADE17(Trifluoperazine);ALO1_ADE17(noDrug),,,piQTL_only
chr9:261156,ALO1_ADE17,Trifluoperazine,0.586845365,ALO1_ADE17(5-FC);ALO1_ADE17(Trifluoperazine);ALO1_ADE17(noDrug),,,piQTL_only
chr9:261156,ALO1_ADE17,noDrug,0.659866676,ALO1_ADE17(5-FC);ALO1_ADE17(Trifluoperazine);ALO1_ADE17(noDrug),,,piQTL_only
chr9:264604,ERV25_EMP47,noDrug,0.632063781,ERV25_EMP47(noDrug),,,piQTL_only
chr9:270121,ALO1_HYR1,5-FC,0.535033186,ALO1_HYR1(5-FC);ALO1_HYR1(Metformin);ERG27_ACF2(Metformin);HUG1_ALO1(5-FC),AGE2;LSM1;YJL107C;YNR029C,,eQTL_only
chr9:270121,ALO1_HYR1,Metformin,0.468369867,ALO1_HYR1(5-FC);ALO1_HYR1(Metformin);ERG27_ACF2(Metformin);HUG1_ALO1(5-FC),AGE2;LSM1;YJL107C;YNR029C,,eQTL_only
chr9:270121,ERG27_ACF2,Metformin,0.507405298,ALO1_HYR1(5-FC);ALO1_HYR1(Metformin);ERG27_ACF2(Metformin);HUG1_ALO1(5-FC),AGE2;LSM1;YJL107C;YNR029C,,eQTL_only
chr9:270121,HUG1_ALO1,5-FC,0.67590631,ALO1_HYR1(5-FC);ALO1_HYR1(Metformin);ERG27_ACF2(Metformin);HUG1_ALO1(5-FC),AGE2;LSM1;YJL107C;YNR029C,,eQTL_only
chr9:270686,DHH1_LSM3,noDrug,1.091562269,DHH1_LSM3(noDrug);RET2_EMP70(Metformin);RET2_EMP70(Trifluoperazine);RET2_SNA3(Trifluoperazine);RET2_SNA3(noDrug),,PSA1,pQTL_only
chr9:270686,RET2_EMP70,Metformin,0.747438595,DHH1_LSM3(noDrug);RET2_EMP70(Metformin);RET2_EMP70(Trifluoperazine);RET2_SNA3(Trifluoperazine);RET2_SNA3(noDrug),,PSA1,pQTL_only
chr9:270686,RET2_EMP70,Trifluoperazine,0.794433686,DHH1_LSM3(noDrug);RET2_EMP70(Metformin);RET2_EMP70(Trifluoperazine);RET2_SNA3(Trifluoperazine);RET2_SNA3(noDrug),,PSA1,pQTL_only
chr9:270686,RET2_SNA3,Trifluoperazine,0.761299218,DHH1_LSM3(noDrug);RET2_EMP70(Metformin);RET2_EMP70(Trifluoperazine);RET2_SNA3(Trifluoperazine);RET2_SNA3(noDrug),,PSA1,pQTL_only
chr9:270686,RET2_SNA3,noDrug,0.725296525,DHH1_LSM3(noDrug);RET2_EMP70(Metformin);RET2_EMP70(Trifluoperazine);RET2_SNA3(Trifluoperazine);RET2_SNA3(noDrug),,PSA1,pQTL_only
chr10:114907,HNM1_RBD2,Fluconazole,0.845430752,HNM1_RBD2(Fluconazole),,,piQTL_only
chr2:393340,SRO9_GIS2,5-FC,4.798446914,SRO9_GIS2(5-FC),,,piQTL_only
chr2:400847,ERG11_TPO4,Fluconazole,0.496157031,ERG11_TPO4(Fluconazole),,,piQTL_only
chr10:314882,RET2_EMP47,Fluconazole,0.395930029,RET2_EMP47(Fluconazole),,,piQTL_only
chr10:359824,ERG11_ERV25,noDrug,0.766103648,ERG11_ERV25(noDrug);MID2_TPO4(noDrug),,ACO2;ATP15;CCT8,pQTL_only
chr10:359824,MID2_TPO4,noDrug,0.934044293,ERG11_ERV25(noDrug);MID2_TPO4(noDrug),,ACO2;ATP15;CCT8,pQTL_only
chr2:409016,ERG11_TPO4,Fluconazole,0.51659538,ERG11_TPO4(Fluconazole),,,piQTL_only
chr2:422349,ERG11_TPO4,Fluconazole,0.514252965,ERG11_TPO4(Fluconazole),,,piQTL_only
chr10:618031,RET2_SNA3,Fluconazole,0.439728292,RET2_SNA3(Fluconazole),,TKL2,pQTL_only
chr10:620344,HUG1_ADE17,5-FC,1.060573905,HUG1_ADE17(5-FC),,,piQTL_only
chr2:455029,PLM2_HNM1,Fluconazole,0.55909594,PLM2_HNM1(Fluconazole),,RPL5,pQTL_only
chr2:476732,PLM2_HNM1,Fluconazole,0.655866383,PLM2_HNM1(Fluconazole),MRX3;ASK10,,eQTL_only
chr11:195507,ALO1_UIP4,5-FC,0.648233074,ALO1_UIP4(5-FC);ALO1_UIP4(Trifluoperazine),,,piQTL_only
chr11:195507,ALO1_UIP4,Trifluoperazine,0.587632641,ALO1_UIP4(5-FC);ALO1_UIP4(Trifluoperazine),,,piQTL_only
chr11:191520,ERG11_ACF2,Trifluoperazine,0.57867792,ERG11_ACF2(Trifluoperazine);ERG27_ACF2(noDrug);ERV25_ERG5(5-FC);ERV25_ERG5(Trifluoperazine);FMP45_MEP1(Trifluoperazine);FMP45_MEP1(noDrug);PMC1_CTR2(noDrug),,ARG8,pQTL_only
chr11:191520,ERG27_ACF2,noDrug,0.595386061,ERG11_ACF2(Trifluoperazine);ERG27_ACF2(noDrug);ERV25_ERG5(5-FC);ERV25_ERG5(Trifluoperazine);FMP45_MEP1(Trifluoperazine);FMP45_MEP1(noDrug);PMC1_CTR2(noDrug),,ARG8,pQTL_only
chr11:191520,ERV25_ERG5,5-FC,0.536761124,ERG11_ACF2(Trifluoperazine);ERG27_ACF2(noDrug);ERV25_ERG5(5-FC);ERV25_ERG5(Trifluoperazine);FMP45_MEP1(Trifluoperazine);FMP45_MEP1(noDrug);PMC1_CTR2(noDrug),,ARG8,pQTL_only
chr11:191520,ERV25_ERG5,Trifluoperazine,0.527975932,ERG11_ACF2(Trifluoperazine);ERG27_ACF2(noDrug);ERV25_ERG5(5-FC);ERV25_ERG5(Trifluoperazine);FMP45_MEP1(Trifluoperazine);FMP45_MEP1(noDrug);PMC1_CTR2(noDrug),,ARG8,pQTL_only
chr11:191520,FMP45_MEP1,Trifluoperazine,0.527831014,ERG11_ACF2(Trifluoperazine);ERG27_ACF2(noDrug);ERV25_ERG5(5-FC);ERV25_ERG5(Trifluoperazine);FMP45_MEP1(Trifluoperazine);FMP45_MEP1(noDrug);PMC1_CTR2(noDrug),,ARG8,pQTL_only
chr11:191520,FMP45_MEP1,noDrug,0.573932911,ERG11_ACF2(Trifluoperazine);ERG27_ACF2(noDrug);ERV25_ERG5(5-FC);ERV25_ERG5(Trifluoperazine);FMP45_MEP1(Trifluoperazine);FMP45_MEP1(noDrug);PMC1_CTR2(noDrug),,ARG8,pQTL_only
chr11:191520,PMC1_CTR2,noDrug,0.653262587,ERG11_ACF2(Trifluoperazine);ERG27_ACF2(noDrug);ERV25_ERG5(5-FC);ERV25_ERG5(Trifluoperazine);FMP45_MEP1(Trifluoperazine);FMP45_MEP1(noDrug);PMC1_CTR2(noDrug),,ARG8,pQTL_only
chr11:196565,ALO1_UIP4,5-FC,0.627095125,ALO1_UIP4(5-FC),,,piQTL_only
chr11:196914,ALO1_UIP4,Trifluoperazine,0.56995044,ALO1_UIP4(Trifluoperazine),,,piQTL_only
chr11:196560,PMC1_CTR2,noDrug,0.629425214,PMC1_CTR2(noDrug),,,piQTL_only
chr11:234262,GTR1_SLM4,Trifluoperazine,0.796179537,GTR1_SLM4(Trifluoperazine),,NOP1; LOT3;ISD11,pQTL_only
chr11:294571,ADE17_GIS2,Fluconazole,0.488152931,ADE17_GIS2(Fluconazole),,,piQTL_only
chr11:285782,ADE17_HYR1,Fluconazole,0.467677297,ADE17_HYR1(Fluconazole),,MDH1;MNN2,pQTL_only
chr11:286321,ERV25_PIS1,Fluconazole,0.569510235,ERV25_PIS1(Fluconazole),,,piQTL_only
chr11:307267,SRO9_GIS2,5-FC,4.673893261,SRO9_GIS2(5-FC),,,piQTL_only
chr11:350701,DHH1_LSM3,Metformin,0.269925191,DHH1_LSM3(Metformin),,,piQTL_only
chr11:355187,DHH1_LSM3,Metformin,0.308439893,DHH1_LSM3(Metformin),,,piQTL_only
chr11:360267,DHH1_LSM3,Metformin,0.280485791,DHH1_LSM3(Metformin),SPG1;VPS24;PLB3,,eQTL_only
chr11:463846,ERG11_PIS1,Metformin,0.29959742,ERG11_PIS1(Metformin),PRY2,,eQTL_only
chr2:538990,ADE17_HYR1,Metformin,0.488727156,ADE17_HYR1(Metformin);ADE17_HYR1(noDrug);ERV25_PIS1(Fluconazole);FMP45_MEP1(Fluconazole);FMP45_MID2(Fluconazole);RET2_EMP47(Fluconazole);RET2_EMP70(Fluconazole);TPO1_TCB2(Fluconazole),,CKS1,pQTL_only
chr2:538990,ADE17_HYR1,noDrug,0.628891311,ADE17_HYR1(Metformin);ADE17_HYR1(noDrug);ERV25_PIS1(Fluconazole);FMP45_MEP1(Fluconazole);FMP45_MID2(Fluconazole);RET2_EMP47(Fluconazole);RET2_EMP70(Fluconazole);TPO1_TCB2(Fluconazole),,CKS1,pQTL_only
chr2:538868,ERG11_ERV25,noDrug,0.429143668,ERG11_ERV25(noDrug);FMP45_MID2(noDrug);PMC1_GTR2(noDrug);SRO9_GIS2(noDrug);TPO1_TPO2(Fluconazole);TPO1_TPO2(noDrug),,,piQTL_only
chr2:538990,ERV25_PIS1,Fluconazole,0.567570224,ADE17_HYR1(Metformin);ADE17_HYR1(noDrug);ERV25_PIS1(Fluconazole);FMP45_MEP1(Fluconazole);FMP45_MID2(Fluconazole);RET2_EMP47(Fluconazole);RET2_EMP70(Fluconazole);TPO1_TCB2(Fluconazole),,CKS1,pQTL_only
chr2:538990,FMP45_MEP1,Fluconazole,0.610875152,ADE17_HYR1(Metformin);ADE17_HYR1(noDrug);ERV25_PIS1(Fluconazole);FMP45_MEP1(Fluconazole);FMP45_MID2(Fluconazole);RET2_EMP47(Fluconazole);RET2_EMP70(Fluconazole);TPO1_TCB2(Fluconazole),,CKS1,pQTL_only
chr2:538990,FMP45_MID2,Fluconazole,0.668971695,ADE17_HYR1(Metformin);ADE17_HYR1(noDrug);ERV25_PIS1(Fluconazole);FMP45_MEP1(Fluconazole);FMP45_MID2(Fluconazole);RET2_EMP47(Fluconazole);RET2_EMP70(Fluconazole);TPO1_TCB2(Fluconazole),,CKS1,pQTL_only
chr2:538868,FMP45_MID2,noDrug,0.550704624,ERG11_ERV25(noDrug);FMP45_MID2(noDrug);PMC1_GTR2(noDrug);SRO9_GIS2(noDrug);TPO1_TPO2(Fluconazole);TPO1_TPO2(noDrug),,,piQTL_only
chr2:538868,PMC1_GTR2,noDrug,0.666610162,ERG11_ERV25(noDrug);FMP45_MID2(noDrug);PMC1_GTR2(noDrug);SRO9_GIS2(noDrug);TPO1_TPO2(Fluconazole);TPO1_TPO2(noDrug),,,piQTL_only
chr2:538990,RET2_EMP47,Fluconazole,0.426566104,ADE17_HYR1(Metformin);ADE17_HYR1(noDrug);ERV25_PIS1(Fluconazole);FMP45_MEP1(Fluconazole);FMP45_MID2(Fluconazole);RET2_EMP47(Fluconazole);RET2_EMP70(Fluconazole);TPO1_TCB2(Fluconazole),,CKS1,pQTL_only
chr2:538990,RET2_EMP70,Fluconazole,0.428843453,ADE17_HYR1(Metformin);ADE17_HYR1(noDrug);ERV25_PIS1(Fluconazole);FMP45_MEP1(Fluconazole);FMP45_MID2(Fluconazole);RET2_EMP47(Fluconazole);RET2_EMP70(Fluconazole);TPO1_TCB2(Fluconazole),,CKS1,pQTL_only
chr2:538868,SRO9_GIS2,noDrug,0.496232036,ERG11_ERV25(noDrug);FMP45_MID2(noDrug);PMC1_GTR2(noDrug);SRO9_GIS2(noDrug);TPO1_TPO2(Fluconazole);TPO1_TPO2(noDrug),,,piQTL_only
chr2:538990,TPO1_TCB2,Fluconazole,0.811742581,ADE17_HYR1(Metformin);ADE17_HYR1(noDrug);ERV25_PIS1(Fluconazole);FMP45_MEP1(Fluconazole);FMP45_MID2(Fluconazole);RET2_EMP47(Fluconazole);RET2_EMP70(Fluconazole);TPO1_TCB2(Fluconazole),,CKS1,pQTL_only
chr2:538868,TPO1_TPO2,Fluconazole,0.657674079,ERG11_ERV25(noDrug);FMP45_MID2(noDrug);PMC1_GTR2(noDrug);SRO9_GIS2(noDrug);TPO1_TPO2(Fluconazole);TPO1_TPO2(noDrug),,,piQTL_only
chr2:538868,TPO1_TPO2,noDrug,0.670000755,ERG11_ERV25(noDrug);FMP45_MID2(noDrug);PMC1_GTR2(noDrug);SRO9_GIS2(noDrug);TPO1_TPO2(Fluconazole);TPO1_TPO2(noDrug),,,piQTL_only
chr12:19930,GTR1_SLM4,Fluconazole,1.247318988,GTR1_SLM4(Fluconazole);HNM1_RBD2(Fluconazole);MID2_PIN2(Fluconazole);PLM2_HNM1(Trifluoperazine);PLM2_SNA3(5-FC);PLM2_SNA3(Fluconazole);PLM2_SNA3(Trifluoperazine);PLM2_SNA3(noDrug);RET2_EMP47(Fluconazole);SRO9_DHH1(Fluconazole),,MDH3;PIL1,pQTL_only
chr12:19930,HNM1_RBD2,Fluconazole,1.541883204,GTR1_SLM4(Fluconazole);HNM1_RBD2(Fluconazole);MID2_PIN2(Fluconazole);PLM2_HNM1(Trifluoperazine);PLM2_SNA3(5-FC);PLM2_SNA3(Fluconazole);PLM2_SNA3(Trifluoperazine);PLM2_SNA3(noDrug);RET2_EMP47(Fluconazole);SRO9_DHH1(Fluconazole),,MDH3;PIL1,pQTL_only
chr12:19930,MID2_PIN2,Fluconazole,1.74573052,GTR1_SLM4(Fluconazole);HNM1_RBD2(Fluconazole);MID2_PIN2(Fluconazole);PLM2_HNM1(Trifluoperazine);PLM2_SNA3(5-FC);PLM2_SNA3(Fluconazole);PLM2_SNA3(Trifluoperazine);PLM2_SNA3(noDrug);RET2_EMP47(Fluconazole);SRO9_DHH1(Fluconazole),,MDH3;PIL1,pQTL_only
chr12:19930,PLM2_HNM1,Trifluoperazine,1.529672784,GTR1_SLM4(Fluconazole);HNM1_RBD2(Fluconazole);MID2_PIN2(Fluconazole);PLM2_HNM1(Trifluoperazine);PLM2_SNA3(5-FC);PLM2_SNA3(Fluconazole);PLM2_SNA3(Trifluoperazine);PLM2_SNA3(noDrug);RET2_EMP47(Fluconazole);SRO9_DHH1(Fluconazole),,MDH3;PIL1,pQTL_only
chr12:19930,PLM2_SNA3,5-FC,1.567672671,GTR1_SLM4(Fluconazole);HNM1_RBD2(Fluconazole);MID2_PIN2(Fluconazole);PLM2_HNM1(Trifluoperazine);PLM2_SNA3(5-FC);PLM2_SNA3(Fluconazole);PLM2_SNA3(Trifluoperazine);PLM2_SNA3(noDrug);RET2_EMP47(Fluconazole);SRO9_DHH1(Fluconazole),,MDH3;PIL1,pQTL_only
chr12:19930,PLM2_SNA3,Fluconazole,1.459028454,GTR1_SLM4(Fluconazole);HNM1_RBD2(Fluconazole);MID2_PIN2(Fluconazole);PLM2_HNM1(Trifluoperazine);PLM2_SNA3(5-FC);PLM2_SNA3(Fluconazole);PLM2_SNA3(Trifluoperazine);PLM2_SNA3(noDrug);RET2_EMP47(Fluconazole);SRO9_DHH1(Fluconazole),,MDH3;PIL1,pQTL_only
chr12:19930,PLM2_SNA3,Trifluoperazine,1.952766179,GTR1_SLM4(Fluconazole);HNM1_RBD2(Fluconazole);MID2_PIN2(Fluconazole);PLM2_HNM1(Trifluoperazine);PLM2_SNA3(5-FC);PLM2_SNA3(Fluconazole);PLM2_SNA3(Trifluoperazine);PLM2_SNA3(noDrug);RET2_EMP47(Fluconazole);SRO9_DHH1(Fluconazole),,MDH3;PIL1,pQTL_only
chr12:19930,PLM2_SNA3,noDrug,1.522702669,GTR1_SLM4(Fluconazole);HNM1_RBD2(Fluconazole);MID2_PIN2(Fluconazole);PLM2_HNM1(Trifluoperazine);PLM2_SNA3(5-FC);PLM2_SNA3(Fluconazole);PLM2_SNA3(Trifluoperazine);PLM2_SNA3(noDrug);RET2_EMP47(Fluconazole);SRO9_DHH1(Fluconazole),,MDH3;PIL1,pQTL_only
chr12:19930,RET2_EMP47,Fluconazole,1.023426817,GTR1_SLM4(Fluconazole);HNM1_RBD2(Fluconazole);MID2_PIN2(Fluconazole);PLM2_HNM1(Trifluoperazine);PLM2_SNA3(5-FC);PLM2_SNA3(Fluconazole);PLM2_SNA3(Trifluoperazine);PLM2_SNA3(noDrug);RET2_EMP47(Fluconazole);SRO9_DHH1(Fluconazole),,MDH3;PIL1,pQTL_only
chr12:19930,SRO9_DHH1,Fluconazole,1.675032126,GTR1_SLM4(Fluconazole);HNM1_RBD2(Fluconazole);MID2_PIN2(Fluconazole);PLM2_HNM1(Trifluoperazine);PLM2_SNA3(5-FC);PLM2_SNA3(Fluconazole);PLM2_SNA3(Trifluoperazine);PLM2_SNA3(noDrug);RET2_EMP47(Fluconazole);SRO9_DHH1(Fluconazole),,MDH3;PIL1,pQTL_only
