snp_marker,chr,pos,Besse,Jakobson,Albert
chr1:37330,1,37330,False,False,True
chr1:37409,1,37409,True,True,True
chr1:37478,1,37478,True,True,True
chr1:37553,1,37553,False,False,True
chr1:37595,1,37595,False,False,True
chr1:37976,1,37976,False,False,True
chr1:38120,1,38120,False,False,True
chr1:38236,1,38236,False,False,True
chr1:38361,1,38361,False,False,True
chr1:38490,1,38490,False,False,True
chr1:38504,1,38504,False,False,True
chr1:38508,1,38508,False,False,True
chr1:38524,1,38524,False,False,True
chr1:38533,1,38533,False,False,True
chr1:38657,1,38657,False,False,True
chr1:38689,1,38689,False,False,True
chr1:38888,1,38888,False,False,True
chr1:38980,1,38980,False,False,True
chr1:39009,1,39009,False,False,True
chr1:39105,1,39105,False,False,True
chr1:39123,1,39123,False,False,True
chr1:39144,1,39144,True,True,True
chr1:39162,1,39162,False,False,True
chr1:39795,1,39795,False,False,True
chr1:39901,1,39901,False,False,True
chr1:39919,1,39919,False,False,True
chr1:39920,1,39920,False,False,True
chr1:39963,1,39963,False,False,True
chr1:40064,1,40064,False,False,True
chr1:40237,1,40237,False,False,True
chr1:40380,1,40380,False,False,True
chr1:40860,1,40860,False,False,True
chr1:40866,1,40866,False,False,True
chr1:40914,1,40914,False,False,True
chr1:41278,1,41278,False,False,True
chr1:41475,1,41475,False,False,True
chr1:41481,1,41481,False,False,True
chr1:41499,1,41499,True,True,True
chr1:41587,1,41587,False,False,True
chr1:41736,1,41736,False,False,True
chr1:41739,1,41739,False,False,True
chr1:41802,1,41802,False,False,True
chr1:41883,1,41883,False,False,True
chr1:41906,1,41906,False,False,True
chr1:41987,1,41987,False,False,True
chr1:42115,1,42115,False,False,True
chr1:42257,1,42257,False,False,True
chr1:42484,1,42484,False,False,True
chr1:42527,1,42527,False,False,True
chr1:42554,1,42554,False,False,True
chr1:42562,1,42562,False,False,True
chr1:42590,1,42590,False,False,True
chr1:42629,1,42629,False,False,True
chr1:42635,1,42635,False,False,True
chr1:42684,1,42684,False,False,True
chr1:43004,1,43004,False,False,True
chr1:43137,1,43137,False,False,True
chr1:43478,1,43478,False,False,True
chr1:43565,1,43565,False,False,True
chr1:43691,1,43691,False,False,True
chr1:43784,1,43784,False,False,True
chr1:44384,1,44384,False,False,True
chr1:44588,1,44588,False,False,True
chr1:44675,1,44675,False,False,True
chr1:44891,1,44891,False,False,True
chr1:44935,1,44935,False,False,True
chr1:45024,1,45024,False,False,True
chr1:45030,1,45030,False,False,True
chr1:45198,1,45198,False,False,True
chr1:45359,1,45359,True,True,False
chr1:45431,1,45431,False,False,True
chr1:45522,1,45522,False,False,True
chr1:45634,1,45634,True,True,True
chr1:45831,1,45831,False,False,True
chr1:46030,1,46030,False,False,True
chr1:46375,1,46375,False,False,True
chr1:46723,1,46723,False,False,True
chr1:46837,1,46837,False,False,True
chr1:46846,1,46846,False,False,True
chr1:46894,1,46894,False,False,True
chr1:46912,1,46912,False,False,True
chr1:46966,1,46966,False,False,True
chr1:47044,1,47044,False,False,True
chr1:47206,1,47206,False,False,True
chr1:47518,1,47518,False,False,True
chr1:47660,1,47660,False,False,True
chr1:47690,1,47690,False,False,True
chr1:47896,1,47896,False,False,True
chr1:48115,1,48115,False,False,True
chr1:48286,1,48286,False,False,True
chr1:48751,1,48751,False,False,True
chr1:48815,1,48815,False,False,True
chr1:48890,1,48890,False,False,True
chr1:49103,1,49103,False,False,True
chr1:49114,1,49114,False,False,True
chr1:49247,1,49247,False,False,True
chr1:49403,1,49403,False,False,True
chr1:49589,1,49589,False,False,True
chr1:49871,1,49871,False,False,True
chr1:50024,1,50024,False,False,True
chr1:50204,1,50204,False,False,True
chr1:50343,1,50343,False,False,True
chr1:50354,1,50354,False,False,True
chr1:50384,1,50384,False,False,True
chr1:50432,1,50432,False,False,True
chr1:50456,1,50456,False,False,True
chr1:50498,1,50498,False,False,True
chr1:50660,1,50660,False,False,True
chr1:50663,1,50663,False,False,True
chr1:50840,1,50840,False,False,True
chr1:51095,1,51095,False,False,True
chr1:51248,1,51248,True,True,False
chr1:51287,1,51287,False,False,True
chr1:51321,1,51321,False,False,True
chr1:51434,1,51434,False,False,True
chr1:51462,1,51462,True,True,False
chr1:52124,1,52124,True,True,True
chr1:52164,1,52164,False,False,True
chr1:52310,1,52310,False,False,True
chr1:52603,1,52603,False,False,True
chr1:52613,1,52613,False,False,True
chr1:52632,1,52632,False,False,True
chr1:52667,1,52667,True,True,False
chr1:52733,1,52733,False,False,True
chr1:52846,1,52846,False,False,True
chr1:52849,1,52849,False,False,True
chr1:52858,1,52858,False,False,True
chr1:52939,1,52939,False,False,True
chr1:52951,1,52951,False,False,True
chr1:52984,1,52984,False,False,True
chr1:52996,1,52996,False,False,True
chr1:53146,1,53146,False,False,True
chr1:53167,1,53167,False,False,True
chr1:53266,1,53266,False,False,True
chr1:53542,1,53542,False,False,True
chr1:53836,1,53836,False,False,True
chr1:53843,1,53843,False,False,True
chr1:53851,1,53851,False,False,True
chr1:53935,1,53935,False,False,True
chr1:54175,1,54175,False,False,True
chr1:54198,1,54198,False,False,True
chr1:54244,1,54244,False,False,True
chr1:54319,1,54319,False,False,True
chr1:54478,1,54478,False,False,True
chr1:54481,1,54481,False,False,True
chr1:54508,1,54508,False,False,True
chr1:54661,1,54661,False,False,True
chr1:54679,1,54679,False,False,True
chr1:54742,1,54742,False,False,True
chr1:54784,1,54784,False,False,True
chr1:54806,1,54806,False,False,True
chr1:55145,1,55145,False,False,True
chr1:55171,1,55171,False,False,True
chr1:55213,1,55213,False,False,True
chr1:55256,1,55256,False,False,True
chr1:55327,1,55327,False,False,True
chr1:55470,1,55470,True,True,False
chr1:55508,1,55508,False,False,True
chr1:55688,1,55688,False,False,True
chr1:55793,1,55793,False,False,True
chr1:56007,1,56007,False,False,True
chr1:56107,1,56107,False,False,True
chr1:56129,1,56129,False,False,True
chr1:56195,1,56195,False,False,True
chr1:56351,1,56351,False,False,True
chr1:56786,1,56786,False,False,True
chr1:56871,1,56871,False,False,True
chr1:56878,1,56878,False,False,True
chr1:56888,1,56888,False,False,True
chr1:56904,1,56904,False,False,True
chr1:57041,1,57041,False,False,True
chr1:57155,1,57155,False,False,True
chr1:57320,1,57320,False,False,True
chr1:57669,1,57669,False,False,True
chr1:58073,1,58073,False,False,True
chr1:58490,1,58490,False,False,True
chr1:58494,1,58494,False,False,True
chr1:58643,1,58643,False,False,True
chr1:58794,1,58794,False,False,True
chr1:58827,1,58827,False,False,True
chr1:59073,1,59073,False,False,True
chr1:59229,1,59229,False,False,True
chr1:59265,1,59265,True,True,True
chr1:59349,1,59349,False,False,True
chr1:59394,1,59394,False,False,True
chr1:59475,1,59475,False,False,True
chr1:59496,1,59496,False,False,True
chr1:59659,1,59659,False,False,True
chr1:59976,1,59976,False,False,True
chr1:59985,1,59985,False,False,True
chr1:60165,1,60165,True,True,True
chr1:60198,1,60198,False,False,True
chr1:60246,1,60246,False,False,True
chr1:60384,1,60384,False,False,True
chr1:60417,1,60417,False,False,True
chr1:60526,1,60526,False,False,True
chr1:60774,1,60774,False,False,True
chr1:60912,1,60912,False,False,True
chr1:62308,1,62308,True,True,False
chr1:62361,1,62361,False,False,True
chr1:62654,1,62654,False,False,True
chr1:62869,1,62869,True,True,True
chr1:64483,1,64483,False,False,True
chr1:65365,1,65365,False,False,True
chr1:65431,1,65431,True,True,True
chr1:65451,1,65451,True,True,False
chr1:65453,1,65453,False,False,True
chr1:65494,1,65494,False,False,True
chr1:65506,1,65506,False,False,True
chr1:65514,1,65514,False,False,True
chr1:65570,1,65570,False,False,True
chr1:65590,1,65590,False,False,True
chr1:65719,1,65719,True,True,True
chr1:65871,1,65871,False,False,True
chr1:65892,1,65892,False,False,True
chr1:65910,1,65910,False,False,True
chr1:65991,1,65991,False,False,True
chr1:66003,1,66003,False,False,True
chr1:66033,1,66033,False,False,True
chr1:66841,1,66841,True,True,False
chr1:66948,1,66948,True,True,True
chr1:67269,1,67269,False,False,True
chr1:67275,1,67275,False,False,True
chr1:67421,1,67421,False,False,True
chr1:67441,1,67441,False,False,True
chr1:67476,1,67476,False,False,True
chr1:68621,1,68621,True,True,True
chr1:68785,1,68785,False,False,True
chr1:69417,1,69417,True,True,False
chr1:69603,1,69603,False,False,True
chr1:69675,1,69675,False,False,True
chr1:69678,1,69678,False,False,True
chr1:69727,1,69727,False,False,True
chr1:69731,1,69731,False,False,True
chr1:69759,1,69759,False,False,True
chr1:69820,1,69820,True,True,False
chr1:69821,1,69821,True,True,False
chr1:69822,1,69822,False,False,True
chr1:70024,1,70024,False,False,True
chr1:70045,1,70045,False,False,True
chr1:70071,1,70071,False,False,True
chr1:70280,1,70280,False,False,True
chr1:70524,1,70524,False,False,True
chr1:70905,1,70905,False,False,True
chr1:70906,1,70906,True,True,False
chr1:71601,1,71601,False,False,True
chr1:74327,1,74327,True,True,True
chr1:74572,1,74572,True,True,True
chr1:75211,1,75211,True,True,False
chr1:76030,1,76030,True,True,True
chr1:76368,1,76368,False,False,True
chr1:76386,1,76386,False,False,True
chr1:76417,1,76417,False,False,True
chr1:76456,1,76456,False,False,True
chr1:76496,1,76496,False,False,True
chr1:76497,1,76497,False,False,True
chr1:77115,1,77115,False,False,True
chr1:80108,1,80108,True,True,False
chr1:81262,1,81262,True,True,True
chr1:81442,1,81442,False,False,True
chr1:81999,1,81999,True,True,True
chr1:82379,1,82379,False,False,True
chr1:82431,1,82431,True,True,True
chr1:83284,1,83284,True,True,True
chr1:83613,1,83613,True,True,True
chr1:84112,1,84112,True,True,True
chr1:84701,1,84701,True,True,False
chr1:84858,1,84858,True,True,True
chr1:85480,1,85480,False,False,True
chr1:85751,1,85751,True,True,False
chr1:87445,1,87445,True,True,True
chr1:87467,1,87467,True,True,False
chr1:88173,1,88173,False,False,True
chr1:88212,1,88212,False,False,True
chr1:88393,1,88393,False,False,True
chr1:88638,1,88638,False,False,True
chr1:88645,1,88645,False,False,True
chr1:88782,1,88782,False,False,True
chr1:88812,1,88812,False,False,True
chr1:89010,1,89010,False,False,True
chr1:89060,1,89060,False,False,True
chr1:89070,1,89070,True,True,False
chr1:89266,1,89266,False,False,True
chr1:89268,1,89268,False,False,True
chr1:89334,1,89334,False,False,True
chr1:89430,1,89430,False,False,True
chr1:89433,1,89433,False,False,True
chr1:89472,1,89472,False,False,True
chr1:89484,1,89484,False,False,True
chr1:89494,1,89494,False,False,True
chr1:89561,1,89561,False,False,True
chr1:89616,1,89616,True,True,False
chr1:89679,1,89679,True,True,False
chr1:89705,1,89705,False,False,True
chr1:89805,1,89805,False,False,True
chr1:89880,1,89880,True,True,True
chr1:89979,1,89979,False,False,True
chr1:90064,1,90064,False,False,True
chr1:90330,1,90330,False,False,True
chr1:91472,1,91472,True,True,True
chr1:92602,1,92602,False,False,True
chr1:93789,1,93789,True,True,True
chr1:94351,1,94351,True,True,True
chr1:94472,1,94472,False,False,True
chr1:99148,1,99148,True,True,False
chr1:99471,1,99471,False,False,True
chr1:101281,1,101281,True,True,False
chr1:106011,1,106011,True,True,False
chr1:106800,1,106800,True,True,False
chr1:107538,1,107538,False,False,True
chr1:107970,1,107970,True,True,False
chr1:109000,1,109000,True,True,False
chr1:109735,1,109735,False,False,True
chr1:112136,1,112136,False,False,True
chr1:112237,1,112237,False,False,True
chr1:112549,1,112549,True,True,True
chr1:112742,1,112742,True,True,True
chr1:113050,1,113050,True,True,False
chr1:113132,1,113132,False,False,True
chr1:113135,1,113135,True,True,False
chr1:113207,1,113207,False,False,True
chr1:113326,1,113326,False,False,True
chr1:114076,1,114076,True,True,False
chr1:114628,1,114628,True,True,True
chr1:114652,1,114652,False,False,True
chr1:114824,1,114824,False,False,True
chr1:116283,1,116283,True,True,False
chr1:116327,1,116327,False,False,True
chr1:119344,1,119344,False,False,True
chr1:119350,1,119350,False,False,True
chr1:119404,1,119404,False,False,True
chr1:119460,1,119460,False,False,True
chr1:119659,1,119659,False,False,True
chr1:119951,1,119951,False,False,True
chr1:120347,1,120347,False,False,True
chr1:120378,1,120378,False,False,True
chr1:126880,1,126880,True,True,False
chr1:127853,1,127853,True,True,True
chr1:128302,1,128302,True,True,True
chr1:128704,1,128704,True,True,True
chr1:128911,1,128911,True,True,False
chr1:129476,1,129476,False,False,True
chr1:129517,1,129517,False,False,True
chr1:130254,1,130254,False,False,True
chr1:130267,1,130267,True,True,False
chr1:130271,1,130271,True,True,True
chr1:130292,1,130292,False,False,True
chr1:130362,1,130362,False,False,True
chr1:130613,1,130613,True,True,True
chr1:130776,1,130776,False,False,True
chr1:130975,1,130975,False,False,True
chr1:131539,1,131539,False,False,True
chr1:131635,1,131635,False,False,True
chr1:131980,1,131980,False,False,True
chr1:132012,1,132012,True,True,False
chr1:132189,1,132189,False,False,True
chr1:132423,1,132423,False,False,True
chr1:132468,1,132468,False,False,True
chr1:132618,1,132618,False,False,True
chr1:132723,1,132723,False,False,True
chr1:132831,1,132831,False,False,True
chr1:133080,1,133080,False,False,True
chr1:133134,1,133134,False,False,True
chr1:133174,1,133174,False,False,True
chr1:133231,1,133231,True,True,False
chr1:133346,1,133346,False,False,True
chr1:133347,1,133347,False,False,True
chr1:133374,1,133374,False,False,True
chr1:133425,1,133425,False,False,True
chr1:133429,1,133429,False,False,True
chr1:133615,1,133615,False,False,True
chr1:133640,1,133640,False,False,True
chr1:133749,1,133749,False,False,True
chr1:133857,1,133857,False,False,True
chr1:134219,1,134219,False,False,True
chr1:134475,1,134475,False,False,True
chr1:134587,1,134587,False,False,True
chr1:134604,1,134604,False,False,True
chr1:134639,1,134639,False,False,True
chr1:134661,1,134661,False,False,True
chr1:135181,1,135181,False,False,True
chr1:135222,1,135222,False,False,True
chr1:135325,1,135325,False,False,True
chr1:135417,1,135417,False,False,True
chr1:135827,1,135827,False,False,True
chr1:135952,1,135952,False,False,True
chr1:136041,1,136041,False,False,True
chr1:136057,1,136057,False,False,True
chr1:136153,1,136153,False,False,True
chr1:136160,1,136160,False,False,True
chr1:136195,1,136195,False,False,True
chr1:136667,1,136667,False,False,True
chr1:136814,1,136814,False,False,True
chr1:136961,1,136961,False,False,True
chr1:137074,1,137074,True,True,False
chr1:137148,1,137148,False,False,True
chr1:137167,1,137167,False,False,True
chr1:137237,1,137237,False,False,True
chr1:137264,1,137264,False,False,True
chr1:137304,1,137304,True,True,False
chr1:137336,1,137336,False,False,True
chr1:138257,1,138257,False,False,True
chr1:138499,1,138499,False,False,True
chr1:138591,1,138591,False,False,True
chr1:138650,1,138650,False,False,True
chr1:138655,1,138655,False,False,True
chr1:138665,1,138665,False,False,True
chr1:138669,1,138669,False,False,True
chr1:138748,1,138748,False,False,True
chr1:138770,1,138770,False,False,True
chr1:138780,1,138780,False,False,True
chr1:138785,1,138785,False,False,True
chr1:138791,1,138791,False,False,True
chr1:138793,1,138793,False,False,True
chr1:138806,1,138806,False,False,True
chr1:138807,1,138807,False,False,True
chr1:138823,1,138823,False,False,True
chr1:138824,1,138824,False,False,True
chr1:139045,1,139045,False,False,True
chr1:139073,1,139073,False,False,True
chr1:139123,1,139123,False,False,True
chr1:139132,1,139132,False,False,True
chr1:139311,1,139311,False,False,True
chr1:139349,1,139349,False,False,True
chr1:139404,1,139404,False,False,True
chr1:139686,1,139686,True,True,False
chr1:139692,1,139692,False,False,True
chr1:140451,1,140451,False,False,True
chr1:141180,1,141180,False,False,True
chr1:141184,1,141184,False,False,True
chr1:141342,1,141342,False,False,True
chr1:141802,1,141802,False,False,True
chr1:141835,1,141835,False,False,True
chr1:141913,1,141913,False,False,True
chr1:141984,1,141984,False,False,True
chr1:142111,1,142111,False,False,True
chr1:142779,1,142779,False,False,True
chr1:143085,1,143085,False,False,True
chr1:143622,1,143622,False,False,True
chr1:143638,1,143638,False,False,True
chr1:143679,1,143679,False,False,True
chr1:143806,1,143806,False,False,True
chr1:143852,1,143852,False,False,True
chr1:144684,1,144684,False,False,True
chr1:144826,1,144826,False,False,True
chr1:145634,1,145634,False,False,True
chr1:145720,1,145720,False,False,True
chr1:146738,1,146738,False,False,True
chr1:146820,1,146820,False,False,True
chr1:147726,1,147726,False,False,True
chr1:147785,1,147785,False,False,True
chr1:149307,1,149307,False,False,True
chr1:149467,1,149467,False,False,True
chr1:149562,1,149562,True,True,True
chr1:149773,1,149773,False,False,True
chr1:150303,1,150303,False,False,True
chr1:150447,1,150447,True,True,False
chr1:150921,1,150921,False,False,True
chr1:151010,1,151010,False,False,True
chr1:151332,1,151332,False,False,True
chr1:151446,1,151446,True,True,False
chr1:151450,1,151450,False,False,True
chr1:151453,1,151453,False,False,True
chr1:151460,1,151460,False,False,True
chr1:151465,1,151465,False,False,True
chr1:151483,1,151483,False,False,True
chr1:151501,1,151501,False,False,True
chr1:151502,1,151502,False,False,True
chr1:151503,1,151503,False,False,True
chr1:151511,1,151511,False,False,True
chr1:151658,1,151658,False,False,True
chr1:151740,1,151740,False,False,True
chr1:151834,1,151834,False,False,True
chr1:151874,1,151874,False,False,True
chr1:151963,1,151963,False,False,True
chr1:152004,1,152004,False,False,True
chr1:152155,1,152155,False,False,True
chr1:152235,1,152235,False,False,True
chr1:152239,1,152239,False,False,True
chr1:152274,1,152274,False,False,True
chr1:152291,1,152291,False,False,True
chr1:152336,1,152336,False,False,True
chr1:152709,1,152709,False,False,True
chr1:152728,1,152728,False,False,True
chr1:152932,1,152932,False,False,True
chr1:152970,1,152970,False,False,True
chr1:153156,1,153156,False,False,True
chr1:153742,1,153742,False,False,True
chr1:153968,1,153968,False,False,True
chr1:154084,1,154084,True,True,True
chr1:154086,1,154086,False,False,True
chr1:154332,1,154332,False,False,True
chr1:154746,1,154746,False,False,True
chr1:155562,1,155562,False,False,True
chr1:156174,1,156174,False,False,True
chr1:156314,1,156314,False,False,True
chr1:156315,1,156315,False,False,True
chr1:156383,1,156383,False,False,True
chr1:156393,1,156393,False,False,True
chr1:156394,1,156394,False,False,True
chr1:156403,1,156403,False,False,True
chr1:156451,1,156451,False,False,True
chr1:156453,1,156453,False,False,True
chr1:156518,1,156518,False,False,True
chr1:156538,1,156538,False,False,True
chr1:156554,1,156554,False,False,True
chr1:156584,1,156584,False,False,True
chr1:156614,1,156614,False,False,True
chr1:156615,1,156615,False,False,True
chr1:156633,1,156633,True,True,True
chr1:156651,1,156651,False,False,True
chr1:156666,1,156666,False,False,True
chr1:156835,1,156835,False,False,True
chr1:156949,1,156949,False,False,True
chr1:157114,1,157114,False,False,True
chr1:157134,1,157134,False,False,True
chr1:157269,1,157269,True,True,True
chr1:157339,1,157339,False,False,True
chr1:157344,1,157344,False,False,True
chr1:157428,1,157428,False,False,True
chr1:157912,1,157912,False,False,True
chr1:157927,1,157927,False,False,True
chr1:158089,1,158089,False,False,True
chr1:158200,1,158200,False,False,True
chr1:158341,1,158341,False,False,True
chr1:158503,1,158503,False,False,True
chr1:158597,1,158597,False,False,True
chr1:158641,1,158641,False,False,True
chr1:158733,1,158733,False,False,True
chr1:158824,1,158824,False,False,True
chr1:158827,1,158827,False,False,True
chr1:158870,1,158870,False,False,True
chr1:158971,1,158971,False,False,True
chr1:159164,1,159164,False,False,True
chr1:159467,1,159467,False,False,True
chr1:160054,1,160054,True,True,True
chr1:166222,1,166222,True,True,True
chr1:166369,1,166369,False,False,True
chr1:166416,1,166416,True,True,False
chr1:167326,1,167326,True,True,True
chr1:168686,1,168686,False,False,True
chr1:168767,1,168767,False,False,True
chr1:168772,1,168772,False,False,True
chr1:168787,1,168787,False,False,True
chr1:168836,1,168836,True,True,True
chr1:169205,1,169205,False,False,True
chr1:169217,1,169217,False,False,True
chr1:169269,1,169269,False,False,True
chr1:169422,1,169422,False,False,True
chr1:169476,1,169476,False,False,True
chr1:169638,1,169638,False,False,True
chr1:169689,1,169689,False,False,True
chr1:169830,1,169830,False,False,True
chr1:169887,1,169887,False,False,True
chr1:169992,1,169992,False,False,True
chr1:170022,1,170022,False,False,True
chr1:170564,1,170564,False,False,True
chr1:171200,1,171200,True,True,False
chr1:171389,1,171389,False,False,True
chr1:171431,1,171431,True,True,True
chr1:171961,1,171961,False,False,True
chr1:171975,1,171975,False,False,True
chr1:172113,1,172113,False,False,True
chr1:172129,1,172129,False,False,True
chr1:172431,1,172431,False,False,True
chr1:172585,1,172585,False,False,True
chr1:173222,1,173222,False,False,True
chr1:173339,1,173339,True,True,True
chr1:173845,1,173845,True,True,True
chr1:174118,1,174118,False,False,True
chr1:174371,1,174371,False,False,True
chr1:174746,1,174746,False,False,True
chr1:174919,1,174919,False,False,True
chr1:174938,1,174938,False,False,True
chr1:175121,1,175121,True,True,False
chr1:175281,1,175281,True,True,True
chr1:175315,1,175315,True,True,True
chr1:175523,1,175523,True,True,True
chr1:175541,1,175541,True,True,True
chr1:175653,1,175653,True,True,True
chr1:175805,1,175805,True,True,False
chr1:175818,1,175818,True,True,True
chr1:175856,1,175856,True,True,True
chr1:175876,1,175876,True,True,True
chr1:175989,1,175989,True,True,True
chr1:176001,1,176001,True,True,True
chr1:176230,1,176230,False,False,True
chr1:176266,1,176266,False,False,True
chr1:176273,1,176273,False,False,True
chr1:176451,1,176451,True,True,False
chr1:176512,1,176512,False,False,True
chr1:176650,1,176650,False,False,True
chr1:176694,1,176694,False,False,True
chr1:176721,1,176721,False,False,True
chr1:176847,1,176847,False,False,True
chr1:176858,1,176858,False,False,True
chr1:176948,1,176948,False,False,True
chr1:177285,1,177285,False,False,True
chr1:177667,1,177667,False,False,True
chr1:177692,1,177692,True,True,False
chr1:178191,1,178191,True,True,True
chr1:178224,1,178224,True,True,False
chr1:178602,1,178602,False,False,True
chr1:178654,1,178654,False,False,True
chr1:178674,1,178674,False,False,True
chr1:178682,1,178682,False,False,True
chr1:178768,1,178768,False,False,True
chr1:178802,1,178802,False,False,True
chr1:178875,1,178875,False,False,True
chr1:178905,1,178905,False,False,True
chr1:178960,1,178960,True,True,True
chr1:179014,1,179014,False,False,True
chr1:179051,1,179051,False,False,True
chr1:179052,1,179052,False,False,True
chr1:179139,1,179139,True,True,False
chr1:179221,1,179221,False,False,True
chr1:179397,1,179397,False,False,True
chr1:179578,1,179578,False,False,True
chr1:180955,1,180955,True,True,False
chr1:181197,1,181197,False,False,True
chr1:183802,1,183802,True,True,False
chr1:183954,1,183954,True,True,False
chr1:184450,1,184450,True,True,False
chr1:184641,1,184641,True,True,False
chr1:184718,1,184718,True,True,False
chr1:185296,1,185296,True,True,False
chr1:185438,1,185438,True,True,False
chr1:185469,1,185469,True,True,False
chr1:185503,1,185503,True,True,False
chr1:185705,1,185705,True,True,False
chr1:185749,1,185749,True,True,False
chr1:185806,1,185806,True,True,False
chr1:185879,1,185879,True,True,False
chr1:185916,1,185916,True,True,False
chr1:185941,1,185941,True,True,False
chr1:185954,1,185954,True,True,False
chr1:186055,1,186055,True,True,False
chr1:186896,1,186896,True,True,False
chr1:186936,1,186936,False,False,True
chr1:186963,1,186963,False,False,True
chr1:186974,1,186974,False,False,True
chr1:186987,1,186987,False,False,True
chr1:186990,1,186990,False,False,True
chr1:187411,1,187411,False,False,True
chr1:187414,1,187414,False,False,True
chr1:187420,1,187420,False,False,True
chr1:187422,1,187422,False,False,True
chr1:187426,1,187426,False,False,True
chr1:187427,1,187427,False,False,True
chr1:187697,1,187697,True,True,False
chr1:189123,1,189123,False,False,True
chr1:189392,1,189392,True,True,False
chr1:189416,1,189416,True,True,False
chr1:190132,1,190132,True,True,False
chr1:190148,1,190148,True,True,False
chr1:190165,1,190165,True,True,False
chr1:190169,1,190169,True,True,False
chr1:190933,1,190933,True,True,False
chr1:191617,1,191617,False,False,True
chr1:191704,1,191704,False,False,True
chr1:192073,1,192073,False,False,True
chr1:192139,1,192139,False,False,True
chr1:192149,1,192149,True,True,True
chr1:192169,1,192169,False,False,True
chr1:192170,1,192170,False,False,True
chr1:192196,1,192196,False,False,True
chr1:192302,1,192302,True,True,False
chr1:192303,1,192303,True,True,False
chr1:192305,1,192305,True,True,False
chr1:192315,1,192315,True,True,False
chr1:192338,1,192338,False,False,True
chr1:192427,1,192427,False,False,True
chr1:192429,1,192429,False,False,True
chr1:192469,1,192469,False,False,True
chr1:192531,1,192531,False,False,True
chr1:192550,1,192550,False,False,True
chr1:192618,1,192618,False,False,True
chr1:192693,1,192693,False,False,True
chr1:192795,1,192795,True,True,True
chr1:192954,1,192954,False,False,True
chr1:193260,1,193260,False,False,True
chr1:193452,1,193452,False,False,True
chr1:193500,1,193500,False,False,True
chr1:193631,1,193631,False,False,True
chr1:194020,1,194020,True,True,True
chr1:194101,1,194101,False,False,True
chr1:194104,1,194104,False,False,True
chr1:194166,1,194166,False,False,True
chr1:194169,1,194169,False,False,True
chr1:194187,1,194187,True,True,False
chr1:194241,1,194241,False,False,True
chr1:194475,1,194475,False,False,True
chr1:194499,1,194499,False,False,True
chr1:194626,1,194626,False,False,True
chr1:194700,1,194700,False,False,True
chr1:194867,1,194867,True,True,True
