SNP,beta,PPI,DRUG
11928,-0.564796447,ALO1_UIP4,Trifluoperazine
10417,-0.653774707,ALO1_UIP4,noDrug
10419,-0.785704956,ALO1_UIP4,noDrug
10420,-0.621118471,ALO1_UIP4,noDrug
10425,-0.69711944,ALO1_UIP4,noDrug
10438,-1.016240868,ALO1_UIP4,noDrug
10480,-0.618890874,ALO1_UIP4,noDrug
11897,-0.651432383,ALO1_UIP4,noDrug
11912,-0.651286605,ALO1_UIP4,noDrug
11928,-0.602280302,ALO1_UIP4,noDrug
11931,-1.217008384,ALO1_UIP4,noDrug
11944,-0.622673763,ALO1_UIP4,noDrug
10438,-0.824845591,DHH1_LSM3,5-FC
3134,0.613770124,DHH1_LSM3,Fluconazole
3143,0.626616959,DHH1_LSM3,Fluconazole
3144,1.458055304,DHH1_LSM3,Fluconazole
4914,0.624449892,DHH1_LSM3,Fluconazole
9430,-0.582860666,DHH1_LSM3,Fluconazole
10419,-0.692679882,DHH1_LSM3,Fluconazole
10425,-0.628541633,DHH1_LSM3,Fluconazole
7115,-0.269925191,DHH1_LSM3,Metformin
7123,-0.308439893,DHH1_LSM3,Metformin
7128,-0.280485791,DHH1_LSM3,Metformin
5793,-1.091562269,DHH1_LSM3,noDrug
11897,-0.610518866,DHH1_LSM3,noDrug
9995,-1.1281231,ERG11_ACF2,5-FC
10389,0.769108732,ERG11_ACF2,5-FC
10419,-0.657961996,ERG11_ACF2,5-FC
10438,-0.940397843,ERG11_ACF2,5-FC
11910,-0.598399617,ERG11_ACF2,5-FC
11912,-0.597531359,ERG11_ACF2,5-FC
11924,-0.559079149,ERG11_ACF2,5-FC
11928,-0.57794965,ERG11_ACF2,5-FC
11931,-1.201058569,ERG11_ACF2,5-FC
11940,-0.625071678,ERG11_ACF2,5-FC
11946,-0.639489074,ERG11_ACF2,5-FC
3129,0.481753934,ERG11_ACF2,Fluconazole
3136,0.49249057,ERG11_ACF2,Fluconazole
3757,-0.596117426,ERG11_ACF2,Fluconazole
4732,1.08280352,ERG11_ACF2,Metformin
10419,-0.628382061,ERG11_ACF2,Metformin
10425,-0.535970745,ERG11_ACF2,Metformin
10438,-0.921855552,ERG11_ACF2,Metformin
10480,-0.527043166,ERG11_ACF2,Metformin
11917,-1.000995361,ERG11_ACF2,Metformin
6983,0.57867792,ERG11_ACF2,Trifluoperazine
10425,-0.51617317,ERG11_ACF2,Trifluoperazine
10438,-0.922678095,ERG11_ACF2,Trifluoperazine
10389,0.743577274,ERG11_ACF2,noDrug
10438,-0.894086526,ERG11_ACF2,noDrug
11910,-0.613608386,ERG11_ACF2,noDrug
11912,-0.57531933,ERG11_ACF2,noDrug
11921,-0.521706575,ERG11_ACF2,noDrug
11940,-0.542345292,ERG11_ACF2,noDrug
11946,-0.565271051,ERG11_ACF2,noDrug
9717,1.265421219,ERG11_ERG5,Fluconazole
11900,-0.450814284,ERG11_ERG5,Fluconazole
11912,-0.470481797,ERG11_ERG5,Fluconazole
11918,-0.635726349,ERG11_ERG5,Fluconazole
11921,-0.442645641,ERG11_ERG5,Fluconazole
11926,-0.425632944,ERG11_ERG5,Fluconazole
8795,0.274926308,ERG11_ERG5,Metformin
10262,-1.038612466,ERG11_ERG5,Metformin
10438,-0.493444927,ERG11_ERG5,Trifluoperazine
10456,-0.929550634,ERG11_ERG5,Trifluoperazine
10480,-0.309114311,ERG11_ERG5,Trifluoperazine
8471,-0.488889771,ERG11_ERG5,noDrug
10480,-0.422586295,ERG11_ERV25,5-FC
3815,0.50021191,ERG11_ERV25,Fluconazole
10104,-0.897315115,ERG11_ERV25,Fluconazole
3141,0.287433384,ERG11_ERV25,Metformin
3148,0.27300292,ERG11_ERV25,Metformin
648,0.429143668,ERG11_ERV25,noDrug
667,0.948079372,ERG11_ERV25,noDrug
3871,0.710971404,ERG11_ERV25,noDrug
4116,-0.915622524,ERG11_ERV25,noDrug
6201,-0.766103648,ERG11_ERV25,noDrug
10480,-0.437315995,ERG11_ERV25,noDrug
10862,-0.421775136,ERG11_ERV25,noDrug
7455,-0.302214469,ERG11_HYR1,5-FC
7936,0.937062438,ERG11_HYR1,5-FC
11395,-0.539438787,ERG11_HYR1,5-FC
1784,0.938947975,ERG11_HYR1,Fluconazole
3951,-0.44817073,ERG11_HYR1,Fluconazole
4290,0.462088778,ERG11_HYR1,Fluconazole
4891,0.464346575,ERG11_HYR1,Fluconazole
4972,0.465339011,ERG11_HYR1,Fluconazole
9574,1.168105637,ERG11_HYR1,Fluconazole
10438,-0.542460351,ERG11_HYR1,Trifluoperazine
9553,-0.368761874,ERG11_HYR1,noDrug
10438,-0.687680581,ERG11_HYR1,noDrug
10438,-0.73615625,ERG11_MID2,5-FC
10456,-1.39997688,ERG11_MID2,5-FC
10480,-0.487860369,ERG11_MID2,5-FC
4285,0.463345741,ERG11_MID2,Fluconazole
4290,0.472782738,ERG11_MID2,Fluconazole
9430,-0.454167713,ERG11_MID2,Fluconazole
9793,0.446199525,ERG11_MID2,Fluconazole
1147,0.313735218,ERG11_MID2,Metformin
8774,0.273762895,ERG11_MID2,Metformin
9283,-0.268597877,ERG11_MID2,Metformin
10438,-0.844600009,ERG11_MID2,Trifluoperazine
10456,-1.641374523,ERG11_MID2,Trifluoperazine
10480,-0.518760905,ERG11_MID2,Trifluoperazine
11899,-0.49782393,ERG11_MID2,Trifluoperazine
11912,-0.481335028,ERG11_MID2,Trifluoperazine
10480,-0.565697035,ERG11_MID2,noDrug
8792,0.480509401,ERG11_ORM2,5-FC
8795,0.501939111,ERG11_ORM2,5-FC
8797,0.474276541,ERG11_ORM2,5-FC
8810,0.532774041,ERG11_ORM2,5-FC
11873,-1.835347024,ERG11_ORM2,5-FC
11910,-0.549697844,ERG11_ORM2,5-FC
11912,-0.606341027,ERG11_ORM2,5-FC
11917,-0.911267845,ERG11_ORM2,5-FC
11924,-0.543281492,ERG11_ORM2,5-FC
11928,-0.566592565,ERG11_ORM2,5-FC
11931,-1.104338848,ERG11_ORM2,5-FC
11940,-0.531906882,ERG11_ORM2,5-FC
11943,-0.552203506,ERG11_ORM2,5-FC
819,0.508264363,ERG11_ORM2,Fluconazole
2015,0.513286045,ERG11_ORM2,Fluconazole
3847,0.503526013,ERG11_ORM2,Fluconazole
4852,0.498385309,ERG11_ORM2,Fluconazole
4901,0.478470816,ERG11_ORM2,Fluconazole
4904,0.478624569,ERG11_ORM2,Fluconazole
4978,0.497536302,ERG11_ORM2,Fluconazole
4198,-0.280660866,ERG11_ORM2,Metformin
4206,-0.29539375,ERG11_ORM2,Metformin
4209,-0.29192578,ERG11_ORM2,Metformin
4223,-0.326621323,ERG11_ORM2,Metformin
4532,-0.28109405,ERG11_ORM2,Metformin
5668,-0.274120574,ERG11_ORM2,Metformin
5671,-0.278778237,ERG11_ORM2,Metformin
8792,0.400423781,ERG11_ORM2,Metformin
8795,0.353721599,ERG11_ORM2,Metformin
8799,0.412412063,ERG11_ORM2,Metformin
8810,0.401646805,ERG11_ORM2,Metformin
657,0.461538959,ERG11_ORM2,Trifluoperazine
8792,0.526999588,ERG11_ORM2,Trifluoperazine
8794,0.527110163,ERG11_ORM2,Trifluoperazine
8802,0.525324641,ERG11_ORM2,Trifluoperazine
8810,0.516702185,ERG11_ORM2,Trifluoperazine
10438,-0.774645212,ERG11_ORM2,Trifluoperazine
11909,-0.546242742,ERG11_ORM2,Trifluoperazine
11912,-0.531551774,ERG11_ORM2,Trifluoperazine
11921,-0.548704771,ERG11_ORM2,Trifluoperazine
11928,-0.539724324,ERG11_ORM2,Trifluoperazine
11931,-1.02969757,ERG11_ORM2,Trifluoperazine
11944,-0.456490365,ERG11_ORM2,Trifluoperazine
8792,0.549444786,ERG11_ORM2,noDrug
10438,-1.088830687,ERG11_ORM2,noDrug
10456,-1.721923014,ERG11_ORM2,noDrug
10480,-0.645911186,ERG11_ORM2,noDrug
11912,-0.584168099,ERG11_ORM2,noDrug
11928,-0.571165712,ERG11_ORM2,noDrug
11931,-1.149824416,ERG11_ORM2,noDrug
8522,-0.803774446,ERG11_PIS1,5-FC
10438,-0.980175104,ERG11_PIS1,5-FC
10480,-0.586631464,ERG11_PIS1,5-FC
11912,-0.545530723,ERG11_PIS1,5-FC
4976,0.491823818,ERG11_PIS1,Fluconazole
7226,-0.29959742,ERG11_PIS1,Metformin
8522,-0.457903491,ERG11_PIS1,Metformin
8792,0.288584832,ERG11_PIS1,Metformin
8805,0.324888753,ERG11_PIS1,Metformin
8816,0.317269101,ERG11_PIS1,Metformin
8522,-0.804698648,ERG11_PIS1,Trifluoperazine
10425,-0.500647084,ERG11_PIS1,Trifluoperazine
10438,-0.930693987,ERG11_PIS1,Trifluoperazine
10480,-0.502768305,ERG11_PIS1,Trifluoperazine
11912,-0.503126814,ERG11_PIS1,Trifluoperazine
10438,-1.009384581,ERG11_PIS1,noDrug
10480,-0.593390009,ERG11_PIS1,noDrug
11910,-0.538159074,ERG11_PIS1,noDrug
11912,-0.551067804,ERG11_PIS1,noDrug
7484,0.504837048,ERG11_TPO4,5-FC
10425,-0.498899004,ERG11_TPO4,5-FC
10438,-1.007851557,ERG11_TPO4,5-FC
10480,-0.49537234,ERG11_TPO4,5-FC
10848,-0.503028491,ERG11_TPO4,5-FC
537,-0.496157031,ERG11_TPO4,Fluconazole
551,-0.51659538,ERG11_TPO4,Fluconazole
556,-0.514252965,ERG11_TPO4,Fluconazole
4285,0.524393155,ERG11_TPO4,Fluconazole
4291,0.503229554,ERG11_TPO4,Fluconazole
10482,-0.487097589,ERG11_TPO4,Fluconazole
3064,0.293616826,ERG11_TPO4,Metformin
3066,0.301939886,ERG11_TPO4,Metformin
3070,0.315866743,ERG11_TPO4,Metformin
3072,0.303328757,ERG11_TPO4,Metformin
8792,0.325583622,ERG11_TPO4,Metformin
8794,0.321001204,ERG11_TPO4,Metformin
8802,0.333396575,ERG11_TPO4,Metformin
8815,0.328438067,ERG11_TPO4,Metformin
10425,-0.494904742,ERG11_TPO4,Trifluoperazine
10438,-0.999534169,ERG11_TPO4,Trifluoperazine
10438,-1.030483683,ERG11_TPO4,noDrug
4528,-0.569133029,ERG27_ACF2,5-FC
11928,-0.57734552,ERG27_ACF2,5-FC
11931,-1.120965276,ERG27_ACF2,5-FC
11940,-0.657107978,ERG27_ACF2,5-FC
11944,-0.653595936,ERG27_ACF2,5-FC
10210,-0.637401315,ERG27_ACF2,Fluconazole
4528,-0.532433888,ERG27_ACF2,Metformin
5741,-0.492172978,ERG27_ACF2,Metformin
5792,-0.507405298,ERG27_ACF2,Metformin
10480,-0.493568049,ERG27_ACF2,Metformin
4528,-0.590071436,ERG27_ACF2,Trifluoperazine
10848,-0.548501242,ERG27_ACF2,Trifluoperazine
11940,-0.584246125,ERG27_ACF2,Trifluoperazine
11944,-0.54846448,ERG27_ACF2,Trifluoperazine
6983,0.595386061,ERG27_ACF2,noDrug
11910,-0.580693719,ERG27_ACF2,noDrug
11912,-0.629021634,ERG27_ACF2,noDrug
11920,-0.601504468,ERG27_ACF2,noDrug
11929,-0.631895233,ERG27_ACF2,noDrug
11931,-1.170546478,ERG27_ACF2,noDrug
11940,-0.706760756,ERG27_ACF2,noDrug
11944,-0.660628711,ERG27_ACF2,noDrug
8218,0.698719939,ERV25_EMP47,5-FC
4901,0.654032395,ERV25_EMP47,Fluconazole
8894,-0.63742077,ERV25_EMP47,Fluconazole
4528,-0.475720799,ERV25_EMP47,Metformin
8522,-0.770785449,ERV25_EMP47,Metformin
4528,-0.661608785,ERV25_EMP47,Trifluoperazine
10848,-0.618841061,ERV25_EMP47,Trifluoperazine
3871,0.808970044,ERV25_EMP47,noDrug
5735,-0.615336447,ERV25_EMP47,noDrug
5747,-0.635842376,ERV25_EMP47,noDrug
5766,-0.640246671,ERV25_EMP47,noDrug
5780,-0.632063781,ERV25_EMP47,noDrug
6983,0.536761124,ERV25_ERG5,5-FC
10438,-0.898663333,ERV25_ERG5,5-FC
10480,-0.569040661,ERV25_ERG5,5-FC
4285,0.656968361,ERV25_ERG5,Fluconazole
4291,0.628885864,ERV25_ERG5,Fluconazole
4909,0.567007721,ERV25_ERG5,Fluconazole
4913,1.162580474,ERV25_ERG5,Fluconazole
4914,0.636048086,ERV25_ERG5,Fluconazole
4972,0.558835946,ERV25_ERG5,Fluconazole
9438,-0.643877366,ERV25_ERG5,Fluconazole
9554,-0.582706597,ERV25_ERG5,Fluconazole
10040,1.336997268,ERV25_ERG5,Fluconazole
10438,-0.484702217,ERV25_ERG5,Metformin
6983,0.527975932,ERV25_ERG5,Trifluoperazine
10480,-0.532469487,ERV25_ERG5,Trifluoperazine
10861,-1.063663438,ERV25_ERG5,Trifluoperazine
11897,-0.534846327,ERV25_ERG5,Trifluoperazine
667,0.967215494,ERV25_ORM2,5-FC
789,-0.504294211,ERV25_ORM2,5-FC
792,-0.526593161,ERV25_ORM2,5-FC
798,-0.476860796,ERV25_ORM2,5-FC
10438,-0.982165999,ERV25_ORM2,5-FC
3143,0.607394269,ERV25_ORM2,Fluconazole
3144,1.282666453,ERV25_ORM2,Fluconazole
4286,0.626351423,ERV25_ORM2,Fluconazole
4290,0.604755037,ERV25_ORM2,Fluconazole
4904,0.601885803,ERV25_ORM2,Fluconazole
4914,0.644052627,ERV25_ORM2,Fluconazole
9465,-0.275936638,ERV25_ORM2,Metformin
10438,-0.497494212,ERV25_ORM2,Metformin
779,-0.449284435,ERV25_ORM2,Trifluoperazine
789,-0.51216032,ERV25_ORM2,Trifluoperazine
792,-0.532481158,ERV25_ORM2,Trifluoperazine
797,-0.449361214,ERV25_ORM2,Trifluoperazine
8515,-0.504599364,ERV25_ORM2,Trifluoperazine
10438,-0.813086175,ERV25_ORM2,Trifluoperazine
789,-0.537121488,ERV25_ORM2,noDrug
793,-0.579931273,ERV25_ORM2,noDrug
10438,-1.216291976,ERV25_ORM2,noDrug
653,0.591280227,ERV25_PIS1,5-FC
11694,0.597756086,ERV25_PIS1,5-FC
6,0.73581029,ERV25_PIS1,Fluconazole
649,0.567570224,ERV25_PIS1,Fluconazole
7077,0.569510235,ERV25_PIS1,Fluconazole
9431,-0.538067761,ERV25_PIS1,Fluconazole
10214,-0.546321593,ERV25_PIS1,Fluconazole
7481,0.600730467,ERV25_RBD2,5-FC
1505,-1.19347931,ERV25_RBD2,Metformin
11910,-0.730804262,ERV25_UIP4,5-FC
11912,-0.768545386,ERV25_UIP4,5-FC
11918,-0.938835779,ERV25_UIP4,5-FC
11924,-0.675008049,ERV25_UIP4,5-FC
11928,-0.755511415,ERV25_UIP4,5-FC
11931,-1.448746744,ERV25_UIP4,5-FC
11940,-0.773100993,ERV25_UIP4,5-FC
11944,-0.768063883,ERV25_UIP4,5-FC
11948,-0.655183949,ERV25_UIP4,5-FC
1784,1.139619507,ERV25_UIP4,Fluconazole
9430,-0.701994099,ERV25_UIP4,Fluconazole
9541,-0.512123749,ERV25_UIP4,Metformin
9968,-0.462197434,ERV25_UIP4,Metformin
11903,-0.457104244,ERV25_UIP4,Metformin
11944,-0.484504088,ERV25_UIP4,Metformin
9266,1.372846539,ERV25_UIP4,Trifluoperazine
11910,-0.593848953,ERV25_UIP4,Trifluoperazine
11912,-0.608896816,ERV25_UIP4,Trifluoperazine
11928,-0.597855781,ERV25_UIP4,Trifluoperazine
5734,-0.638152875,ERV25_UIP4,noDrug
10848,-0.64651889,ERV25_UIP4,noDrug
11903,-0.66506689,ERV25_UIP4,noDrug
11912,-0.675885143,ERV25_UIP4,noDrug
11928,-0.656532189,ERV25_UIP4,noDrug
11940,-0.67502376,ERV25_UIP4,noDrug
11944,-0.682783512,ERV25_UIP4,noDrug
11948,-0.64373629,ERV25_UIP4,noDrug
10438,-0.977390846,FMP45_HNM1,5-FC
11900,-0.565235371,FMP45_HNM1,5-FC
3099,0.609957307,FMP45_HNM1,Fluconazole
3104,0.618923753,FMP45_HNM1,Fluconazole
3134,0.628555866,FMP45_HNM1,Fluconazole
3139,0.62284695,FMP45_HNM1,Fluconazole
9430,-0.606064243,FMP45_HNM1,Fluconazole
11942,-0.567020495,FMP45_HNM1,Fluconazole
10438,-0.750899346,FMP45_HNM1,Metformin
2858,-0.553877852,FMP45_HNM1,noDrug
11704,0.560261362,FMP45_HNM1,noDrug
10438,-0.988144008,FMP45_MEP1,5-FC
10480,-0.599509593,FMP45_MEP1,5-FC
11900,-0.702461738,FMP45_MEP1,5-FC
11912,-0.742969905,FMP45_MEP1,5-FC
11920,-0.683284924,FMP45_MEP1,5-FC
11928,-0.733608206,FMP45_MEP1,5-FC
11931,-1.34670502,FMP45_MEP1,5-FC
11940,-0.687550855,FMP45_MEP1,5-FC
11944,-0.678483375,FMP45_MEP1,5-FC
649,0.610875152,FMP45_MEP1,Fluconazole
9430,-0.618753588,FMP45_MEP1,Fluconazole
10848,-0.473912897,FMP45_MEP1,Metformin
10866,-0.470625812,FMP45_MEP1,Metformin
6983,0.527831014,FMP45_MEP1,Trifluoperazine
6983,0.573932911,FMP45_MEP1,noDrug
654,0.64105547,FMP45_MID2,5-FC
10438,-0.970308943,FMP45_MID2,5-FC
11699,0.622866881,FMP45_MID2,5-FC
11899,-0.598313448,FMP45_MID2,5-FC
11912,-0.629050452,FMP45_MID2,5-FC
11928,-0.593536576,FMP45_MID2,5-FC
11931,-1.193263084,FMP45_MID2,5-FC
649,0.668971695,FMP45_MID2,Fluconazole
1850,0.578882249,FMP45_MID2,Fluconazole
11946,-0.602018416,FMP45_MID2,Fluconazole
10438,-0.790960556,FMP45_MID2,Metformin
10480,-0.478030496,FMP45_MID2,Metformin
11912,-0.497777804,FMP45_MID2,Metformin
11917,-0.988807469,FMP45_MID2,Metformin
11935,-0.477117581,FMP45_MID2,Metformin
654,0.538845511,FMP45_MID2,Trifluoperazine
10438,-0.858428385,FMP45_MID2,Trifluoperazine
11704,0.564919902,FMP45_MID2,Trifluoperazine
648,0.550704624,FMP45_MID2,noDrug
654,0.558067692,FMP45_MID2,noDrug
10389,0.773163507,FMP45_MID2,noDrug
11701,0.603558312,FMP45_MID2,noDrug
1784,0.998524915,GTR1_SLM4,Fluconazole
3140,0.505610801,GTR1_SLM4,Fluconazole
4914,0.474945549,GTR1_SLM4,Fluconazole
7430,1.247318988,GTR1_SLM4,Fluconazole
1211,1.19954004,GTR1_SLM4,Trifluoperazine
7033,0.796179537,GTR1_SLM4,Trifluoperazine
11395,-0.812956582,GTR1_SLM4,Trifluoperazine
10419,-0.755846436,HNM1_ERG11,5-FC
10425,-0.607772916,HNM1_ERG11,5-FC
10438,-1.150306635,HNM1_ERG11,5-FC
10480,-0.631356198,HNM1_ERG11,5-FC
11900,-0.648962032,HNM1_ERG11,5-FC
11912,-0.62888235,HNM1_ERG11,5-FC
11929,-0.650872451,HNM1_ERG11,5-FC
11931,-1.282659375,HNM1_ERG11,5-FC
3134,0.656326595,HNM1_ERG11,Fluconazole
3141,0.62755618,HNM1_ERG11,Fluconazole
3144,1.349199503,HNM1_ERG11,Fluconazole
3147,0.585633709,HNM1_ERG11,Fluconazole
10425,-0.41381858,HNM1_ERG11,Metformin
10438,-0.781228192,HNM1_ERG11,Metformin
10480,-0.471961931,HNM1_ERG11,Metformin
10438,-0.93964774,HNM1_ERG11,Trifluoperazine
11900,-0.579581847,HNM1_ERG11,Trifluoperazine
11929,-0.613976184,HNM1_ERG11,Trifluoperazine
11931,-1.206194788,HNM1_ERG11,Trifluoperazine
10438,-0.991557977,HNM1_ERG11,noDrug
11903,-0.633889466,HNM1_ERG11,noDrug
11912,-0.638126529,HNM1_ERG11,noDrug
11928,-0.659066254,HNM1_ERG11,noDrug
11931,-1.236206632,HNM1_ERG11,noDrug
11940,-0.625980713,HNM1_ERG11,noDrug
11944,-0.657207683,HNM1_ERG11,noDrug
10479,-0.541172129,HNM1_MAM33,5-FC
1505,-1.072682743,HNM1_MAM33,Fluconazole
10213,-0.659657891,HNM1_MAM33,Fluconazole
9266,0.920706366,HNM1_MAM33,Metformin
9266,1.206235691,HNM1_MAM33,Trifluoperazine
10438,-0.886018901,HNM1_MID2,5-FC
3137,0.517396041,HNM1_MID2,Fluconazole
8905,-0.950661727,HNM1_MID2,Fluconazole
9427,-0.534213667,HNM1_MID2,Fluconazole
9574,1.394611606,HNM1_MID2,Fluconazole
8778,0.267356793,HNM1_MID2,Metformin
10480,-0.24218035,HNM1_MID2,Metformin
11377,-0.2530019,HNM1_MID2,Metformin
10438,-0.935973345,HNM1_MID2,Trifluoperazine
11900,-0.57024806,HNM1_MID2,Trifluoperazine
10438,-0.903519297,HNM1_MID2,noDrug
11903,-0.612991379,HNM1_MID2,noDrug
11912,-0.5677271,HNM1_MID2,noDrug
11928,-0.579791634,HNM1_MID2,noDrug
9441,-0.599767016,HNM1_RBD2,5-FC
10212,-0.722048759,HNM1_RBD2,5-FC
10216,-0.675610087,HNM1_RBD2,5-FC
10220,-0.601738993,HNM1_RBD2,5-FC
2936,-0.690544453,HNM1_RBD2,Fluconazole
6039,0.845430752,HNM1_RBD2,Fluconazole
