pQTL_protein,pQTL_commonName,pVal,beta,isQtn,index,chromosome,pQTL_peak,dist,cis_trans,pQTL_effect,SNP,pQTL_left,pQTL_right,pQTL_cis
YMR072W,ABF2; HIM1,4.102024937,-0.108766953,0,11890,16,812990,inf,trans,0.108766953,11890,798666,821586,False
YMR072W,ABF2; HIM1,4.09595601,-0.109908931,0,2730,4,1508550,inf,trans,0.109908931,2730,1499852,1523350,False
YCR088W,ABP1,32.33399507,0.399479923,1,10191,15,171671,inf,trans,0.399479923,10191,165912,184082,False
YCR088W,ABP1,10.51967643,-0.386025725,0,1784,4,520430,inf,trans,0.386025725,1784,520430,520430,False
YCR088W,ABP1,8.676103886,0.170204701,0,5580,9,122617,inf,trans,0.170204701,5580,103774,138792,False
YCR088W,ABP1,7.109394347,0.154120614,0,11685,16,576347,inf,trans,0.154120614,11685,564355,591786,False
YCR088W,ABP1,6.798316098,0.160104845,0,642,2,523217,inf,trans,0.160104845,642,505207,530047,False
YCR088W,ABP1,6.673584665,-0.200637474,0,8463,13,61764,inf,trans,0.200637474,8463,55098,75198,False
YCR088W,ABP1,5.775558318,-0.142433897,0,8667,13,331334,inf,trans,0.142433897,8667,329611,333904,False
YCR088W,ABP1,5.22773792,0.139814186,0,3661,6,62990,inf,trans,0.139814186,3661,57460,71997,False
YCR088W,ABP1,4.775647316,0.120845421,0,8110,12,745735,inf,trans,0.120845421,8110,732202,754859,False
YCR088W,ABP1,4.343782352,0.114274092,0,9228,13,892136,inf,trans,0.114274092,9228,877043,902532,False
YCR088W,ABP1,4.325583129,-0.339502829,0,12041,17,48192,inf,trans,0.339502829,12041,48192,48192,False
YCR088W,ABP1,4.022875561,0.229544541,0,5911,9,388051,inf,trans,0.229544541,5911,388051,388051,False
YNR016C,ACC1,8.04897066,0.156404774,0,11690,16,579913,inf,trans,0.156404774,11690,571530,591786,False
YNR016C,ACC1,6.383059907,-0.134419895,0,4192,7,399000,inf,trans,0.134419895,4192,395909,413465,False
YNR016C,ACC1,5.064003493,0.118024151,0,1281,4,51735,inf,trans,0.118024151,1281,43687,60460,False
YNR016C,ACC1,4.86208231,0.139988515,1,11245,16,132456,inf,trans,0.139988515,11245,132456,132456,False
YNR016C,ACC1,4.823348781,-0.147345875,0,8475,13,71887,inf,trans,0.147345875,8475,56990,80310,False
YNR016C,ACC1,4.717184033,-0.138194239,1,913,3,4794,inf,trans,0.138194239,913,2644,4794,False
YNR016C,ACC1,4.671352639,0.112658294,1,9602,14,480472,174203.0,trans,0.112658294,9602,472613,485955,False
YGR037C,ACB1; ACB,9.086834107,0.183201834,0,2479,4,1248530,inf,trans,0.183201834,2479,1242195,1256509,False
YGR037C,ACB1; ACB,6.599678603,-0.411442918,0,4207,7,412630,147105.0,trans,0.411442918,4207,412630,412630,False
YGR037C,ACB1; ACB,6.560390331,-0.274126026,1,5981,9,437940,inf,trans,0.274126026,5981,437940,437999,False
YGR037C,ACB1; ACB,6.327481421,0.150757181,0,1933,4,621613,inf,trans,0.150757181,1933,613791,624555,False
YGR037C,ACB1; ACB,6.153440642,-0.931928015,0,10777,15,785154,inf,trans,0.931928015,10777,785154,785154,False
YGR037C,ACB1; ACB,5.048892532,0.269025196,0,7507,12,97159,inf,trans,0.269025196,7507,97147,97159,False
YBL015W,ACH1,10.94759351,-0.20880473,1,376,2,195759,54.0,cis,0.20880473,376,195759,204179,True
YBL015W,ACH1,9.337900012,0.18924974,0,11699,16,586993,inf,trans,0.18924974,11699,572464,593213,False
YBL015W,ACH1,8.169959757,-0.228161344,0,8468,13,66821,inf,trans,0.228161344,8468,56990,75773,False
YBL015W,ACH1,5.83905476,0.145790938,0,7974,12,567889,inf,trans,0.145790938,7974,563476,576167,False
YBL015W,ACH1,5.418664998,0.157081583,0,10195,15,179652,inf,trans,0.157081583,10195,165912,185951,False
YBL015W,ACH1,4.86683985,-0.129539338,0,6804,11,48259,inf,trans,0.129539338,6804,46848,60397,False
YBL015W,ACH1,4.706046149,-0.388366585,0,9717,14,599354,inf,trans,0.388366585,9717,599354,599354,False
YLR304C,ACO1; GLU1,16.50677963,-0.215091446,0,8106,12,737804,254.0,cis,0.215091446,8106,727931,749514,True
YLR304C,ACO1; GLU1,8.15570517,-0.296910542,0,4647,7,876941,inf,trans,0.296910542,4647,876941,876941,False
YLR304C,ACO1; GLU1,6.214032079,0.123605178,0,8222,12,879953,142403.0,trans,0.123605178,8222,879953,888202,False
YLR304C,ACO1; GLU1,5.615993588,0.11759547,1,2434,4,1172914,inf,trans,0.11759547,2434,1171385,1198548,False
YLR304C,ACO1; GLU1,5.537971758,-0.141494931,1,5808,9,287755,inf,trans,0.141494931,5808,286125,289513,False
YLR304C,ACO1; GLU1,5.199010792,0.121088521,1,4174,7,377575,inf,trans,0.121088521,4174,372094,379511,False
YLR304C,ACO1; GLU1,5.07670338,-0.192484531,1,3758,6,179345,inf,trans,0.192484531,3758,179345,179345,False
YJL200C,ACO2,8.657597878,0.373660583,0,844,2,780425,inf,trans,0.373660583,844,780425,780425,False
YJL200C,ACO2,6.433257147,0.128187469,0,7980,12,570630,inf,trans,0.128187469,7980,563476,576167,False
YJL200C,ACO2,5.756226946,-0.242916235,1,6201,10,359824,301011.0,trans,0.242916235,6201,359824,359824,False
YJL200C,ACO2,5.517083418,-0.246749162,0,4647,7,876941,inf,trans,0.246749162,4647,876941,876941,False
YJL200C,ACO2,5.276567042,0.260715635,0,8041,12,646385,inf,trans,0.260715635,8041,646385,646385,False
YJL200C,ACO2,4.603169704,0.583608825,0,8523,13,99276,inf,trans,0.583608825,8523,99276,99276,False
YJL200C,ACO2,4.600553694,-0.227645754,0,5416,8,541428,inf,trans,0.227645754,5416,541428,541428,False
YJL200C,ACO2,4.537076577,-0.106117603,0,9454,14,275245,inf,trans,0.106117603,9454,267696,288822,False
YKL192C,ACP1,8.531971661,0.218460016,1,10191,15,171671,inf,trans,0.218460016,10191,165912,184082,False
YKL192C,ACP1,7.677157434,-0.183522159,0,10055,15,36415,inf,trans,0.183522159,10055,30308,41993,False
YLR153C,ACS2,5.975295691,-0.138396676,0,10840,15,852168,inf,trans,0.138396676,10840,841052,876222,False
YLR153C,ACS2,5.50454806,0.136444139,0,6951,11,164489,inf,trans,0.136444139,6951,146291,171647,False
YLR153C,ACS2,5.371767251,0.178063165,0,7853,12,442034,3491.0,trans,0.178063165,7853,425418,443164,False
YFL039C,ACT1,7.652278095,-0.175637263,0,9799,14,645369,inf,trans,0.175637263,9799,620369,650841,False
YFL039C,ACT1,7.42758353,0.148107101,0,1305,4,71282,inf,trans,0.148107101,1305,65329,85322,False
YFL039C,ACT1,7.162505257,-0.618589653,0,7873,12,460678,inf,trans,0.618589653,7873,460678,460678,False
YFL039C,ACT1,6.751952005,0.138483351,1,3704,6,95926,41231.0,trans,0.138483351,3704,95448,95926,False
YFL039C,ACT1,6.541340215,-0.24863861,1,2443,4,1181165,inf,trans,0.24863861,2443,1171385,1198548,False
YFL039C,ACT1,6.111840706,-0.722141146,0,4215,7,414263,inf,trans,0.722141146,4215,414263,414263,False
YFL039C,ACT1,5.44817051,-0.136010735,0,6379,10,568534,inf,trans,0.136010735,6379,564317,569834,False
YFL039C,ACT1,5.247814168,-0.120177367,0,441,2,299680,inf,trans,0.120177367,441,294941,304691,False
YFL039C,ACT1,5.206732402,-0.647216399,0,3121,5,266246,inf,trans,0.647216399,3121,266246,266246,False
YFL039C,ACT1,4.9682981,0.216988778,1,4277,7,459752,inf,trans,0.216988778,4277,459752,459752,False
YFL039C,ACT1,4.571993831,0.294998528,0,4825,7,1048545,inf,trans,0.294998528,4825,1048545,1048545,False
YFL039C,ACT1,4.566598287,0.245641968,1,4648,7,876951,inf,trans,0.245641968,4648,876951,876951,False
YFL039C,ACT1,4.331044261,-0.107399399,0,10775,15,785050,inf,trans,0.107399399,10775,774372,791260,False
YFL039C,ACT1,4.274708582,-0.106553272,0,8222,12,879953,inf,trans,0.106553272,8222,879953,888202,False
YFL039C,ACT1,4.121750496,0.10992934,0,11701,16,587395,inf,trans,0.10992934,11701,574886,593213,False
YFL039C,ACT1,4.015335126,-0.407289948,0,876,2,801689,inf,trans,0.407289948,876,801689,801690,False
YFL039C,ACT1,3.964328707,0.120622382,1,9809,14,654336,inf,trans,0.120622382,9809,654230,663083,False
YFL039C,ACT1,3.844112878,0.111414517,0,6383,10,575574,inf,trans,0.111414517,6383,575574,577816,False
YOL086C,ADH1; ADC1,11.46864724,-0.194425599,1,7985,12,574586,inf,trans,0.194425599,7985,567889,586321,False
YOL086C,ADH1; ADC1,9.349107573,-0.173896002,0,7860,12,443164,inf,trans,0.173896002,7860,425418,443164,False
YOL086C,ADH1; ADC1,8.475068522,0.173477964,0,11361,16,212773,inf,trans,0.173477964,11361,199543,213411,False
YOL086C,ADH1; ADC1,7.607876051,-0.154937845,1,5807,9,286125,inf,trans,0.154937845,5807,280761,296974,False
YOL086C,ADH1; ADC1,6.457396468,0.298564653,0,8194,12,845781,inf,trans,0.298564653,8194,845781,845781,False
YOL086C,ADH1; ADC1,6.064449413,0.138063203,0,10838,15,849538,688944.0,trans,0.138063203,10838,841040,867290,False
YOL086C,ADH1; ADC1,5.790622613,-0.133374271,0,5592,9,131829,inf,trans,0.133374271,5592,112032,142542,False
YOL086C,ADH1; ADC1,5.402742142,-0.127986331,0,6948,11,158139,inf,trans,0.127986331,6948,137613,171647,False
YOL086C,ADH1; ADC1,5.239301574,-0.305307761,0,1858,4,560996,inf,trans,0.305307761,1858,560996,560996,False
YOL086C,ADH1; ADC1,5.135473199,0.134996605,0,6531,10,697010,inf,trans,0.134996605,6531,688286,700558,False
YOL086C,ADH1; ADC1,4.50818618,0.132778907,0,8446,13,43166,inf,trans,0.132778907,8446,43096,46758,False
YOL086C,ADH1; ADC1,4.480058684,0.157626268,0,2937,5,98089,inf,trans,0.157626268,2937,90716,99489,False
YOL086C,ADH1; ADC1,4.274996264,-0.112974159,0,11696,16,586856,inf,trans,0.112974159,11696,571530,593213,False
YMR083W,ADH3,10.9203199,-0.190488491,1,7985,12,574586,inf,trans,0.190488491,7985,567889,586321,False
YMR083W,ADH3,10.69214135,-0.215214345,0,10198,15,181071,inf,trans,0.215214345,10198,168199,185951,False
YMR083W,ADH3,8.293004392,-0.171833154,0,5609,9,138029,inf,trans,0.171833154,5609,125289,144955,False
YMR083W,ADH3,7.902508742,-0.160243666,0,7853,12,442034,inf,trans,0.160243666,7853,425418,443164,False
YMR083W,ADH3,7.168857282,-0.154526163,0,6941,11,153313,inf,trans,0.154526163,6941,137433,169186,False
YMR083W,ADH3,6.851359891,-0.146037373,0,2485,4,1257441,inf,trans,0.146037373,2485,1250650,1264269,False
YMR083W,ADH3,6.689414837,0.280052898,1,1005,3,92744,inf,trans,0.280052898,1005,92744,92744,False
YMR083W,ADH3,5.541827191,0.167009632,0,8473,13,70356,364431.0,trans,0.167009632,8473,56990,77330,False
YMR083W,ADH3,5.315764446,0.13656883,1,10858,15,874597,inf,trans,0.13656883,10858,859618,880507,False
YMR083W,ADH3,5.306311335,-0.133455703,0,8843,13,535701,99787.0,trans,0.133455703,8843,519684,542977,False
YMR083W,ADH3,5.045863163,0.198809899,0,10422,15,427884,inf,trans,0.198809899,10422,427884,427890,False
YMR083W,ADH3,4.935816344,-0.125842117,0,4676,7,895337,inf,trans,0.125842117,4676,885002,903446,False
YMR083W,ADH3,4.482436836,-0.115208571,0,6006,10,61545,inf,trans,0.115208571,6006,61391,68934,False
YMR083W,ADH3,4.301527573,0.113586731,0,1276,4,48267,inf,trans,0.113586731,1276,37106,56089,False
YGL256W,ADH4; ZRG5,12.93268192,-0.214396881,0,11357,16,211386,inf,trans,0.214396881,11357,199543,213411,False
YGL256W,ADH4; ZRG5,11.43717747,-0.20199264,0,11678,16,572250,inf,trans,0.20199264,11678,546787,587778,False
YGL256W,ADH4; ZRG5,6.767037903,0.306807447,0,5420,8,554022,inf,trans,0.306807447,5420,554022,554022,False
YGL256W,ADH4; ZRG5,5.804425796,-0.137062368,0,10226,15,214375,inf,trans,0.137062368,10226,203046,218248,False
YGL256W,ADH4; ZRG5,5.063221693,-0.125481585,0,10855,15,870871,inf,trans,0.125481585,10855,849407,880507,False
YGL256W,ADH4; ZRG5,4.975725065,-0.25229075,0,1784,4,520430,inf,trans,0.25229075,1784,520430,520430,False
YGL256W,ADH4; ZRG5,4.788309879,0.676997126,0,4215,7,414263,397956.0,trans,0.676997126,4215,414263,414263,False
YGL256W,ADH4; ZRG5,4.593227979,0.120261416,0,5223,8,375406,inf,trans,0.120261416,5223,369658,378565,False
YBR145W,ADH5,8.915083475,-0.189644397,0,5598,9,136172,inf,trans,0.189644397,5598,114834,144955,False
YBR145W,ADH5,8.330408941,-0.177303621,1,8973,13,653186,inf,trans,0.177303621,8973,639293,665524,False
YBR145W,ADH5,6.357997211,-0.152039085,0,9837,14,704255,inf,trans,0.152039085,9837,704255,704301,False
YBR145W,ADH5,5.797625637,0.144714654,0,4295,7,477678,inf,trans,0.144714654,4295,469647,492815,False
YBR145W,ADH5,5.776332864,-0.283416191,0,11565,16,425229,inf,trans,0.283416191,11565,425229,425229,False
YBR145W,ADH5,5.552571563,0.185670771,0,8457,13,55098,inf,trans,0.185670771,8457,55098,65881,False
YBR145W,ADH5,5.229172499,-0.511988625,1,3853,6,270112,inf,trans,0.511988625,3853,270112,270112,False
YBR145W,ADH5,5.187257148,-0.143119734,0,7855,12,442798,inf,trans,0.143119734,7855,430049,443164,False
YBR145W,ADH5,5.182787276,-0.155654093,0,10198,15,181071,inf,trans,0.155654093,10198,168199,185951,False
YBR145W,ADH5,4.589585406,0.126880237,1,7184,11,417049,inf,trans,0.126880237,7184,404841,428422,False
YBR145W,ADH5,4.426898997,0.123128031,1,4996,8,144671,inf,trans,0.123128031,4996,143451,144671,False
YBR145W,ADH5,4.293239615,0.12322423,1,3707,6,98707,inf,trans,0.12322423,3707,98707,98707,False
YMR318C,ADH6,33.03891267,0.324712062,1,11683,16,575622,inf,trans,0.324712062,11683,554350,590624,False
YMR318C,ADH6,18.94026731,0.274072072,1,10197,15,180978,inf,trans,0.274072072,10197,168199,185951,False
YMR318C,ADH6,10.49291155,-0.233528685,0,8460,13,58847,852212.0,trans,0.233528685,8460,55098,73225,False
YMR318C,ADH6,8.488773225,0.150917926,1,5615,9,142542,inf,trans,0.150917926,5615,131829,155581,False
YMR318C,ADH6,7.860241526,0.192770791,1,4964,8,117153,inf,trans,0.192770791,4964,96286,120385,False
YMR318C,ADH6,7.655758645,0.141687241,0,5322,8,458435,inf,trans,0.141687241,5322,448047,461438,False
YMR318C,ADH6,7.060168115,-0.275790199,0,1784,4,520430,inf,trans,0.275790199,1784,520430,520430,False
YMR318C,ADH6,6.68613337,0.145331212,0,2450,4,1191935,inf,trans,0.145331212,2450,1171385,1219676,False
YMR318C,ADH6,6.47472034,0.13336797,0,7857,12,442845,inf,trans,0.13336797,7857,430049,443164,False
YMR318C,ADH6,6.347392562,-0.306874626,0,9752,14,604387,inf,trans,0.306874626,9752,604387,604387,False
YMR318C,ADH6,6.330896359,0.131038461,1,9256,13,914897,2756.0,trans,0.131038461,9256,902532,914897,False
YMR318C,ADH6,5.983000195,-0.140842989,1,3477,5,564252,inf,trans,0.140842989,3477,563148,564968,False
YMR318C,ADH6,5.955263731,-0.124260418,0,1187,3,285659,inf,trans,0.124260418,1187,267625,297295,False
YMR318C,ADH6,5.684598707,0.119527135,0,1952,4,638340,inf,trans,0.119527135,1952,631409,645245,False
YMR318C,ADH6,5.425557462,-0.268056867,1,4096,7,307181,inf,trans,0.268056867,4096,307179,307209,False
YMR318C,ADH6,5.361326753,0.124387367,0,12045,17,51098,inf,trans,0.124387367,12045,51098,51098,False
YMR318C,ADH6,5.278650478,-0.114528979,0,3868,7,14747,inf,trans,0.114528979,3868,595,23383,False
YMR318C,ADH6,5.169105848,-0.125642719,0,2425,4,1162000,inf,trans,0.125642719,2425,1149030,1166231,False
YMR318C,ADH6,5.013432608,-0.160391553,1,4934,8,92580,inf,trans,0.160391553,4934,78664,100031,False
YMR318C,ADH6,4.611280951,0.107424982,0,7974,12,567889,inf,trans,0.107424982,7974,563476,576167,False
YMR318C,ADH6,4.500362776,0.113726326,1,650,2,541028,inf,trans,0.113726326,650,541028,541028,False
YMR318C,ADH6,4.410514897,0.104104839,0,6198,10,347536,inf,trans,0.104104839,6198,336613,349573,False
YMR318C,ADH6,4.217230444,-0.237601294,0,232,2,59755,inf,trans,0.237601294,232,59755,59755,False
YMR318C,ADH6,4.130365895,0.110501805,1,9390,14,187639,inf,trans,0.110501805,9390,184703,194811,False
YMR318C,ADH6,4.089671344,-0.153665981,1,4743,7,968722,inf,trans,0.153665981,4743,968722,968722,False
YJR105W,ADO1,8.849057089,0.266992287,1,2483,4,1256509,inf,trans,0.266992287,2483,1248530,1264269,False
YJR105W,ADO1,7.017756567,-0.163018739,0,11361,16,212773,inf,trans,0.163018739,11361,199543,213411,False
YJR105W,ADO1,6.80480364,0.159344933,0,5617,9,144699,inf,trans,0.159344933,5617,132718,158904,False
YJR105W,ADO1,5.615361216,0.379999389,0,6222,10,386341,237232.0,trans,0.379999389,6222,386341,386341,False
YJR105W,ADO1,5.591599352,0.148395754,0,7883,12,498728,inf,trans,0.148395754,7883,449482,506655,False
YJR105W,ADO1,5.181001264,-0.155320148,1,3489,5,564397,inf,trans,0.155320148,3489,563452,565289,False
YJR105W,ADO1,4.744362901,0.130359829,0,4617,7,865950,inf,trans,0.130359829,4617,853046,885002,False
YMR056C,AAC1,15.64655675,0.250088033,1,10191,15,171671,inf,trans,0.250088033,10191,165912,184082,False
YMR056C,AAC1,11.35933694,0.184712413,1,11677,16,571530,inf,trans,0.184712413,11677,544393,587778,False
YMR056C,AAC1,10.29686015,0.480522785,1,7860,12,443164,inf,trans,0.480522785,7860,425418,443164,False
YMR056C,AAC1,7.439318547,-0.149984603,1,341,2,164166,inf,trans,0.149984603,341,161229,169651,False
YMR056C,AAC1,7.139080655,-0.194452721,0,8458,13,56990,330324.0,trans,0.194452721,8458,55098,73225,False
YMR056C,AAC1,6.927969878,0.145349479,0,5609,9,138029,inf,trans,0.145349479,5609,125289,144955,False
YMR056C,AAC1,6.20227931,0.131460447,0,8016,12,609627,inf,trans,0.131460447,8016,604413,609627,False
YMR056C,AAC1,6.116002531,-0.360785244,1,7847,12,440640,inf,trans,0.360785244,7847,425418,443164,False
YMR056C,AAC1,6.073379632,0.139338494,0,642,2,523217,inf,trans,0.139338494,642,505207,530047,False
YMR056C,AAC1,5.866823923,-0.130591652,0,1855,4,558812,inf,trans,0.130591652,1855,553181,571075,False
YMR056C,AAC1,4.416951521,0.222680528,0,158,1,187697,inf,trans,0.222680528,158,187697,187697,False
YBL030C,PET9; AAC2,15.73193077,0.242313159,0,10191,15,171671,inf,trans,0.242313159,10191,165912,184082,False
YBL030C,PET9; AAC2,13.56496423,0.194367795,0,5610,9,138636,inf,trans,0.194367795,5610,125289,144955,False
YBL030C,PET9; AAC2,8.191546609,0.146576472,0,2483,4,1256509,inf,trans,0.146576472,2483,1248530,1264269,False
YBL030C,PET9; AAC2,7.704652577,0.143797261,0,11687,16,578941,inf,trans,0.143797261,11687,571530,591786,False
YBL030C,PET9; AAC2,7.274378414,0.137658831,1,7985,12,574586,inf,trans,0.137658831,7985,567889,586321,False
YBL030C,PET9; AAC2,6.698482763,-0.180932488,0,8458,13,56990,inf,trans,0.180932488,8458,55098,73225,False
YBL030C,PET9; AAC2,6.464964459,0.130703335,0,7438,12,25742,inf,trans,0.130703335,7438,17131,37884,False
YBL030C,PET9; AAC2,6.457898372,-0.139054981,0,8668,13,331755,inf,trans,0.139054981,8668,329611,333904,False
YBL030C,PET9; AAC2,6.072411884,0.130645681,0,625,2,500276,336276.0,trans,0.130645681,625,495558,510140,False
YBL030C,PET9; AAC2,5.897030396,-0.122763617,1,2276,4,959283,inf,trans,0.122763617,2276,956734,980835,False
YBL030C,PET9; AAC2,5.866439876,-0.420261008,0,6629,11,5087,inf,trans,0.420261008,6629,2733,12089,False
YBL030C,PET9; AAC2,5.852356413,-0.124947416,0,342,2,165270,1270.0,trans,0.124947416,342,161229,171254,False
YBL030C,PET9; AAC2,5.206933867,0.248877871,1,4648,7,876951,inf,trans,0.248877871,4648,876951,876951,False
YBL030C,PET9; AAC2,5.200009321,0.114478232,0,6007,10,61708,inf,trans,0.114478232,6007,61391,68934,False
YBL030C,PET9; AAC2,4.931848904,-0.112466544,0,2848,5,33814,inf,trans,0.112466544,2848,30505,38677,False
YBL030C,PET9; AAC2,4.674187863,0.109805006,0,6941,11,153313,inf,trans,0.109805006,6941,137433,169186,False
YBL030C,PET9; AAC2,4.209804904,-0.64525357,0,10777,15,785154,inf,trans,0.64525357,10777,785154,785154,False
YBL030C,PET9; AAC2,4.133256465,0.103189535,0,7851,12,441632,inf,trans,0.103189535,7851,425418,443164,False
YBL030C,PET9; AAC2,3.948298417,-0.191331265,0,3386,5,561692,inf,trans,0.191331265,3386,554104,563372,False
YBL030C,PET9; AAC2,3.862079688,0.333696404,0,6657,11,8720,inf,trans,0.333696404,6657,2737,14569,False
YBL030C,PET9; AAC2,3.853609847,-0.096081815,0,9802,14,648789,inf,trans,0.096081815,9802,625901,650841,False
YBL030C,PET9; AAC2,3.81296491,-0.222971712,0,8041,12,646385,inf,trans,0.222971712,8041,646385,646385,False
YBR085W,AAC3,12.67878555,0.20541331,0,5611,9,138792,inf,trans,0.20541331,5611,122617,144955,False
YBR085W,AAC3,10.58373066,0.214082514,1,10191,15,171671,inf,trans,0.214082514,10191,165912,184082,False
YBR085W,AAC3,9.224437426,0.481402309,1,7860,12,443164,inf,trans,0.481402309,7860,425418,443164,False
YBR085W,AAC3,7.502804443,0.187683659,0,11677,16,571530,inf,trans,0.187683659,11677,544393,587778,False
YBR085W,AAC3,6.150252331,-0.1431192,1,343,2,165675,250302.0,trans,0.1431192,343,161229,171254,False
YBR085W,AAC3,6.028245089,-0.267215785,0,11652,16,535809,inf,trans,0.267215785,11652,532338,561420,False
YBR085W,AAC3,5.867405404,-0.176697388,0,8466,13,65881,inf,trans,0.176697388,8466,55098,75198,False
YBR085W,AAC3,5.273675078,-0.353524213,1,7847,12,440640,inf,trans,0.353524213,7847,425418,443164,False
