protein,ORF,gene,isPPI-gene
YER177W,YER177W,BMH1,FALSE
YDR099W,YDR099W,BMH2,FALSE
YPL217C,YPL217C,BMS1,FALSE
YJL060W,YJL060W,BNA3,FALSE
YNR051C,YNR051C,BRE5,FALSE
YGL007W,YGL007W,BRP1,FALSE
YOL077C,YOL077C,BRX1,FALSE
YOR078W,YOR078W,BUD21,FALSE
YIR036C,YIR036C,IRC24,FALSE
YGR204W,YGR204W,ADE3,FALSE
YBR084W,YBR084W,MIS1,FALSE
YOR276W,YOR276W,CAF20,FALSE
YER048C,YER048C,CAJ1,FALSE
YBR109C,YBR109C,CMD1,FALSE
YNL036W,YNL036W,NCE103,FALSE
YKL190W,YKL190W,CNB1,FALSE
YNL138W,YNL138W,SRV2,FALSE
YKL007W,YKL007W,CAP1,FALSE
YOR303W,YOR303W,CPA1,FALSE
YJR109C,YJR109C,CPA2,FALSE
YPL154C,YPL154C,PEP4,FALSE
YLR175W,YLR175W,CBF5,FALSE
YJL172W,YJL172W,CPS1,FALSE
YMR297W,YMR297W,PRC1,FALSE
YGR155W,YGR155W,CYS4,FALSE
YAL039C,YAL039C,CYC3,FALSE
YKR066C,YKR066C,CCP1,FALSE
YMR038C,YMR038C,CCS1,FALSE
YCR002C,YCR002C,CDC10,FALSE
YJR076C,YJR076C,CDC11,FALSE
YHR107C,YHR107C,CDC12,FALSE
YLR314C,YLR314C,CDC3,FALSE
YDR168W,YDR168W,CDC37,FALSE
YLR229C,YLR229C,CDC42,FALSE
YDL126C,YDL126C,CDC48,FALSE
YBR160W,YBR160W,CDC28,FALSE
YBR029C,YBR029C,CDS1,FALSE
YOR112W,YOR112W,CEX1,FALSE
YML036W,YML036W,CGI121,FALSE
YOR020C,YOR020C,HSP10,FALSE
YER163C,YER163C,GCG1,FALSE
YPR060C,YPR060C,ARO7,FALSE
YGR157W,YGR157W,CHO2,FALSE
YLR330W,YLR330W,CHS5,FALSE
YHR052W,YHR052W,CIC1,FALSE
YJL158C,YJL158C,CIS3,FALSE
YNR001C,YNR001C,CIT1,FALSE
YCR005C,YCR005C,CIT2,FALSE
YBR135W,YBR135W,CKS1,FALSE
YGR167W,YGR167W,CLC1,FALSE
YGL206C,YGL206C,CHC1,FALSE
YMR012W,YMR012W,CLU1,FALSE
YMR244C-A,YMR244C-A,COA6,FALSE
YGR277C,YGR277C,CAB4,FALSE
YLL050C,YLL050C,COF1,FALSE
YDL145C,YDL145C,COP1,FALSE
YDR238C,YDR238C,SEC26,FALSE
YGL137W,YGL137W,SEC27,FALSE
YFR051C,YFR051C,RET2,TRUE
YIL076W,YIL076W,SEC28,FALSE
YNL287W,YNL287W,SEC21,FALSE
YLR429W,YLR429W,CRN1,FALSE
YLR038C,YLR038C,COX12,FALSE
YGL191W,YGL191W,COX13,FALSE
YLL009C,YLL009C,COX17,FALSE
Q0250,Q0250,COX2,FALSE
YDR231C,YDR231C,COX20,FALSE
YGL187C,YGL187C,COX4,FALSE
YNL052W,YNL052W,COX5A,FALSE
YHR051W,YHR051W,COX6,FALSE
YLR395C,YLR395C,COX8,FALSE
YDL067C,YDL067C,COX9,FALSE
YHR007C,YHR007C,ERG11,TRUE
YNL130C,YNL130C,CPT1,FALSE
YGR189C,YGR189C,CRH1,FALSE
YEL040W,YEL040W,UTR2,FALSE
YHR146W,YHR146W,CRP1,FALSE
YIL035C,YIL035C,CKA1,FALSE
YOR061W,YOR061W,CKA2,FALSE
YGL019W,YGL019W,CKB1,FALSE
YOR039W,YOR039W,CKB2,FALSE
YLR380W,YLR380W,CSR1,FALSE
YOR042W,YOR042W,CUE5,FALSE
YKL096W,YKL096W,CWP1,FALSE
YOR065W,YOR065W,CYT1,FALSE
YBR112C,YBR112C,CYC8,FALSE
YML078W,YML078W,CPR3,FALSE
YDR155C,YDR155C,CPR1,FALSE
YAL012W,YAL012W,CYS3,FALSE
YLR303W,YLR303W,MET17,FALSE
YML070W,YML070W,DAK1,FALSE
YNL112W,YNL112W,DBP2,FALSE
YGL078C,YGL078C,DBP3,FALSE
YOR046C,YOR046C,DBP5,FALSE
YLR276C,YLR276C,DBP9,FALSE
YOL052C,YOL052C,SPE2,FALSE
YMR250W,YMR250W,GAD1,FALSE
YLR270W,YLR270W,DCS1,FALSE
YER143W,YER143W,DDI1,FALSE
YMR173W,YMR173W,DDR48,FALSE
YOR204W,YOR204W,DED1,FALSE
YKL054C,YKL054C,DEF1,FALSE
YJR014W,YJR014W,TMA22,FALSE
YOR311C,YOR311C,DGK1,FALSE
YDR158W,YDR158W,HOM2,FALSE
YOR375C,YOR375C,GDH1,FALSE
YDL160C,YDL160C,DHH1,TRUE
YJR139C,YJR139C,HOM6,FALSE
YHR068W,YHR068W,DYS1,FALSE
YKR035W-A,YKR035W-A,DID2,FALSE
YKL002W,YKL002W,DID4,FALSE
YDL174C,YDL174C,DLD1,FALSE
YDL178W,YDL178W,DLD2,FALSE
YEL071W,YEL071W,DLD3,FALSE
YFL018C,YFL018C,LPD1,FALSE
YLL001W,YLL001W,DNM1,FALSE
YKL213C,YKL213C,DOA1,FALSE
YJR070C,YJR070C,LIA1,FALSE
YLR172C,YLR172C,DPH5,FALSE
YPR183W,YPR183W,DPM1,FALSE
YLL008W,YLL008W,DRS1,FALSE
YMR276W,YMR276W,DSK2,FALSE
YDL219W,YDL219W,DTD1,FALSE
YFR044C,YFR044C,DUG1,FALSE
YLR401C,YLR401C,DUS3,FALSE
YBR252W,YBR252W,DUT1,FALSE
YKL204W,YKL204W,EAP1,FALSE
YKL172W,YKL172W,EBP2,FALSE
YLR390W,YLR390W,ECM19,FALSE
YBR078W,YBR078W,ECM33,FALSE
YBL047C,YBL047C,EDE1,FALSE
YPR080W; YBR118W,YPR080W,TEF1,FALSE
YAL003W,YAL003W,EFB1,FALSE
YPL048W,YPL048W,CAM1,FALSE
YKL081W,YKL081W,TEF4,FALSE
YOR133W; YDR385W,YOR133W,EFT1,FALSE
YLR249W,YLR249W,YEF3,FALSE
YNL014W,YNL014W,HEF3,FALSE
YGR271C-A,YGR271C-A,EFG1,FALSE
YLR069C,YLR069C,MEF1,FALSE
YLR285W,YLR285W,NNT1,FALSE
YOR187W,YOR187W,TUF1,FALSE
YLR291C,YLR291C,GCD7,FALSE
YDR211W,YDR211W,GCD6,FALSE
YOR260W,YOR260W,GCD1,FALSE
YGR054W,YGR054W,YGR054W,FALSE
YBR079C,YBR079C,RPG1,FALSE
YOR361C,YOR361C,PRT1,FALSE
YMR309C,YMR309C,NIP1,FALSE
YDR429C,YDR429C,TIF35,FALSE
YMR146C,YMR146C,TIF34,FALSE
YLR192C,YLR192C,HCR1,FALSE
YMR031C,YMR031C,EIS1,FALSE
YGR200C,YGR200C,ELP2,FALSE
YPL086C,YPL086C,ELP3,FALSE
YCL045C,YCL045C,EMC1,FALSE
YDR516C,YDR516C,EMI2,FALSE
YGL200C,YGL200C,EMP24,FALSE
YNL084C,YNL084C,END3,FALSE
YGR254W,YGR254W,ENO1,FALSE
YHR174W,YHR174W,ENO2,FALSE
YLR206W,YLR206W,ENT2,FALSE
YJR125C,YJR125C,ENT3,FALSE
YMR049C,YMR049C,ERB1,FALSE
YBR143C,YBR143C,SUP45,FALSE
YDR172W,YDR172W,SUP35,FALSE
YGR175C,YGR175C,ERG1,FALSE
YMR202W,YMR202W,ERG2,FALSE
YGL001C,YGL001C,ERG26,FALSE
YLR100W,YLR100W,ERG27,TRUE
YER044C,YER044C,ERG28,FALSE
YGL012W,YGL012W,ERG4,FALSE
YML008C,YML008C,ERG6,FALSE
YML130C,YML130C,ERO1,FALSE
YAR002C-A,YAR002C-A,ERP1,FALSE
YGL054C,YGL054C,ERV14,FALSE
YGR284C,YGR284C,ERV29,FALSE
YDR365C,YDR365C,ESF1,FALSE
YJR017C,YJR017C,ESS1,FALSE
YPR004C,YPR004C,AIM45,FALSE
YGR207C,YGR207C,CIR1,FALSE
YBR026C,YBR026C,ETR1,FALSE
YDR518W,YDR518W,EUG1,FALSE
YLR300W,YLR300W,EXG1,FALSE
YDL168W,YDL168W,SFA1,FALSE
YKL182W,YKL182W,FAS1,FALSE
YPL231W,YPL231W,FAS2,FALSE
YDL014W,YDL014W,NOP1,FALSE
YPR062W,YPR062W,FCY1,FALSE
YDR539W,YDR539W,FDC1,FALSE
YHR190W,YHR190W,ERG9,FALSE
YBR101C,YBR101C,FES1,FALSE
YGR234W,YGR234W,YHB1,FALSE
YDR129C,YDR129C,SAC6,FALSE
YNL135C,YNL135C,FPR1,FALSE
YDR519W,YDR519W,FPR2,FALSE
YML074C,YML074C,FPR3,FALSE
YLR449W,YLR449W,FPR4,FALSE
YLR342W,YLR342W,FKS1,FALSE
YGR032W,YGR032W,GSC2,FALSE
YFL046W,YFL046W,FMP32,FALSE
YNL168C,YNL168C,FMP41,FALSE
YER004W,YER004W,FMP52,FALSE
YOR241W,YOR241W,MET7,FALSE
YJL167W,YJL167W,ERG20,FALSE
YDL120W,YDL120W,YFH1,FALSE
YEL047C,YEL047C,FRD1,FALSE
YKL069W,YKL069W,YKL069W,FALSE
YOR271C,YOR271C,FSF1,FALSE
YHR049W,YHR049W,FSH1,FALSE
YPL262W,YPL262W,FUM1,FALSE
YJL052W,YJL052W,TDH1,FALSE
YJR009C,YJR009C,TDH2,FALSE
YGR192C,YGR192C,TDH3,FALSE
YNL241C,YNL241C,ZWF1,FALSE
YBR196C,YBR196C,PGI1,FALSE
YGR019W,YGR019W,UGA1,FALSE
YKR039W,YKR039W,GAP1,FALSE
YHR089C,YHR089C,GAR1,FALSE
YMR307W,YMR307W,GAS1,FALSE
YMR215W,YMR215W,GAS3,FALSE
YOL030W,YOL030W,GAS5,FALSE
YMR116C,YMR116C,ASC1,FALSE
YCL011C,YCL011C,GBP2,FALSE
YGR267C,YGR267C,FOL2,FALSE
YGL195W,YGL195W,GCN1,FALSE
YFR009W,YFR009W,GCN20,FALSE
YDL226C,YDL226C,GCS1,FALSE
YAL044C,YAL044C,GCV3,FALSE
YMR189W,YMR189W,GCV2,FALSE
YDR019C,YDR019C,GCV1,FALSE
YOR120W,YOR120W,GCY1,FALSE
YEL042W,YEL042W,GDA1,FALSE
YPR184W,YPR184W,GDB1,FALSE
YER136W,YER136W,GDI1,FALSE
YDL135C,YDL135C,RDI1,FALSE
YDL100C,YDL100C,GET3,FALSE
YKL104C,YKL104C,GFA1,FALSE
YHR108W,YHR108W,GGA2,FALSE
YDL198C,YDL198C,GGC1,FALSE
YDR507C,YDR507C,GIN4,FALSE
YNL255C,YNL255C,GIS2,TRUE
YPR035W,YPR035W,GLN1,FALSE
YDR272W,YDR272W,GLO2,FALSE
YER122C,YER122C,GLO3,FALSE
YCL035C,YCL035C,GRX1,FALSE
YDR513W,YDR513W,GRX2,FALSE
YDR098C,YDR098C,GRX3,FALSE
YPL059W,YPL059W,GRX5,FALSE
YLR364W,YLR364W,GRX8,FALSE
YDL171C,YDL171C,GLT1,FALSE
YEL046C,YEL046C,GLY1,FALSE
YLR058C,YLR058C,SHM2,FALSE
YBR263W,YBR263W,SHM1,FALSE
YFL017C,YFL017C,GNA1,FALSE
YJL184W,YJL184W,GON7,FALSE
YNL274C,YNL274C,GOR1,FALSE
YHR005C,YHR005C,GPA1,FALSE
YDL022W,YDL022W,GPD1,FALSE
YOL059W,YOL059W,GPD2,FALSE
YIL155C,YIL155C,GUT2,FALSE
YJR072C,YJR072C,NPA3,FALSE
YIL053W,YIL053W,GPP1,FALSE
YER062C,YER062C,GPP2,FALSE
YIR037W,YIR037W,HYR1,TRUE
YHR104W,YHR104W,GRE3,FALSE
YDR517W,YDR517W,GRH1,FALSE
YOR232W,YOR232W,MGE1,FALSE
YML048W,YML048W,GSF2,FALSE
YJL101C,YJL101C,GSH1,FALSE
YOL049W,YOL049W,GSH2,FALSE
YPL091W,YPL091W,GLR1,FALSE
YIR038C,YIR038C,GTT1,FALSE
YMR217W,YMR217W,GUA1,FALSE
YIL041W,YIL041W,GVP36,FALSE
YPL127C,YPL127C,HHO1,FALSE
YOL012C,YOL012C,HTZ1,FALSE
YBL002W,YBL002W,HTB2,FALSE
YBR010W; YNL031C,YBR010W,HHT1,FALSE
YBR009C; YNL030W,YBR009C,HHF1,FALSE
YMR290C,YMR290C,HAS1,FALSE
YCL026C-B,YCL026C-B,HBN1,FALSE
YNL281W,YNL281W,HCH1,FALSE
YBL032W,YBL032W,HEK2,FALSE
YGL040C,YGL040C,HEM2,FALSE
YDR044W,YDR044W,HEM13,FALSE
YGR187C,YGR187C,HGH1,FALSE
YER055C,YER055C,HIS1,FALSE
YCL030C,YCL030C,HIS4,FALSE
YBR248C,YBR248C,HIS7,FALSE
YIL116W,YIL116W,HIS5,FALSE
YML126C,YML126C,ERG13,FALSE
YML075C,YML075C,HMG1,FALSE
YER057C,YER057C,HMF1,FALSE
YDR174W,YDR174W,HMO1,FALSE
YDL125C,YDL125C,HNT1,FALSE
YLR113W,YLR113W,HOG1,FALSE
YDL182W,YDL182W,LYS20,FALSE
YDL131W,YDL131W,LYS21,FALSE
YEL066W,YEL066W,HPA3,FALSE
YDR399W,YDR399W,HPT1,FALSE
YNL004W,YNL004W,HRB1,FALSE
YLR301W,YLR301W,HRI1,FALSE
YOL123W,YOL123W,HRP1,FALSE
YLL026W,YLL026W,HSP104,FALSE
YMR186W,YMR186W,HSC82,FALSE
YFL014W,YFL014W,HSP12,FALSE
YBR072W,YBR072W,HSP26,FALSE
YDR533C,YDR533C,HSP31,FALSE
YLR259C,YLR259C,HSP60,FALSE
YAL005C,YAL005C,SSA1,FALSE
YLL024C,YLL024C,SSA2,FALSE
YJR045C,YJR045C,SSC1,FALSE
YDR258C,YDR258C,HSP78,FALSE
YPL106C,YPL106C,SSE1,FALSE
YPL240C,YPL240C,HSP82,FALSE
YFR053C,YFR053C,HXK1,FALSE
YGL253W,YGL253W,HXK2,FALSE
YCL040W,YCL040W,GLK1,FALSE
YDR345C,YDR345C,HXT3,FALSE
YNL037C,YNL037C,IDH1,FALSE
YOR136W,YOR136W,IDH2,FALSE
YDL066W,YDL066W,IDP1,FALSE
YPL117C,YPL117C,IDI1,FALSE
YMR260C,YMR260C,TIF11,FALSE
YJR007W,YJR007W,SUI2,FALSE
YPL237W,YPL237W,SUI3,FALSE
YER025W,YER025W,GCD11,FALSE
YAL035W,YAL035W,FUN12,FALSE
YKR059W; YJL138C,YKR059W,TIF1,FALSE
YPR163C,YPR163C,TIF3,FALSE
YOL139C,YOL139C,CDC33,FALSE
YGR162W,YGR162W,TIF4631,FALSE
YPR041W,YPR041W,TIF5,FALSE
YEL034W,YEL034W,HYP2,FALSE
YPR016C,YPR016C,TIF6,FALSE
YJR016C,YJR016C,ILV3,FALSE
YLR355C,YLR355C,ILV5,FALSE
YCL009C,YCL009C,ILV6,FALSE
YMR108W,YMR108W,ILV2,FALSE
YNL189W,YNL189W,SRP1,FALSE
YLR347C,YLR347C,KAP95,FALSE
YBR017C,YBR017C,KAP104,FALSE
YMR308C,YMR308C,PSE1,FALSE
YER110C,YER110C,KAP123,FALSE
YLR432W,YLR432W,IMD3,FALSE
YML056C,YML056C,IMD4,FALSE
YHR046C,YHR046C,INM1,FALSE
YJL153C,YJL153C,INO1,FALSE
YMR174C,YMR174C,PAI3,FALSE
YNL015W,YNL015W,PBI2,FALSE
YNL182C,YNL182C,IPI3,FALSE
YBR011C,YBR011C,IPP1,FALSE
YER048W-A,YER048W-A,ISD11,FALSE
YBR086C,YBR086C,IST2,FALSE
YJR069C,YJR069C,HAM1,FALSE
YDR497C,YDR497C,ITR1,FALSE
YDR226W,YDR226W,ADK1,FALSE
YDL166C,YDL166C,FAP7,FALSE
YIL033C,YIL033C,BCY1,FALSE
YKL001C,YKL001C,MET14,FALSE
YDL124W,YDL124W,YDL124W,FALSE
YNL154C,YNL154C,YCK2,FALSE
YKL024C,YKL024C,URA6,FALSE
YPL145C,YPL145C,KES1,FALSE
YDR454C,YDR454C,GUK1,FALSE
YHR025W,YHR025W,THR1,FALSE
YLR133W,YLR133W,CKI1,FALSE
YKL181W,YKL181W,PRS1,FALSE
YER099C,YER099C,PRS2,FALSE
YHL011C,YHL011C,PRS3,FALSE
YOL061W,YOL061W,PRS5,FALSE
YAL038W,YAL038W,CDC19,FALSE
YOR347C,YOR347C,PYK2,FALSE
YDR483W,YDR483W,KRE2,FALSE
YPR159W,YPR159W,KRE6,FALSE
YKL110C,YKL110C,KTI12,FALSE
YOR099W,YOR099W,KTR1,FALSE
YMR296C,YMR296C,LCB1,FALSE
YOR317W,YOR317W,FAA1,FALSE
YMR246W,YMR246W,FAA4,FALSE
YNL323W,YNL323W,LEM3,FALSE
YOR123C,YOR123C,LEO1,FALSE
YNL104C,YNL104C,LEU4,FALSE
YCL018W,YCL018W,LEU2,FALSE
YGL009C,YGL009C,LEU1,FALSE
YML004C,YML004C,GLO1,FALSE
YDL051W,YDL051W,LHP1,FALSE
YNL045W,YNL045W,LAP2,FALSE
YFR001W,YFR001W,LOC1,FALSE
YBL022C,YBL022C,PIM1,FALSE
YFR024C-A,YFR024C-A,LSB3,FALSE
YCL034W,YCL034W,LSB5,FALSE
YHR121W,YHR121W,LSM12,FALSE
YBL026W,YBL026W,LSM2,FALSE
YER112W,YER112W,LSM4,FALSE
YER146W,YER146W,LSM5,FALSE
YDR378C,YDR378C,LSM6,FALSE
YGR169C-A,YGR169C-A,LSO2,FALSE
YPL004C,YPL004C,LSP1,FALSE
YIR034C,YIR034C,LYS1,FALSE
YIL094C,YIL094C,LYS12,FALSE
YBR115C,YBR115C,LYS2,FALSE
YDR234W,YDR234W,LYS4,FALSE
YNR050C,YNR050C,LYS9,FALSE
YDR060W,YDR060W,MAK21,FALSE
YIL070C,YIL070C,MAM33,TRUE
YGL156W,YGL156W,AMS1,FALSE
YKL029C,YKL029C,MAE1,FALSE
YLR244C,YLR244C,MAP1,FALSE
YBL091C,YBL091C,MAP2,FALSE
YNL064C,YNL064C,YDJ1,FALSE
YOR298C-A,YOR298C-A,MBF1,FALSE
YBR177C,YBR177C,EHT1,FALSE
YNL307C,YNL307C,MCK1,FALSE
YMR043W,YMR043W,MCM1,FALSE
YEL032W,YEL032W,MCM3,FALSE
YLR274W,YLR274W,MCM5,FALSE
YKL150W,YKL150W,MCR1,FALSE
YKL085W,YKL085W,MDH1,FALSE
YDL078C,YDL078C,MDH3,FALSE
YOL027C,YOL027C,MDM38,FALSE
YOL111C,YOL111C,MDY2,FALSE
YMR112C,YMR112C,MED11,FALSE
YFR030W,YFR030W,MET10,FALSE
YOL064C,YOL064C,MET22,FALSE
YJR010W,YJR010W,MET3,FALSE
YJR137C,YJR137C,MET5,FALSE
YER091C,YER091C,MET6,FALSE
YLR180W,YLR180W,SAM1,FALSE
YDR502C,YDR502C,SAM2,FALSE
YPL169C,YPL169C,MEX67,FALSE
YJR144W,YJR144W,MGM101,FALSE
YKL195W,YKL195W,MIA40,FALSE
YCL057C-A,YCL057C-A,MIC10,FALSE
YFR011C,YFR011C,MIC19,FALSE
YKR016W,YKR016W,MIC60,FALSE
YGL035C,YGL035C,MIG1,FALSE
YMR002W,YMR002W,MIX17,FALSE
YBR159W,YBR159W,IFA38,FALSE
YNL085W,YNL085W,MKT1,FALSE
YGL106W,YGL106W,MLC1,FALSE
YIL051C,YIL051C,MMF1,FALSE
YDR245W,YDR245W,MNN10,FALSE
YJL183W,YJL183W,MNN11,FALSE
YBR015C,YBR015C,MNN2,FALSE
YJL186W,YJL186W,MNN5,FALSE
YPL050C,YPL050C,MNN9,FALSE
YJR077C,YJR077C,MIR1,FALSE
YOR288C,YOR288C,MPD1,FALSE
YDL055C,YDL055C,PSA1,FALSE
YER003C,YER003C,PMI40,FALSE
YJL066C,YJL066C,MPM1,FALSE
YHR024C,YHR024C,MAS2,FALSE
YLR163C,YLR163C,MAS1,FALSE
YDR033W,YDR033W,MRH1,FALSE
YPL184C,YPL184C,MRN1,FALSE
YKL142W,YKL142W,MRP8,FALSE
YKL009W,YKL009W,MRT4,FALSE
YPL168W,YPL168W,MRX4,FALSE
YDR194C,YDR194C,MSS116,FALSE
YML128C,YML128C,MSC1,FALSE
YGR060W,YGR060W,ERG25,FALSE
YER042W,YER042W,MXR1,FALSE
YLR017W,YLR017W,MEU1,FALSE
YJL123C,YJL123C,MTC1,FALSE
YKR080W,YKR080W,MTD1,FALSE
YPL023C,YPL023C,MET12,FALSE
YGL125W,YGL125W,MET13,FALSE
YPR118W,YPR118W,MRI1,FALSE
YKL186C,YKL186C,MTR2,FALSE
YOR298W,YOR298W,MUM3,FALSE
YNR043W,YNR043W,MVD1,FALSE
YHR193C,YHR193C,EGD2,FALSE
YPL037C,YPL037C,EGD1,FALSE
YFR047C,YFR047C,BNA6,FALSE
YHR074W,YHR074W,QNS1,FALSE
YKR048C,YKR048C,NAP1,FALSE
YER159C,YER159C,BUR6,FALSE
YDR397C,YDR397C,NCB2,FALSE
YIL043C,YIL043C,CBR1,FALSE
YMR125W,YMR125W,STO1,FALSE
YPL178W,YPL178W,CBC2,FALSE
YBL024W,YBL024W,NCL1,FALSE
YHR042W,YHR042W,NCP1,FALSE
YMR145C,YMR145C,NDE1,FALSE
YML120C,YML120C,NDI1,FALSE
YKL067W,YKL067W,YNK1,FALSE
YLR186W,YLR186W,EMG1,FALSE
YPL226W,YPL226W,NEW1,FALSE
YCL017C,YCL017C,NFS1,FALSE
YKL040C,YKL040C,NFU1,FALSE
YDL208W,YDL208W,NHP2,FALSE
YPR052C,YPR052C,NHP6A,FALSE
YBR089C-A,YBR089C-A,NHP6B,FALSE
YGL221C,YGL221C,NIF3,FALSE
YLR351C,YLR351C,NIT3,FALSE
YLR328W,YLR328W,NMA1,FALSE
YHR170W,YHR170W,NMD3,FALSE
YKL151C,YKL151C,NNR2,FALSE
YOR056C,YOR056C,NOB1,FALSE
YOR206W,YOR206W,NOC2,FALSE
YPL093W,YPL093W,NOG1,FALSE
YNR053C,YNR053C,NOG2,FALSE
YOL041C,YOL041C,NOP12,FALSE
YNL175C,YNL175C,NOP13,FALSE
YNL061W,YNL061W,NOP2,FALSE
YDR432W,YDR432W,NPL3,FALSE
YPL043W,YPL043W,NOP4,FALSE
YLR197W,YLR197W,NOP56,FALSE
YOR310C,YOR310C,NOP58,FALSE
YDL165W,YDL165W,CDC36,FALSE
YIL038C,YIL038C,NOT3,FALSE
YER068W,YER068W,MOT2,FALSE
YPL006W,YPL006W,NCR1,FALSE
YDL046W,YDL046W,NPC2,FALSE
YBR170C,YBR170C,NPL4,FALSE
YNL183C,YNL183C,NPR1,FALSE
YOR209C,YOR209C,NPT1,FALSE
YJL041W,YJL041W,NSP1,FALSE
YGR159C,YGR159C,NSR1,FALSE
YER009W,YER009W,NTF2,FALSE
YGL092W,YGL092W,NUP145,FALSE
YJL208C,YJL208C,NUC1,FALSE
YER006W,YER006W,NUG1,FALSE
YLR335W,YLR335W,NUP2,FALSE
YGR119C,YGR119C,NUP57,FALSE
YKL120W,YKL120W,OAC1,FALSE
YNL099C,YNL099C,OCA1,FALSE
YOR222W,YOR222W,ODC2,FALSE
YIL125W,YIL125W,KGD1,FALSE
