SNP_A,SNP_B,R2,CHR_B,BP_B,CHR_A,BP_A
4842,4887,0.0403044682681842,CHR_8,53770,CHR_8,13662
4842,4888,0.0351711728618073,CHR_8,54264,CHR_8,13662
4842,4889,0.0409140368517616,CHR_8,54471,CHR_8,13662
4842,4890,0.0070996882999437,CHR_8,56206,CHR_8,13662
4842,4891,0.0117225999302207,CHR_8,56351,CHR_8,13662
4842,4892,1.21663621655978e-06,CHR_8,56423,CHR_8,13662
4842,4893,0.0009050655218317,CHR_8,56424,CHR_8,13662
4842,4894,0.0172270658978982,CHR_8,57912,CHR_8,13662
4842,4895,0.0180299961318985,CHR_8,58345,CHR_8,13662
4842,4896,0.0016953063075831,CHR_8,58900,CHR_8,13662
4842,4897,0.0173460333414476,CHR_8,59614,CHR_8,13662
4842,4898,0.0180299961318985,CHR_8,59645,CHR_8,13662
4842,4899,0.0182508022975963,CHR_8,61846,CHR_8,13662
4842,4900,0.0197696825329594,CHR_8,62723,CHR_8,13662
4842,4901,0.0125816005835525,CHR_8,63915,CHR_8,13662
4842,4902,5.80231642297483e-06,CHR_8,64292,CHR_8,13662
4842,4903,0.0104957140950669,CHR_8,64505,CHR_8,13662
4842,4904,0.014027399927027,CHR_8,65889,CHR_8,13662
4842,4905,0.0031550590490473,CHR_8,67613,CHR_8,13662
4842,4906,0.0029392379507164,CHR_8,68955,CHR_8,13662
4842,4907,0.0006602109606095,CHR_8,70194,CHR_8,13662
4842,4908,0.001146724205066,CHR_8,71694,CHR_8,13662
4842,4909,0.0006602109606095,CHR_8,71740,CHR_8,13662
4842,4910,0.0006718295480752,CHR_8,71830,CHR_8,13662
4842,4911,0.0001575311360327,CHR_8,71885,CHR_8,13662
4842,4912,0.000301791398696,CHR_8,72011,CHR_8,13662
4842,4913,0.0007132986345273,CHR_8,72021,CHR_8,13662
4842,4914,0.0008258597538504,CHR_8,74739,CHR_8,13662
4842,4915,0.0009796776284574,CHR_8,74974,CHR_8,13662
4842,4916,0.0008166534483977,CHR_8,74975,CHR_8,13662
4842,4917,0.0001011669511768,CHR_8,78664,CHR_8,13662
4842,4918,3.28889109934491e-06,CHR_8,78809,CHR_8,13662
4842,4919,0.0001083678829292,CHR_8,78883,CHR_8,13662
4842,4920,0.0009137381240813,CHR_8,79061,CHR_8,13662
4842,4921,0.0009086300565895,CHR_8,80030,CHR_8,13662
4842,4922,0.0012367783529204,CHR_8,80515,CHR_8,13662
4842,4923,2.90573429367513e-06,CHR_8,81672,CHR_8,13662
4842,4924,4.82567946780499e-05,CHR_8,82753,CHR_8,13662
4842,4925,4.33890416102044e-05,CHR_8,82815,CHR_8,13662
4842,4926,5.39940600459573e-05,CHR_8,83281,CHR_8,13662
4842,4927,9.12758611849442e-05,CHR_8,83452,CHR_8,13662
4842,4928,1.69653369536218e-05,CHR_8,84010,CHR_8,13662
4842,4929,3.02738781192666e-06,CHR_8,85218,CHR_8,13662
4842,4930,7.90624681980661e-05,CHR_8,85386,CHR_8,13662
4842,4931,6.28048758891537e-05,CHR_8,85389,CHR_8,13662
4842,4932,0.0002755867375105,CHR_8,92161,CHR_8,13662
4842,4933,8.40417149324582e-05,CHR_8,92239,CHR_8,13662
4842,4934,3.21503752507244e-06,CHR_8,92580,CHR_8,13662
4842,4935,9.66691977457004e-05,CHR_8,92811,CHR_8,13662
4842,4936,0.0005732706581594,CHR_8,96286,CHR_8,13662
4842,4937,0.0003300878973243,CHR_8,96707,CHR_8,13662
4842,4938,0.0003300878973243,CHR_8,96942,CHR_8,13662
4842,4939,0.0038187820697705,CHR_8,97662,CHR_8,13662
4842,4940,0.0001274635898582,CHR_8,99461,CHR_8,13662
4842,4941,0.0002060405183076,CHR_8,99525,CHR_8,13662
4842,4942,0.0002013435101182,CHR_8,100031,CHR_8,13662
4842,4943,0.0004066264700444,CHR_8,102150,CHR_8,13662
4842,4944,0.0002208080943822,CHR_8,102263,CHR_8,13662
4842,4945,0.0005243860413668,CHR_8,102271,CHR_8,13662
4842,4946,0.0002158272319814,CHR_8,105346,CHR_8,13662
4842,4947,0.0001285361575393,CHR_8,105610,CHR_8,13662
4842,4948,0.0001705092383646,CHR_8,105611,CHR_8,13662
4842,4949,0.00109715168645,CHR_8,105612,CHR_8,13662
4842,4950,7.51970443911587e-05,CHR_8,105618,CHR_8,13662
4842,4951,1.91110483530236e-05,CHR_8,110021,CHR_8,13662
4842,4952,3.32246133182385e-05,CHR_8,111633,CHR_8,13662
4842,4953,5.77007520311494e-06,CHR_8,111695,CHR_8,13662
4842,4954,0.0018389017310113,CHR_8,112848,CHR_8,13662
4842,4955,0.0002060405183076,CHR_8,113201,CHR_8,13662
4842,4956,0.0008865574796661,CHR_8,113225,CHR_8,13662
4842,4957,0.000712608658097,CHR_8,114744,CHR_8,13662
4842,4958,0.0024546781074893,CHR_8,114771,CHR_8,13662
4842,4959,0.003094442853093,CHR_8,114934,CHR_8,13662
4842,4960,0.0018912803757925,CHR_8,114970,CHR_8,13662
4842,4961,0.0026010829731664,CHR_8,115080,CHR_8,13662
4842,4962,0.0004680388023181,CHR_8,115390,CHR_8,13662
4842,4963,0.0032927467450922,CHR_8,116469,CHR_8,13662
4842,4964,0.0009218188130146,CHR_8,117153,CHR_8,13662
4842,4965,0.001121776714832,CHR_8,117168,CHR_8,13662
4842,4966,0.0008992108201765,CHR_8,117739,CHR_8,13662
4842,4967,0.002515658375581,CHR_8,119053,CHR_8,13662
4842,4968,0.002515658375581,CHR_8,119057,CHR_8,13662
4842,4969,0.002515658375581,CHR_8,119122,CHR_8,13662
4842,4970,0.002515658375581,CHR_8,119178,CHR_8,13662
4842,4971,0.0010774519639676,CHR_8,119730,CHR_8,13662
4842,4972,0.0002415307308851,CHR_8,120385,CHR_8,13662
4842,4973,0.0007263534097158,CHR_8,121738,CHR_8,13662
4842,4974,0.0023284785256633,CHR_8,122014,CHR_8,13662
4842,4975,0.0020142622691523,CHR_8,122207,CHR_8,13662
4842,4976,0.0031662191202711,CHR_8,122347,CHR_8,13662
4842,4977,0.0019779151688947,CHR_8,122370,CHR_8,13662
4842,4978,0.0037583015338085,CHR_8,122655,CHR_8,13662
4842,4979,0.0006301595923234,CHR_8,123958,CHR_8,13662
4842,4980,0.0025343614849752,CHR_8,124640,CHR_8,13662
4842,4981,0.0002583004470615,CHR_8,126150,CHR_8,13662
4842,4982,0.0025365618194648,CHR_8,131678,CHR_8,13662
4842,4983,0.0024950469900072,CHR_8,131702,CHR_8,13662
4842,4984,0.0003804448653859,CHR_8,133120,CHR_8,13662
4842,4985,5.39732003758727e-05,CHR_8,133123,CHR_8,13662
4842,4986,0.000920233910921,CHR_8,134839,CHR_8,13662
4842,4987,0.0009137880378107,CHR_8,135448,CHR_8,13662
4842,4988,0.0009741694774034,CHR_8,135849,CHR_8,13662
4842,4989,0.0061295857427229,CHR_8,138689,CHR_8,13662
4842,4990,0.0097486871895417,CHR_8,139684,CHR_8,13662
4842,4991,0.0032193368803407,CHR_8,140044,CHR_8,13662
4842,4992,0.0032415135475891,CHR_8,140065,CHR_8,13662
4842,4993,0.0002475718057128,CHR_8,141525,CHR_8,13662
4842,4994,0.0005610886365305,CHR_8,143451,CHR_8,13662
4842,4995,0.001705260243728,CHR_8,144266,CHR_8,13662
4842,4996,0.0008445935149462,CHR_8,144671,CHR_8,13662
4842,4997,0.0003283955161878,CHR_8,146416,CHR_8,13662
4842,4998,0.0004491980644774,CHR_8,150593,CHR_8,13662
4842,4999,1.54061185565838e-07,CHR_8,151325,CHR_8,13662
4842,5000,0.00010957569056,CHR_8,151383,CHR_8,13662
4842,5001,0.00098569881727,CHR_8,154940,CHR_8,13662
4842,5002,9.71188580458318e-06,CHR_8,156216,CHR_8,13662
4842,5003,3.59699591080472e-05,CHR_8,159162,CHR_8,13662
4842,5004,0.0002800566161545,CHR_8,159677,CHR_8,13662
4842,5005,0.0007550420195984,CHR_8,160087,CHR_8,13662
4842,5006,0.0011017727252506,CHR_8,160450,CHR_8,13662
4842,5007,0.0007635518854547,CHR_8,160596,CHR_8,13662
4842,5008,0.0006836958125075,CHR_8,161761,CHR_8,13662
4842,5009,0.0005204085784281,CHR_8,164143,CHR_8,13662
4842,5010,0.0008351724905801,CHR_8,164304,CHR_8,13662
4842,5011,0.0016090973539594,CHR_8,164380,CHR_8,13662
4842,5012,0.0004230873072666,CHR_8,165385,CHR_8,13662
4842,5013,0.0013619815417166,CHR_8,165566,CHR_8,13662
4842,5014,0.0009796776284573,CHR_8,165572,CHR_8,13662
4842,5015,0.001157526762602,CHR_8,165588,CHR_8,13662
4842,5016,0.0008258597538504,CHR_8,165608,CHR_8,13662
4842,5017,0.0008493700603454,CHR_8,165710,CHR_8,13662
4842,5018,0.0008686572392546,CHR_8,165734,CHR_8,13662
4842,5019,0.0005549091427875,CHR_8,165797,CHR_8,13662
4842,5020,0.0009796776284573,CHR_8,165986,CHR_8,13662
4842,5021,0.0007985529156431,CHR_8,165995,CHR_8,13662
4842,5022,0.0015577194269247,CHR_8,166046,CHR_8,13662
4842,5023,0.0011684547068413,CHR_8,166130,CHR_8,13662
4842,5024,0.0008351724905801,CHR_8,166209,CHR_8,13662
4842,5025,0.0005299662613788,CHR_8,166367,CHR_8,13662
4842,5026,0.0006684510825566,CHR_8,166391,CHR_8,13662
4842,5027,0.0020617431181409,CHR_8,166445,CHR_8,13662
4842,5028,0.0026009204264235,CHR_8,166892,CHR_8,13662
4842,5029,0.0015830996226602,CHR_8,167286,CHR_8,13662
4842,5030,0.0008030644343466,CHR_8,168070,CHR_8,13662
4842,5031,0.0006767866659999,CHR_8,168732,CHR_8,13662
4842,5032,0.0013270618536462,CHR_8,168762,CHR_8,13662
4842,5033,3.0536323975954e-05,CHR_8,169190,CHR_8,13662
4842,5034,4.82567946780453e-05,CHR_8,169199,CHR_8,13662
4842,5035,0.0001102354595345,CHR_8,169202,CHR_8,13662
4842,5036,0.0014105026898255,CHR_8,170381,CHR_8,13662
4842,5037,0.0005500775251708,CHR_8,170419,CHR_8,13662
4842,5038,6.52718238066976e-07,CHR_8,170619,CHR_8,13662
4842,5039,0.0005225055379765,CHR_8,173136,CHR_8,13662
4842,5040,0.0004524089348058,CHR_8,173184,CHR_8,13662
4842,5041,0.0063819610961716,CHR_8,175778,CHR_8,13662
4842,5042,0.0057727604135441,CHR_8,176997,CHR_8,13662
4842,5043,0.0063712109132062,CHR_8,179821,CHR_8,13662
4842,5044,0.0093935974414609,CHR_8,183857,CHR_8,13662
4842,5045,0.0207114523363866,CHR_8,185325,CHR_8,13662
4842,5046,0.0258792141709361,CHR_8,185478,CHR_8,13662
4842,5047,0.0155565526354938,CHR_8,188007,CHR_8,13662
4842,5048,0.016444583339017,CHR_8,188958,CHR_8,13662
4842,5049,0.008313125723701,CHR_8,190366,CHR_8,13662
4842,5050,0.0092280375399698,CHR_8,190872,CHR_8,13662
4842,5051,0.005842838557159,CHR_8,191947,CHR_8,13662
4842,5052,0.0005756926333655,CHR_8,193408,CHR_8,13662
4842,5053,0.0014037903495647,CHR_8,193417,CHR_8,13662
4842,5054,0.0004077644673209,CHR_8,193425,CHR_8,13662
4842,5055,1.99049073027171e-05,CHR_8,193426,CHR_8,13662
4842,5056,0.0006084276693322,CHR_8,193438,CHR_8,13662
4842,5057,6.65924780549916e-05,CHR_8,194308,CHR_8,13662
4842,5058,0.0010250650556722,CHR_8,194338,CHR_8,13662
4842,5059,0.0021526713230103,CHR_8,194446,CHR_8,13662
4842,5060,0.0004684331182556,CHR_8,194508,CHR_8,13662
4842,5061,0.0004684331182556,CHR_8,194526,CHR_8,13662
4842,5062,0.0006275434224706,CHR_8,194530,CHR_8,13662
4842,5063,0.0006275434224706,CHR_8,194545,CHR_8,13662
4842,5064,0.0012748995065924,CHR_8,194566,CHR_8,13662
4842,5065,0.0008139425677944,CHR_8,194570,CHR_8,13662
4842,5066,0.0008139425677944,CHR_8,194574,CHR_8,13662
4842,5067,0.0006275434224706,CHR_8,194575,CHR_8,13662
4842,5068,0.0008292957992609,CHR_8,194578,CHR_8,13662
4842,5069,0.001021050050591,CHR_8,194584,CHR_8,13662
4842,5070,0.0010165214235543,CHR_8,194592,CHR_8,13662
4842,5071,0.0010165214235543,CHR_8,194593,CHR_8,13662
4842,5072,6.00610721805914e-05,CHR_8,194658,CHR_8,13662
4842,5073,0.0004889609296823,CHR_8,197262,CHR_8,13662
4842,5074,0.0023483159021129,CHR_8,197968,CHR_8,13662
4842,5075,0.004250051148262,CHR_8,200519,CHR_8,13662
4842,5076,0.0050327071847657,CHR_8,200608,CHR_8,13662
4842,5077,0.0050327071847657,CHR_8,200617,CHR_8,13662
4842,5078,0.0047050482466547,CHR_8,202890,CHR_8,13662
4842,5079,0.0026639449898804,CHR_8,203255,CHR_8,13662
4842,5080,0.0026639449898804,CHR_8,203274,CHR_8,13662
4842,5081,0.0036125572682593,CHR_8,203496,CHR_8,13662
4842,5082,0.0029692027420709,CHR_8,203615,CHR_8,13662
4842,5083,0.0036292000475274,CHR_8,203675,CHR_8,13662
4842,5084,0.0026931223839831,CHR_8,203842,CHR_8,13662
4842,5085,0.0021596981351151,CHR_8,203888,CHR_8,13662
4842,5086,0.0021910564495459,CHR_8,204054,CHR_8,13662
4842,5087,0.0024370300625725,CHR_8,204151,CHR_8,13662
4842,5088,0.0026931223839831,CHR_8,204219,CHR_8,13662
4842,5089,0.0024027696010942,CHR_8,204645,CHR_8,13662
4842,5090,0.0024027696010942,CHR_8,204670,CHR_8,13662
4842,5091,0.0027080130958473,CHR_8,205313,CHR_8,13662
4842,5092,0.0010451593652089,CHR_8,205962,CHR_8,13662
4842,5093,0.0007341957948966,CHR_8,206151,CHR_8,13662
4842,5094,0.0019794777764668,CHR_8,206460,CHR_8,13662
4842,5095,0.0004669579849467,CHR_8,206590,CHR_8,13662
4842,5096,9.5965709033403e-05,CHR_8,210269,CHR_8,13662
4842,5097,0.0001006815112631,CHR_8,210269,CHR_8,13662
4842,5098,0.0014527680705643,CHR_8,210535,CHR_8,13662
4842,5099,0.0001846588634832,CHR_8,212536,CHR_8,13662
4842,5100,9.59921675638942e-05,CHR_8,216159,CHR_8,13662
4842,5101,0.0008351724905801,CHR_8,219145,CHR_8,13662
4842,5102,0.0005204085784281,CHR_8,219477,CHR_8,13662
4842,5103,0.006200803406059,CHR_8,220430,CHR_8,13662
4842,5104,0.0020516358989162,CHR_8,221382,CHR_8,13662
4842,5105,0.0020205491870581,CHR_8,221387,CHR_8,13662
4842,5106,0.0007722568263148,CHR_8,221395,CHR_8,13662
4842,5107,0.0019773682149252,CHR_8,223812,CHR_8,13662
4842,5108,0.0017538796801849,CHR_8,225328,CHR_8,13662
4842,5109,0.0028181261779023,CHR_8,225830,CHR_8,13662
4842,5110,0.0025622467930427,CHR_8,229142,CHR_8,13662
4842,5111,0.0006440106784751,CHR_8,230941,CHR_8,13662
4842,5112,0.0006281733336796,CHR_8,231269,CHR_8,13662
4842,5113,0.0029246828033256,CHR_8,233344,CHR_8,13662
4842,5114,0.00332336688646,CHR_8,235793,CHR_8,13662
4842,5115,6.08006572334689e-05,CHR_8,237735,CHR_8,13662
4842,5116,0.001146724205066,CHR_8,237840,CHR_8,13662
4842,5117,0.0016563052481943,CHR_8,238967,CHR_8,13662
4842,5118,0.0021055589237569,CHR_8,239187,CHR_8,13662
4842,5119,0.0026345389913272,CHR_8,240735,CHR_8,13662
4842,5120,0.0011872333395638,CHR_8,241021,CHR_8,13662
4842,5121,0.0005500775251708,CHR_8,242447,CHR_8,13662
4842,5122,0.000685219363379,CHR_8,242816,CHR_8,13662
4842,5123,0.0010102419732765,CHR_8,244248,CHR_8,13662
4842,5124,0.0008541247267317,CHR_8,244520,CHR_8,13662
4842,5125,0.0014229992202069,CHR_8,245373,CHR_8,13662
4842,5126,0.0003015819036361,CHR_8,248246,CHR_8,13662
4842,5127,0.0011795101678206,CHR_8,249836,CHR_8,13662
4842,5128,0.0003127644011893,CHR_8,250646,CHR_8,13662
4842,5129,0.0010269272318946,CHR_8,250827,CHR_8,13662
4842,5130,0.0010206686513083,CHR_8,252848,CHR_8,13662
4842,5131,0.0021365053371586,CHR_8,252929,CHR_8,13662
4842,5132,0.0013833756447606,CHR_8,253025,CHR_8,13662
4842,5133,0.0023626531256789,CHR_8,255323,CHR_8,13662
4842,5134,0.0003428503372144,CHR_8,257550,CHR_8,13662
4842,5135,0.0002388873007684,CHR_8,259324,CHR_8,13662
4842,5136,0.000719955719897,CHR_8,261710,CHR_8,13662
4842,5137,0.0008833991629302,CHR_8,261724,CHR_8,13662
4842,5138,0.0018916183996772,CHR_8,262618,CHR_8,13662
4842,5139,0.0001420651894227,CHR_8,263049,CHR_8,13662
4842,5140,0.0002191958802865,CHR_8,263382,CHR_8,13662
4842,5141,5.43630254110817e-06,CHR_8,267630,CHR_8,13662
4842,5142,0.0009657865916472,CHR_8,269682,CHR_8,13662
4842,5143,0.0003725972207726,CHR_8,272525,CHR_8,13662
4842,5144,0.0001103713509788,CHR_8,272825,CHR_8,13662
4842,5145,0.0024575886157623,CHR_8,277103,CHR_8,13662
4842,5146,0.0007301649770371,CHR_8,279899,CHR_8,13662
4842,5147,0.0001588237863154,CHR_8,282569,CHR_8,13662
4842,5148,0.0011254869714241,CHR_8,284047,CHR_8,13662
4842,5149,0.0005567775673086,CHR_8,289273,CHR_8,13662
4842,5150,0.0017800890472127,CHR_8,289717,CHR_8,13662
4842,5151,3.70821320538764e-05,CHR_8,291360,CHR_8,13662
4842,5152,3.70821320538764e-05,CHR_8,291363,CHR_8,13662
4842,5153,9.71188580458318e-06,CHR_8,292640,CHR_8,13662
4842,5154,0.0019755724311214,CHR_8,298467,CHR_8,13662
4842,5155,0.0009272888986735,CHR_8,298906,CHR_8,13662
4842,5156,0.0012933358114353,CHR_8,300010,CHR_8,13662
4842,5157,0.0009215927797577,CHR_8,302175,CHR_8,13662
4842,5158,0.0011120335648667,CHR_8,303954,CHR_8,13662
4842,5159,0.0001039426247155,CHR_8,312174,CHR_8,13662
4842,5160,0.0003607097705894,CHR_8,313105,CHR_8,13662
4842,5161,0.0004736442561273,CHR_8,315156,CHR_8,13662
4842,5162,0.0003607097705894,CHR_8,315211,CHR_8,13662
4842,5163,0.0007138579094385,CHR_8,317992,CHR_8,13662
4842,5164,0.0005682223548874,CHR_8,318497,CHR_8,13662
4842,5165,0.0003607097705894,CHR_8,319453,CHR_8,13662
4842,5166,0.0010592705835661,CHR_8,321066,CHR_8,13662
4842,5167,0.0005470475409769,CHR_8,321259,CHR_8,13662
4842,5168,4.62102468322903e-06,CHR_8,323234,CHR_8,13662
4842,5169,0.0001035281972421,CHR_8,323454,CHR_8,13662
4842,5170,0.0003321811561386,CHR_8,324043,CHR_8,13662
4842,5171,0.0008351724905801,CHR_8,327592,CHR_8,13662
4842,5172,0.0029575023236879,CHR_8,329765,CHR_8,13662
4842,5173,0.0032607170625347,CHR_8,330276,CHR_8,13662
4842,5174,0.0047920675738968,CHR_8,330629,CHR_8,13662
4842,5175,0.0053679514315171,CHR_8,334370,CHR_8,13662
4842,5176,0.0061765535091473,CHR_8,334394,CHR_8,13662
4842,5177,0.0037234153989908,CHR_8,334431,CHR_8,13662
4842,5178,0.0045124873831692,CHR_8,334619,CHR_8,13662
4842,5179,0.0057727604135441,CHR_8,334786,CHR_8,13662
4842,5180,0.0041905225427003,CHR_8,334860,CHR_8,13662
4842,5181,0.0135725647371579,CHR_8,337892,CHR_8,13662
4842,5182,0.0114248974999627,CHR_8,338392,CHR_8,13662
4842,5183,0.0217171436143581,CHR_8,340175,CHR_8,13662
4842,5184,0.0205166050270039,CHR_8,340253,CHR_8,13662
4842,5185,0.0182013181867462,CHR_8,341299,CHR_8,13662
4842,5186,0.0167203704075386,CHR_8,341317,CHR_8,13662
4842,5187,0.0125816005835525,CHR_8,342706,CHR_8,13662
4842,5188,0.0081028966360457,CHR_8,343053,CHR_8,13662
4842,5189,0.0067990594933959,CHR_8,343641,CHR_8,13662
4842,5190,0.00174072069024,CHR_8,345499,CHR_8,13662
4842,5191,0.0014968436223412,CHR_8,346432,CHR_8,13662
4842,5192,0.0007897556911266,CHR_8,347011,CHR_8,13662
4842,5193,0.0025052429215279,CHR_8,350623,CHR_8,13662
4842,5194,0.0024900198545849,CHR_8,350664,CHR_8,13662
4842,5195,0.0014959816962918,CHR_8,353097,CHR_8,13662
4842,5196,0.000274844167944,CHR_8,359103,CHR_8,13662
4842,5197,0.0001876348119213,CHR_8,359104,CHR_8,13662
4842,5198,0.000274844167944,CHR_8,359105,CHR_8,13662
4842,5199,7.06719330344205e-05,CHR_8,359203,CHR_8,13662
4842,5200,8.75718167771632e-06,CHR_8,359415,CHR_8,13662
4842,5201,6.80592394119928e-05,CHR_8,359491,CHR_8,13662
4842,5202,6.54997864762073e-05,CHR_8,359522,CHR_8,13662
4842,5203,9.25622568732997e-05,CHR_8,359637,CHR_8,13662
4842,5204,0.0002289564463387,CHR_8,359646,CHR_8,13662
4842,5205,3.93018550498686e-05,CHR_8,359670,CHR_8,13662
4842,5206,5.88572670473251e-05,CHR_8,360543,CHR_8,13662
4842,5207,2.54871081819536e-05,CHR_8,360784,CHR_8,13662
4842,5208,0.0004062936791995,CHR_8,360938,CHR_8,13662
4842,5209,1.38873036994649e-06,CHR_8,361900,CHR_8,13662
4842,5210,1.65142285771493e-05,CHR_8,363516,CHR_8,13662
4842,5211,0.0002449142660751,CHR_8,368023,CHR_8,13662
4842,5212,0.0012869869383964,CHR_8,368026,CHR_8,13662
4842,5213,0.0004455187212805,CHR_8,369658,CHR_8,13662
4842,5214,0.0035331208668464,CHR_8,372172,CHR_8,13662
4842,5215,0.0023483159021129,CHR_8,372393,CHR_8,13662
4842,5216,0.004399347904665,CHR_8,373115,CHR_8,13662
4842,5217,0.004399347904665,CHR_8,373116,CHR_8,13662
4842,5218,0.0025679272872602,CHR_8,373932,CHR_8,13662
4842,5219,0.0038675468690062,CHR_8,374064,CHR_8,13662
4842,5220,0.0038675468690062,CHR_8,374065,CHR_8,13662
4842,5221,0.0049972797844098,CHR_8,374928,CHR_8,13662
4842,5222,0.0062902151663426,CHR_8,375301,CHR_8,13662
4842,5223,0.0069284864022371,CHR_8,375406,CHR_8,13662
4842,5224,0.0001367456042212,CHR_8,375520,CHR_8,13662
4842,5225,0.0046263370145546,CHR_8,375520,CHR_8,13662
4842,5226,0.0035331208668464,CHR_8,375742,CHR_8,13662
4842,5227,2.75958109177719e-05,CHR_8,378120,CHR_8,13662
4842,5228,0.0003360137178387,CHR_8,378565,CHR_8,13662
4842,5229,1.65773408916023e-05,CHR_8,379942,CHR_8,13662
4842,5230,0.0006607756592781,CHR_8,379942,CHR_8,13662
4842,5231,0.0017946645122024,CHR_8,380610,CHR_8,13662
4842,5232,0.0006394249206794,CHR_8,381634,CHR_8,13662
4842,5233,0.0017614906889336,CHR_8,381783,CHR_8,13662
4842,5234,0.0017641003090437,CHR_8,382963,CHR_8,13662
4842,5235,0.0037138766323065,CHR_8,383024,CHR_8,13662
4842,5236,0.0051403967851246,CHR_8,383093,CHR_8,13662
4842,5237,0.0029831119315722,CHR_8,384503,CHR_8,13662
4842,5238,0.0034238989601953,CHR_8,384582,CHR_8,13662
4842,5239,0.0033663141096343,CHR_8,384997,CHR_8,13662
4842,5240,0.003641013468089,CHR_8,385006,CHR_8,13662
4842,5241,0.0028587400036226,CHR_8,385186,CHR_8,13662
4842,5242,0.002014962164007,CHR_8,385228,CHR_8,13662
4842,5243,0.0048487039930686,CHR_8,386052,CHR_8,13662
4842,5244,0.0002692586212195,CHR_8,386060,CHR_8,13662
4842,5245,0.0007765193137206,CHR_8,386061,CHR_8,13662
4842,5246,0.0025170291259945,CHR_8,386144,CHR_8,13662
4842,5247,0.0027783706764303,CHR_8,386272,CHR_8,13662
4842,5248,0.0027783706764303,CHR_8,386466,CHR_8,13662
4842,5249,0.0004541132788781,CHR_8,386616,CHR_8,13662
4842,5250,0.0027783706764303,CHR_8,386883,CHR_8,13662
4842,5251,0.0031684543892741,CHR_8,389013,CHR_8,13662
4842,5252,0.0006343885088613,CHR_8,389014,CHR_8,13662
4842,5253,0.0017091555362735,CHR_8,389018,CHR_8,13662
4842,5254,0.0002946842685317,CHR_8,389023,CHR_8,13662
4842,5255,0.0004404644918629,CHR_8,389176,CHR_8,13662
4842,5256,0.0005753529803455,CHR_8,389677,CHR_8,13662
4842,5257,0.0014614086921249,CHR_8,389922,CHR_8,13662
4842,5258,0.0014614086921249,CHR_8,389976,CHR_8,13662
4842,5259,0.0032998081863797,CHR_8,390139,CHR_8,13662
4842,5260,0.0015390584900086,CHR_8,390246,CHR_8,13662
4842,5261,0.0007947416221509,CHR_8,391951,CHR_8,13662
4842,5262,0.0016111329327011,CHR_8,391989,CHR_8,13662
