SNP,gene,EFFECTSIZE,t-stat,P,FDR,CHR,BP,Effect,SE,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM,locus_id,GENE,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
4298,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.566359955124574,3.86449153914022,0.0001323384193853,0.0569552853733349,7,479633,0.567817118490176,0.146831817255009,0.0001311002527004,YGL009C,LEU1,SGDID:S000002977,Close to 3'-UTR,Close to 3'-UTR,"""Isopropylmalate isomerase; catalyzes the second step in the leucine biosynthesis pathway""",Verified ORF
4980,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.5418782661175,3.82502927282192,0.0001544408188699,0.0643839109169371,8,124640,0.540521690248605,0.141977070836749,0.0001657427345138,YHR009C,TDA3,SGDID:S000001051,ORF,Verified ORF,"""Putative oxidoreductase involved in late endosome to Golgi transport; physical and genetical interactions with Btn2p; null mutant is viable ; has extended S phase ; and sensitive to expression of top1-T722A allele; similar to human FOXRED1""",Verified ORF
4300,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.53896952464029,3.81435723053971,0.0001609923847226,0.0665398389214009,7,482519,0.539401445198645,0.141594230857285,0.0001642169883779,YGL008C,PMA1,SGDID:S000002976,ORF,Verified ORF,"""Plasma membrane P2-type H+-ATPase; pumps protons out of cell; major regulator of cytoplasmic pH and plasma membrane potential; long-lived protein asymmetrically distributed at plasma membrane between mother cells and buds; accumulates at high levels in mother cells during aging ; buds emerge with very low levels of Pma1p ; newborn cells have low levels of Pma1p; Hsp30p plays a role in Pma1p regulation; interactions with Std1p appear to propagate [GAR+]""",Verified ORF
11658,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.539832679219468,3.80609714755769,0.0001662426320628,0.0683131349793204,16,544393,0.537144239572063,0.142162553980089,0.0001852290367494,XUT_16F-213,,,Unstable transcript,XUT,ncRNA_UNB,Unstable transcript
4972,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.535132189852191,3.80182291456295,0.0001690225107514,0.0691774159907617,8,120385,0.53513218985147,0.141067884967952,0.0001747600346514,YHR007C,ERG11,SGDID:S000001049,ORF,Verified ORF,"""Lanosterol 14-alpha-demethylase; catalyzes C-14 demethylation of lanosterol to form 4,4''-dimethyl cholesta-8,14,24-triene-3-beta-ol in ergosterol biosynthesis pathway; transcriptionally down-regulated when ergosterol is in excess; member of cytochrome P450 family; associated and coordinately regulated with the P450 reductase Ncp1p; human CYP51A1 functionally complements the lethality of the erg11 null mutation""",Verified ORF
4967,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.534829512675161,3.78891310362234,0.0001776878121222,0.0718585665660006,8,119053,0.534829512677489,0.14146850149688,0.0001836811348899,YHR006W,STP2,SGDID:S000001048,ORF,Verified ORF,"""Transcription factor; activated by proteolytic processing in response to signals from the SPS sensor system for external amino acids; activates transcription of amino acid permease genes; STP2 has a paralog ; STP1 ; that arose from the whole genome duplication""",Verified ORF
4968,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.534829512675161,3.78891310362234,0.0001776878121222,0.0718585665660006,8,119057,0.534829512677489,0.14146850149688,0.0001836811348899,YHR006W,STP2,SGDID:S000001048,ORF,Verified ORF,"""Transcription factor; activated by proteolytic processing in response to signals from the SPS sensor system for external amino acids; activates transcription of amino acid permease genes; STP2 has a paralog ; STP1 ; that arose from the whole genome duplication""",Verified ORF
4970,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.534829512675161,3.78891310362234,0.0001776878121222,0.0718585665660006,8,119178,0.534829512677489,0.14146850149688,0.0001836811348899,YHR006W,STP2,SGDID:S000001048,ORF,Verified ORF,"""Transcription factor; activated by proteolytic processing in response to signals from the SPS sensor system for external amino acids; activates transcription of amino acid permease genes; STP2 has a paralog ; STP1 ; that arose from the whole genome duplication""",Verified ORF
4971,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.537211772827712,3.78627524601659,0.0001795092571394,0.0724100868547189,8,119730,0.536576065533689,0.142179476324174,0.0001884317471609,YHR006W,STP2,SGDID:S000001048,Close to 3'-UTR,Close to 3'-UTR,"""Transcription factor; activated by proteolytic processing in response to signals from the SPS sensor system for external amino acids; activates transcription of amino acid permease genes; STP2 has a paralog ; STP1 ; that arose from the whole genome duplication""",Verified ORF
4969,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.528485156388665,3.742183471597,0.0002126904622667,0.0827195002051158,8,119122,0.528485156388532,0.141536029091796,0.0002196994884173,YHR006W,STP2,SGDID:S000001048,ORF,Verified ORF,"""Transcription factor; activated by proteolytic processing in response to signals from the SPS sensor system for external amino acids; activates transcription of amino acid permease genes; STP2 has a paralog ; STP1 ; that arose from the whole genome duplication""",Verified ORF
9554,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,-0.520452409030354,-3.71596938099267,0.0002350758971538,0.0893336222852412,14,409447,-0.521145248080795,0.14035875128951,0.0002379869386784,YNL116W,DMA2,SGDID:S000005060,ORF,Verified ORF,"""Ubiquitin-protein ligase (E3); controls septin dynamics and spindle position checkpoint (SPOC) with ligase Dma1p by regulating recruitment of Elm1p to bud neck; regulates levels of eIF2 subunit Gcd11p ; as well as abundance ; localization ; and ubiquitination of Cdk inhibitory kinase Swe1p; ortholog of human RNF8 ; similar to human Chfr; contains FHA and RING finger domains; DMA2 has a paralog ; DMA1 ; that arose from the whole genome duplication""",Verified ORF
4983,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.532010415928003,3.71356538587867,0.0002372363211227,0.0899077536097632,8,131702,0.532659020585988,0.143513484134464,0.0002392488886817,YHR013C_NFR/NDR,,,Promoter,Promoter,,Promoter
4964,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.521744970111402,3.67369395814549,0.0002759119580336,0.10086778873249,8,117153,0.526864833347205,0.142264263470811,0.0002467594943319,YHRCdelta4_NFR/NDR,,,Promoter,Promoter,,Promoter
11701,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.535990337865255,3.66833697275405,0.0002815391860937,0.102328444533003,16,587395,0.544179320380639,0.146246089108138,0.0002308207294126,SUT417,,,Unstable transcript,SUT,ncRNA_STM,Unstable transcript
4954,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.513134758352684,3.64146606750029,0.0003114323375287,0.110249791382442,8,112848,0.513660759710726,0.14121273158176,0.0003163357011582,YHR004C,NEM1,SGDID:S000001046,ORF,Verified ORF,"""Probable catalytic subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis ; required for normal nuclear envelope morphology and sporulation; homolog of the human protein Dullard""",Verified ORF
4965,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.51248504504793,3.59479222437911,0.0003705620940055,0.125209711470684,8,117168,0.519575101474663,0.142778836119148,0.0003145370808046,YHRCdelta4_NFR/NDR,,,Promoter,Promoter,,Promoter
3922,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.500509646642734,3.56092476797505,0.0004199001021406,0.136570415847609,7,53700,0.500980089119711,0.140861941455327,0.0004270327323051,YGL237C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
3923,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.500509646642734,3.56092476797505,0.0004199001021406,0.136570415847609,7,53702,0.500980089119711,0.140861941455327,0.0004270327323051,YGL237C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
4987,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.519748854195817,3.55136355108075,0.0004349061387134,0.139814269778998,8,135448,0.526003084773645,0.146480126607924,0.0003761441864945,YHR015W,MIP6,SGDID:S000001057,ORF,Verified ORF,"""Putative RNA-binding protein; interacts with Mex67p ; which is a component of the nuclear pore involved in nuclear mRNA export; MIP6 has a paralog ; PES4 ; that arose from the whole genome duplication""",Verified ORF
4959,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.502095262793317,3.51927572737879,0.0004890232451589,0.15128970659561,8,114934,0.503160463242625,0.142941645265257,0.0004879929706252,CUT173_NFR/NDR,,,Promoter,Promoter,,Promoter
4982,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.502479705893969,3.50386183477733,0.000517204841903,0.157126830970162,8,131678,0.496928756166406,0.143727133049988,0.0006119105410668,YHR013C_NFR/NDR,,,Promoter,Promoter,,Promoter
4957,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.497538209768423,3.47440560082551,0.0005753361983954,0.168616657086289,8,114744,0.501763098391588,0.143430523790419,0.0005280904591295,YHR005C,GPA1,SGDID:S000001047,ORF,Verified ORF,"""Subunit of G protein involved in pheromone response; GTP-binding alpha subunit of heterotrimeric G protein; negatively regulates mating pathway by sequestering G(beta)gamma and triggering an adaptive response; activates Vps34p at endosome; protein abundance increases in response to DNA replication stress; mutations in human homolog GNAS associated with McCune-Albright syndrome""",Verified ORF
3920,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.491242581295339,3.47305366060689,0.0005781455790666,0.169206780393276,7,53637,0.491242581295334,0.141757227119632,0.0005947183434079,YGL237C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
10465,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,-0.488309949403591,-3.46998546754517,0.0005845690518438,0.170385571562947,15,467752,-0.488383135778715,0.14103365510134,0.000600077398679,YOR074C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
11655,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.49903936636106,3.46733412703225,0.000590173494066,0.171447166463225,16,537435,0.497265944966886,0.144198147517689,0.0006318736139166,YPL009C,RQC2,SGDID:S000005930,ORF,Verified ORF,"""Component of Ribosome Quality Control (RQC) complex ; which is a ribosome-bound complex required for degradation of polypeptides arising from stalled translation; recruits alanine- and threonine-charged tRNA to the A site and directs the elongation of nascent chains independently of mRNA or 40S subunits; monitors translation stress and signals this to Hsf1p""",Verified ORF
11676,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.516900414695855,3.44915412980157,0.0006299767582088,0.178633083675175,16,565119,0.525398179642504,0.149896700649621,0.0005152892521813,ARS1634,ARS1634,SGDID:S000119040,Other features,Replication,"""Autonomously Replicating Sequence""",ARS
11677,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.496467623923951,3.43654887206202,0.0006590320485447,0.184034719778473,16,571530,0.498392894719458,0.144711128736432,0.0006419882189274,YPR007C,REC8,SGDID:S000006211,Close to 3'-UTR,Close to 3'-UTR,"""Meiosis-specific component of the sister chromatid cohesion complex; alpha-kleisin family member that maintains cohesion between homologous chromosomes during meiosis I until chromosome arm-associated Rec8p is cleaved by Esp1p; cohesion between sister chromatid centromeres is maintained until metaphase of meiosis II when it is cleaved by Esp1; independent of the role in cohesion ; Rec8p promotes allelic collisions and prevents nonspecific chromosome interactions; homolog of S. pombe Rec8p""",Verified ORF
4963,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.497632037635448,3.42207237794682,0.0006939426486627,0.189735466660467,8,116469,0.507037568498419,0.145530045506208,0.0005559753792099,YHRCdelta3,YHRCdelta3,SGDID:S000006992,Other features,LTR,"""Ty1 LTR""",reverse complement
3755,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,-0.479492671314258,-3.41821849356876,0.0007035231822547,0.191435151360531,6,175273,-0.479805603279626,0.140582381058317,0.0007171648163004,YFR015C,GSY1,SGDID:S000001911,ORF,Verified ORF,"""Glycogen synthase; expression induced by glucose limitation ; nitrogen starvation ; environmental stress ; and entry into stationary phase; GSY1 has a paralog ; GSY2 ; that arose from the whole genome duplication; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress""",Verified ORF
3917,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.47825250276509,3.41803785091902,0.0007039752637479,0.191509356949431,7,53416,0.47821926237797,0.14023045128291,0.0007241926241396,YGL237C,HAP2,SGDID:S000003206,ORF,Verified ORF,"""Subunit of the Hap2p/3p/4p/5p CCAAT-binding complex; complex is heme-activated and glucose-repressed; complex is a transcriptional activator and global regulator of respiratory gene expression; contains sequences sufficient for both complex assembly and DNA binding; respiratory defect of the null mutant is functionally complemented by human NFYA""",Verified ORF
11656,ERV25_ERG5_MTX_Fluconazole_avg_logratio_Fitness_minus_ref,0.491172057665514,3.4148274139538,0.0007120551554707,0.192799582346518,16,538056,0.497183987246065,0.144035395952712,0.0006243856916901,YPL009C,RQC2,SGDID:S000005930,ORF,Verified ORF,"""Component of Ribosome Quality Control (RQC) complex ; which is a ribosome-bound complex required for degradation of polypeptides arising from stalled translation; recruits alanine- and threonine-charged tRNA to the A site and directs the elongation of nascent chains independently of mRNA or 40S subunits; monitors translation stress and signals this to Hsf1p""",Verified ORF
