SNP,gene,EFFECTSIZE,t-stat,P,FDR,CHR,BP,Effect,SE,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref.GLM,locus_id,GENE,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
10449,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.70838638772468,-14.2944836401087,6.26943808595116e-37,1.91242939373854e-32,15,461395,-1.71633718469279,0.119394563052992,3.28810356178762e-37,YOR071C,NRT1,SGDID:S000005597,Close to 3'-UTR,Close to 3'-UTR,"""High-affinity nicotinamide riboside transporter; also transports thiamine with low affinity; major transporter for 5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranoside (acadesine) uptake; shares sequence similarity with Thi7p and Thi72p; proposed to be involved in 5-fluorocytosine sensitivity""",Verified ORF
10462,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.63816339942531,-14.0729634507855,4.703824942698649e-36,1.195712300434e-31,15,466738,-1.64014379124068,0.116563594887821,5.230537504863079e-36,YOR074C,CDC21,SGDID:S000005600,ORF,Verified ORF,"""Thymidylate synthase; required for de novo biosynthesis of pyrimidine deoxyribonucleotides; expression is induced at G1/S; human homolog TYMSOS can complement yeast cdc21 temperature-sensitive mutant at restrictive temperature""",Verified ORF
10460,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.62561945143507,-13.975150354038,1.14215277053434e-35,2.5866229962221103e-31,15,466097,-1.62597638235223,0.116553168363786,1.55342572167424e-35,YOR073W,SGO1,SGDID:S000005599,ORF,Verified ORF,"""Component of the spindle checkpoint; involved in sensing lack of tension on mitotic chromosomes; protects centromeric Rec8p at meiosis I; required for accurate chromosomal segregation at meiosis II and for mitotic chromosome stability; recruits condensin to the pericentric region of chromosomes during meiosis; dissociates from pericentromeres when sister kinetochores are under tension""",Verified ORF
10457,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.74900348769377,-13.7700656290383,7.295421468187411e-35,1.34622682553257e-30,15,464262,-1.75501325134861,0.126961935888871,4.904436509409051e-35,YOR072W-B_NFR/NDR,,,Promoter,Promoter,,Promoter
10461,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.61644917590322,-13.613223439445,2.9962495715743e-34,4.8281969163641294e-30,15,466324,-1.61612112573269,0.119004873853607,4.35416821441777e-34,YOR073W,SGO1,SGDID:S000005599,ORF,Verified ORF,"""Component of the spindle checkpoint; involved in sensing lack of tension on mitotic chromosomes; protects centromeric Rec8p at meiosis I; required for accurate chromosomal segregation at meiosis II and for mitotic chromosome stability; recruits condensin to the pericentric region of chromosomes during meiosis; dissociates from pericentromeres when sister kinetochores are under tension""",Verified ORF
10463,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.56551855428774,-13.3363713017592,3.58319638992598e-33,4.64106526103708e-29,15,467591,-1.56600051874075,0.117619495849637,4.70300234171845e-33,YOR073W-A,YOR073W-A,SGDID:S000028583,ORF,Dubious ORF,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially/completely overlaps the verified ORF CDC21/YOR074C; identified by RT-PCR""",Dubious ORF
10465,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.5711994016338,-13.3224526717422,4.0575702069544895e-33,5.20140133623846e-29,15,467752,-1.57095913197082,0.118196505266439,5.77492605229521e-33,YOR074C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
10464,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.57702974644758,-13.2468145620626,7.96845583382483e-33,9.82707843316389e-29,15,467703,-1.57630190330183,0.119327704048903,1.18971142264355e-32,YOR074C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
10466,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.54920719140869,-13.0866543516988,3.31281782663095e-32,3.7118857227840893e-28,15,467792,-1.54931015988764,0.118629574337897,4.49430058123427e-32,YOR074C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
10467,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.55783328125359,-13.0381082005737,5.09646844247872e-32,5.5120629486969385e-28,15,467889,-1.55879096318294,0.119701318304721,6.27631707759773e-32,YOR074C,CDC21,SGDID:S000005600,Close to 3'-UTR,Close to 3'-UTR,"""Thymidylate synthase; required for de novo biosynthesis of pyrimidine deoxyribonucleotides; expression is induced at G1/S; human homolog TYMSOS can complement yeast cdc21 temperature-sensitive mutant at restrictive temperature""",Verified ORF
10470,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.34648803707289,-10.7097937470518,2.2202258651078e-23,8.14571114303675e-20,15,472448,-1.34714396896164,0.125978109439407,2.6306049897832105e-23,YOR077W,RTS2,SGDID:S000005603,ORF,Verified ORF,"""Basic zinc-finger protein; similar to human and mouse Kin17 proteins which are chromatin-associated proteins involved in UV response and DNA replication""",Verified ORF
10469,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.31856468783563,-10.3671239559628,3.56013901728239e-22,1.17313173469487e-18,15,471823,-1.31847300335098,0.127464780645718,4.43468326245611e-22,YOR077W_NFR/NDR,,,Promoter,Promoter,,Promoter
10472,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.28772408730578,-10.1115649874814,2.73496566921648e-21,8.27183781043139e-18,15,474768,-1.28641993721911,0.127669034340788,3.72837762817128e-21,YOR080W,DIA2,SGDID:S000005606,ORF,Verified ORF,"""Origin-binding F-box protein; forms SCF ubiquitin ligase complex with Skp1p and Cdc53p; functions in ubiquitination of silent chromatin structural protein Sir4p; required to target Cdc6p for destruction during G1 phase; required for deactivation of Rad53 checkpoint kinase ; completion of DNA replication during recovery from DNA damage ; assembly of RSC complex ; RSC-mediated transcription regulation ; and nucleosome positioning; involved in invasive and pseudohyphal growth""",Verified ORF
10473,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.29095781120908,-10.0755463605626,3.63755395034274e-21,1.0848039384200901e-17,15,475002,-1.29093381799353,0.128400464940085,4.44426073670759e-21,YOR080W,DIA2,SGDID:S000005606,ORF,Verified ORF,"""Origin-binding F-box protein; forms SCF ubiquitin ligase complex with Skp1p and Cdc53p; functions in ubiquitination of silent chromatin structural protein Sir4p; required to target Cdc6p for destruction during G1 phase; required for deactivation of Rad53 checkpoint kinase ; completion of DNA replication during recovery from DNA damage ; assembly of RSC complex ; RSC-mediated transcription regulation ; and nucleosome positioning; involved in invasive and pseudohyphal growth""",Verified ORF
10471,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.28324882385585,-9.61612446986706,1.31617074202297e-19,3.44388874015693e-16,15,474477,-1.28125477387831,0.133776776372579,1.8164972755788602e-19,YOR080W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
10444,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.19088135224655,-9.1755387475607,3.75718086798114e-18,8.744695133366451e-15,15,453019,-1.1915665170573,0.130062025343431,4.2648424018185396e-18,YOR067C,ALG8,SGDID:S000005593,ORF,Verified ORF,"""Glucosyl transferase; involved in N-linked glycosylation; adds glucose to the dolichol-linked oligosaccharide precursor prior to transfer to protein during lipid-linked oligosaccharide biosynthesis; similar to Alg6p; human homolog ALG8 can complement yeast null mutant""",Verified ORF
10474,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.1360158537611,-8.59795881400553,2.63340016685629e-16,5.14258256571652e-13,15,477403,-1.13516002723585,0.132434262501512,3.24156163381927e-16,YOR081C,TGL5,SGDID:S000005607,ORF,Verified ORF,"""Bifunctional triacylglycerol lipase and LPA acyltransferase; lipid particle-localized triacylglycerol (TAG) lipase involved in triacylglycerol mobilization; catalyzes acylation of lysophosphatidic acid (LPA); potential Cdc28p substrate; TGL5 has a paralog ; TGL4 ; that arose from the whole genome duplication""",Verified ORF
10475,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.15602988135003,-8.58267224939826,2.94003503194105e-16,5.71451053589357e-13,15,477590,-1.14795259067748,0.135165764309372,5.69302475723831e-16,YOR081C,TGL5,SGDID:S000005607,ORF,Verified ORF,"""Bifunctional triacylglycerol lipase and LPA acyltransferase; lipid particle-localized triacylglycerol (TAG) lipase involved in triacylglycerol mobilization; catalyzes acylation of lysophosphatidic acid (LPA); potential Cdc28p substrate; TGL5 has a paralog ; TGL4 ; that arose from the whole genome duplication""",Verified ORF
10443,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.13315000811744,-8.56146106503219,3.42482834038543e-16,6.610378642898679e-13,15,451421,-1.13321435583761,0.132649151233012,3.97925326795781e-16,YOR066W,MSA1,SGDID:S000005592,Close to 3'-UTR,Close to 3'-UTR,"""Activator of G1-specific transcription factors MBF and SBF; involved in regulation of the timing of G1-specific gene transcription and cell cycle initiation; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation; MSA1 has a paralog ; MSA2 ; that arose from the whole genome duplication""",Verified ORF
10476,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.08250758486591,-8.03359292241729,1.41272151041478e-14,2.3183895374735798e-11,15,477914,-1.07944631530289,0.135100609422034,1.9339682077696602e-14,YOR081C,TGL5,SGDID:S000005607,ORF,Verified ORF,"""Bifunctional triacylglycerol lipase and LPA acyltransferase; lipid particle-localized triacylglycerol (TAG) lipase involved in triacylglycerol mobilization; catalyzes acylation of lysophosphatidic acid (LPA); potential Cdc28p substrate; TGL5 has a paralog ; TGL4 ; that arose from the whole genome duplication""",Verified ORF
10442,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.0460736031759,-7.7275120257159,1.13620564314137e-13,1.70441793454519e-10,15,449086,-1.0467183683583,0.135663361522867,1.2459411122003e-13,YOR065W,CYT1,SGDID:S000005591,Close to 3'-UTR,Close to 3'-UTR,"""Cytochrome c1; component of the mitochondrial respiratory chain; expression is regulated by the heme-activated ; glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex""",Verified ORF
10432,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.02008272462281,-7.65463017114521,1.85150682755404e-13,2.7238581192103503e-10,15,446521,-1.02019081014914,0.133566534575905,2.09166318850451e-13,YOR064C,YNG1,SGDID:S000005590,ORF,Verified ORF,"""Subunit of the NuA3 histone acetyltransferase complex; this complex acetylates histone H3; contains PHD finger domain that interacts with methylated histone H3; shares significant sequence identity with the human candidate tumor suppressor p33-ING1 in C-terminal region""",Verified ORF
10477,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.01708909744252,-7.60135294013477,2.64044503989327e-13,3.80584632531178e-10,15,478685,-1.01807690525379,0.134087551798813,2.8295978942896097e-13,YOR081C,TGL5,SGDID:S000005607,ORF,Verified ORF,"""Bifunctional triacylglycerol lipase and LPA acyltransferase; lipid particle-localized triacylglycerol (TAG) lipase involved in triacylglycerol mobilization; catalyzes acylation of lysophosphatidic acid (LPA); potential Cdc28p substrate; TGL5 has a paralog ; TGL4 ; that arose from the whole genome duplication""",Verified ORF
10433,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.01573971756394,-7.59305013166388,2.79018954475517e-13,4.0139414357915006e-10,15,446992,-1.01620355619386,0.134067094774459,3.08058817436819e-13,YOR065W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
10434,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.03979938651279,-7.38646679980647,1.08604364044674e-12,1.48003745915499e-09,15,447362,-1.03719421385097,0.141145217216102,1.40490909296281e-12,YOR064C,YNG1,SGDID:S000005590,Close to 3'-UTR,Close to 3'-UTR,"""Subunit of the NuA3 histone acetyltransferase complex; this complex acetylates histone H3; contains PHD finger domain that interacts with methylated histone H3; shares significant sequence identity with the human candidate tumor suppressor p33-ING1 in C-terminal region""",Verified ORF
10437,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.0818246135626,-7.34481496929306,1.42386963182082e-12,1.91734436324689e-09,15,448753,-1.08190142510344,0.147603352456618,1.5852097107565399e-12,YOR065W,CYT1,SGDID:S000005591,Close to 3'-UTR,Close to 3'-UTR,"""Cytochrome c1; component of the mitochondrial respiratory chain; expression is regulated by the heme-activated ; glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex""",Verified ORF
10478,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.85734881440717,-6.26439030051779,1.08303579227559e-09,1.12573662487563e-06,15,479604,-0.858622687345001,0.137152897162332,1.1149512710533901e-09,YOR082C,YOR082C,SGDID:S000005608,ORF,Dubious ORF,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data; partially overlaps the verified gene YOR083W""",Dubious ORF
10431,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.841485594896909,-6.16670445316294,1.89799524077032e-09,1.92281814721325e-06,15,443890,-0.841475427714456,0.136773273956861,2.0709373013683402e-09,YOR062C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
10429,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.880785059550872,-6.09469387003307,2.8578655552019e-09,2.84094188208171e-06,15,442681,-0.880810929860601,0.144850674592887,3.1066486612285705e-09,YOR061W,CKA2,SGDID:S000005587,Close to 3'-UTR,Close to 3'-UTR,"""Alpha' catalytic subunit of casein kinase 2 (CK2); CK2 is a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2 ; comprised of CKA1 ; CKA2 ; CKB1 and CKB2 ; has many substrates including transcription factors and all RNA polymerases; protein abundance increases in response to DNA replication stress; regulates Fkh1p-mediated donor preference during mating-type switching""",Verified ORF
10436,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.20380253037045,-6.09051893520387,2.9261604564573e-09,2.90689906262455e-06,15,448419,-1.20380253037043,0.198111161851678,3.18513754385971e-09,SUT777_NFR/NDR,,,Promoter,Promoter,,Promoter
10430,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.796210144603497,-5.77417626637352,1.68922158083961e-08,1.54862165112527e-05,15,443566,-0.797366142911893,0.138192934239683,1.73562553202066e-08,YOR062C,YOR062C,SGDID:S000005588,Close to 3'-UTR,Close to 3'-UTR,"""Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YOR062C has a paralog ; YKR075C ; that arose from the whole genome duplication""",Uncharacterized ORF
10428,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.707672527538068,-5.09767131879603,5.60350012389598e-07,0.0004196156924442,15,441176,-0.708052101781429,0.139141400769136,5.87090218372473e-07,YOR061W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
10438,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.11610936018772,-4.94936341105216,1.15254719118725e-06,0.0008252887211261,15,448815,-1.11555727767016,0.226003912434214,1.23173163763948e-06,YOR065W,CYT1,SGDID:S000005591,Close to 3'-UTR,Close to 3'-UTR,"""Cytochrome c1; component of the mitochondrial respiratory chain; expression is regulated by the heme-activated ; glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex""",Verified ORF
10427,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.666042700772744,-4.64228706944535,4.85738977368772e-06,0.0031149481144551,15,439078,-0.666213720347824,0.143806346453317,5.08352610849476e-06,YOR059C,LPL1,SGDID:S000005585,ORF,Verified ORF,"""Phospholipase; contains lipase specific GXSXG motif; maintains lipid droplet (LD) morphology; induced by transcription factor Rpn4p; protein abundance increases in response to DNA replication stress""",Verified ORF
10439,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.23152146163007,-4.55572634807893,7.18873251779789e-06,0.0044621967356405,15,448820,-1.19460354629867,0.263032363592734,7.67048350119739e-06,YOR065W,CYT1,SGDID:S000005591,Close to 3'-UTR,Close to 3'-UTR,"""Cytochrome c1; component of the mitochondrial respiratory chain; expression is regulated by the heme-activated ; glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex""",Verified ORF
10426,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.576574864460728,-4.10231858851867,5.07671862719485e-05,0.0257155360996726,15,433993,-0.576455830402997,0.140879619595588,5.30721796328271e-05,YOR058C,ASE1,SGDID:S000005584,ORF,Verified ORF,"""Mitotic spindle midzone-localized microtubule bundling protein; microtubule-associated protein (MAP) family member; required for spindle elongation and stabilization; undergoes cell cycle-regulated degradation by anaphase promoting complex; potential Cdc28p substrate; relative distribution to microtubules decreases upon DNA replication stress""",Verified ORF
10480,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.533215296607468,-3.79444067767312,0.0001739274620679,0.0706590242017665,15,484698,-0.533215296607464,0.140856047095253,0.0001801838349182,YOR086C,TCB1,SGDID:S000005612,ORF,Verified ORF,"""Lipid-binding ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p ; Scs2p ; Scs22p ; Tcb1p ; Tcb2p ; Tcb3p) that connect ER to plasma membrane and regulate PI4P levels by controlling access of Sac1p phosphatase to its substrate PI4P in PM; contains 3 calcium and lipid binding domains; non-tagged protein also localizes to mitochondria; C-termini of Tcb1p ; Tcb2p and Tcb3p interact; TCB1 has a paralog ; TCB2 ; that arose from the whole genome duplication""",Verified ORF
11898,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.52018132123495,-3.69185414303447,0.0002576132863374,0.0957796996755017,16,823418,-0.520276947456312,0.141230313806845,0.0002657054305625,YPR145W,ASN1,SGDID:S000006349,ORF,Verified ORF,"""Asparagine synthetase; catalyzes the synthesis of L-asparagine from L-aspartate in the asparagine biosynthetic pathway; ASN1 has a paralog ; ASN2 ; that arose from the whole genome duplication""",Verified ORF
11897,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.512866352575759,-3.64410609341364,0.0003083682239237,0.109481909092777,16,823324,-0.512866352575659,0.141069940623732,0.0003186499967949,YPR145W,ASN1,SGDID:S000006349,ORF,Verified ORF,"""Asparagine synthetase; catalyzes the synthesis of L-asparagine from L-aspartate in the asparagine biosynthetic pathway; ASN1 has a paralog ; ASN2 ; that arose from the whole genome duplication""",Verified ORF
1920,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.524200005432798,3.63195933911845,0.0003227049890627,0.113078079597738,4,605918,0.525938437665829,0.1446183714044,0.0003172394553559,YDR080W,VPS41,SGDID:S000002487,ORF,Verified ORF,"""Subunit of the HOPS endocytic tethering complex; vacuole membrane protein that functions as a Rab GTPase effector ; interacting specifically with the GTP-bound conformation of Ypt7p ; facilitating tethering ; docking and promoting membrane fusion events at the late endosome and vacuole; required for both membrane and protein trafficking; Yck3p-mediated phosphorylation regulates the organization of vacuolar fusion sites""",Verified ORF
10425,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.509224341579349,-3.57659121141293,0.0003963572474329,0.131150622577928,15,430047,-0.51045107286976,0.142696850442353,0.0003957943655757,YOR054C_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
10456,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-1.5458512213191,-3.53494522460021,0.0004618530919963,0.145700711100599,15,462740,-1.57417921541186,0.432949003837136,0.0003181745846376,CUT379,,,Unstable transcript,CUT,ncRNA_STM,Unstable transcript
10479,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.497709000225972,-3.52664411168451,0.0004760655281813,0.148578727284419,15,483470,-0.497781885761585,0.141459809597062,0.000490037685676,YOR086C,TCB1,SGDID:S000005612,ORF,Verified ORF,"""Lipid-binding ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p ; Scs2p ; Scs22p ; Tcb1p ; Tcb2p ; Tcb3p) that connect ER to plasma membrane and regulate PI4P levels by controlling access of Sac1p phosphatase to its substrate PI4P in PM; contains 3 calcium and lipid binding domains; non-tagged protein also localizes to mitochondria; C-termini of Tcb1p ; Tcb2p and Tcb3p interact; TCB1 has a paralog ; TCB2 ; that arose from the whole genome duplication""",Verified ORF
280,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,0.498005920554652,3.51938153983613,0.0004888348528391,0.151262731699081,2,111999,0.498253579985701,0.141833486984435,0.0005007518833392,YBL058W,SHP1,SGDID:S000000154,ORF,Verified ORF,"""UBX domain-containing substrate adaptor for Cdc48p; ubiquitin regulatory X domain-containing protein that acts as a substrate recruiting cofactor for Cdc48p; positively regulates Glc7p PPase activity to promote growth and mitotic progression in complex with Cdc48p; ubiquitinated protein interactor involved in ER-associated degradation (ERAD); regulated by nuclear Ub-dependent degradation (INMAD pathway) independent of the Asi and Doa10 complexes; homolog of human p47 (NSFL1C)""",Verified ORF
11912,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.502920028933348,-3.4910299386052,0.0005418178323309,0.162208879728015,16,839159,-0.504507001710668,0.144373318770687,0.0005354840802376,YPR156C,TPO3,SGDID:S000006360,ORF,Verified ORF,"""Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; specific for spermine; localizes to the plasma membrane; TPO3 has a paralog ; TPO2 ; that arose from the whole genome duplication""",Verified ORF
10419,ERG11_PIS1_MTX_noDrug_avg_logratio_Fitness_minus_ref,-0.598889632313295,-3.48191734499956,0.000559957627553,0.165663755606067,15,426624,-0.544346154768569,0.170620282150865,0.0015481030995306,YOR051C,ETT1,SGDID:S000005577,Close to 3'-UTR,Close to 3'-UTR,"""Nuclear protein that inhibits replication of Brome mosaic virus; S. cerevisiae is a model system for studying replication of positive-strand RNA viruses in their natural hosts; deletion increases stop codon readthrough""",Verified ORF
