SNP,pQTL_protein,pQTL_protein_name,eQTL_gene_id,eQTL_gene,Chromosome,pQTL_peak,pQTL_left,pQTL_right,eQTL_peak,eQTL_left,eQTL_right,pQTL_effect,eQTL_LOD,pQTL_gene_dist,pQTL_cis,eQTL_gene_dist,eQTL_cis,peak_distance,is_eQTL_peak_in_pQTL,is_pQTL_peak_in_eQTL
1662,YML124C,TUB3,YML124C,TUB3,Chr4,382176,375648,390909,381770,370499,759809,0.376061112,4.891305889,inf,False,,False,406,True,True
2285,YMR241W,YHM2,YMR241W,YHM2,Chr4,971731,961744,998174,975156,959283,1055136,0.262134527,4.582288085,inf,False,,False,3425,True,True
1533,YMR300C,ADE4,YMR300C,ADE4,Chr4,271787,265022,279037,271629,250548,280191,0.146874398,15.07536971,inf,False,,False,158,True,True
1277,YNL064C,YDJ1; MAS5,YNL064C,YDJ1,Chr4,48617,37106,60023,46090,42278,62324,0.24995172,9.855720946,inf,False,,False,2527,True,True
1532,YOR128C,ADE2,YOR128C,ADE2,Chr4,271035,264432,275191,271035,268919,275637,0.336199784,26.5195766,inf,False,,False,0,True,True
1940,YDL120W,YFH1,YDL120W,YFH1,Chr4,624555,613791,629973,629042,617842,667976,0.127392454,5.086115899,378108.0,False,371194.0,False,4487,True,True
2455,YDR368W,YPR1,YDR368W,YPR1,Chr4,1213560,1184872,1235719,1197837,1172908,1219509,0.33047023,4.78381909,336.0,True,0.0,True,15723,True,True
2286,YML131W,YML131W; YM4987.04,YML131W,YML131W,Chr4,973283,959283,1000959,977428,955222,996583,0.185639764,8.487065552,inf,False,,False,4145,True,True
1933,YML028W,TSA1,YML028W,TSA1,Chr4,621613,613791,624555,620090,565313,678773,0.138122156,3.955717233,inf,False,,False,1523,True,True
2914,YEL040W,UTR2; CRH2,YEL040W,UTR2,Chr5,79230,74994,81334,81181,78893,81713,0.302962518,60.54614338,0.0,True,0.0,True,1951,True,True
3107,YER049W,TPA1,YER049W,TPA1,Chr5,253670,243584,262671,253670,252103,256810,0.253965736,53.04207521,9.0,True,0.0,True,0,True,True
3167,YER086W,ILV1,YER086W,ILV1,Chr5,328525,324331,328525,328320,327970,333779,0.158024574,20.60057807,0.0,True,0.0,True,205,True,True
3725,YFL010C,WWM1,YFL010C,WWM1,Chr6,115037,111439,123079,114714,114714,115151,0.328372416,239.2957547,65.0,True,193.0,True,323,True,True
3673,YGR086C,PIL1,YGR086C,PIL1,Chr6,73433,62743,75397,64249,51748,73540,0.144241932,3.770175316,inf,False,,False,9184,True,True
3669,YGR256W,GND2,YGR256W,GND2,Chr6,71471,62743,74913,65504,54858,87400,0.131009794,6.394846778,inf,False,,False,5967,True,True
3669,YIL136W,OM45,YIL136W,OM45,Chr6,71471,62743,74913,65504,54904,88843,0.132416984,3.75955132,inf,False,,False,5967,True,True
3669,YIR038C,GTT1,YIR038C,GTT1,Chr6,71471,62743,74913,71932,65504,74705,0.18779981,5.081526082,inf,False,,False,461,True,True
3666,YKL096W,CWP1,YKL096W,CWP1,Chr6,65183,57460,74406,71959,57460,85912,0.183252307,4.6544408,inf,False,,False,6776,True,True
3966,YGL202W,ARO8,YGL202W,ARO8,Chr7,115759,101935,122646,114332,107461,130737,0.192799433,14.28056035,304.0,True,0.0,True,1427,True,True
4099,YGL106W,MLC1,YGL106W,MLC1,Chr7,307361,307361,315634,314617,303261,316588,0.380500261,24.16565902,349.0,True,0.0,True,7256,True,True
4296,YGL009C,LEU1,YGL009C,LEU1,Chr7,477857,469647,492815,476814,474708,482980,0.18884372,15.56309214,0.0,True,0.0,True,1043,True,True
4688,YGR204W,ADE3,YGR204W,ADE3,Chr7,905443,903446,907934,907442,890309,923476,0.104187444,4.120107871,496.0,True,0.0,True,1999,True,True
4799,YGR267C,FOL2,YGR267C,FOL2,Chr7,1027579,1020120,1045136,1025887,1022886,1039575,0.230506317,20.90785338,1838.0,False,0.0,True,1692,True,True
4192,YKL182W,FAS1,YKL182W,FAS1,Chr7,399000,395909,413465,397449,396575,400387,0.140521166,29.96387178,inf,False,,False,1551,True,True
4192,YNR016C,ACC1,YNR016C,ACC1,Chr7,399000,395909,413465,397449,396575,400387,0.134419895,25.4333565,inf,False,,False,1551,True,True
4192,YPL231W,FAS2,YPL231W,FAS2,Chr7,399000,395909,413465,397448,395359,399494,0.164862265,20.62140789,inf,False,,False,1552,True,True
4162,YPL028W,ERG10,YPL028W,ERG10,Chr7,367665,355322,379511,372033,357041,397448,0.325550312,7.821260416,inf,False,,False,4368,True,True
4158,YPL028W,ERG10,YPL028W,ERG10,Chr7,365007,355322,376215,372033,357041,397448,0.260004798,7.821260416,inf,False,,False,7026,True,True
3984,YPL004C,LSP1,YPL004C,LSP1,Chr7,140416,128719,142935,130869,125810,146946,0.076293319,20.64862127,inf,False,,False,9547,True,True
4292,YHR208W,BAT1,YHR208W,BAT1,Chr7,471518,458896,479063,478509,460330,527159,0.184086101,6.808968804,inf,False,,False,6991,True,True
4295,YKL120W,OAC1,YKL120W,OAC1,Chr7,477678,469647,492815,483277,446205,527159,0.14036956,6.008941967,inf,False,,False,5599,True,True
5323,YDR231C,COX20,YDR231C,COX20,Chr8,459723,449957,461438,459310,459310,460606,0.409613215,114.4592982,inf,False,,False,413,True,True
4860,YHL034C,SBP1,YHL034C,SBP1,Chr8,33975,25786,45571,37489,18917,48214,0.14138596,6.720997895,0.0,True,0.0,True,3514,True,True
4974,YHR007C,ERG11; CYP51,YHR007C,ERG11,Chr8,122014,119178,124640,122370,118187,122370,0.224675176,84.01774426,336.0,True,0.0,True,356,True,True
5049,YHR042W,NCP1,YHR042W,NCP1,Chr8,190366,190366,190872,190366,190366,191248,0.524334922,45.37045523,170.0,True,0.0,True,0,True,True
5172,YHR108W,GGA2,YHR108W,GGA2,Chr8,329765,327592,334860,329765,328271,330276,0.260219709,89.86522722,0.0,True,0.0,True,0,True,True
5209,YHR128W,FUR1,YHR128W,FUR1,Chr8,361900,353097,368023,365358,361272,365358,0.305082573,55.96041647,218.0,True,0.0,True,3458,True,True
5258,YHR146W,CRP1,YHR146W,CRP1,Chr8,389976,378565,401605,388664,384997,392676,0.286158937,50.77579032,327.0,True,0.0,True,1312,True,True
5323,YHR183W,GND1,YHR183W,GND1,Chr8,459723,449957,461438,456475,439062,468936,0.23495336,5.605704907,11237.0,False,1023.0,False,3248,True,True
5350,YHR190W,ERG9,YHR190W,ERG9,Chr8,484694,484694,485972,484694,482896,485700,0.305658657,76.51090379,151.0,True,0.0,True,0,True,True
5318,YLR354C,TAL1,YLR354C,TAL1,Chr8,455785,445658,461438,456475,13065,477804,0.145635037,3.243343525,inf,False,,False,690,True,True
5322,YMR315W,YMR315W; YM9924.07,YMR315W,YMR315W,Chr8,458435,448047,461438,455745,419744,473884,0.214497076,3.873859328,inf,False,,False,2690,True,True
5029,YOR230W,WTM1,YOR230W,WTM1,Chr8,167286,154940,170419,160596,70548,187320,0.120352428,3.372542096,inf,False,,False,6690,True,True
5324,YHR163W,SOL3,YHR163W,SOL3,Chr8,460316,449957,461438,459310,459310,485700,0.520974734,9.404417924,35841.0,False,34636.0,False,1006,True,True
5610,YAL039C,CYC3,YAL039C,CYC3,Chr9,138636,125289,144955,127636,100355,161738,0.18684099,4.925473789,inf,False,,False,11000,True,True
5610,YBL045C,COR1; QCR1,YBL045C,COR1,Chr9,138636,125289,144955,130294,99686,148906,0.306426172,4.982443291,inf,False,,False,8342,True,True
5610,YBR039W,ATP3,YBR039W,ATP3,Chr9,138636,125289,144955,130294,100355,148906,0.3017152,4.132396012,inf,False,,False,8342,True,True
5609,YBR072W,HSP26,YBR072W,HSP26,Chr9,138029,125289,144955,133869,131563,141022,0.357657545,29.34879148,inf,False,,False,4160,True,True
5598,YBR078W,ECM33,YBR078W,ECM33,Chr9,136172,114834,144955,133869,102495,143092,0.181033661,10.41129133,inf,False,,False,2303,True,True
5611,YBR085W,AAC3,YBR085W,AAC3,Chr9,138792,122617,144955,144699,116694,161738,0.20541331,6.88498594,inf,False,,False,5907,True,True
5608,YBR269C,SDH8; FMP21,YBR269C,SDH8,Chr9,137267,122617,144955,130461,100355,143092,0.211614729,7.666934678,inf,False,,False,6806,True,True
5615,YDL181W,INH1,YDL181W,INH1,Chr9,142542,131829,155581,141022,100355,150327,0.288459997,3.985158167,inf,False,,False,1520,True,True
5613,YDL078C,MDH3,YDL078C,MDH3,Chr9,139266,125289,144955,130771,100355,150327,0.15834338,4.880342894,inf,False,,False,8495,True,True
5609,YDR055W,PST1; HPF2,YDR055W,PST1,Chr9,138029,125289,144955,133869,74808,148906,0.159850512,4.712709568,inf,False,,False,4160,True,True
5610,YDR148C,KGD2,YDR148C,KGD2,Chr9,138636,125289,144955,138636,104822,143092,0.236808466,6.814181162,inf,False,,False,0,True,True
5610,YDR272W,GLO2,YDR272W,GLO2,Chr9,138636,125289,144955,141022,126162,153463,0.124977461,4.87717062,inf,False,,False,2386,True,True
5611,YEL024W,RIP1,YEL024W,RIP1,Chr9,138792,122617,144955,144699,57096,180798,0.255413703,3.210072857,inf,False,,False,5907,True,True
5573,YER062C,GPP2; HOR2,YER062C,GPP2,Chr9,114834,103774,136619,133869,102495,143092,0.174775624,17.85323513,inf,False,,False,19035,True,True
5602,YFL018C,LPD1; DHLP1,YFL018C,LPD1,Chr9,136423,131829,139442,138636,100355,158904,0.160047549,3.57150411,inf,False,,False,2213,True,True
5611,YGL187C,COX4,YGL187C,COX4,Chr9,138792,122617,144955,141013,53815,160170,0.26070008,3.676600851,inf,False,,False,2221,True,True
5612,YGR282C,BGL2; SCW9,YGR282C,BGL2,Chr9,139216,125289,144955,133869,104822,141013,0.121147053,11.87613015,inf,False,,False,5347,True,True
5611,YHR051W,COX6,YHR051W,COX6,Chr9,138792,122617,144955,130294,52905,158904,0.246513256,4.464493842,inf,False,,False,8498,True,True
5538,YIL145C,PAN6,YIL145C,PAN6,Chr9,76394,69704,86720,75847,62438,81401,0.278877305,26.70055998,0.0,True,0.0,True,547,True,True
5581,YIL125W,KGD1; OGD1,YIL125W,KGD1,Chr9,125289,103774,139442,125455,92947,132543,0.163573684,10.38220223,0.0,True,0.0,True,166,True,True
5657,YIL094C,LYS12,YIL094C,LYS12,Chr9,187970,180087,193013,183373,172231,215257,0.268990143,10.690557,341.0,True,0.0,True,4597,True,True
5812,YIL033C,BCY1,YIL033C,BCY1,Chr9,292353,286125,300482,292353,292353,296453,0.407845453,72.77497223,685.0,True,0.0,True,0,True,True
5955,YIR034C,LYS1,YIR034C,LYS1,Chr9,419470,409700,423054,420215,418524,424605,0.351948835,16.60166282,142.0,True,0.0,True,745,True,True
5580,YJR034W,PET191,YJR034W,PET191,Chr9,122617,103774,138792,126162,83721,161738,0.151403751,3.099263844,inf,False,,False,3545,True,True
5610,YKL148C,SDH1; SDHA,YKL148C,SDH1,Chr9,138636,125289,144955,141013,100355,148906,0.253725991,4.962615428,inf,False,,False,2377,True,True
5611,YKL141W,SDH3; CYB3,YKL141W,SDH3,Chr9,138792,122617,144955,141013,86720,149978,0.287591455,6.026853791,inf,False,,False,2221,True,True
5615,YKL029C,MAE1,YKL029C,MAE1,Chr9,142542,131829,155581,141022,122940,158904,0.157030631,11.92424961,inf,False,,False,1520,True,True
5935,YKR039W,GAP1,YKR039W,GAP1,Chr9,400574,399657,406743,400141,129784,406124,0.188949449,4.033236004,inf,False,,False,433,True,True
5610,YLL041C,SDH2,YLL041C,SDH2,Chr9,138636,125289,144955,128099,100355,148730,0.218385049,6.300974617,inf,False,,False,10537,True,True
5575,YLR300W,EXG1,YLR300W,EXG1,Chr9,115779,103774,136619,132615,104822,143092,0.150025507,8.466087182,inf,False,,False,16836,True,True
5604,YLR390W,ECM19,YLR390W,ECM19,Chr9,136579,114834,144955,138636,90515,148906,0.160957126,4.301322007,inf,False,,False,2057,True,True
5610,YLR395C,COX8,YLR395C,COX8,Chr9,138636,125289,144955,130461,100355,148906,0.151117415,6.836385654,inf,False,,False,8175,True,True
5609,YML120C,NDI1,YML120C,NDI1,Chr9,138029,125289,144955,141013,100355,160170,0.238898721,4.622339731,inf,False,,False,2984,True,True
5613,YML081C-A,ATP18,YML081C-A,ATP18,Chr9,139266,125289,144955,141022,100355,160170,0.236962123,4.170688493,inf,False,,False,1756,True,True
5609,YMR056C,AAC1,YMR056C,AAC1,Chr9,138029,125289,144955,133869,100355,149978,0.145349479,4.068831003,inf,False,,False,4160,True,True
5608,YNL007C,SIS1,YNL007C,SIS1,Chr9,137267,122617,144955,134641,126162,143092,0.156455232,8.127311069,inf,False,,False,2626,True,True
5610,YNR001C,CIT1,YNR001C,CIT1,Chr9,138636,125289,144955,141013,126009,148906,0.261019019,7.966014254,inf,False,,False,2377,True,True
5611,YNR043W,MVD1,YNR043W,MVD1,Chr9,138792,122617,144955,130461,100355,148730,0.280012056,7.924306738,inf,False,,False,8331,True,True
5610,YOL077W-A,ATP19,YOL077W-A,ATP19,Chr9,138636,125289,144955,141022,98767,160170,0.24403089,3.218627884,inf,False,,False,2386,True,True
5584,YOL030W,GAS5,YOL030W,GAS5,Chr9,126580,103774,139442,105901,101027,141013,0.172049772,11.04136978,inf,False,,False,20679,True,True
5572,YOR095C,RKI1,YOR095C,RKI1,Chr9,112614,103774,132718,128099,98767,161738,0.128143096,4.025849123,inf,False,,False,15485,True,True
5610,YOR187W,TUF1; TUFM,YOR187W,TUF1,Chr9,138636,125289,144955,128099,100355,160170,0.293602728,4.539247397,inf,False,,False,10537,True,True
5611,YPL004C,LSP1,YPL004C,LSP1,Chr9,138792,122617,144955,128099,98767,161738,0.136621151,3.634703666,inf,False,,False,10693,True,True
5614,YPR020W,ATP20,YPR020W,ATP20,Chr9,139442,125289,144955,134641,116694,158904,0.260448789,5.717977997,inf,False,,False,4801,True,True
5609,YPR127W,YPR127W,YPR127W,YPR127W,Chr9,138029,125289,144955,132304,130294,143092,0.224274064,10.72181241,inf,False,,False,5725,True,True
5610,YPR191W,QCR2,YPR191W,QCR2,Chr9,138636,125289,144955,130294,86720,158904,0.316263618,3.41591085,inf,False,,False,8342,True,True
6482,YBR286W,APE3,YBR286W,APE3,Chr10,662679,653026,667117,663083,658664,663968,0.172411017,6.705634646,inf,False,,False,404,True,True
6483,YIR038C,GTT1,YIR038C,GTT1,Chr10,662711,649610,667117,658912,638730,663590,0.187206652,8.760590429,inf,False,,False,3799,True,True
6267,YJL001W,PRE3,YJL001W,PRE3,Chr10,416524,413692,455828,445175,414542,459216,0.371603453,8.145198773,18633.0,False,0.0,True,28651,True,True
6315,YJR010W,MET3,YJR010W,MET3,Chr10,456040,421100,461243,456070,446085,459216,0.122886431,8.255807944,192.0,True,0.0,True,30,True,True
6426,YJR096W,YJR096W; J1926,YJR096W,YJR096W,Chr10,611690,599712,627474,604788,593414,620086,0.461836617,5.630275803,0.0,True,0.0,True,6902,True,True
6073,YLR354C,TAL1,YLR354C,TAL1,Chr10,165521,157487,176664,175030,88209,188645,0.082879237,3.740206568,inf,False,,False,9509,True,True
6482,YML128C,MSC1,YML128C,MSC1,Chr10,662679,653026,667117,658912,638730,686946,0.196983584,5.453180987,inf,False,,False,3767,True,True
7015,YCL026C-B,HBN1,YCL026C-B,HBN1,Chr11,219380,209475,229405,228480,153313,268601,0.09648147,6.364581314,inf,False,,False,9100,True,True
6799,YKL210W,UBA1,YKL210W,UBA1,Chr11,40753,39138,47424,39899,39184,40998,0.224464442,128.0287828,0.0,True,0.0,True,854,True,True
6948,YKL157W,APE2; LAP1,YKL157W,APE2,Chr11,158139,137613,171647,162634,135796,177551,0.156043606,15.39255654,0.0,True,0.0,True,4495,True,True
7021,YKL117W,SBA1,YKL117W,SBA1,Chr11,223467,213574,230092,221683,217457,226260,0.142306395,29.35509337,2849.0,False,0.0,True,1784,True,True
7131,YKL040C,NFU1; NUB1,YKL040C,NFU1,Chr11,362163,352832,367086,356199,356199,362247,0.363853086,52.04212382,692.0,True,0.0,True,5964,True,True
7157,YKL029C,MAE1,YKL029C,MAE1,Chr11,384867,379841,385019,383052,376508,400068,0.359086434,9.257009883,499.0,True,0.0,True,1815,True,True
7269,YKR039W,GAP1,YKR039W,GAP1,Chr11,515435,508824,522294,515018,513438,520399,0.529462897,40.35473739,0.0,True,0.0,True,417,True,True
6877,YOR317W,FAA1,YOR317W,FAA1,Chr11,104549,96863,124784,102908,72614,133227,0.127172666,5.289699502,inf,False,,False,1641,True,True
7905,YEL047C,FRD1,YEL047C,FRD1,Chr12,510268,504262,511884,510268,510208,510855,0.341478316,103.2573197,inf,False,,False,0,True,True
7904,YEL047C,FRD1,YEL047C,FRD1,Chr12,510241,506655,510268,510268,510208,510855,0.225241647,103.2573197,inf,False,,False,27,True,True
7905,YGR180C,RNR4; CRT3,YGR180C,RNR4,Chr12,510268,504262,511884,509612,509324,510507,0.414450397,136.2904775,inf,False,,False,656,True,True
7903,YGR180C,RNR4; CRT3,YGR180C,RNR4,Chr12,509982,501100,512394,509612,509324,510507,0.231253858,136.2904775,inf,False,,False,370,True,True
7902,YJL026W,RNR2; CRT6,YJL026W,RNR2,Chr12,509786,501100,512394,510208,509438,510855,0.305671457,112.3313929,inf,False,,False,422,True,True
7905,YJL026W,RNR2; CRT6,YJL026W,RNR2,Chr12,510268,504262,511884,510208,509438,510855,0.301002663,112.3313929,inf,False,,False,60,True,True
7606,YLR025W,SNF7,YLR025W,SNF7,Chr12,194466,182813,198501,194277,184955,196147,0.157720985,49.91468213,0.0,True,0.0,True,189,True,True
7785,YLR113W,HOG1; SSK3,YLR113W,HOG1,Chr12,379915,369495,384824,378260,325271,387257,0.218855928,7.306965153,6987.0,False,0.0,True,1655,True,True
7915,YLR179C,YLR179C; L9470.20,YLR179C,YLR179C,Chr12,514965,514437,515351,514634,514437,515081,0.311847464,261.2989222,250.0,True,0.0,True,331,True,True
8046,YLR257W,YLR257W,YLR257W,YLR257W,Chr12,659849,659849,670660,668550,659769,673886,0.205882828,24.19603356,56.0,True,0.0,True,8701,True,True
8072,YLR276C,DBP9,YLR276C,DBP9,Chr12,694457,681175,703407,693579,681563,705128,0.154916873,19.85518883,591.0,True,0.0,True,878,True,True
8197,YLR364W,GRX8,YLR364W,GRX8,Chr12,853997,840314,860877,853997,851969,856379,0.226110943,40.89931082,64.0,True,0.0,True,0,True,True
7560,YGL037C,PNC1,YGL037C,PNC1,Chr12,134496,126688,153748,136527,134351,159671,0.119004174,5.614109644,inf,False,,False,2031,True,True
7612,YLR027C,AAT2; ASP5,YLR027C,AAT2,Chr12,196991,186678,207362,197186,186045,204055,0.206180741,16.80852878,0.0,True,0.0,True,195,True,True
7917,YLR180W,SAM1; ETH10,YLR180W,SAM1,Chr12,515351,514437,518231,514437,513765,515570,0.281727673,37.97177449,0.0,True,0.0,True,914,True,True
7932,YLR196W,PWP1,YLR196W,PWP1,Chr12,545673,537571,553802,546061,545567,553070,0.23826575,8.244691464,0.0,True,0.0,True,388,True,True
7575,YLR359W,ADE13,YLR359W,ADE13,Chr12,150435,134496,168087,141900,134351,159671,0.123769642,6.278277853,693846.0,False,683610.0,False,8535,True,True
7540,YML100W,TSL1,YML100W,TSL1,Chr12,130128,126688,144481,136527,129764,151308,0.427132786,6.672138713,inf,False,,False,6399,True,True
7547,YML100W,TSL1,YML100W,TSL1,Chr12,130739,126688,144481,136527,129764,151308,0.316722807,6.672138713,inf,False,,False,5788,True,True
7647,YMR246W,FAA4,YMR246W,FAA4,Chr12,235026,230601,243991,241859,234144,250711,0.130168365,4.034046551,inf,False,,False,6833,True,True
7540,YOR374W,ALD4,YOR374W,ALD4,Chr12,130128,126688,144481,136527,129764,159671,0.113404711,7.403999963,inf,False,,False,6399,True,True
7565,YPL004C,LSP1,YPL004C,LSP1,Chr12,136315,126688,158615,136527,134351,151308,0.09357102,11.16761682,inf,False,,False,212,True,True
8664,YBL099W,ATP1,YBL099W,ATP1,Chr13,329611,329611,333904,333449,328866,341722,0.188393073,9.207629878,inf,False,,False,3838,True,True
8667,YBL045C,COR1; QCR1,YBL045C,COR1,Chr13,331334,329611,333904,333449,329249,341722,0.175888494,20.12702004,inf,False,,False,2115,True,True
8670,YBR011C,IPP1,YBR011C,IPP1,Chr13,333904,329611,338431,333449,327769,336381,0.135876761,9.291993498,inf,False,,False,455,True,True
8664,YBR039W,ATP3,YBR039W,ATP3,Chr13,329611,329611,333904,333449,327769,339643,0.200862613,16.92544505,inf,False,,False,3838,True,True
8667,YBR072W,HSP26,YBR072W,HSP26,Chr13,331334,329611,333904,333449,328866,336381,0.309429434,32.30530981,inf,False,,False,2115,True,True
8670,YBR078W,ECM33,YBR078W,ECM33,Chr13,333904,329611,338431,333449,329249,336381,0.169124712,13.72011932,inf,False,,False,455,True,True
8668,YCL057C-A,MIC10,YCL057C-A,MIC10,Chr13,331755,329611,333904,329923,329249,349796,0.156920805,10.09742115,inf,False,,False,1832,True,True
8667,YDL181W,INH1,YDL181W,INH1,Chr13,331334,329611,333904,333449,327769,339643,0.178193268,11.88448675,inf,False,,False,2115,True,True
9187,YDR019C,GCV1,YDR019C,GCV1,Chr13,869923,864754,877100,870868,862051,914895,0.112443681,4.028761382,inf,False,,False,945,True,True
8665,YDR148C,KGD2,YDR148C,KGD2,Chr13,329923,329611,333904,333449,327769,336381,0.143773848,16.98274587,inf,False,,False,3526,True,True
8668,YDR322C-A,TIM11; ATP21,YDR322C-A,TIM11,Chr13,331755,329611,333904,331334,327769,341722,0.138036163,8.397331613,inf,False,,False,421,True,True
8664,YDR377W,ATP17,YDR377W,ATP17,Chr13,329611,329611,333904,331334,327769,392206,0.113698834,6.969120287,inf,False,,False,1723,True,True
8668,YEL024W,RIP1,YEL024W,RIP1,Chr13,331755,329611,333904,333449,329249,349796,0.159390555,13.81960668,inf,False,,False,1694,True,True
8670,YER081W,SER3,YER081W,SER3,Chr13,333904,329611,338431,334830,327769,349796,0.148833853,6.270925272,inf,False,,False,926,True,True
8474,YGL234W,"ADE5,7",YGL234W,"ADE5,7",Chr13,70380,56990,77330,74632,65795,98070,0.194246731,3.043379351,inf,False,,False,4252,True,True
8667,YGL187C,COX4,YGL187C,COX4,Chr13,331334,329611,333904,333449,327769,341722,0.110174058,16.67816575,inf,False,,False,2115,True,True
8664,YGR208W,SER2,YGR208W,SER2,Chr13,329611,329611,333904,331334,327769,343663,0.121510444,8.797562178,inf,False,,False,1723,True,True
8665,YHR008C,SOD2,YHR008C,SOD2,Chr13,329923,329611,333904,333449,327769,343663,0.146866419,5.881107066,inf,False,,False,3526,True,True
8665,YIL125W,KGD1; OGD1,YIL125W,KGD1,Chr13,329923,329611,333904,333449,327769,336381,0.136911006,8.57471123,inf,False,,False,3526,True,True
8670,YIL070C,MAM33,YIL070C,MAM33,Chr13,333904,329611,338431,329923,327769,406240,0.157500948,11.54236669,inf,False,,False,3981,True,True
8667,YJL079C,PRY1,YJL079C,PRY1,Chr13,331334,329611,333904,333449,329923,336381,0.150666569,48.75925247,inf,False,,False,2115,True,True
8670,YJL052W,TDH1,YJL052W,TDH1,Chr13,333904,329611,338431,333449,328866,336381,0.192404997,32.97531831,inf,False,,False,455,True,True
8474,YJR109C,CPA2,YJR109C,CPA2,Chr13,70380,56990,77330,75046,52926,209233,0.196602818,3.19766467,inf,False,,False,4666,True,True
8664,YJR121W,ATP2,YJR121W,ATP2,Chr13,329611,329611,333904,331334,328866,411113,0.144609691,8.81933358,inf,False,,False,1723,True,True
8665,YKL096W,CWP1,YKL096W,CWP1,Chr13,329923,329611,333904,333449,327769,411113,0.138162696,6.523027421,inf,False,,False,3526,True,True
8667,YKL016C,ATP7,YKL016C,ATP7,Chr13,331334,329611,333904,333449,327769,343663,0.157179763,10.2195706,inf,False,,False,2115,True,True
8665,YLL041C,SDH2,YLL041C,SDH2,Chr13,329923,329611,333904,333449,327769,339643,0.143408977,11.77278698,inf,False,,False,3526,True,True
8667,YLR038C,COX12,YLR038C,COX12,Chr13,331334,329611,333904,333449,73993,394309,0.17410345,5.696180508,inf,False,,False,2115,True,True
8670,YLR259C,HSP60; MIF4,YLR259C,HSP60,Chr13,333904,329611,338431,333449,327769,336381,0.148498031,7.982443943,inf,False,,False,455,True,True
