SNP,PPI,DRUG,eQTL_gene,eQTL_gene_id,pQTL_protein,pQTL_protein_name,Chromosome,piQTL_peak,piQTL_left,piQTL_right,eQTL_peak,eQTL_left,eQTL_right,pQTL_peak,pQTL_left,pQTL_right,piQTL_EFFECTSIZE,piQTL_pvalue,piQTL_FDR,eQTL_LOD,eQTL_gene_dist,eQTL_cis,pQTL_effect,pQTL_gene_dist,pQTL_cis,peak_distance,is_piQTL_peak_in_eQTL,is_eQTL_peak_in_piQTL,is_piQTL_peak_in_pQTL,is_pQTL_peak_in_piQTL,is_eQTL_peak_in_pQTL,is_pQTL_peak_in_eQTL,piQTL_locus_id,piQTL_locus_gene,piQTL_locus_description
1097,ADE17_PGM2,Trifluoperazine,TGL5,YOR081C,YBR135W,CKS1,Chr3,204897,203261,204903,204897,70158,211772,204897,195779,204903,-0.695476542,6.5091007,0.000116297,3.978599024,,False,0.148045621,inf,False,0,True,True,True,True,True,True,YCR042C,TAF2,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation"""
1097,ADE17_PGM2,Trifluoperazine,VAR1,Q0140,YBR135W,CKS1,Chr3,204897,203261,204903,204897,198164,211772,204897,195779,204903,-0.695476542,6.5091007,0.000116297,10.6559539,,False,0.148045621,inf,False,0,True,True,True,True,True,True,YCR042C,TAF2,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation"""
2274,ADE17_HYR1,Metformin,TCB2,YNL087W,YKL016C,ATP7,Chr4,956734,956734,969630,956734,628582,998628,956734,956734,962979,0.481486897,4.487451373,0.00976479,5.820096507,,False,0.124657243,inf,False,0,True,True,True,True,True,True,YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,ADE17_HYR1,Metformin,MOD5,YOR274W,YKL016C,ATP7,Chr4,956734,956734,969630,956734,941063,980835,956734,956734,962979,0.481486897,4.487451373,0.00976479,6.769428725,,False,0.124657243,inf,False,0,True,True,True,True,True,True,YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,ADE17_HYR1,Metformin,YDR338C,YDR338C,YKL016C,ATP7,Chr4,956734,956734,969630,956734,212608,1011970,956734,956734,962979,0.481486897,4.487451373,0.00976479,3.53201924,135208.0,False,0.124657243,inf,False,0,True,True,True,True,True,True,YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,ADE17_HYR1,Metformin,YMR265C,YMR265C,YKL016C,ATP7,Chr4,956734,956734,969630,956734,934187,998628,956734,956734,962979,0.481486897,4.487451373,0.00976479,4.073300557,,False,0.124657243,inf,False,0,True,True,True,True,True,True,YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,ADE17_HYR1,Metformin,YPL245W,YPL245W,YKL016C,ATP7,Chr4,956734,956734,969630,956734,51735,996583,956734,956734,962979,0.481486897,4.487451373,0.00976479,3.56189619,,False,0.124657243,inf,False,0,True,True,True,True,True,True,YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,RET2_EMP47,5-FC,TCB2,YNL087W,YKL016C,ATP7,Chr4,956734,956734,969630,956734,628582,998628,956734,956734,962979,0.421531101,3.945542205,0.029860455,5.820096507,,False,0.124657243,inf,False,0,True,True,True,True,True,True,YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,RET2_EMP47,5-FC,MOD5,YOR274W,YKL016C,ATP7,Chr4,956734,956734,969630,956734,941063,980835,956734,956734,962979,0.421531101,3.945542205,0.029860455,6.769428725,,False,0.124657243,inf,False,0,True,True,True,True,True,True,YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,RET2_EMP47,5-FC,YDR338C,YDR338C,YKL016C,ATP7,Chr4,956734,956734,969630,956734,212608,1011970,956734,956734,962979,0.421531101,3.945542205,0.029860455,3.53201924,135208.0,False,0.124657243,inf,False,0,True,True,True,True,True,True,YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,RET2_EMP47,5-FC,YMR265C,YMR265C,YKL016C,ATP7,Chr4,956734,956734,969630,956734,934187,998628,956734,956734,962979,0.421531101,3.945542205,0.029860455,4.073300557,,False,0.124657243,inf,False,0,True,True,True,True,True,True,YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,RET2_EMP47,5-FC,YPL245W,YPL245W,YKL016C,ATP7,Chr4,956734,956734,969630,956734,51735,996583,956734,956734,962979,0.421531101,3.945542205,0.029860455,3.56189619,,False,0.124657243,inf,False,0,True,True,True,True,True,True,YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,RET2_EMP47,noDrug,TCB2,YNL087W,YKL016C,ATP7,Chr4,956734,956734,969630,956734,628582,998628,956734,956734,962979,0.472752006,3.773612404,0.041835602,5.820096507,,False,0.124657243,inf,False,0,True,True,True,True,True,True,YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,RET2_EMP47,noDrug,MOD5,YOR274W,YKL016C,ATP7,Chr4,956734,956734,969630,956734,941063,980835,956734,956734,962979,0.472752006,3.773612404,0.041835602,6.769428725,,False,0.124657243,inf,False,0,True,True,True,True,True,True,YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,RET2_EMP47,noDrug,YDR338C,YDR338C,YKL016C,ATP7,Chr4,956734,956734,969630,956734,212608,1011970,956734,956734,962979,0.472752006,3.773612404,0.041835602,3.53201924,135208.0,False,0.124657243,inf,False,0,True,True,True,True,True,True,YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,RET2_EMP47,noDrug,YMR265C,YMR265C,YKL016C,ATP7,Chr4,956734,956734,969630,956734,934187,998628,956734,956734,962979,0.472752006,3.773612404,0.041835602,4.073300557,,False,0.124657243,inf,False,0,True,True,True,True,True,True,YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,RET2_EMP47,noDrug,YPL245W,YPL245W,YKL016C,ATP7,Chr4,956734,956734,969630,956734,51735,996583,956734,956734,962979,0.472752006,3.773612404,0.041835602,3.56189619,,False,0.124657243,inf,False,0,True,True,True,True,True,True,YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,SSH1_ERG11,Metformin,TCB2,YNL087W,YKL016C,ATP7,Chr4,956734,956734,969630,956734,628582,998628,956734,956734,962979,0.355612791,3.789535157,0.040599429,5.820096507,,False,0.124657243,inf,False,0,True,True,True,True,True,True,YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,SSH1_ERG11,Metformin,MOD5,YOR274W,YKL016C,ATP7,Chr4,956734,956734,969630,956734,941063,980835,956734,956734,962979,0.355612791,3.789535157,0.040599429,6.769428725,,False,0.124657243,inf,False,0,True,True,True,True,True,True,YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,SSH1_ERG11,Metformin,YDR338C,YDR338C,YKL016C,ATP7,Chr4,956734,956734,969630,956734,212608,1011970,956734,956734,962979,0.355612791,3.789535157,0.040599429,3.53201924,135208.0,False,0.124657243,inf,False,0,True,True,True,True,True,True,YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,SSH1_ERG11,Metformin,YMR265C,YMR265C,YKL016C,ATP7,Chr4,956734,956734,969630,956734,934187,998628,956734,956734,962979,0.355612791,3.789535157,0.040599429,4.073300557,,False,0.124657243,inf,False,0,True,True,True,True,True,True,YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
2274,SSH1_ERG11,Metformin,YPL245W,YPL245W,YKL016C,ATP7,Chr4,956734,956734,969630,956734,51735,996583,956734,956734,962979,0.355612791,3.789535157,0.040599429,3.56189619,,False,0.124657243,inf,False,0,True,True,True,True,True,True,YDR247W,VHS1,"""Cytoplasmic serine/threonine protein kinase; identified as a high-copy suppressor of the synthetic lethality of a sis2 sit4 double mutant ; suggesting a role in G1/S phase progression; VHS1 has a paralog ; SKS1 ; that arose from the whole genome duplication"""
8522,ALO1_UIP4,Metformin,RCF2,YNR018W,YNL096C,RPS7B,Chr13,99275,99275,99275,99275,9746,170785,99275,99275,99275,-0.802114416,4.070973887,0.023275322,3.731350984,,False,0.198411236,inf,False,0,True,True,True,True,True,True,YML085C,TUB1,"""Alpha-tubulin; associates with beta-tubulin (Tub2p) to form tubulin dimer ; which polymerizes to form microtubules; relative distribution to nuclear foci increases upon DNA replication stress; TUB1 has a paralog ; TUB3 ; that arose from the whole genome duplication"""
8522,ERG11_PIS1,5-FC,RCF2,YNR018W,YNL096C,RPS7B,Chr13,99275,99275,99275,99275,9746,170785,99275,99275,99275,-0.803774446,3.735610889,0.045000116,3.731350984,,False,0.198411236,inf,False,0,True,True,True,True,True,True,YML085C,TUB1,"""Alpha-tubulin; associates with beta-tubulin (Tub2p) to form tubulin dimer ; which polymerizes to form microtubules; relative distribution to nuclear foci increases upon DNA replication stress; TUB1 has a paralog ; TUB3 ; that arose from the whole genome duplication"""
8522,ERG11_PIS1,Metformin,RCF2,YNR018W,YNL096C,RPS7B,Chr13,99275,99275,99275,99275,9746,170785,99275,99275,99275,-0.457903491,3.946373265,0.029817691,3.731350984,,False,0.198411236,inf,False,0,True,True,True,True,True,True,YML085C,TUB1,"""Alpha-tubulin; associates with beta-tubulin (Tub2p) to form tubulin dimer ; which polymerizes to form microtubules; relative distribution to nuclear foci increases upon DNA replication stress; TUB1 has a paralog ; TUB3 ; that arose from the whole genome duplication"""
8522,ERG11_PIS1,Trifluoperazine,RCF2,YNR018W,YNL096C,RPS7B,Chr13,99275,99275,99275,99275,9746,170785,99275,99275,99275,-0.804698648,3.970167178,0.028434556,3.731350984,,False,0.198411236,inf,False,0,True,True,True,True,True,True,YML085C,TUB1,"""Alpha-tubulin; associates with beta-tubulin (Tub2p) to form tubulin dimer ; which polymerizes to form microtubules; relative distribution to nuclear foci increases upon DNA replication stress; TUB1 has a paralog ; TUB3 ; that arose from the whole genome duplication"""
8522,ERV25_EMP47,Metformin,RCF2,YNR018W,YNL096C,RPS7B,Chr13,99275,99275,99275,99275,9746,170785,99275,99275,99275,-0.770785449,4.092377212,0.022296694,3.731350984,,False,0.198411236,inf,False,0,True,True,True,True,True,True,YML085C,TUB1,"""Alpha-tubulin; associates with beta-tubulin (Tub2p) to form tubulin dimer ; which polymerizes to form microtubules; relative distribution to nuclear foci increases upon DNA replication stress; TUB1 has a paralog ; TUB3 ; that arose from the whole genome duplication"""
8522,MID2_TPO2,Metformin,RCF2,YNR018W,YNL096C,RPS7B,Chr13,99275,99275,99275,99275,9746,170785,99275,99275,99275,-0.63766761,3.688483696,0.049197584,3.731350984,,False,0.198411236,inf,False,0,True,True,True,True,True,True,YML085C,TUB1,"""Alpha-tubulin; associates with beta-tubulin (Tub2p) to form tubulin dimer ; which polymerizes to form microtubules; relative distribution to nuclear foci increases upon DNA replication stress; TUB1 has a paralog ; TUB3 ; that arose from the whole genome duplication"""
8522,SNA4_GTR2,Trifluoperazine,RCF2,YNR018W,YNL096C,RPS7B,Chr13,99275,99275,99275,99275,9746,170785,99275,99275,99275,-0.820595974,3.90031615,0.032653888,3.731350984,,False,0.198411236,inf,False,0,True,True,True,True,True,True,YML085C,TUB1,"""Alpha-tubulin; associates with beta-tubulin (Tub2p) to form tubulin dimer ; which polymerizes to form microtubules; relative distribution to nuclear foci increases upon DNA replication stress; TUB1 has a paralog ; TUB3 ; that arose from the whole genome duplication"""
8804,SRO9_GIS2,Metformin,SPC24,YMR117C,YOR136W,IDH2,Chr13,500701,491360,503363,500701,500701,507637,500701,492500,509524,0.243328601,3.94348421,0.02997654,32.43399804,0.0,True,0.140673101,inf,False,0,True,True,True,True,True,True,CUT300_NFR/NDR,,
8804,SRO9_GIS2,Metformin,SPC24,YMR117C,YKR043C,SHB17,Chr13,500701,491360,503363,500701,500701,507637,500701,492500,509524,0.243328601,3.94348421,0.02997654,32.43399804,0.0,True,0.147041487,inf,False,0,True,True,True,True,True,True,CUT300_NFR/NDR,,
8815,ERG11_TPO4,Metformin,NCW1,YMR122W-A,YPR145W,ASN1,Chr13,509480,503653,535737,509480,508389,526917,509480,500062,513217,0.328438067,4.584870058,0.007926782,9.675113379,0.0,True,0.171944765,inf,False,0,True,True,True,True,True,True,YMR120C_NFR/NDR,ADE17,stable
8815,ERG11_TPO4,Metformin,NCW1,YMR122W-A,YDL182W,LYS20,Chr13,509480,503653,535737,509480,508389,526917,509480,500062,513217,0.328438067,4.584870058,0.007926782,9.675113379,0.0,True,0.107588864,inf,False,0,True,True,True,True,True,True,YMR120C_NFR/NDR,ADE17,stable
8815,ERG11_TPO4,Metformin,NCW1,YMR122W-A,YKR080W,MTD1,Chr13,509480,503653,535737,509480,508389,526917,509480,500062,513217,0.328438067,4.584870058,0.007926782,9.675113379,0.0,True,0.246416747,inf,False,0,True,True,True,True,True,True,YMR120C_NFR/NDR,ADE17,stable
8815,ERG11_TPO4,Metformin,NCW1,YMR122W-A,YAR015W,ADE1,Chr13,509480,503653,535737,509480,508389,526917,509480,500062,513217,0.328438067,4.584870058,0.007926782,9.675113379,0.0,True,0.215058738,inf,False,0,True,True,True,True,True,True,YMR120C_NFR/NDR,ADE17,stable
8815,ERG11_TPO4,Metformin,NCW1,YMR122W-A,YLR028C,ADE16,Chr13,509480,503653,535737,509480,508389,526917,509480,500062,513217,0.328438067,4.584870058,0.007926782,9.675113379,0.0,True,0.306868253,inf,False,0,True,True,True,True,True,True,YMR120C_NFR/NDR,ADE17,stable
8815,ERG11_TPO4,Metformin,NCW1,YMR122W-A,YMR120C,ADE17,Chr13,509480,503653,535737,509480,508389,526917,509480,500062,513217,0.328438067,4.584870058,0.007926782,9.675113379,0.0,True,0.648153314,201.0,True,0,True,True,True,True,True,True,YMR120C_NFR/NDR,ADE17,stable
8815,ERG11_TPO4,Metformin,NCW1,YMR122W-A,YDL185W,VMA1,Chr13,509480,503653,535737,509480,508389,526917,509480,500062,513217,0.328438067,4.584870058,0.007926782,9.675113379,0.0,True,0.117295766,inf,False,0,True,True,True,True,True,True,YMR120C_NFR/NDR,ADE17,stable
9574,ERG11_HYR1,Fluconazole,ATS1,YAL020C,YLR303W,MET17,Chr14,441268,441268,441268,441268,373628,470301,441268,441268,441268,1.168105637,3.871580908,0.034558644,7.075096886,,False,0.353979061,inf,False,0,True,True,True,True,True,True,SUT333,,ncRNA_UNB
9574,ERG11_HYR1,Fluconazole,ATS1,YAL020C,YDR272W,GLO2,Chr14,441268,441268,441268,441268,373628,470301,441268,441268,441268,1.168105637,3.871580908,0.034558644,7.075096886,,False,0.295995152,inf,False,0,True,True,True,True,True,True,SUT333,,ncRNA_UNB
9574,ERG11_HYR1,Fluconazole,ALG7,YBR243C,YLR303W,MET17,Chr14,441268,441268,441268,441268,431063,442736,441268,441268,441268,1.168105637,3.871580908,0.034558644,36.10901197,,False,0.353979061,inf,False,0,True,True,True,True,True,True,SUT333,,ncRNA_UNB
9574,ERG11_HYR1,Fluconazole,ALG7,YBR243C,YDR272W,GLO2,Chr14,441268,441268,441268,441268,431063,442736,441268,441268,441268,1.168105637,3.871580908,0.034558644,36.10901197,,False,0.295995152,inf,False,0,True,True,True,True,True,True,SUT333,,ncRNA_UNB
9574,ERG11_HYR1,Fluconazole,SHG1,YBR258C,YLR303W,MET17,Chr14,441268,441268,441268,441268,441268,465187,441268,441268,441268,1.168105637,3.871580908,0.034558644,6.761267088,,False,0.353979061,inf,False,0,True,True,True,True,True,True,SUT333,,ncRNA_UNB
9574,ERG11_HYR1,Fluconazole,SHG1,YBR258C,YDR272W,GLO2,Chr14,441268,441268,441268,441268,441268,465187,441268,441268,441268,1.168105637,3.871580908,0.034558644,6.761267088,,False,0.295995152,inf,False,0,True,True,True,True,True,True,SUT333,,ncRNA_UNB
9574,ERG11_HYR1,Fluconazole,PBP4,YDL053C,YLR303W,MET17,Chr14,441268,441268,441268,441268,441268,470301,441268,441268,441268,1.168105637,3.871580908,0.034558644,8.105326167,,False,0.353979061,inf,False,0,True,True,True,True,True,True,SUT333,,ncRNA_UNB
9574,ERG11_HYR1,Fluconazole,PBP4,YDL053C,YDR272W,GLO2,Chr14,441268,441268,441268,441268,441268,470301,441268,441268,441268,1.168105637,3.871580908,0.034558644,8.105326167,,False,0.295995152,inf,False,0,True,True,True,True,True,True,SUT333,,ncRNA_UNB
9574,ERG11_HYR1,Fluconazole,HPT1,YDR399W,YLR303W,MET17,Chr14,441268,441268,441268,441268,441268,468488,441268,441268,441268,1.168105637,3.871580908,0.034558644,60.41760058,,False,0.353979061,inf,False,0,True,True,True,True,True,True,SUT333,,ncRNA_UNB
9574,ERG11_HYR1,Fluconazole,HPT1,YDR399W,YDR272W,GLO2,Chr14,441268,441268,441268,441268,441268,468488,441268,441268,441268,1.168105637,3.871580908,0.034558644,60.41760058,,False,0.295995152,inf,False,0,True,True,True,True,True,True,SUT333,,ncRNA_UNB
9574,ERG11_HYR1,Fluconazole,FMP52,YER004W,YLR303W,MET17,Chr14,441268,441268,441268,441268,89169,487935,441268,441268,441268,1.168105637,3.871580908,0.034558644,3.723051695,,False,0.353979061,inf,False,0,True,True,True,True,True,True,SUT333,,ncRNA_UNB
9574,ERG11_HYR1,Fluconazole,FMP52,YER004W,YDR272W,GLO2,Chr14,441268,441268,441268,441268,89169,487935,441268,441268,441268,1.168105637,3.871580908,0.034558644,3.723051695,,False,0.295995152,inf,False,0,True,True,True,True,True,True,SUT333,,ncRNA_UNB
9574,ERG11_HYR1,Fluconazole,TUB2,YFL037W,YLR303W,MET17,Chr14,441268,441268,441268,441268,431063,465005,441268,441268,441268,1.168105637,3.871580908,0.034558644,11.84596984,,False,0.353979061,inf,False,0,True,True,True,True,True,True,SUT333,,ncRNA_UNB
9574,ERG11_HYR1,Fluconazole,TUB2,YFL037W,YDR272W,GLO2,Chr14,441268,441268,441268,441268,431063,465005,441268,441268,441268,1.168105637,3.871580908,0.034558644,11.84596984,,False,0.295995152,inf,False,0,True,True,True,True,True,True,SUT333,,ncRNA_UNB
9574,ERG11_HYR1,Fluconazole,GYP8,YFL027C,YLR303W,MET17,Chr14,441268,441268,441268,441268,406068,534949,441268,441268,441268,1.168105637,3.871580908,0.034558644,2.991341518,,False,0.353979061,inf,False,0,True,True,True,True,True,True,SUT333,,ncRNA_UNB
9574,ERG11_HYR1,Fluconazole,GYP8,YFL027C,YDR272W,GLO2,Chr14,441268,441268,441268,441268,406068,534949,441268,441268,441268,1.168105637,3.871580908,0.034558644,2.991341518,,False,0.295995152,inf,False,0,True,True,True,True,True,True,SUT333,,ncRNA_UNB
9574,ERG11_HYR1,Fluconazole,PMA1,YGL008C,YLR303W,MET17,Chr14,441268,441268,441268,441268,405756,771372,441268,441268,441268,1.168105637,3.871580908,0.034558644,2.834977008,,False,0.353979061,inf,False,0,True,True,True,True,True,True,SUT333,,ncRNA_UNB
9574,ERG11_HYR1,Fluconazole,PMA1,YGL008C,YDR272W,GLO2,Chr14,441268,441268,441268,441268,405756,771372,441268,441268,441268,1.168105637,3.871580908,0.034558644,2.834977008,,False,0.295995152,inf,False,0,True,True,True,True,True,True,SUT333,,ncRNA_UNB
9574,ERG11_HYR1,Fluconazole,KSS1,YGR040W,YLR303W,MET17,Chr14,441268,441268,441268,441268,441268,465005,441268,441268,441268,1.168105637,3.871580908,0.034558644,30.87287412,,False,0.353979061,inf,False,0,True,True,True,True,True,True,SUT333,,ncRNA_UNB
9574,ERG11_HYR1,Fluconazole,KSS1,YGR040W,YDR272W,GLO2,Chr14,441268,441268,441268,441268,441268,465005,441268,441268,441268,1.168105637,3.871580908,0.034558644,30.87287412,,False,0.295995152,inf,False,0,True,True,True,True,True,True,SUT333,,ncRNA_UNB
9574,ERG11_HYR1,Fluconazole,MNT3,YIL014W,YLR303W,MET17,Chr14,441268,441268,441268,441268,441268,478701,441268,441268,441268,1.168105637,3.871580908,0.034558644,4.359845918,,False,0.353979061,inf,False,0,True,True,True,True,True,True,SUT333,,ncRNA_UNB
