iteration,overlap_pqtl,overlap_eqtl,overlap_both
287,59,32,7
288,66,27,3
289,63,36,5
290,64,25,5
291,74,24,5
292,81,32,11
293,81,30,5
294,70,33,7
295,67,31,7
296,80,30,6
297,67,28,7
298,61,36,3
299,73,29,3
300,70,27,3
301,66,30,8
302,62,30,5
303,81,46,13
304,59,38,8
305,59,32,6
306,66,41,8
307,73,27,9
308,70,28,8
309,75,30,7
310,62,39,10
311,67,36,7
312,64,25,4
313,63,33,7
314,67,34,8
315,70,46,7
316,73,27,10
317,76,27,4
318,77,33,9
319,91,31,11
320,56,33,7
321,68,27,9
322,71,33,6
323,61,25,6
324,61,32,6
325,84,32,11
326,75,36,11
327,90,31,8
328,68,29,10
329,76,38,11
330,67,34,9
331,59,31,3
332,73,35,11
333,86,29,11
334,71,40,9
335,74,30,7
336,67,31,6
337,73,22,6
338,74,25,8
339,70,34,10
340,81,33,12
341,74,32,7
342,75,29,9
343,77,33,9
344,52,31,6
345,73,35,6
346,66,28,8
347,72,34,8
348,66,31,3
349,66,38,9
350,76,30,8
351,69,41,9
352,72,29,8
353,58,26,2
354,71,33,7
355,64,29,4
356,64,34,6
357,70,29,6
358,80,23,4
359,70,37,5
360,66,36,7
361,68,34,5
362,68,35,3
363,64,29,7
364,77,27,4
365,58,35,7
366,72,34,9
367,60,31,7
368,74,24,6
369,71,25,6
370,56,33,11
371,71,44,8
372,60,33,11
373,68,31,5
374,78,30,7
375,77,29,11
376,71,31,5
377,75,32,9
378,70,29,5
379,64,34,6
380,78,22,6
381,59,31,3
382,73,34,8
383,83,31,8
384,57,33,9
385,77,24,6
386,71,34,15
387,58,32,7
388,62,28,6
389,73,22,8
390,62,34,8
391,83,38,12
392,68,35,8
393,79,31,9
394,59,36,8
395,68,30,6
396,74,28,4
397,70,31,3
398,86,27,8
399,58,39,10
400,64,26,1
401,66,21,3
402,65,38,6
403,67,33,7
404,78,32,9
405,67,34,6
406,56,29,6
407,77,26,2
408,64,37,8
409,61,24,6
410,74,42,9
411,70,29,10
412,67,29,3
413,96,39,12
414,75,37,7
415,69,26,6
416,55,27,9
417,62,31,2
418,55,29,3
419,69,26,7
420,66,25,9
421,65,29,8
422,74,30,9
423,75,26,9
424,64,40,8
425,68,35,11
426,91,35,10
427,66,38,6
428,61,28,6
429,82,33,6
430,64,41,10
431,71,26,5
432,65,31,9
433,64,25,7
434,88,24,4
435,62,30,7
436,58,26,7
437,75,37,12
438,68,41,8
439,68,38,8
440,80,21,6
441,73,20,5
442,72,29,7
443,66,27,10
444,75,30,4
445,70,28,5
446,79,20,9
447,63,34,9
448,72,34,5
449,52,32,5
450,71,26,5
451,67,33,11
452,70,36,12
453,67,31,7
454,71,34,7
455,70,22,5
456,73,34,13
457,74,39,5
458,68,38,7
459,71,26,5
460,68,32,7
461,59,34,7
462,54,33,9
463,71,29,5
464,65,35,6
465,73,28,4
466,62,32,11
467,60,31,8
468,69,29,6
469,77,44,14
470,76,31,3
471,63,31,2
472,67,32,4
473,75,21,6
474,82,22,7
475,79,34,8
476,67,25,3
477,74,31,8
478,75,34,14
479,74,31,5
480,58,31,6
481,77,38,13
482,62,39,8
483,61,35,4
484,67,27,6
485,66,27,6
486,76,25,5
487,59,36,5
488,60,28,6
489,76,33,9
490,75,39,12
491,65,30,8
492,69,38,6
493,55,38,11
494,67,29,6
495,75,26,9
496,66,35,3
497,76,34,8
498,60,32,7
499,72,30,8
500,82,30,6
501,71,31,9
502,61,30,4
503,72,42,11
504,67,28,7
505,75,34,8
506,73,38,14
507,73,31,4
508,65,28,5
509,68,29,7
510,78,29,8
511,76,43,13
512,59,32,3
513,67,27,5
514,78,35,12
515,76,25,1
516,73,36,8
517,68,38,10
518,67,31,7
519,67,34,9
520,69,38,11
521,63,26,4
522,67,24,4
523,78,29,10
524,74,35,6
525,59,35,8
526,61,30,7
527,75,47,9
528,63,26,3
529,71,32,4
530,76,39,6
531,79,34,6
532,86,32,8
533,61,33,9
534,70,29,8
535,71,32,7
536,74,27,7
537,70,26,5
538,68,31,6
539,73,39,8
540,76,37,10
541,57,39,11
542,71,30,5
543,57,29,6
544,60,30,8
545,55,34,7
546,70,28,10
547,87,29,7
548,63,33,6
549,56,31,9
550,65,35,6
551,73,25,5
552,73,38,10
553,67,41,9
554,58,32,6
555,73,26,10
556,75,37,8
557,63,27,4
558,60,33,6
559,66,39,9
560,68,29,8
561,64,39,6
562,75,28,8
563,64,30,12
564,65,33,6
565,63,24,6
566,79,26,10
567,64,38,7
568,68,37,11
569,62,20,6
570,61,24,3
571,67,36,6
572,75,29,4
573,79,22,6
574,73,31,4
575,73,31,8
576,57,32,6
577,70,36,5
578,58,41,13
579,66,26,4
580,60,30,8
581,60,37,4
582,75,28,4
583,62,29,5
584,70,28,9
585,63,35,8
586,70,28,6
587,58,25,4
588,86,34,13
589,70,32,4
590,76,32,8
591,60,41,6
592,69,29,10
593,71,40,7
594,73,36,6
595,57,30,9
596,77,42,13
597,69,35,9
598,61,31,3
599,65,36,10
600,66,27,6
601,80,31,9
602,73,34,5
603,73,36,12
604,74,24,12
605,60,21,5
606,50,39,3
607,61,40,8
608,68,28,7
609,80,33,6
610,77,32,5
611,60,29,8
612,59,24,6
613,76,40,9
614,64,37,6
615,68,27,3
616,59,38,6
617,55,36,9
618,61,36,6
619,71,43,8
620,72,35,9
621,79,43,7
622,80,40,10
623,70,39,14
624,86,36,14
625,62,34,4
626,59,38,6
627,66,31,7
628,59,39,9
629,63,38,9
630,64,28,2
631,73,33,8
632,66,35,10
633,85,34,13
634,67,24,4
635,68,31,3
636,67,22,3
637,71,38,8
638,61,35,7
639,77,29,6
640,76,24,5
641,61,31,4
642,68,33,8
643,63,21,5
644,64,32,3
645,78,34,9
646,72,28,6
647,65,37,12
648,67,32,7
649,73,31,8
650,70,25,4
651,74,30,8
652,74,33,7
653,55,21,4
654,74,23,7
655,67,31,5
656,68,34,8
657,67,28,5
658,71,29,8
659,71,35,6
660,65,27,7
661,63,25,5
662,64,37,9
663,58,38,4
664,77,46,8
665,74,35,8
666,58,35,3
667,78,40,8
668,71,38,10
669,68,27,8
670,73,31,6
671,59,23,6
672,71,33,5
673,64,31,9
674,66,32,9
675,70,35,11
676,63,35,9
677,67,31,9
678,76,37,6
679,69,34,5
680,68,38,12
681,64,36,6
682,76,32,6
683,63,33,6
684,75,24,6
685,68,33,9
686,78,34,5
687,71,33,7
688,67,31,8
689,76,23,8
690,64,31,7
691,60,25,3
692,81,34,8
693,59,40,9
694,63,30,5
695,57,34,2
696,68,37,7
697,67,23,5
698,73,28,5
699,68,39,6
700,86,29,7
701,81,35,7
702,55,35,5
703,78,33,7
704,59,30,3
705,64,24,6
706,77,30,11
707,64,29,5
708,65,27,1
709,72,27,6
710,77,26,7
711,69,29,7
712,74,35,9
713,84,23,5
714,61,32,7
715,79,25,8
716,72,44,17
717,56,35,6
718,71,29,8
719,80,30,5
720,70,32,10
721,62,34,6
722,64,33,7
723,72,26,4
724,75,26,7
725,61,29,8
726,72,35,7
727,67,30,6
728,81,29,7
729,70,30,7
730,70,24,6
731,62,36,11
732,77,31,7
733,65,26,7
734,70,29,7
735,63,26,6
736,63,27,6
737,74,29,8
738,58,32,9
739,61,29,5
740,66,28,7
741,69,34,10
742,87,32,9
743,69,39,10
744,68,34,9
745,79,39,10
746,78,27,10
747,61,31,8
748,77,31,12
749,70,29,6
750,81,31,10
751,69,40,7
752,71,25,3
753,64,35,6
754,70,23,8
755,64,25,6
756,62,26,5
757,67,32,8
758,62,31,6
759,78,28,7
760,68,29,8
761,84,28,7
762,71,27,5
763,62,29,7
764,60,31,8
765,65,38,7
766,63,25,3
767,61,28,4
768,66,32,8
769,59,38,9
770,72,22,6
771,57,30,6
772,78,30,7
773,84,25,11
774,66,32,5
775,64,33,5
776,60,25,7
777,59,35,6
778,81,28,8
779,69,27,9
780,73,27,7
781,72,32,4
782,72,34,8
783,85,32,5
784,74,29,6
785,65,25,2
786,77,33,10
787,60,19,3
788,66,25,5
789,73,35,8
790,69,35,9
791,79,29,7
792,71,33,9
793,77,34,7
794,70,32,9
795,72,31,6
796,82,26,9
797,72,27,9
798,59,23,4
799,72,36,10
800,69,35,7
801,72,24,7
802,74,37,11
803,80,32,9
804,77,35,11
805,62,32,8
806,75,35,8
807,66,31,6
808,65,40,8
809,79,43,16
810,55,34,9
811,63,37,10
812,55,40,9
813,65,38,12
814,71,20,8
815,71,26,6
816,69,24,6
817,59,37,8
818,60,23,6
819,77,31,5
820,82,25,5
821,76,34,7
822,67,31,5
823,75,50,15
824,60,27,4
825,62,30,6
826,74,26,3
827,73,34,8
828,58,35,6
829,79,30,7
830,73,21,4
831,78,29,9
832,69,32,8
833,85,29,7
834,67,23,5
835,77,37,8
836,78,32,9
837,73,33,9
838,66,37,6
839,68,29,6
840,64,39,7
841,70,34,5
842,74,39,10
843,68,31,6
844,63,30,8
845,69,22,7
846,73,25,10
847,65,31,9
848,67,32,8
849,75,35,8
850,67,37,7
851,75,33,9
852,62,40,5
853,70,25,4
854,59,37,10
855,51,31,3
856,73,37,11
857,61,37,6
858,73,35,12
859,80,34,6
860,83,36,10
861,69,31,5
862,55,35,4
863,78,29,6
864,64,32,6
865,72,23,4
866,67,32,5
867,67,32,5
868,63,26,2
869,76,36,9
870,61,28,7
871,57,25,7
872,63,21,1
873,62,28,5
874,66,33,7
875,69,37,8
876,50,38,10
877,59,26,5
878,66,28,7
879,67,37,8
880,66,25,5
881,70,26,6
882,63,33,4
883,68,25,3
884,76,40,10
885,85,30,12
886,62,31,6
887,73,29,7
888,67,32,3
889,67,33,6
890,69,31,5
891,66,31,5
892,76,41,13
893,68,29,6
894,70,37,10
895,71,32,5
896,73,32,4
897,62,34,9
898,69,30,5
899,54,33,6
900,77,35,10
901,73,20,6
902,69,25,3
903,81,28,5
904,64,16,3
905,68,29,6
906,63,32,6
907,64,30,9
908,82,34,7
909,75,27,9
910,73,23,6
911,72,28,12
912,68,29,7
913,60,39,7
914,66,18,5
915,57,20,3
916,69,40,8
917,74,38,6
918,64,31,8
919,67,30,9
920,64,37,6
921,75,34,6
922,78,37,10
923,63,31,10
924,60,34,5
925,66,26,5
926,73,30,9
927,77,27,10
928,88,39,11
929,75,37,10
930,79,37,10
931,74,32,12
932,67,34,10
933,74,46,14
934,80,20,5
935,68,35,10
936,71,37,8
937,69,32,6
938,64,34,7
939,62,35,10
940,80,44,11
941,69,42,16
942,57,24,6
943,76,28,8
944,59,34,7
945,71,36,12
946,71,32,8
947,83,34,11
948,68,26,6
949,63,33,5
950,45,25,2
951,85,33,5
952,72,29,10
953,79,24,4
954,68,27,7
955,79,31,10
956,62,23,4
957,69,26,4
958,71,35,6
959,66,37,11
960,56,24,4
961,71,23,6
962,70,34,9
963,58,32,5
964,75,27,6
965,65,32,6
966,69,42,11
967,63,34,10
968,59,26,7
969,66,29,6
970,57,35,6
971,65,32,5
972,79,32,10
973,60,31,6
974,77,29,3
975,72,26,4
976,70,45,14
977,67,30,6
978,66,36,9
979,57,28,8
980,77,38,12
981,80,29,5
982,78,37,8
983,76,36,10
984,67,34,10
985,61,27,6
986,71,28,6
987,72,42,10
988,66,33,9
989,67,42,7
990,73,32,8
991,92,24,7
992,60,25,3
993,60,36,9
994,60,35,7
995,62,36,5
996,73,19,7
997,62,31,5
998,73,21,4
999,65,30,11
1000,67,27,6
1001,48,22,4
1002,55,26,1
1003,72,33,9
1004,66,22,5
1005,50,35,6
1006,69,28,7
1007,68,37,11
1008,75,31,6
1009,74,30,8
1010,82,25,9
1011,72,29,5
1012,57,36,9
1013,76,35,12
1014,79,29,7
1015,63,30,4
1016,63,35,4
1017,79,24,7
1018,67,26,4
1019,73,34,7
1020,72,28,7
1021,69,27,4
1022,73,43,15
1023,76,27,7
1024,69,38,8
1025,71,30,7
1026,64,31,11
1027,79,38,13
1028,65,34,8
1029,76,30,5
1030,77,41,11
1031,63,31,6
1032,66,30,8
1033,70,36,7
1034,67,44,9
1035,67,42,10
1036,67,41,9
1037,65,28,4
1038,56,30,6
1039,78,21,8
1040,65,32,7
1041,79,37,8
1042,54,31,5
1043,65,39,5
1044,69,37,9
1045,62,29,4
1046,66,44,8
1047,62,26,4
1048,62,34,10
1049,64,30,6
1050,74,40,9
1051,66,33,6
1052,61,41,6
1053,77,34,15
1054,71,43,17
1055,68,21,4
1056,70,26,5
1057,75,36,7
1058,52,30,3
1059,70,30,6
1060,66,29,6
1061,73,40,7
1062,67,29,6
1063,82,33,9
1064,64,30,4
1065,70,29,7
1066,73,35,7
1067,71,35,8
1068,72,36,9
1069,74,30,8
1070,82,33,5
1071,81,29,7
1072,78,32,15
1073,76,22,7
1074,70,30,6
1075,67,34,9
1076,72,32,8
1077,68,34,4
1078,78,41,7
1079,61,27,6
1080,63,32,11
1081,61,28,6
1082,75,30,8
1083,62,26,8
1084,70,35,10
1085,73,32,9
1086,62,39,9
1087,76,26,6
1088,65,31,3
1089,71,27,9
1090,80,38,7
1091,62,33,5
1092,66,32,7
1093,65,43,8
1094,61,32,7
1095,74,28,10
1096,84,33,11
1097,67,29,6
1098,68,35,7
1099,68,36,4
1100,57,35,8
1101,65,37,5
1102,62,28,7
1103,53,29,5
1104,56,27,2
1105,60,35,5
1106,71,29,4
1107,64,37,5
1108,70,29,6
1109,72,36,8
1110,63,31,7
1111,68,32,6
1112,73,29,3
1113,85,27,6
1114,67,39,5
1115,78,43,12
1116,81,27,8
1117,68,33,7
1118,70,21,1
1119,75,32,9
1120,63,37,7
1121,80,24,9
1122,76,35,11
1123,67,38,9
1124,63,35,4
1125,70,35,10
1126,64,35,12
1127,61,35,9
1128,73,29,5
1129,66,34,10
1130,76,27,4
1131,77,35,9
1132,66,39,9
1133,65,16,1
1134,66,36,6
1135,53,30,6
1136,74,26,6
1137,76,33,11
1138,83,34,9
1139,78,38,13
1140,68,25,6
1141,68,42,9
1142,60,24,4
1143,57,24,4
1144,60,31,6
1145,68,35,8
1146,74,35,10
1147,70,42,14
1148,75,37,12
1149,75,26,7
1150,93,30,10
1151,72,29,11
1152,66,27,7
1153,58,31,7
1154,62,29,3
1155,67,26,7
1156,72,33,9
1157,65,34,8
1158,67,36,8
1159,67,33,12
1160,72,33,11
1161,60,36,6
1162,72,25,5
1163,78,33,9
1164,68,35,3
1165,71,40,13
1166,76,32,9
1167,67,41,6
1168,77,36,9
1169,62,36,8
1170,77,30,14
1171,73,22,7
1172,71,28,7
1173,80,31,6
1174,75,25,5
1175,72,30,7
1176,66,34,3
1177,72,29,6
1178,52,35,5
1179,65,31,4
1180,69,33,9
1181,69,38,10
1182,71,32,7
1183,62,39,9
1184,73,35,7
1185,74,27,5
1186,65,30,7
1187,62,32,7
1188,80,31,5
1189,62,37,5
1190,78,32,10
1191,79,28,11
1192,63,36,5
1193,55,33,11
1194,68,33,12
1195,70,41,8
1196,74,18,4
1197,62,29,6
1198,63,36,3
1199,73,33,9
1200,86,40,15
1201,66,32,5
1202,70,33,9
1203,69,31,7
1204,74,38,9
1205,70,39,7
1206,74,35,12
1207,73,34,8
1208,64,25,7
1209,80,33,9
1210,63,32,7
1211,69,27,7
1212,69,26,7
1213,74,31,7
1214,64,28,4
1215,66,38,8
1216,75,33,7
1217,59,32,5
1218,72,30,9
1219,75,25,9
1220,67,27,4
1221,69,37,13
1222,76,23,5
1223,69,27,10
1224,60,31,5
1225,76,28,9
1226,69,25,5
1227,64,32,7
1228,67,28,8
1229,68,26,4
1230,73,38,8
1231,63,39,5
1232,68,35,8
1233,69,36,7
1234,77,35,11
1235,70,26,8
1236,65,23,5
1237,63,31,8
1238,78,30,9
1239,64,39,6
1240,66,24,5
1241,67,29,7
1242,62,29,5
1243,86,21,8
1244,81,32,6
1245,75,46,15
1246,67,31,8
1247,76,33,9
1248,77,28,9
1249,72,35,7
1250,75,36,8
1251,75,33,6
1252,63,29,6
1253,54,29,5
1254,74,30,9
1255,70,38,13
1256,57,35,7
1257,69,29,3
1258,65,38,9
1259,64,22,4
1260,81,33,8
1261,62,31,6
1262,78,29,7
1263,65,37,8
1264,54,35,6
1265,75,31,7
1266,62,37,6
1267,76,28,3
1268,70,38,11
1269,68,36,7
1270,72,29,4
1271,62,41,6
1272,58,39,10
1273,67,27,8
1274,65,37,10
1275,71,40,6
1276,74,31,5
1277,68,33,10
1278,68,30,6
1279,67,25,7
1280,68,39,8
1281,67,27,8
1282,64,45,9
1283,75,30,8
1284,72,22,7
1285,65,31,6
1286,70,40,11
1287,59,29,6
1288,84,34,9
1289,75,29,4
1290,64,31,5
1291,73,25,5
1292,52,23,3
1293,65,29,7
1294,81,31,8
1295,68,27,6
1296,72,31,8
1297,79,32,11
1298,61,37,7
1299,73,33,8
1300,57,19,4
1301,66,33,8
1302,70,30,6
1303,69,37,6
1304,72,34,8
1305,78,47,12
1306,71,34,7
1307,69,36,7
1308,69,36,11
1309,68,35,7
1310,73,37,10
1311,68,30,3
1312,66,30,6
1313,54,25,10
1314,72,30,7
1315,64,18,4
1316,73,28,6
1317,59,40,8
1318,66,30,8
1319,66,37,8
1320,73,33,8
1321,74,28,7
1322,88,32,11
1323,72,32,9
1324,72,28,4
1325,60,32,9
1326,75,28,4
1327,70,29,4
1328,68,35,11
1329,73,34,6
1330,60,28,8
1331,72,35,8
1332,60,32,6
1333,76,40,12
1334,81,28,8
1335,63,26,9
1336,69,34,4
1337,77,43,11
1338,63,33,9
1339,72,32,6
1340,67,28,4
1341,62,30,6
1342,63,35,9
1343,56,36,6
1344,65,35,10
1345,81,35,11
1346,68,44,11
1347,62,24,5
1348,72,27,7
1349,66,30,7
1350,69,24,7
1351,78,24,8
1352,68,37,7
1353,91,33,8
1354,70,28,5
1355,59,44,7
1356,79,38,11
1357,81,29,9
1358,69,37,11
1359,60,33,4
1360,56,37,8
1361,66,28,7
1362,89,32,5
1363,76,41,11
1364,65,30,4
1365,66,42,12
1366,62,34,8
1367,78,31,9
1368,60,33,2
1369,73,40,10
1370,61,36,7
1371,68,34,12
1372,64,37,8
1373,79,32,6
1374,71,27,4
1375,67,22,4
1376,79,26,8
1377,86,47,20
1378,70,30,4
1379,71,27,6
1380,72,33,12
1381,64,30,1
1382,76,33,4
1383,84,40,9
1384,64,32,5
1385,61,26,7
1386,76,30,8
1387,62,37,10
1388,72,33,8
1389,75,25,4
1390,73,43,7
1391,72,25,4
1392,74,34,7
1393,64,27,4
1394,62,34,3
1395,73,34,11
1396,68,32,5
1397,69,29,8
1398,62,39,8
1399,64,35,6
1400,59,39,9
1401,69,27,3
1402,70,31,8
1403,78,29,8
1404,44,28,3
1405,69,26,2
1406,68,33,9
1407,62,40,13
1408,65,28,6
1409,75,33,11
1410,59,33,5
1411,81,26,8
1412,75,31,13
1413,67,39,13
1414,64,36,9
1415,64,38,6
1416,77,32,7
1417,68,28,7
1418,66,32,10
1419,78,27,8
1420,66,36,6
1421,72,30,5
1422,56,30,7
1423,62,31,1
1424,63,29,6
1425,69,33,10
1426,72,30,7
1427,77,31,6
1428,77,26,8
1429,77,35,9
1430,74,37,4
1431,66,29,2
1432,72,38,10
1433,67,38,9
1434,63,35,7
1435,70,30,8
1436,67,35,8
1437,83,41,12
1438,61,33,6
1439,76,32,12
1440,66,32,5
1441,72,28,5
1442,67,29,8
1443,65,34,3
1444,79,34,8
1445,64,38,10
1446,59,32,3
1447,71,29,7
1448,64,32,9
1449,70,37,8
1450,71,36,10
1451,67,25,5
1452,65,33,6
1453,58,36,7
1454,64,22,4
1455,80,38,9
1456,76,27,6
1457,82,32,3
1458,69,27,6
1459,79,33,10
1460,74,29,7
1461,61,28,5
1462,61,39,6
1463,76,19,5
1464,62,35,6
1465,63,33,4
1466,72,37,8
1467,64,37,4
1468,68,35,6
1469,74,36,14
1470,78,28,8
1471,64,24,7
1472,67,31,4
1473,90,36,12
1474,79,34,7
1475,64,44,5
1476,75,33,11
1477,61,35,7
1478,74,28,5
1479,63,38,8
1480,83,37,8
1481,80,27,8
1482,74,28,6
1483,74,32,4
1484,64,42,7
1485,58,38,11
1486,66,34,8
1487,64,22,2
1488,62,31,8
1489,80,25,4
1490,75,43,14
1491,64,28,8
1492,65,32,7
1493,73,35,15
1494,56,31,2
1495,60,32,6
1496,60,32,9
1497,68,27,6
1498,64,27,2
1499,64,35,6
1500,64,37,9
1501,66,25,6
1502,74,39,11
1503,76,34,9
1504,73,34,8
1505,78,25,9
1506,66,38,12
1507,70,26,11
1508,80,28,3
1509,70,36,5
1510,73,34,10
1511,74,28,5
1512,69,28,8
1513,60,30,8
1514,73,37,5
1515,67,37,6
1516,71,36,8
1517,70,28,10
1518,70,30,8
1519,73,33,6
1520,77,30,8
1521,66,24,6
1522,58,26,4
1523,80,34,10
1524,66,24,2
1525,79,37,8
1526,62,35,3
1527,77,42,7
1528,77,30,6
1529,77,34,11
1530,75,25,9
1531,67,35,9
1532,77,39,11
1533,63,23,7
1534,76,32,7
1535,59,32,5
1536,87,27,7
1537,70,33,14
1538,71,36,9
1539,63,32,5
1540,64,26,7
1541,69,25,7
1542,70,29,6
1543,63,34,7
1544,59,28,2
1545,67,27,6
1546,71,27,7
1547,74,26,7
1548,62,24,4
1549,75,33,6
1550,78,23,9
1551,75,36,9
1552,62,34,10
1553,69,32,7
1554,69,33,10
1555,61,34,5
1556,76,36,12
1557,72,34,15
1558,77,28,11
1559,69,39,6
1560,59,34,4
1561,76,27,5
1562,69,22,6
1563,66,35,5
1564,73,39,8
1565,76,29,4
1566,80,30,9
1567,64,33,5
1568,65,34,6
1569,79,21,6
1570,82,31,5
1571,77,39,10
1572,66,27,4
1573,70,24,6
1574,68,34,8
1575,70,27,6
1576,70,29,5
1577,69,33,4
1578,76,31,6
1579,69,38,8
1580,69,37,9
1581,62,30,4
1582,61,23,2
1583,81,34,9
1584,66,22,4
1585,78,24,6
1586,64,35,6
1587,72,30,6
1588,61,26,5
1589,62,32,7
1590,64,29,7
1591,81,34,8
1592,69,39,14
1593,72,38,5
1594,63,34,9
1595,70,39,9
1596,64,27,8
1597,57,30,4
1598,69,35,9
1599,64,32,11
1600,77,34,9
1601,70,31,8
1602,75,38,10
1603,68,28,4
1604,58,27,10
1605,71,27,7
1606,51,29,3
1607,64,37,7
1608,71,24,7
1609,59,30,4
1610,69,28,5
1611,67,25,6
1612,66,34,7
1613,71,32,9
1614,75,25,8
1615,62,29,6
1616,81,29,11
1617,74,23,3
1618,69,26,5
1619,70,29,6
1620,64,28,11
1621,67,36,7
1622,69,26,2
1623,71,32,11
1624,90,37,13
1625,59,25,2
1626,78,39,11
1627,74,34,9
1628,64,29,4
1629,61,22,6
1630,84,38,10
1631,63,33,6
1632,65,34,8
1633,57,17,2
1634,74,32,4
1635,60,32,8
1636,61,40,7
1637,70,38,7
1638,78,31,8
1639,73,35,6
1640,75,28,7
1641,65,35,5
1642,74,39,9
1643,80,27,7
1644,64,29,7
1645,61,37,6
1646,60,33,10
1647,78,32,12
1648,64,27,1
1649,64,36,7
1650,66,33,3
1651,54,36,4
1652,83,32,8
1653,75,35,7
1654,60,34,9
1655,71,29,5
1656,66,30,3
1657,65,22,5
1658,78,30,9
1659,72,33,7
1660,73,30,6
