SNP,CHR,BP,gene,EFFECTSIZE,Effect,P,FDR,locus_id,GENE,snps_class_up,snps_class_down,PPI,DRUG,-log10_P,LD_b075,LD_b050,PPI_SNP,PPI_block
1029,3,135857,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.337006844693173,-0.337120909283858,7.89142136872468e-06,0.0048560213891096,YCR011C,ADP1,ORF,Verified ORF,ADE17_GIS2,noDrug,5.1028447664992616,1027_1028_1029_1030_1031_1032_1033,1026_1027_1028_1029_1030_1031_1032_1033_1034_1035_1036_1037_1038_1039_1040_1041_1042_1043_1044_1045_1046_1047_1048_1049,ADE17_GIS2-1029,ADE17_GIS2-1027_1028_1029_1030_1031_1032_1033
1034,3,139688,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.319847458472022,-0.318897897864235,2.17603978561151e-05,0.0121588403614033,YCR014C,POL4,ORF,Verified ORF,ADE17_GIS2,noDrug,4.662333168480485,1034,1026_1027_1028_1029_1030_1031_1032_1033_1034_1035_1036_1037_1038_1039_1040_1041_1042_1043_1044_1045_1046_1047_1048_1049,ADE17_GIS2-1034,ADE17_GIS2-1034
1041,3,146875,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.323482682496775,-0.322597928840096,2.17968897217414e-05,0.012176604828647,YCR017C,CWH43,ORF,Verified ORF,ADE17_GIS2,noDrug,4.661605473049246,1036_1037_1038_1039_1040_1041_1042_1043_1044,1026_1027_1028_1029_1030_1031_1032_1033_1034_1035_1036_1037_1038_1039_1040_1041_1042_1043_1044_1045_1046_1047_1048_1049,ADE17_GIS2-1041,ADE17_GIS2-1036_1037_1038_1039_1040_1041_1042_1043_1044
1046,3,148833,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.342620572849342,-0.344100792755371,9.39729469096152e-06,0.0057037678816703,YCR018C,SRD1,ORF,Verified ORF,ADE17_GIS2,noDrug,5.026997153835114,1046_1047_1048,1026_1027_1028_1029_1030_1031_1032_1033_1034_1035_1036_1037_1038_1039_1040_1041_1042_1043_1044_1045_1046_1047_1048_1049,ADE17_GIS2-1046,ADE17_GIS2-1046_1047_1048
1057,3,152269,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.326947075804016,-0.327335106609119,1.35388726733218e-05,0.0079545985964321,YCR018C-A,YCR018C-A,Close to 3'-UTR,Close to 3'-UTR,ADE17_GIS2,noDrug,4.868417496074673,1056_1057,1056_1057,ADE17_GIS2-1057,ADE17_GIS2-1056_1057
1060,3,158006,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.318516126313618,-0.319177289737544,2.14888966460719e-05,0.01202792385459,SUT032,,Unstable transcript,SUT,ADE17_GIS2,noDrug,4.667785882918245,1059_1060,1059_1060_1061_1062_1063_1064_1065_1066_1067_1068_1069_1070_1071_1072_1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083_1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,ADE17_GIS2-1060,ADE17_GIS2-1059_1060
1063,3,165304,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.353840700011213,-0.353474255164338,2.00987955592904e-06,0.001386193675124,YCR026C,NPP1,ORF,Verified ORF,ADE17_GIS2,noDrug,5.696829967337061,1061_1062_1063_1064_1065_1066_1067,1059_1060_1061_1062_1063_1064_1065_1066_1067_1068_1069_1070_1071_1072_1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083_1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,ADE17_GIS2-1063,ADE17_GIS2-1061_1062_1063_1064_1065_1066_1067
1070,3,178885,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.330876373919645,-0.331780054633402,2.34684659672365e-05,0.0130277385613243,CUT048_NFR/NDR,,Promoter,Promoter,ADE17_GIS2,noDrug,4.62951529743753,1068_1069_1070_1071_1072,1059_1060_1061_1062_1063_1064_1065_1066_1067_1068_1069_1070_1071_1072_1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083_1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,ADE17_GIS2-1070,ADE17_GIS2-1068_1069_1070_1071_1072
1073,3,186935,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.372572341928469,-0.372572341928727,5.21095989959188e-07,0.000392303864112,YCR033W,SNT1,ORF,Verified ORF,ADE17_GIS2,noDrug,6.283082268889078,1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083,1059_1060_1061_1062_1063_1064_1065_1066_1067_1068_1069_1070_1071_1072_1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083_1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,ADE17_GIS2-1073,ADE17_GIS2-1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083
1093,3,198615,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.380937340425224,-0.381752829663403,3.0132034875809e-07,0.0002355063375901,YCR038C,BUD5,ORF,Verified ORF,ADE17_GIS2,noDrug,6.520971538572433,1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,1059_1060_1061_1062_1063_1064_1065_1066_1067_1068_1069_1070_1071_1072_1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083_1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,ADE17_GIS2-1093,ADE17_GIS2-1084_1085_1086_1087_1088_1089_1090_1091_1092_1093
1097,3,204897,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.417624126551526,-0.417226745936048,1.82551722713179e-08,1.66662185275164e-05,YCR042C,TAF2,ORF,Verified ORF,ADE17_GIS2,noDrug,7.7386140643231425,1095_1096_1097_1098,1095_1096_1097_1098,ADE17_GIS2-1097,ADE17_GIS2-1095_1096_1097_1098
9096,13,748562,ADE17_GIS2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,0.299217357703521,0.299549712655735,6.08508229103187e-05,0.0299737895089141,YMR239C,RNT1,ORF,Verified ORF,ADE17_GIS2,noDrug,4.215733544254064,9096,9059_9060_9061_9062_9063_9064_9065_9066_9067_9068_9069_9070_9071_9072_9073_9074_9075_9076_9077_9078_9079_9080_9081_9082_9083_9084_9085_9086_9087_9088_9089_9090_9091_9092_9093_9094_9095_9096_9097_9098,ADE17_GIS2-9096,ADE17_GIS2-9096
982,3,79867,ADE17_HYR1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.368763726000319,-0.370230084792085,2.10125494201641e-05,0.0117913251119243,YCL024W,KCC4,ORF,Verified ORF,ADE17_HYR1,noDrug,4.677521252118597,982_983_984,982_983_984,ADE17_HYR1-982,ADE17_HYR1-982_983_984
990,3,84735,ADE17_HYR1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.378671372564626,-0.374922669577588,2.85159994459581e-05,0.0155093334938781,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ADE17_HYR1,noDrug,4.544911402397025,990,990,ADE17_HYR1-990,ADE17_HYR1-990
1002,3,92556,ADE17_HYR1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.413508027701868,-0.407338853848638,2.88491339427731e-06,0.0019332001150744,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ADE17_HYR1,noDrug,5.53986721992663,1002_1003,1002_1003_1004,ADE17_HYR1-1002,ADE17_HYR1-1002_1003
1004,3,92716,ADE17_HYR1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.442192437138209,-0.419063409586436,1.48631682409318e-06,0.001047426596749,YCL018W,LEU2,Close to 3'-UTR,Close to 3'-UTR,ADE17_HYR1,noDrug,5.827888606262218,1004,1002_1003_1004,ADE17_HYR1-1004,ADE17_HYR1-1004
1006,3,95493,ADE17_HYR1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.434303308716104,-0.433445600231491,6.29839894279797e-07,0.0004684609726415,YCL016C,DCC1,ORF,Verified ORF,ADE17_HYR1,noDrug,6.200769834463447,1006,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,ADE17_HYR1-1006,ADE17_HYR1-1006
1008,3,98535,ADE17_HYR1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.386060666926308,-0.382994261146099,4.48259678427805e-06,0.002892720612673,YCL014W,BUD3,ORF,Verified ORF,ADE17_HYR1,noDrug,5.348470324760957,1007_1008_1009_1010_1011,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,ADE17_HYR1-1008,ADE17_HYR1-1007_1008_1009_1010_1011
1012,3,105429,ADE17_HYR1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.33768057716253,-0.337680577162583,3.35353124035704e-05,0.0179030992600782,YCL009C,ILV6,ORF,Verified ORF,ADE17_HYR1,noDrug,4.4744976435647255,1012,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,ADE17_HYR1-1012,ADE17_HYR1-1012
1070,3,178885,ADE17_HYR1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.356954633133318,-0.359269753006574,9.73409910327816e-06,0.0058900165951232,CUT048_NFR/NDR,,Promoter,Promoter,ADE17_HYR1,noDrug,5.01170423649936,1068_1069_1070_1071_1072,1059_1060_1061_1062_1063_1064_1065_1066_1067_1068_1069_1070_1071_1072_1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083_1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,ADE17_HYR1-1070,ADE17_HYR1-1068_1069_1070_1071_1072
1075,3,187956,ADE17_HYR1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.378783666130568,-0.377177581933616,1.66369384220852e-06,0.0011616913627832,YCR033W,SNT1,ORF,Verified ORF,ADE17_HYR1,noDrug,5.77892659082941,1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083,1059_1060_1061_1062_1063_1064_1065_1066_1067_1068_1069_1070_1071_1072_1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083_1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,ADE17_HYR1-1075,ADE17_HYR1-1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083
1093,3,198615,ADE17_HYR1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.384143127928427,-0.384581350420962,5.80314804575946e-07,0.0004338272567472,YCR038C,BUD5,ORF,Verified ORF,ADE17_HYR1,noDrug,6.236336349884157,1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,1059_1060_1061_1062_1063_1064_1065_1066_1067_1068_1069_1070_1071_1072_1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083_1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,ADE17_HYR1-1093,ADE17_HYR1-1084_1085_1086_1087_1088_1089_1090_1091_1092_1093
1095,3,203261,ADE17_HYR1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.323812509090333,-0.323461086757066,2.67939994271271e-05,0.0146946810624969,YCR042C,TAF2,ORF,Verified ORF,ADE17_HYR1,noDrug,4.571962456250187,1095_1096_1097_1098,1095_1096_1097_1098,ADE17_HYR1-1095,ADE17_HYR1-1095_1096_1097_1098
1103,3,208234,ADE17_HYR1_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.308621108046177,-0.308718246700503,5.85276725230656e-05,0.0289902830095228,YCR045C,RRT12,ORF,Verified ORF,ADE17_HYR1,noDrug,4.232638746182891,1099_1100_1101_1102_1103_1104_1105_1106,1099_1100_1101_1102_1103_1104_1105_1106,ADE17_HYR1-1103,ADE17_HYR1-1099_1100_1101_1102_1103_1104_1105_1106
982,3,79867,ADE17_PGM2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.349366911961688,-0.34890381593336,2.3349700288781e-06,0.0015930574960215,YCL024W,KCC4,ORF,Verified ORF,ADE17_PGM2,noDrug,5.631718689563134,982_983_984,982_983_984,ADE17_PGM2-982,ADE17_PGM2-982_983_984
990,3,84735,ADE17_PGM2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.317849858775282,-0.300233443924426,4.09781768604947e-05,0.0213429218205708,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ADE17_PGM2,noDrug,4.3874473674828955,990,990,ADE17_PGM2-990,ADE17_PGM2-990
992,3,84780,ADE17_PGM2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.371345625117587,-0.351080077184354,2.0205084220009e-05,0.011389522764863,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ADE17_PGM2,noDrug,4.694539334966003,992,992,ADE17_PGM2-992,ADE17_PGM2-992
1002,3,92556,ADE17_PGM2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.408273945093022,-0.397915590480806,5.78415608437231e-08,4.96870974867067e-05,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ADE17_PGM2,noDrug,7.237759996199868,1002_1003,1002_1003_1004,ADE17_PGM2-1002,ADE17_PGM2-1002_1003
1004,3,92716,ADE17_PGM2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.396716981324499,-0.361369928396681,4.35002493712275e-07,0.0003317329017049,YCL018W,LEU2,Close to 3'-UTR,Close to 3'-UTR,ADE17_PGM2,noDrug,6.361508253384728,1004,1002_1003_1004,ADE17_PGM2-1004,ADE17_PGM2-1004
1006,3,95493,ADE17_PGM2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.374153762375541,-0.36913533352119,5.29872577603979e-07,0.0003982292951801,YCL016C,DCC1,ORF,Verified ORF,ADE17_PGM2,noDrug,6.275828555864873,1006,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,ADE17_PGM2-1006,ADE17_PGM2-1006
1008,3,98535,ADE17_PGM2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.345459966146506,-0.345075408645658,1.56562079147667e-06,0.0010980326269411,YCL014W,BUD3,ORF,Verified ORF,ADE17_PGM2,noDrug,5.805313419872007,1007_1008_1009_1010_1011,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,ADE17_PGM2-1008,ADE17_PGM2-1007_1008_1009_1010_1011
1002,3,92556,ALO1_ADE17_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.286513004176747,-0.294557204570201,2.47979451562429e-05,0.0136954587027992,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ALO1_ADE17,noDrug,4.605584304830148,1002_1003,1002_1003_1004,ALO1_ADE17-1002,ALO1_ADE17-1002_1003
1004,3,92716,ALO1_ADE17_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.274555489295858,-0.240373647600634,0.000106191278964,0.0477393166212848,YCL018W,LEU2,Close to 3'-UTR,Close to 3'-UTR,ALO1_ADE17,noDrug,3.9739111485401666,1004,1002_1003_1004,ALO1_ADE17-1004,ALO1_ADE17-1004
1833,4,539688,ALO1_UIP4_noMTX_noDrug_avg_logratio_Fitness_minus_ref,0.199600786674986,0.196815079492983,7.02198203731051e-05,0.0338484535063205,YDR041W_NFR/NDR,,Promoter,Promoter,ALO1_UIP4,noDrug,4.153540285822947,1833,1797_1798_1799_1800_1801_1802_1803_1804_1805_1806_1807_1808_1809_1810_1811_1812_1813_1814_1815_1816_1817_1818_1819_1820_1821_1822_1823_1824_1825_1826_1827_1828_1829_1830_1831_1832_1833_1834_1835,ALO1_UIP4-1833,ALO1_UIP4-1833
992,3,84780,DHH1_LSM3_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.346123252920067,-0.350327595625844,4.06343963385744e-06,0.002643917363298,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,DHH1_LSM3,noDrug,5.391106187708208,992,992,DHH1_LSM3-992,DHH1_LSM3-992
1002,3,92556,DHH1_LSM3_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.281825963760679,-0.278094150584713,1.69720088601677e-05,0.0097539194691084,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,DHH1_LSM3,noDrug,4.7702667501837075,1002_1003,1002_1003_1004,DHH1_LSM3-1002,DHH1_LSM3-1002_1003
1004,3,92716,DHH1_LSM3_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.267941524077082,-0.265018696719415,8.78747523111535e-05,0.0407982980618972,YCL018W,LEU2,Close to 3'-UTR,Close to 3'-UTR,DHH1_LSM3,noDrug,4.056135886097876,1004,1002_1003_1004,DHH1_LSM3-1004,DHH1_LSM3-1004
1009,3,100583,DHH1_LSM3_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.290226854716837,-0.29173774423369,2.84458397314473e-06,0.0019090285049944,YCL014W,BUD3,ORF,Verified ORF,DHH1_LSM3,noDrug,5.545981241177247,1007_1008_1009_1010_1011,1006_1007_1008_1009_1010_1011_1012_1013_1014_1015,DHH1_LSM3-1009,DHH1_LSM3-1007_1008_1009_1010_1011
1002,3,92556,ERG11_ACF2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.288227850335535,-0.276489610907883,3.37879869464933e-05,0.0180173988358814,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ERG11_ACF2,noDrug,4.471237682272837,1002_1003,1002_1003_1004,ERG11_ACF2-1002,ERG11_ACF2-1002_1003
1004,3,92716,ERG11_ACF2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.294576108438268,-0.266921776642616,4.6805258132349e-05,0.0239916433845643,YCL018W,LEU2,Close to 3'-UTR,Close to 3'-UTR,ERG11_ACF2,noDrug,4.329705355267966,1004,1002_1003_1004,ERG11_ACF2-1004,ERG11_ACF2-1004
722,2,633130,ERG11_ERG5_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.258210703245388,-0.257711339472044,4.48036152334278e-05,0.0231098711004706,YBR204C,LDH1,ORF,Verified ORF,ERG11_ERG5,noDrug,4.348686941078161,718_719_720_721_722,706_707_708_709_710_711_712_713_714_715_716_717_718_719_720_721_722_723_724_725_726_727_728_729_730_731,ERG11_ERG5-722,ERG11_ERG5-718_719_720_721_722
723,2,633281,ERG11_ERG5_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.304676632673124,-0.302649204715775,3.64435379367487e-06,0.0023945845955647,YBR204C,LDH1,ORF,Verified ORF,ERG11_ERG5,noDrug,5.438379468366907,723,706_707_708_709_710_711_712_713_714_715_716_717_718_719_720_721_722_723_724_725_726_727_728_729_730_731,ERG11_ERG5-723,ERG11_ERG5-723
724,2,633308,ERG11_ERG5_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.255521221012212,-0.255500577705975,6.41050793235271e-05,0.031329324367172,YBR204C,LDH1,ORF,Verified ORF,ERG11_ERG5,noDrug,4.193107558082042,724_725,706_707_708_709_710_711_712_713_714_715_716_717_718_719_720_721_722_723_724_725_726_727_728_729_730_731,ERG11_ERG5-724,ERG11_ERG5-724_725
730,2,637229,ERG11_ERG5_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.27721567880069,-0.277215678800711,1.00537930643512e-05,0.0060652907160612,YBR208C,"DUR1,2",ORF,Verified ORF,ERG11_ERG5,noDrug,4.997670058031285,726_727_728_729_730_731,706_707_708_709_710_711_712_713_714_715_716_717_718_719_720_721_722_723_724_725_726_727_728_729_730_731,ERG11_ERG5-730,ERG11_ERG5-726_727_728_729_730_731
992,3,84780,ERG11_ERG5_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.367837086426479,-0.358995120305452,1.04450749028346e-05,0.006282580151697,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ERG11_ERG5,noDrug,4.981088441296778,992,992,ERG11_ERG5-992,ERG11_ERG5-992
1002,3,92556,ERG11_ERG5_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.315595864168758,-0.301880371873899,1.41228465243207e-05,0.0082718688127685,YCLWdelta2b_NFR/NDR,,Promoter,Promoter,ERG11_ERG5,noDrug,4.850077760422117,1002_1003,1002_1003_1004,ERG11_ERG5-1002,ERG11_ERG5-1002_1003
1663,4,383443,ERG11_ERG5_noMTX_noDrug_avg_logratio_Fitness_minus_ref,0.273572857564947,0.273397129514362,2.08144069499441e-05,0.0116933063258113,SUT048,,Unstable transcript,SUT,ERG11_ERG5,noDrug,4.681635958643932,1661_1662_1663,1656_1657_1658_1659_1660_1661_1662_1663_1664_1665_1666_1667_1668_1669_1670_1671_1672_1673_1674_1675,ERG11_ERG5-1663,ERG11_ERG5-1661_1662_1663
1664,4,383482,ERG11_ERG5_noMTX_noDrug_avg_logratio_Fitness_minus_ref,0.359267206858583,0.349302947805039,1.93042888957507e-05,0.010928733957777,SUT048,,Unstable transcript,SUT,ERG11_ERG5,noDrug,4.714346191674719,1664_1665,1656_1657_1658_1659_1660_1661_1662_1663_1664_1665_1666_1667_1668_1669_1670_1671_1672_1673_1674_1675,ERG11_ERG5-1664,ERG11_ERG5-1664_1665
1677,4,384094,ERG11_ERG5_noMTX_noDrug_avg_logratio_Fitness_minus_ref,0.247937168066219,0.247738297051564,8.9300171913566e-05,0.0413880960491533,SUT048,,Unstable transcript,SUT,ERG11_ERG5,noDrug,4.049147705041563,1677,1677_1678_1679_1680_1681_1682_1683_1684_1685,ERG11_ERG5-1677,ERG11_ERG5-1677
1679,4,384602,ERG11_ERG5_noMTX_noDrug_avg_logratio_Fitness_minus_ref,0.260429853639077,0.260187034999914,3.72210945407272e-05,0.0196212954523689,SUT048,,Unstable transcript,SUT,ERG11_ERG5,noDrug,4.429210859953002,1679_1680,1677_1678_1679_1680_1681_1682_1683_1684_1685,ERG11_ERG5-1679,ERG11_ERG5-1679_1680
969,3,67277,ERG11_ERV25_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.405488639552733,-0.407080141049246,6.11273815025838e-05,0.030089650154115,YCL030C,HIS4,ORF,Verified ORF,ERG11_ERV25,noDrug,4.2137642075692145,969,969_970_971_972_973_974_975_976_977_978_979_980,ERG11_ERV25-969,ERG11_ERV25-969
7649,12,236188,ERG11_ERV25_noMTX_noDrug_avg_logratio_Fitness_minus_ref,0.397735431197915,0.397557449355907,7.14627911454598e-05,0.0343501247986732,YLR045C,STU2,ORF,Verified ORF,ERG11_ERV25,noDrug,4.145920025421589,7642_7643_7644_7645_7646_7647_7648_7649_7650_7651_7652_7653_7654_7655_7656_7657,7634_7635_7636_7637_7638_7639_7640_7641_7642_7643_7644_7645_7646_7647_7648_7649_7650_7651_7652_7653_7654_7655_7656_7657,ERG11_ERV25-7649,ERG11_ERV25-7642_7643_7644_7645_7646_7647_7648_7649_7650_7651_7652_7653_7654_7655_7656_7657
1083,3,190765,ERG11_MID2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.296711922852751,-0.296596273846455,2.02843306868018e-07,0.0001627353519732,YCR034W,ELO2,ORF,Verified ORF,ERG11_MID2,noDrug,6.692839317948528,1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083,1059_1060_1061_1062_1063_1064_1065_1066_1067_1068_1069_1070_1071_1072_1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083_1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,ERG11_MID2-1083,ERG11_MID2-1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083
1087,3,196733,ERG11_MID2_noMTX_noDrug_avg_logratio_Fitness_minus_ref,-0.29991808883004,-0.300454305486571,1.66818288827928e-07,0.0001352770339832,YCR037C,PHO87,ORF,Verified ORF,ERG11_MID2,noDrug,6.777756337981016,1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,1059_1060_1061_1062_1063_1064_1065_1066_1067_1068_1069_1070_1071_1072_1073_1074_1075_1076_1077_1078_1079_1080_1081_1082_1083_1084_1085_1086_1087_1088_1089_1090_1091_1092_1093,ERG11_MID2-1087,ERG11_MID2-1084_1085_1086_1087_1088_1089_1090_1091_1092_1093
