gene_name	gene	var.exp	cis	cis_trans	beta
GTR2	YGR163W	0.015127395	False	trans	0.17393904104599403
ERG11	YHR007C	0.011639914	False	trans	0.15257728533435114
CTR2	YHR175W	0.042082797	False	trans	0.2901130710602333
MAM33	YIL070C	0.023715049	False	trans	0.21778452194772704
SGN1	YIR001C	0.019886194	False	trans	0.19943015820080973
HYR1	YIR037W	0.01829464	False	trans	0.19128324547644
SNA3	YJL151C	0.010593829	False	trans	0.14555980901333995
ERG27	YLR100W	0.00020734	False	trans	0.020363693181738914
MID2	YLR332W	0.011352832	False	trans	0.15068398720501128
ORM2	YLR350W	0.017893049	False	trans	0.1891721385405367
GTR1	YML121W	0.008755718	False	trans	0.1323307825110998
ALO1	YML086C	0.016486055	False	trans	0.18158224032101816
HUG1	YML058W-A	0.007350174	False	trans	0.12124499164913989
ERG5	YMR015C	0.021076447	False	trans	0.20531169961792242
RSN1	YMR266W	0.030658475	False	trans	0.2476225958994857
WSC2	YNL283C	0.015088695	False	trans	0.17371640682445627
TCB2	YNL087W	0.021083142	False	trans	0.20534430598387673
PIN2	YOR104W	0.019543964	False	trans	0.19770667161226502
TPO4	YOR273C	0.008895133	False	trans	0.13338015594532793
RBD2	YPL246C	0.018780211	False	trans	0.19380511345163212
UIP4	YPL186C	0.014911882	False	trans	0.17269558187747594
PIS1	YPR113W	0.01666854	False	trans	0.18258444621599068
FMP45	YDL222C	0.008959726	False	trans	0.13386355740081016
PLM2	YDR501W	0.011628697	False	trans	0.15250375077354655
MEP1	YGR121C	0.01807999	False	trans	0.1901577765961729
CTR2	YHR175W	0.026414691	False	trans	0.2298464313405801
HYR1	YIR037W	0.012112894	False	trans	0.15564635556285925
TCB2	YNL087W	0.022658831	False	trans	0.21287945415187443
TPO4	YOR273C	0.014488488	False	trans	0.1702262494446729
RBD2	YPL246C	0.01432552	False	trans	0.16926618091042286
PLM2	YDR501W	0.014621336	False	trans	0.17100488881900425
EMP47	YFL048C	0.018667928	False	trans	0.19322488452577738
PMC1	YGL006W	0.013867737	False	trans	0.16653970697704495
MEP1	YGR121C	0.006009108	False	trans	0.10962762425593287
ERG11	YHR007C	0.218035088	True	cis	0.6603560978744726
CTR2	YHR175W	0.020219763	True	cis	0.2010958129847561
MAM33	YIL070C	0.004356239	False	trans	0.09334065566514947
MID2	YLR332W	0.043221011	False	trans	0.29401024131822345
ORM2	YLR350W	0.010981503	False	trans	0.14819921052421298
ADE17	YMR120C	0.031215522	False	trans	0.24986204993956165
TCB2	YNL087W	0.0111434	False	trans	0.14928764181940848
TPO4	YOR273C	0.015244974	False	trans	0.1746137108018726
MAM33	YIL070C	0.015063313	False	trans	0.1735702336231648
ADE17	YMR120C	0.024422309	False	trans	0.2210081853687777
RBD2	YPL246C	0.016025858	False	trans	0.17902993045856885
SLM4	YBR077C	0.01668561	False	trans	0.18267791327908253
FMP45	YDL222C	0.005231991	False	trans	0.10229360683835526
DHH1	YDL160C	0.014037244	False	trans	0.16755443294643088
RET2	YFR051C	0.018853421	False	trans	0.19418249663654033
HNM1	YGL077C	0.021477616	False	trans	0.20725644018944261
MEP1	YGR121C	0.065547676	False	trans	0.3620709212295293
GTR2	YGR163W	0.015752586	False	trans	0.17749696335430643
ERG11	YHR007C	0.003791469	False	trans	0.08708006660539483
CTR2	YHR175W	0.021575696	False	trans	0.2077291313224989
SNA3	YJL151C	0.044254958	True	cis	0.29750616128073715
TPO1	YLL028W	0.008655833	False	trans	0.13157380438369942
ORM2	YLR350W	0.017299319	False	trans	0.18600709126267204
LSM3	YLR438C-A	0.008051534	False	trans	0.1268978644422356
ERV25	YML012W	0.017323139	False	trans	0.18613510684446394
RSN1	YMR266W	0.018237273	False	trans	0.19098310396472248
TCB2	YNL087W	0.022673594	False	trans	0.2129487919665195
PIN2	YOR104W	0.016484182	False	trans	0.1815719251426277
UIP4	YPL186C	0.008471276	False	trans	0.1301635586483406
FMP45	YDL222C	0.01101869	False	trans	0.1484499242168887
SLM4	YBR077C	0.013418839	False	trans	0.16382209252722907
PLM2	YDR501W	0.016054024	False	trans	0.1791871870419311
HNM1	YGL077C	0.016597176	False	trans	0.1821931722101572
MEP1	YGR121C	0.046995127	False	trans	0.3065782999496213
ERG11	YHR007C	0.00879578	False	trans	0.13263317835292948
MAM33	YIL070C	0.024068829	False	trans	0.21940295804751586
SGN1	YIR001C	0.019244133	False	trans	0.19618426542411602
EMP70	YLR083C	0.014585154	False	trans	0.17079317316567427
ERG5	YMR015C	0.006043281	False	trans	0.10993890121335578
RSN1	YMR266W	0.022234597	False	trans	0.2108772012333244
TCB2	YNL087W	0.013768745	False	trans	0.1659442376221603
TPO4	YOR273C	0.03495012	False	trans	0.2643865352093408
SSH1	YBR283C	0.063923392	False	trans	0.35755668641489563
SRO9	YCL037C	0.015336836	False	trans	0.1751390076482107
FMP45	YDL222C	0.067286758	False	trans	0.3668426311103986
PLM2	YDR501W	0.022809826	False	trans	0.2135875745449627
VAC8	YEL013W	0.057763963	False	trans	0.3398939922975986
RET2	YFR051C	0.01880953	False	trans	0.1939563352922508
PMC1	YGL006W	0.042476387	False	trans	0.2914665915675414
MEP1	YGR121C	0.016619091	False	trans	0.18231341695004238
TPO2	YGR138C	0.023615878	False	trans	0.21732868195431546
GTR2	YGR163W	0.093502311	False	trans	0.43244031033195784
ERG11	YHR007C	0.317884366	False	trans	0.7973510719877411
CTR2	YHR175W	0.017169126	False	trans	0.18530583369122516
MAM33	YIL070C	0.057890059	False	trans	0.34026477631397584
SGN1	YIR001C	0.053920445	False	trans	0.32839136712160993
HYR1	YIR037W	0.061048308	False	trans	0.34942326196176465
SNA3	YJL151C	0.094056057	False	trans	0.43371893433420683
TPO1	YLL028W	0.153564804	True	cis	0.5541927534712088
EMP70	YLR083C	0.077943654	False	trans	0.3948256678586133
ERG27	YLR100W	0.506463985	False	trans	1.0064432274102697
ACF2	YLR144C	0.021794822	False	trans	0.208781330582981
MID2	YLR332W	0.010643856	False	trans	0.1459030911255824
ORM2	YLR350W	0.141656973	False	trans	0.5322724358822275
LSM3	YLR438C-A	0.241635614	True	cis	0.6951771198766542
GTR1	YML121W	0.046148907	False	trans	0.30380555294464257
ALO1	YML086C	0.017754684	False	trans	0.18843929526508
HUG1	YML058W-A	0.134390564	False	trans	0.5184410554730402
ERV25	YML012W	0.035265776	False	trans	0.26557777015405487
ERG5	YMR015C	0.579539429	False	trans	1.0766052470613359
PGM2	YMR105C	0.031328258	False	trans	0.2503128362669402
ADE17	YMR120C	0.02839991	False	trans	0.23832712812434928
RSN1	YMR266W	0.026946014	False	trans	0.23214656577257395
GIS2	YNL255C	0.012556423	False	trans	0.1584703316081594
TCB2	YNL087W	0.011855551	False	trans	0.15398409658143272
TPO4	YOR273C	0.02927852	False	trans	0.24198561940743504
UIP4	YPL186C	0.050256502	False	trans	0.3170378589380139
PIS1	YPR113W	0.114647098	False	trans	0.47884673539661937
FMP45	YDL222C	0.038023152	False	trans	0.2757649433847602
VAC8	YEL013W	0.008874314	False	trans	0.13322397682099119
PMC1	YGL006W	0.035731785	False	trans	0.2673267102255216
MEP1	YGR121C	0.009042546	False	trans	0.1344808239118128
ERG11	YHR007C	0.008638801	False	trans	0.13144429238274288
HYR1	YIR037W	0.012660276	False	trans	0.15912432874956614
SNA3	YJL151C	0.019361667	False	trans	0.19678245348607684
TPO1	YLL028W	0.032062075	False	trans	0.25322746691462994
EMP70	YLR083C	0.044052146	False	trans	0.2968236715627647
ERG27	YLR100W	0.034304977	True	cis	0.2619350186592087
MID2	YLR332W	0.015846661	False	trans	0.17802618346748886
ORM2	YLR350W	0.037529982	True	cis	0.2739707356635011
LSM3	YLR438C-A	0.036752068	False	trans	0.27111646206012646
GTR1	YML121W	0.020494652	False	trans	0.20245815370095618
HUG1	YML058W-A	0.066827985	False	trans	0.3655898931863407
ERG5	YMR015C	0.01508509	False	trans	0.17369565337106166
PGM2	YMR105C	0.03099872	False	trans	0.24899285130300428
ADE17	YMR120C	0.013378518	False	trans	0.1635757806033644
TCB2	YNL087W	0.015178734	False	trans	0.1742339461758242
TPO4	YOR273C	0.019182042	False	trans	0.1958675164492571
UIP4	YPL186C	0.03453753	False	trans	0.2628213461650328
ERG27	YLR100W	0.007248717	False	trans	0.12040529058143583
SNA4	YDL123W	0.018530619	False	trans	0.19251295540820104
EMP47	YFL048C	0.025955307	False	trans	0.22783900895149628
RET2	YFR051C	0.013653803	False	trans	0.16525013161870705
HNM1	YGL077C	0.011231334	False	trans	0.14987550833942148
PMC1	YGL006W	0.008909773	False	trans	0.1334898722750157
TPO2	YGR138C	0.095567429	False	trans	0.43718972769268033
GTR2	YGR163W	0.013730684	False	trans	0.1657147187186461
MAM33	YIL070C	0.037223613	False	trans	0.272850189664585
SGN1	YIR001C	0.040664956	False	trans	0.2851839967459605
SNA3	YJL151C	0.021691626	False	trans	0.20828646619499788
TPO1	YLL028W	0.002533106	False	trans	0.0711773278509386
EMP70	YLR083C	0.012669197	False	trans	0.1591803819570741
ERG27	YLR100W	0.003030147	False	trans	0.07784789014482024
ORM2	YLR350W	0.014260043	False	trans	0.16887890928117696
GTR1	YML121W	0.141291197	True	cis	0.5315847947411588
ALO1	YML086C	0.083757453	True	cis	0.4092858487658717
HUG1	YML058W-A	0.035546548	False	trans	0.26663288619373265
ADE17	YMR120C	0.016092197	True	cis	0.17940009476028712
RSN1	YMR266W	0.042297672	True	cis	0.29085278750598215
TPO4	YOR273C	0.009648559	False	trans	0.13891406696227707
RBD2	YPL246C	0.023316815	False	trans	0.21594821138411868
UIP4	YPL186C	0.004124527	False	trans	0.0908243029150238
TPO2	YGR138C	0.042688973	False	trans	0.29219504787042505
MAM33	YIL070C	0.004622381	False	trans	0.09614968538690077
GTR1	YML121W	0.019000962	False	trans	0.19494082178958824
ADE17	YMR120C	0.013585675	True	cis	0.1648373440698436
RSN1	YMR266W	0.017800446	False	trans	0.18868198642159775
TPO4	YOR273C	0.017051377	False	trans	0.18466930984871308
TPO2	YGR138C	0.021308447	False	trans	0.20643859619751342
SLM4	YBR077C	0.028014395	False	trans	0.23670401348519632
SSH1	YBR283C	0.017930057	False	trans	0.18936766883499412
FMP45	YDL222C	0.033775608	False	trans	0.25990616768364694
DHH1	YDL160C	0.015052025	False	trans	0.17350518724234154
SNA4	YDL123W	0.033451102	False	trans	0.2586546036706094
PLM2	YDR501W	0.035864104	False	trans	0.26782122395359187
VAC8	YEL013W	0.193106833	False	trans	0.621460912688803
EMP47	YFL048C	0.145445314	False	trans	0.5393427741242113
RET2	YFR051C	0.062095806	False	trans	0.3524083029668853
HNM1	YGL077C	0.168794739	False	trans	0.5810245072283956
PMC1	YGL006W	0.033575339	False	trans	0.2591344786013625
MEP1	YGR121C	0.048815808	False	trans	0.3124605831140946
TPO2	YGR138C	0.071531729	False	trans	0.3782373038186477
GTR2	YGR163W	0.009181046	False	trans	0.13550679687749984
ERG11	YHR007C	0.021884584	False	trans	0.2092108218998243
CTR2	YHR175W	0.061513146	False	trans	0.3507510399129274
MAM33	YIL070C	0.376708499	False	trans	0.8679959665804905
SGN1	YIR001C	0.072912166	False	trans	0.38186952221930465
HYR1	YIR037W	0.124955477	False	trans	0.49991094606939745
TPO1	YLL028W	3.64e-07	False	trans	0.0008532291603080617
EMP70	YLR083C	0.043506454	False	trans	0.2949795043727615
ERG27	YLR100W	0.021734956	False	trans	0.2084943932099854
ACF2	YLR144C	0.018717483	False	trans	0.19348117737909287
MID2	YLR332W	0.012314589	False	trans	0.15693685991506265
ORM2	YLR350W	0.038576332	False	trans	0.27776368373133303
LSM3	YLR438C-A	0.016628977	False	trans	0.18236763418984192
GTR1	YML121W	0.00918866	False	trans	0.1355629742960813
ALO1	YML086C	0.009883471	False	trans	0.14059495723531482
HUG1	YML058W-A	0.009459962	False	trans	0.1375497146489225
ERV25	YML012W	0.126654771	False	trans	0.5032986608366845
ERG5	YMR015C	0.00860983	False	trans	0.1312237021273215
PGM2	YMR105C	0.029968388	False	trans	0.24481988481330513
RSN1	YMR266W	0.077258316	False	trans	0.39308603638389394
WSC2	YNL283C	0.022706464	True	cis	0.21310309242242356
GIS2	YNL255C	0.015270664	False	trans	0.1747607736306978
TCB2	YNL087W	0.041031899	True	cis	0.2864677957467471
PIN2	YOR104W	0.019696943	False	trans	0.19847893087176785
TPO4	YOR273C	0.014083353	False	trans	0.16782939551818685
RBD2	YPL246C	0.127317843	False	trans	0.5046143933737919
UIP4	YPL186C	0.040432085	False	trans	0.28436626030526196
PIS1	YPR113W	0.026367593	False	trans	0.22964142918907293
FMP45	YDL222C	0.021821322	False	trans	0.2089082190819691
PLM2	YDR501W	0.024662737	False	trans	0.2220933902663472
RET2	YFR051C	0.02632977	False	trans	0.22947666548039258
HNM1	YGL077C	0.044246154	False	trans	0.29747656714437193
PMC1	YGL006W	0.02190361	False	trans	0.2093017439010005
MEP1	YGR121C	0.018549034	False	trans	0.19260858755517626
GTR2	YGR163W	0.00962675	False	trans	0.1387569818063221
ERG11	YHR007C	0.012889818	False	trans	0.16056038116546684
MAM33	YIL070C	0.001732146	False	trans	0.05885823646695507
HYR1	YIR037W	0.023873894	False	trans	0.21851267240139643
EMP70	YLR083C	0.013159401	False	trans	0.16223070609474644
ERG27	YLR100W	0.005477432	False	trans	0.10466548619291843
ACF2	YLR144C	0.028859888	False	trans	0.24024940374535791
ORM2	YLR350W	0.013097825	False	trans	0.16185070280971905
ALO1	YML086C	0.017131813	False	trans	0.1851043651565246
PGM2	YMR105C	0.031780983	False	trans	0.25211498567122104
TCB2	YNL087W	0.02245505	True	cis	0.2119200320875778
TPO4	YOR273C	0.007153628	False	trans	0.11961294244353327
RBD2	YPL246C	0.011226954	False	trans	0.14984628123513777
UIP4	YPL186C	0.014643693	False	trans	0.17113557783231398
PIS1	YPR113W	0.010372055	False	trans	0.1440281569693926
PLM2	YDR501W	0.018769674	False	trans	0.1937507367727927
UIP4	YPL186C	0.038813829	False	trans	0.27861740433792
SSH1	YBR283C	0.008920145	False	trans	0.13356754845395644
FMP45	YDL222C	0.192047976	False	trans	0.6197547514944924
VAC8	YEL013W	0.015023977	False	trans	0.17334345675565604
EMP47	YFL048C	0.014945336	False	trans	0.17288918994546768
HNM1	YGL077C	0.005455107	False	trans	0.10445196982345521
PMC1	YGL006W	0.031452436	False	trans	0.2508084368596878
MEP1	YGR121C	0.016802481	False	trans	0.18331656226320633
TPO2	YGR138C	0.007005365	False	trans	0.11836692950313445
ERG11	YHR007C	0.008224719	False	trans	0.1282553624609903
MAM33	YIL070C	0.007305225	False	trans	0.12087369440866777
HYR1	YIR037W	0.024007728	False	trans	0.21912429349572357
TPO1	YLL028W	0.420996528	False	trans	0.9176017959877802
EMP70	YLR083C	0.009350631	False	trans	0.13675255756292093
ERG27	YLR100W	0.003152432	False	trans	0.07940317374009681
MID2	YLR332W	0.07377734	False	trans	0.38412846809368345
ORM2	YLR350W	0.011094569	False	trans	0.14896018931244684
GTR1	YML121W	0.014592199	False	trans	0.17083441690713264
ALO1	YML086C	0.059107202	False	trans	0.3438232162027457
ERG5	YMR015C	0.007843103	False	trans	0.12524458471327213
PGM2	YMR105C	0.037388465	False	trans	0.2734537072339668
ADE17	YMR120C	0.027931584	False	trans	0.236353904135303
RSN1	YMR266W	0.09232121	False	trans	0.42970038398865784
TCB2	YNL087W	0.056830653	False	trans	0.337136924705675
PIN2	YOR104W	0.101128141	True	cis	0.4497291206937794
TPO4	YOR273C	0.238524436	True	cis	0.6906872461541476
RBD2	YPL246C	0.009939672	False	trans	0.14099412753728433
UIP4	YPL186C	0.154738694	False	trans	0.5563069188856095
PIS1	YPR113W	0.010436948	False	trans	0.144478012167942
FMP45	YDL222C	0.006875968	False	trans	0.11726864883676284
EMP47	YFL048C	0.011341538	False	trans	0.15060901699433538
PMC1	YGL006W	0.01726149	False	trans	0.18580360599299467
TPO1	YLL028W	0.008775911	False	trans	0.13248328951230037
ERG27	YLR100W	0.004056761	False	trans	0.0900750908964293
ERG5	YMR015C	0.008258599	False	trans	0.12851925147618937
PGM2	YMR105C	0.020315706	False	trans	0.20157234929424223
RSN1	YMR266W	0.015720053	False	trans	0.17731358098013814
TCB2	YNL087W	0.01548231	False	trans	0.17596766748468312
UIP4	YPL186C	0.016034836	False	trans	0.17908007147642085
PLM2	YDR501W	0.010454373	False	trans	0.14459856845764413
HNM1	YGL077C	0.00918842	False	trans	0.13556120388960846
PMC1	YGL006W	0.012102451	False	trans	0.15557924668798215
MEP1	YGR121C	0.010594574	False	trans	0.1455649270944069
ERG11	YHR007C	0.011695215	False	trans	0.1529393016853418
TPO1	YLL028W	0.004814054	False	trans	0.09812292290795255
EMP70	YLR083C	0.013210547	False	trans	0.1625456674291874
ERG27	YLR100W	0.003306889	False	trans	0.08132513756520797
MID2	YLR332W	0.009902639	False	trans	0.14073122610138802
ERG5	YMR015C	0.011861529	False	trans	0.15402291387972117
WSC2	YNL283C	0.01849499	False	trans	0.19232779310333697
TCB2	YNL087W	0.013277985	False	trans	0.16296002577319385
TPO4	YOR273C	0.007071928	False	trans	0.11892794457149253
RBD2	YPL246C	0.028315185	True	cis	0.23797136382346512
RBD2	YPL246C	0.015564843	False	trans	0.17643606774126427
