"","ORFs","Gene_names"
"126","snR128","SNR128"
"127","snR11","SNR11"
"128","snR10","SNR10"
"129","ZOD1","ZOD1"
"130","YPR201W","ARR3"
"131","YPR200C","ARR2"
"132","YPR199C","ARR1"
"133","YPR198W","SGE1"
"134","YPR194C","OPT2"
"135","YPR193C","HPA2"
"136","YPR192W","AQY1"
"137","YPR191W","QCR2"
"138","YPR190C","RPC82"
"139","YPR189W","SKI3"
"140","YPR188C","MLC2"
"141","YPR187W","RPO26"
"142","YPR186C","PZF1"
"143","YPR185W","ATG13"
"144","YPR184W","GDB1"
"145","YPR183W","DPM1"
"146","YPR182W","SMX3"
"147","YPR181C","SEC23"
"148","YPR180W","AOS1"
"149","YPR179C","HDA3"
"150","YPR178W","PRP4"
"151","YPR176C","BET2"
"152","YPR175W","DPB2"
"153","YPR173C","VPS4"
"154","YPR171W","BSP1"
"155","YPR169W","JIP5"
"156","YPR168W","NUT2"
"157","YPR167C","MET16"
"158","YPR166C","MRP2"
"159","YPR165W","RHO1"
"160","YPR164W","MMS1"
"161","YPR163C","TIF3"
"162","YPR162C","ORC4"
"163","YPR161C","SGV1"
"164","YPR160W","GPH1"
"165","YPR159W","KRE6"
"166","YPR158W","CUR1"
"167","YPR157W","TDA6"
"168","YPR156C","TPO3"
"169","YPR155C","NCA2"
"170","YPR154W","PIN3"
"171","YPR153W","MAY24"
"172","YPR152C","URN1"
"173","YPR151C","SUE1"
"174","YPR149W","NCE102"
"175","YPR145W","ASN1"
"176","YPR144C","NOC4"
"177","YPR143W","RRP15"
"178","YPR141C","KAR3"
"179","YPR140W","TAZ1"
"180","YPR139C","LOA1"
"181","YPR138C","MEP3"
"182","YPR137W","RRP9"
"183","YPR135W","CTF4"
"184","YPR134W","MSS18"
"185","YPR133W-A","TOM5"
"186","YPR133C","SPN1"
"187","YPR132W","RPS23B"
"188","YPR131C","NAT3"
"189","YPR129W","SCD6"
"190","YPR128C","ANT1"
"191","YPR125W","YLH47"
"192","YPR124W","CTR1"
"193","YPR122W","AXL1"
"194","YPR121W","THI22"
"195","YPR120C","CLB5"
"196","YPR119W","CLB2"
"197","YPR118W","MRI1"
"198","YPR116W","RRG8"
"199","YPR115W","RGC1"
"200","YPR113W","PIS1"
"201","YPR112C","MRD1"
"202","YPR111W","DBF20"
"203","YPR110C","RPC40"
"204","YPR108W","RPN7"
"205","YPR107C","YTH1"
"206","YPR106W","ISR1"
"207","YPR105C","COG4"
"208","YPR104C","FHL1"
"209","YPR103W","PRE2"
"210","YPR102C","RPL11A"
"211","YPR101W","SNT309"
"212","YPR100W","MRPL51"
"213","YPR095C","SYT1"
"214","YPR094W","RDS3"
"215","YPR093C","ASR1"
"216","YPR091C","NVJ2"
"217","YPR088C","SRP54"
"218","YPR087W","VPS69"
"219","YPR086W","SUA7"
"220","YPR085C","ASA1"
"221","YPR083W","MDM36"
"222","YPR082C","DIB1"
"223","YPR081C","GRS2"
"224","YPR080W","TEF1"
"225","YPR079W","MRL1"
"226","YPR075C","OPY2"
"227","YPR074C","TKL1"
"228","YPR073C","LTP1"
"229","YPR072W","NOT5"
"230","YPR070W","MED1"
"231","YPR069C","SPE3"
"232","YPR068C","HOS1"
"233","YPR067W","ISA2"
"234","YPR066W","UBA3"
"235","YPR065W","ROX1"
"236","YPR062W","FCY1"
"237","YPR061C","JID1"
"238","YPR060C","ARO7"
"239","YPR058W","YMC1"
"240","YPR057W","BRR1"
"241","YPR056W","TFB4"
"242","YPR055W","SEC8"
"243","YPR054W","SMK1"
"244","YPR052C","NHP6A"
"245","YPR051W","MAK3"
"246","YPR049C","ATG11"
"247","YPR048W","TAH18"
"248","YPR047W","MSF1"
"249","YPR046W","MCM16"
"250","YPR045C","THP3"
"251","YPR044C","OPI11"
"252","YPR043W","RPL43A"
"253","YPR042C","PUF2"
"254","YPR041W","TIF5"
"255","YPR040W","TIP41"
"256","YPR038W","IRC16"
"257","YPR037C","ERV2"
"258","YPR036W-A","SPO24"
"259","YPR036W","VMA13"
"260","YPR035W","GLN1"
"261","YPR034W","ARP7"
"262","YPR033C","HTS1"
"263","YPR032W","SRO7"
"264","YPR031W","NTO1"
"265","YPR030W","CSR2"
"266","YPR029C","APL4"
"267","YPR028W","YOP1"
"268","YPR026W","ATH1"
"269","YPR025C","CCL1"
"270","YPR024W","YME1"
"271","YPR023C","EAF3"
"272","YPR022C","SDD4"
"273","YPR021C","AGC1"
"274","YPR020W","ATP20"
"275","YPR019W","MCM4"
"276","YPR018W","RLF2"
"277","YPR017C","DSS4"
"278","YPR016C","TIF6"
"279","YPR013C","CMR3"
"280","YPR010C","RPA135"
"281","YPR009W","SUT2"
"282","YPR008W","HAA1"
"283","YPR007C","REC8"
"284","YPR006C","ICL2"
"285","YPR005C","HAL1"
"286","YPR004C","AIM45"
"287","YPR002W","PDH1"
"288","YPR001W","CIT3"
"289","YPL283C","YRF1-7"
"290","YPL282C","PAU22"
"291","YPL281C","ERR2"
"292","YPL280W","HSP32"
"293","YPL279C","FEX2"
"294","YPL275W","FDH2"
"295","YPL274W","SAM3"
"296","YPL273W","SAM4"
"297","YPL272C","PBI1"
"298","YPL271W","ATP15"
"299","YPL270W","MDL2"
"300","YPL269W","KAR9"
"301","YPL268W","PLC1"
"302","YPL267W","ACM1"
"303","YPL266W","DIM1"
"304","YPL265W","DIP5"
"305","YPL263C","KEL3"
"306","YPL262W","FUM1"
"307","YPL260W","CUB1"
"308","YPL259C","APM1"
"309","YPL258C","THI21"
"310","YPL256C","CLN2"
"311","YPL255W","BBP1"
"312","YPL254W","HFI1"
"313","YPL253C","VIK1"
"314","YPL252C","YAH1"
"315","YPL250C","ATG41"
"316","YPL249C-A","RPL36B"
"317","YPL249C","GYP5"
"318","YPL248C","GAL4"
"319","YPL246C","RBD2"
"320","YPL244C","HUT1"
"321","YPL243W","SRP68"
"322","YPL242C","IQG1"
"323","YPL241C","CIN2"
"324","YPL240C","HSP82"
"325","YPL239W","YAR1"
"326","YPL237W","SUI3"
"327","YPL236C","ENV7"
"328","YPL235W","RVB2"
"329","YPL234C","VMA11"
"330","YPL233W","NSL1"
"331","YPL232W","SSO1"
"332","YPL231W","FAS2"
"333","YPL230W","USV1"
"334","YPL228W","CET1"
"335","YPL227C","ALG5"
"336","YPL226W","NEW1"
"337","YPL224C","MMT2"
"338","YPL223C","GRE1"
"339","YPL222W","FMP40"
"340","YPL221W","FLC1"
"341","YPL220W","RPL1A"
"342","YPL219W","PCL8"
"343","YPL218W","SAR1"
"344","YPL217C","BMS1"
"345","YPL215W","CBP3"
"346","YPL214C","THI6"
"347","YPL213W","LEA1"
"348","YPL212C","PUS1"
"349","YPL211W","NIP7"
"350","YPL210C","SRP72"
"351","YPL209C","IPL1"
"352","YPL208W","RKM1"
"353","YPL207W","TYW1"
"354","YPL206C","PGC1"
"355","YPL204W","HRR25"
"356","YPL203W","TPK2"
"357","YPL202C","AFT2"
"358","YPL201C","YIG1"
"359","YPL200W","CSM4"
"360","YPL198W","RPL7B"
"361","YPL196W","OXR1"
"362","YPL195W","APL5"
"363","YPL194W","DDC1"
"364","YPL193W","RSA1"
"365","YPL192C","PRM3"
"366","YPL190C","NAB3"
"367","YPL189W","GUP2"
"368","YPL189C-A","COA2"
"369","YPL188W","POS5"
"370","YPL187W","MF(ALPHA)1"
"371","YPL186C","UIP4"
"372","YPL184C","MRN1"
"373","YPL183W-A","RTC6"
"374","YPL183C","RTT10"
"375","YPL181W","CTI6"
"376","YPL180W","TCO89"
"377","YPL179W","PPQ1"
"378","YPL178W","CBC2"
"379","YPL177C","CUP9"
"380","YPL176C","TRE1"
"381","YPL175W","SPT14"
"382","YPL174C","NIP100"
"383","YPL173W","MRPL40"
"384","YPL172C","COX10"
"385","YPL171C","OYE3"
"386","YPL170W","DAP1"
"387","YPL169C","MEX67"
"388","YPL168W","MRX4"
"389","YPL167C","REV3"
"390","YPL166W","ATG29"
"391","YPL165C","SET6"
"392","YPL164C","MLH3"
"393","YPL163C","SVS1"
"394","YPL161C","BEM4"
"395","YPL160W","CDC60"
"396","YPL159C","PET20"
"397","YPL158C","AIM44"
"398","YPL157W","TGS1"
"399","YPL156C","PRM4"
"400","YPL155C","KIP2"
"401","YPL154C","PEP4"
"402","YPL153C","RAD53"
"403","YPL152W","RRD2"
"404","YPL151C","PRP46"
"405","YPL149W","ATG5"
"406","YPL148C","PPT2"
"407","YPL147W","PXA1"
"408","YPL146C","NOP53"
"409","YPL145C","KES1"
"410","YPL144W","POC4"
"411","YPL143W","RPL33A"
"412","YPL141C","FRK1"
"413","YPL140C","MKK2"
"414","YPL139C","UME1"
"415","YPL138C","SPP1"
"416","YPL137C","GIP3"
"417","YPL135W","ISU1"
"418","YPL134C","ODC1"
"419","YPL133C","RDS2"
"420","YPL132W","COX11"
"421","YPL131W","RPL5"
"422","YPL130W","SPO19"
"423","YPL129W","TAF14"
"424","YPL128C","TBF1"
"425","YPL127C","HHO1"
"426","YPL126W","NAN1"
"427","YPL125W","KAP120"
"428","YPL124W","SPC29"
"429","YPL123C","RNY1"
"430","YPL122C","TFB2"
"431","YPL121C","MEI5"
"432","YPL120W","VPS30"
"433","YPL119C","DBP1"
"434","YPL118W","MRP51"
"435","YPL117C","IDI1"
"436","YPL116W","HOS3"
"437","YPL115C","BEM3"
"438","YPL112C","PEX25"
"439","YPL111W","CAR1"
"440","YPL110C","GDE1"
"441","YPL106C","SSE1"
"442","YPL105C","SYH1"
"443","YPL104W","MSD1"
"444","YPL103C","FMP30"
"445","YPL101W","ELP4"
"446","YPL100W","ATG21"
"447","YPL099C","INA17"
"448","YPL098C","MGR2"
"449","YPL097W","MSY1"
"450","YPL096W","PNG1"
"451","YPL096C-A","ERI1"
"452","YPL095C","EEB1"
"453","YPL094C","SEC62"
"454","YPL093W","NOG1"
"455","YPL092W","SSU1"
"456","YPL091W","GLR1"
"457","YPL090C","RPS6A"
"458","YPL089C","RLM1"
"459","YPL087W","YDC1"
"460","YPL086C","ELP3"
"461","YPL085W","SEC16"
"462","YPL084W","BRO1"
"463","YPL083C","SEN54"
"464","YPL082C","MOT1"
"465","YPL081W","RPS9A"
"466","YPL079W","RPL21B"
"467","YPL078C","ATP4"
"468","YPL076W","GPI2"
"469","YPL075W","GCR1"
"470","YPL074W","YTA6"
"471","YPL072W","UBP16"
"472","YPL070W","MUK1"
"473","YPL069C","BTS1"
"474","YPL066W","RGL1"
"475","YPL065W","VPS28"
"476","YPL064C","CWC27"
"477","YPL063W","TIM50"
"478","YPL061W","ALD6"
"479","YPL060W","MFM1"
"480","YPL059W","GRX5"
"481","YPL058C","PDR12"
"482","YPL057C","SUR1"
"483","YPL056C","LCL1"
"484","YPL055C","LGE1"
"485","YPL054W","LEE1"
"486","YPL053C","KTR6"
"487","YPL052W","OAZ1"
"488","YPL051W","ARL3"
"489","YPL050C","MNN9"
"490","YPL049C","DIG1"
"491","YPL048W","CAM1"
"492","YPL047W","SGF11"
"493","YPL046C","ELC1"
"494","YPL045W","VPS16"
"495","YPL043W","NOP4"
"496","YPL042C","SSN3"
"497","YPL041C","MRX11"
"498","YPL040C","ISM1"
"499","YPL038W","MET31"
"500","YPL037C","EGD1"
"501","YPL036W","PMA2"
"502","YPL033C","SRL4"
"503","YPL032C","SVL3"
"504","YPL031C","PHO85"
"505","YPL030W","TRM44"
"506","YPL029W","SUV3"
"507","YPL028W","ERG10"
"508","YPL027W","SMA1"
"509","YPL026C","SKS1"
"510","YPL024W","RMI1"
"511","YPL023C","MET12"
"512","YPL022W","RAD1"
"513","YPL021W","ECM23"
"514","YPL020C","ULP1"
"515","YPL019C","VTC3"
"516","YPL018W","CTF19"
"517","YPL017C","IRC15"
"518","YPL016W","SWI1"
"519","YPL015C","HST2"
"520","YPL014W","CIP1"
"521","YPL013C","MRPS16"
"522","YPL012W","RRP12"
"523","YPL011C","TAF3"
"524","YPL010W","RET3"
"525","YPL009C","RQC2"
"526","YPL008W","CHL1"
"527","YPL007C","TFC8"
"528","YPL006W","NCR1"
"529","YPL005W","AEP3"
"530","YPL004C","LSP1"
"531","YPL003W","ULA1"
"532","YPL002C","SNF8"
"533","YPL001W","HAT1"
"534","YOR396W","YRF1-8"
"535","YOR394W","PAU21"
"536","YOR393W","ERR1"
"537","YOR391C","HSP33"
"538","YOR390W","FEX1"
"539","YOR388C","FDH1"
"540","YOR386W","PHR1"
"541","YOR384W","FRE5"
"542","YOR383C","FIT3"
"543","YOR382W","FIT2"
"544","YOR381W","FRE3"
"545","YOR380W","RDR1"
"546","YOR378W","AMF1"
"547","YOR377W","ATF1"
"548","YOR375C","GDH1"
"549","YOR374W","ALD4"
"550","YOR373W","NUD1"
"551","YOR372C","NDD1"
"552","YOR371C","GPB1"
"553","YOR370C","MRS6"
"554","YOR369C","RPS12"
"555","YOR368W","RAD17"
"556","YOR367W","SCP1"
"557","YOR363C","PIP2"
"558","YOR362C","PRE10"
"559","YOR361C","PRT1"
"560","YOR360C","PDE2"
"561","YOR359W","VTS1"
"562","YOR358W","HAP5"
"563","YOR357C","SNX3"
"564","YOR356W","CIR2"
"565","YOR355W","GDS1"
"566","YOR354C","MSC6"
"567","YOR353C","SOG2"
"568","YOR352W","TFB6"
"569","YOR351C","MEK1"
"570","YOR350C","MNE1"
"571","YOR349W","CIN1"
"572","YOR348C","PUT4"
"573","YOR347C","PYK2"
"574","YOR346W","REV1"
"575","YOR344C","TYE7"
"576","YOR341W","RPA190"
"577","YOR340C","RPA43"
"578","YOR339C","UBC11"
"579","YOR337W","TEA1"
"580","YOR336W","KRE5"
"581","YOR335C","ALA1"
"582","YOR334W","MRS2"
"583","YOR332W","VMA4"
"584","YOR330C","MIP1"
"585","YOR329C","SCD5"
"586","YOR328W","PDR10"
"587","YOR327C","SNC2"
"588","YOR326W","MYO2"
"589","YOR324C","FRT1"
"590","YOR323C","PRO2"
"591","YOR322C","LDB19"
"592","YOR321W","PMT3"
"593","YOR320C","GNT1"
"594","YOR319W","HSH49"
"595","YOR317W","FAA1"
"596","YOR316C","COT1"
"597","YOR315W","SFG1"
"598","YOR313C","SPS4"
"599","YOR312C","RPL20B"
"600","YOR311C","DGK1"
"601","YOR310C","NOP58"
"602","YOR308C","SNU66"
"603","YOR307C","SLY41"
"604","YOR306C","MCH5"
"605","YOR305W","RRG7"
"606","YOR304W","ISW2"
"607","YOR304C-A","BIL1"
"608","YOR303W","CPA1"
"609","YOR301W","RAX1"
"610","YOR299W","BUD7"
"611","YOR298W","MUM3"
"612","YOR298C-A","MBF1"
"613","YOR297C","TIM18"
"614","YOR295W","UAF30"
"615","YOR294W","RRS1"
"616","YOR293W","RPS10A"
"617","YOR291W","YPK9"
"618","YOR290C","SNF2"
"619","YOR288C","MPD1"
"620","YOR287C","RRP36"
"621","YOR286W","RDL2"
"622","YOR285W","RDL1"
"623","YOR284W","HUA2"
"624","YOR281C","PLP2"
"625","YOR280C","FSH3"
"626","YOR279C","RFM1"
"627","YOR278W","HEM4"
"628","YOR276W","CAF20"
"629","YOR275C","RIM20"
"630","YOR274W","MOD5"
"631","YOR273C","TPO4"
"632","YOR272W","YTM1"
"633","YOR271C","FSF1"
"634","YOR270C","VPH1"
"635","YOR269W","PAC1"
"636","YOR267C","HRK1"
"637","YOR266W","PNT1"
"638","YOR265W","RBL2"
"639","YOR264W","DSE3"
"640","YOR262W","GPN2"
"641","YOR261C","RPN8"
"642","YOR260W","GCD1"
"643","YOR259C","RPT4"
"644","YOR258W","HNT3"
"645","YOR257W","CDC31"
"646","YOR256C","TRE2"
"647","YOR255W","OSW1"
"648","YOR254C","SEC63"
"649","YOR253W","NAT5"
"650","YOR252W","TMA16"
"651","YOR251C","TUM1"
"652","YOR250C","CLP1"
"653","YOR249C","APC5"
"654","YOR247W","SRL1"
"655","YOR246C","ENV9"
"656","YOR245C","DGA1"
"657","YOR244W","ESA1"
"658","YOR243C","PUS7"
"659","YOR242C","SSP2"
"660","YOR241W","MET7"
"661","YOR239W","ABP140"
"662","YOR237W","HES1"
"663","YOR236W","DFR1"
"664","YOR235W","IRC13"
"665","YOR234C","RPL33B"
"666","YOR233W","KIN4"
"667","YOR232W","MGE1"
"668","YOR231W","MKK1"
"669","YOR230W","WTM1"
"670","YOR229W","WTM2"
"671","YOR228C","MCP1"
"672","YOR227W","HER1"
"673","YOR226C","ISU2"
"674","YOR224C","RPB8"
"675","YOR223W","DSC3"
"676","YOR222W","ODC2"
"677","YOR221C","MCT1"
"678","YOR220W","RCN2"
"679","YOR219C","STE13"
"680","YOR217W","RFC1"
"681","YOR216C","RUD3"
"682","YOR215C","AIM41"
"683","YOR214C","SPR2"
"684","YOR213C","SAS5"
"685","YOR212W","STE4"
"686","YOR211C","MGM1"
"687","YOR210W","RPB10"
"688","YOR209C","NPT1"
"689","YOR208W","PTP2"
"690","YOR207C","RET1"
"691","YOR206W","NOC2"
"692","YOR205C","GEP3"
"693","YOR204W","DED1"
"694","YOR202W","HIS3"
"695","YOR201C","MRM1"
"696","YOR198C","BFR1"
"697","YOR197W","MCA1"
"698","YOR196C","LIP5"
"699","YOR195W","SLK19"
"700","YOR194C","TOA1"
"701","YOR193W","PEX27"
"702","YOR192C","THI72"
"703","YOR191W","ULS1"
"704","YOR190W","SPR1"
"705","YOR189W","IES4"
"706","YOR188W","MSB1"
"707","YOR187W","TUF1"
"708","YOR185C","GSP2"
"709","YOR184W","SER1"
"710","YOR183W","FYV12"
"711","YOR182C","RPS30B"
"712","YOR181W","LAS17"
"713","YOR180C","DCI1"
"714","YOR179C","SYC1"
"715","YOR178C","GAC1"
"716","YOR177C","MPC54"
"717","YOR176W","HEM15"
"718","YOR175C","ALE1"
"719","YOR174W","MED4"
"720","YOR173W","DCS2"
"721","YOR172W","YRM1"
"722","YOR171C","LCB4"
"723","YOR168W","GLN4"
"724","YOR167C","RPS28A"
"725","YOR166C","SWT1"
"726","YOR165W","SEY1"
"727","YOR164C","GET4"
"728","YOR163W","DDP1"
"729","YOR162C","YRR1"
"730","YOR161C","PNS1"
"731","YOR160W","MTR10"
"732","YOR159C","SME1"
"733","YOR158W","PET123"
"734","YOR157C","PUP1"
"735","YOR156C","NFI1"
"736","YOR155C","ISN1"
"737","YOR154W","SLP1"
"738","YOR153W","PDR5"
"739","YOR152C","ATG40"
"740","YOR151C","RPB2"
"741","YOR150W","MRPL23"
"742","YOR149C","SMP3"
"743","YOR148C","SPP2"
"744","YOR147W","MDM32"
"745","YOR145C","PNO1"
"746","YOR144C","ELG1"
"747","YOR143C","THI80"
"748","YOR142W","LSC1"
"749","YOR141C","ARP8"
"750","YOR140W","SFL1"
"751","YOR138C","RUP1"
"752","YOR137C","SIA1"
"753","YOR136W","IDH2"
"754","YOR135C","IRC14"
"755","YOR134W","BAG7"
"756","YOR133W","EFT1"
"757","YOR132W","VPS17"
"758","YOR130C","ORT1"
"759","YOR129C","AFI1"
"760","YOR128C","ADE2"
"761","YOR127W","RGA1"
"762","YOR126C","IAH1"
"763","YOR125C","CAT5"
"764","YOR124C","UBP2"
"765","YOR123C","LEO1"
"766","YOR122C","PFY1"
"767","YOR120W","GCY1"
"768","YOR119C","RIO1"
"769","YOR118W","RTC5"
"770","YOR117W","RPT5"
"771","YOR116C","RPO31"
"772","YOR115C","TRS33"
"773","YOR113W","AZF1"
"774","YOR112W","CEX1"
"775","YOR110W","TFC7"
"776","YOR109W","INP53"
"777","YOR108W","LEU9"
"778","YOR107W","RGS2"
"779","YOR106W","VAM3"
"780","YOR104W","PIN2"
"781","YOR103C","OST2"
"782","YOR101W","RAS1"
"783","YOR100C","CRC1"
"784","YOR099W","KTR1"
"785","YOR098C","NUP1"
"786","YOR096W","RPS7A"
"787","YOR095C","RKI1"
"788","YOR094W","ARF3"
"789","YOR093C","CMR2"
"790","YOR092W","ECM3"
"791","YOR091W","TMA46"
"792","YOR090C","PTC5"
"793","YOR089C","VPS21"
"794","YOR087W","YVC1"
"795","YOR086C","TCB1"
"796","YOR085W","OST3"
"797","YOR084W","LPX1"
"798","YOR083W","WHI5"
"799","YOR081C","TGL5"
"800","YOR080W","DIA2"
"801","YOR079C","ATX2"
"802","YOR078W","BUD21"
"803","YOR077W","RTS2"
"804","YOR076C","SKI7"
"805","YOR075W","UFE1"
"806","YOR074C","CDC21"
"807","YOR073W","SGO1"
"808","YOR071C","NRT1"
"809","YOR070C","GYP1"
"810","YOR069W","VPS5"
"811","YOR068C","VAM10"
"812","YOR067C","ALG8"
"813","YOR066W","MSA1"
"814","YOR065W","CYT1"
"815","YOR064C","YNG1"
"816","YOR063W","RPL3"
"817","YOR061W","CKA2"
"818","YOR060C","SLD7"
"819","YOR059C","LPL1"
"820","YOR058C","ASE1"
"821","YOR057W","SGT1"
"822","YOR056C","NOB1"
"823","YOR054C","VHS3"
"824","YOR052C","TMC1"
"825","YOR051C","ETT1"
"826","YOR049C","RSB1"
"827","YOR048C","RAT1"
"828","YOR047C","STD1"
"829","YOR046C","DBP5"
"830","YOR045W","TOM6"
"831","YOR044W","IRC23"
"832","YOR043W","WHI2"
"833","YOR042W","CUE5"
"834","YOR040W","GLO4"
"835","YOR039W","CKB2"
"836","YOR038C","HIR2"
"837","YOR037W","CYC2"
"838","YOR036W","PEP12"
"839","YOR035C","SHE4"
"840","YOR034C","AKR2"
"841","YOR033C","EXO1"
"842","YOR032C","HMS1"
"843","YOR031W","CRS5"
"844","YOR030W","DFG16"
"845","YOR028C","CIN5"
"846","YOR027W","STI1"
"847","YOR026W","BUB3"
"848","YOR025W","HST3"
"849","YOR023C","AHC1"
"850","YOR022C","DDL1"
"851","YOR021C","SFM1"
"852","YOR020C","HSP10"
"853","YOR018W","ROD1"
"854","YOR017W","PET127"
"855","YOR016C","ERP4"
"856","YOR014W","RTS1"
"857","YOR013W","IRC11"
"858","YOR011W","AUS1"
"859","YOR010C","TIR2"
"860","YOR009W","TIR4"
"861","YOR008C","SLG1"
"862","YOR007C","SGT2"
"863","YOR006C","TSR3"
"864","YOR005C","DNL4"
"865","YOR004W","UTP23"
"866","YOR003W","YSP3"
"867","YOR002W","ALG6"
"868","YOR001W","RRP6"
"869","YOL165C","AAD15"
"870","YOL164W","BDS1"
"871","YOL161C","PAU20"
"872","YOL159C","CSS3"
"873","YOL158C","ENB1"
"874","YOL157C","IMA2"
"875","YOL156W","HXT11"
"876","YOL155C","HPF1"
"877","YOL154W","ZPS1"
"878","YOL152W","FRE7"
"879","YOL151W","GRE2"
"880","YOL149W","DCP1"
"881","YOL148C","SPT20"
"882","YOL147C","PEX11"
"883","YOL146W","PSF3"
"884","YOL145C","CTR9"
"885","YOL144W","NOP8"
"886","YOL143C","RIB4"
"887","YOL142W","RRP40"
"888","YOL141W","PPM2"
"889","YOL140W","ARG8"
"890","YOL139C","CDC33"
"891","YOL138C","RTC1"
"892","YOL137W","BSC6"
"893","YOL136C","PFK27"
"894","YOL135C","MED7"
"895","YOL133W","HRT1"
"896","YOL132W","GAS4"
"897","YOL130W","ALR1"
"898","YOL129W","VPS68"
"899","YOL128C","YGK3"
"900","YOL127W","RPL25"
"901","YOL126C","MDH2"
"902","YOL125W","TRM13"
"903","YOL124C","TRM11"
"904","YOL123W","HRP1"
"905","YOL122C","SMF1"
"906","YOL121C","RPS19A"
"907","YOL120C","RPL18A"
"908","YOL119C","MCH4"
"909","YOL117W","RRI2"
"910","YOL116W","MSN1"
"911","YOL115W","PAP2"
"912","YOL114C","PTH4"
"913","YOL113W","SKM1"
"914","YOL112W","MSB4"
"915","YOL111C","MDY2"
"916","YOL110W","SHR5"
"917","YOL109W","ZEO1"
"918","YOL108C","INO4"
"919","YOL105C","WSC3"
"920","YOL104C","NDJ1"
"921","YOL103W","ITR2"
"922","YOL102C","TPT1"
"923","YOL101C","IZH4"
"924","YOL100W","PKH2"
"925","YOL098C","SDD3"
"926","YOL097C","WRS1"
"927","YOL096C","COQ3"
"928","YOL095C","HMI1"
"929","YOL094C","RFC4"
"930","YOL093W","TRM10"
